Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0701516299594856,0.707614806709813,0.884997718239814,0.146926883717798,0.768750493710029,0.9625364069182983,0.9811030578085376,0.49622475821671397,0.8653055454003634,1,1
Chr01_126238_809425,0.0933909687727063,0.733205364273994,0.912827633683032,0.192858003669347,0.795331920781785,0.9625364069182983,0.9811030578085376,0.5393997290127048,0.886998139766478,1,126238
Chr01_809426_814269,0.0507470970089292,0.716089319947783,0.457841251185277,0.0874354938988796,0.363155111271218,0.9625364069182983,0.9581951283370848,0.4059900414390521,0.7892568676446707,1,809426
Chr01_814270_1367747,0.0414090642300103,0.971227100125831,0.446282288253324,0.0775828263077286,0.330578699753236,0.9893390366863012,0.9581951283370848,0.38717713919171665,0.7892568676446707,1,814270
Chr01_1367748_1367899,0.0193012800711692,0.517657068661546,0.340639746815718,0.0474402675180699,0.266216339673634,0.9383898447305583,0.9371684295131386,0.37430003632539127,0.7892568676446707,1,1367748
Chr01_1367900_2042574,0.0187137017842274,0.546629025577326,0.35370617203883,0.0482594112732162,0.274463078045131,0.9383898447305583,0.9371684295131386,0.37430003632539127,0.7892568676446707,1,1367900
Chr01_2042575_2043251,0.0176165162793406,0.429441514272465,0.33283799834122,0.0483439542197144,0.269501701804376,0.9366389899557291,0.9371684295131386,0.37430003632539127,0.7892568676446707,1,2042575
Chr01_2043252_2231677,0.0284549839961541,0.850781555246604,0.239678144410548,0.0668594122401743,0.232833312099902,0.96834082349720485,0.9371684295131386,0.37634700600601256,0.7892568676446707,1,2043252
Chr01_2231678_2231705,0.0294154706105609,0.612327440125652,0.359802623631781,0.0837177247596318,0.307953306477807,0.9428353448588039,0.9371684295131386,0.4033275699118084,0.7892568676446707,1,2231678
Chr01_2231706_3033846,0.0290895042251995,0.579103484632213,0.367987694470136,0.0846755283621839,0.312983642744584,0.9383898447305583,0.9371684295131386,0.4033275699118084,0.7892568676446707,1,2231706
Chr01_3033847_3052413,0.00745911864221458,0.557884867058696,0.321500130304075,0.0383544055036187,0.257041499706652,0.9383898447305583,0.9371684295131386,0.37430003632539127,0.7892568676446707,1,3033847
Chr01_3052414_4229970,0.00995440316777205,0.774888230887008,0.413112380856383,0.0276127901875551,0.263641790669125,0.968267657708845,0.9518910254557165,0.37430003632539127,0.7892568676446707,1,3052414
Chr01_4229971_4235626,0.0103522217652163,0.775561682445478,0.139466913684013,0.0292636965866221,0.0954994756970179,0.968267657708845,0.9371684295131386,0.37430003632539127,0.7892568676446707,1,4229971
Chr01_4235627_5264100,0.0115478454054854,0.817385456473835,0.121458016699448,0.0219406228572471,0.0817580518530552,0.968267657708845,0.9371684295131386,0.37430003632539127,0.7892568676446707,1,4235627
Chr01_5264101_5264149,0.0200547706443677,0.735036040139327,0.133549651443879,0.0379324778135269,0.0895634368202195,0.9625364069182983,0.9371684295131386,0.37430003632539127,0.7892568676446707,1,5264101
Chr01_5264150_5885231,0.0215205314607993,0.591025983720022,0.143307264587747,0.0467813083181572,0.0975470598829084,0.9388521581493078,0.9371684295131386,0.37430003632539127,0.7892568676446707,1,5264150
Chr01_5885232_5886075,0.0376781303626329,0.722160232218115,0.0729065639217066,0.0723095021616818,"NA",0.9625364069182983,0.9371684295131386,0.38294085464322614,NA,1,5885232
Chr01_5886076_6253003,0.0341164060422159,0.739279340954648,0.243275486100925,0.0729045037638337,"NA",0.9625364069182983,0.9371684295131386,0.3838207698154774,NA,1,5886076
Chr01_6253004_6253851,0.038740341101486,0.659673364956287,0.317322486495123,0.0767594049465944,"NA",0.9610625303215985,0.9371684295131386,0.38595318779326965,NA,1,6253004
Chr01_6253852_6811196,0.0406572764659139,0.682817708024779,0.316842291752201,0.0711257593971779,"NA",0.9625364069182983,0.9371684295131386,0.38094003315005104,NA,1,6253852
Chr01_6811197_6811650,0.0477709093218601,0.463862803285734,0.135045279080614,0.0745960732537869,"NA",0.9366389899557291,0.9371684295131386,0.38544843229511094,NA,1,6811197
Chr01_6811651_7107385,0.0384652869378036,0.566042116724413,0.113817297741684,0.0662947255754882,"NA",0.9383898447305583,0.9371684295131386,0.37613084314842754,NA,1,6811651
Chr01_7107386_7117068,0.0336699532145304,0.650393159631517,0.0175855378593501,0.0535920040470795,"NA",0.9590543201346099,0.9371684295131386,0.37430003632539127,NA,1,7107386
Chr01_7117069_8021093,0.0231779623059094,0.50016556352025,0.0129283090346933,0.0357711906334204,"NA",0.9383898447305583,0.9371684295131386,0.37430003632539127,NA,1,7117069
Chr01_8021094_8021338,0.0928502271440006,0.444244816646369,0.0750821136815481,0.114480564543267,"NA",0.9366389899557291,0.9371684295131386,0.4421866523703794,NA,1,8021094
Chr01_8021339_8546533,0.0106133378668569,0.389072450330261,0.126501446976492,0.0169659966569899,"NA",0.9366389899557291,0.9371684295131386,0.37430003632539127,NA,1,8021339
Chr01_8546534_8548055,0.0281204462532696,0.946930253168478,0.165920656767134,0.050424463974692,"NA",0.9786309419894529,0.9371684295131386,0.37430003632539127,NA,1,8546534
Chr01_8548056_9439189,0.0222944265300769,0.740360018920007,0.330722587189416,0.0551645172493998,"NA",0.9625364069182983,0.9371684295131386,0.37430003632539127,NA,1,8548056
Chr01_9439190_9439923,0.0209501751320419,0.888378364148061,0.173231192871046,0.0383019691495119,"NA",0.9703879526963526,0.9371684295131386,0.37430003632539127,NA,1,9439190
Chr01_9439924_10127710,0.00920253884003608,0.89594434980986,0.243614871546118,0.0199585875389999,"NA",0.9703879526963526,0.9371684295131386,0.37430003632539127,NA,1,9439924
Chr01_10127711_10127775,0.00757921303760538,0.956319474466427,0.19832353283733,0.0173389102526237,"NA",0.9840835882412587,0.9371684295131386,0.37430003632539127,NA,1,10127711
Chr01_10127776_10700451,0.00424266580771547,0.804315048454387,0.134159465475763,0.00971067549374934,"NA",0.968267657708845,0.9371684295131386,0.37430003632539127,NA,1,10127776
Chr01_10700452_10700489,0.0365981848798022,0.646677127863732,0.274794841200235,0.0778680279938648,"NA",0.9583325886380039,0.9371684295131386,0.38717713919171665,NA,1,10700452
Chr01_10700490_11189458,0.0465305975103428,0.908148440103398,0.455106497863731,0.0966385775216631,"NA",0.9703879526963526,0.9581951283370848,0.41143332804498844,NA,1,10700490
Chr01_11189459_11289027,0.0235601734824267,0.734531886687066,0.886711653481432,0.0408307289772607,"NA",0.9625364069182983,0.9811030578085376,0.37430003632539127,NA,1,11189459
Chr01_11289028_11965532,0.0127173366696121,0.717233815897989,0.676870409225954,0.0304573220106782,"NA",0.9625364069182983,0.9685399392787517,0.37430003632539127,NA,1,11289028
Chr01_11965533_11966198,0.0121187404797489,0.945675666374046,0.902835604493035,0.0291833748328351,"NA",0.9786309419894529,0.9811030578085376,0.37430003632539127,NA,1,11965533
Chr01_11966199_12330339,0.0177187618514632,0.577373144173315,0.968830955107306,0.0325606999145931,"NA",0.9383898447305583,0.9853759037421456,0.37430003632539127,NA,1,11966199
Chr01_12330340_12330527,0.0252618029859056,0.336620440547584,0.917498418693856,0.0351903174216553,"NA",0.9366389899557291,0.9821543475279867,0.37430003632539127,NA,1,12330340
Chr01_12330528_13051606,0.0253256142762903,0.295600744761875,0.674504448864524,0.036221434258758,"NA",0.9366389899557291,0.9685399392787517,0.37430003632539127,NA,1,12330528
Chr01_13051607_13052006,0.0395323630011458,0.337517213862266,0.734611461136545,0.0568410713654883,"NA",0.9366389899557291,0.9811030578085376,0.37430003632539127,NA,1,13051607
Chr01_13052007_13382483,0.0366550320144413,0.380211798524441,0.666163380384962,0.0526710253600906,"NA",0.9366389899557291,0.9685399392787517,0.37430003632539127,NA,1,13052007
Chr01_13382484_13382509,0.0404620985793547,0.261756473646086,0.776133363777044,0.0574496767947191,"NA",0.9043355425245643,0.9811030578085376,0.37430003632539127,NA,1,13382484
Chr01_13382510_13576339,0.0402702645395528,0.188154017937014,0.752738433199668,0.0607906456494146,"NA",0.8742343446002615,0.9811030578085376,0.37430003632539127,NA,1,13382510
Chr01_13576340_13576350,0.0399895657634923,0.223518761333604,0.897351768378767,0.0595253958999228,"NA",0.8752646447250604,0.9811030578085376,0.37430003632539127,NA,1,13576340
Chr01_13576351_14061355,0.0391026707003306,0.266198706696445,0.931852085928878,0.0570969106942213,"NA",0.916374684562942,0.9839592807604506,0.37430003632539127,NA,1,13576351
Chr01_14061356_14061634,0.0389623884272997,0.309971250497799,0.6958915397349,0.0605027265106434,"NA",0.9366389899557291,0.9697965461587673,0.37430003632539127,NA,1,14061356
Chr01_14061635_14604721,0.0363805277412313,0.471800697765642,0.57440190839725,0.054755775832238,"NA",0.9366389899557291,0.9581951283370848,0.37430003632539127,NA,1,14061635
Chr01_14604722_14607157,0.0270219326220503,0.994587351676142,0.33346368016547,0.041974515283127,"NA",0.9969621759380677,0.9371684295131386,0.37430003632539127,NA,1,14604722
Chr01_14607158_15449572,0.0240066259482569,0.967945350151318,0.147389777127623,0.0353169759633983,"NA",0.9893390366863012,0.9371684295131386,0.37430003632539127,NA,1,14607158
Chr01_15449573_15456448,0.0224198491622899,0.85111692077808,0.0891803039063026,0.0384316695463312,"NA",0.96834082349720485,0.9371684295131386,0.37430003632539127,NA,1,15449573
Chr01_15456449_16406535,0.110558917596401,0.974607155887154,0.117121460402199,0.190694779024748,"NA",0.990148512821992,0.9371684295131386,0.5391510580949067,NA,1,15456449
Chr01_16406536_16454790,0.0886273743250665,0.497256347242577,0.121959681402883,0.164438660455277,"NA",0.9383898447305583,0.9371684295131386,0.5104500504782264,NA,1,16406536
Chr01_16454791_19216253,0.347097454432123,0.530861234530174,0.0719040806289107,0.64202763549368,"NA",0.9383898447305583,0.9371684295131386,0.8290347117764728,NA,1,16454791
Chr01_19216254_19216663,0.00942736923623855,0.323864848729724,0.0869612252594521,"NA","NA",0.9366389899557291,0.9371684295131386,NA,NA,1,19216254
Chr01_19216664_20661429,0.0146945007613432,0.914857162711005,0.207594706023438,"NA","NA",0.970916554089254,0.9371684295131386,NA,NA,1,19216664
Chr01_20661430_20662913,0.909787349943422,0.872128910370189,0.210518582858194,0.742170051798426,"NA",0.9684871078019673,0.9371684295131386,0.864988740459558,NA,1,20661430
Chr01_20662914_21251875,0.93652816280708,0.612331437762422,0.388318299210377,0.787147967726506,"NA",0.9428353448588039,0.9371684295131386,0.8895169584788166,NA,1,20662914
Chr01_21251876_21488109,0.928093003651913,0.725157191779255,0.173182869471507,0.812164004789501,"NA",0.9625364069182983,0.9371684295131386,0.9097456624362995,NA,1,21251876
Chr01_21488110_22523058,0.880749701795457,0.836600296918672,0.116763894309802,0.785276255843679,"NA",0.96834082349720485,0.9371684295131386,0.8895169584788166,NA,1,21488110
Chr01_22523059_22523376,0.839787608343546,0.491469424931582,0.094491162788071,0.710299099474496,"NA",0.9383898447305583,0.9371684295131386,0.8631086209023944,NA,1,22523059
Chr01_22523377_25610270,0.823528336379816,0.362632893714552,0.196390611875844,0.663953007838997,"NA",0.9366389899557291,0.9371684295131386,0.8345472878183675,NA,1,22523377
Chr01_25610271_25623774,0.0603530940642171,0.443198430949336,0.171144406330774,"NA","NA",0.9366389899557291,0.9371684295131386,NA,NA,1,25610271
Chr01_25623775_25991881,0.0549963865047502,0.51316422235337,0.227343579391309,"NA","NA",0.9383898447305583,0.9371684295131386,NA,NA,1,25623775
Chr01_25991882_26001088,0.0829815328959696,0.313301947316414,0.150615032473481,"NA","NA",0.9366389899557291,0.9371684295131386,NA,NA,1,25991882
Chr01_26001089_26286066,0.0701922152771589,0.276610046572168,0.102071573186821,"NA","NA",0.9223547545977866,0.9371684295131386,NA,NA,1,26001089
Chr01_26286067_26293474,0.0958756995182126,0.24596560907948,0.0835802502944029,"NA","NA",0.8976565724107579,0.9371684295131386,NA,NA,1,26286067
