Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.126651607410012,0.126232659857552,0.232925487511512,0.269686082280843,0.230037410421897,0.7215107923858614,0.7760484775576036,0.6847902884022351,0.6618505278262106,1,1
Chr01_126238_809425,0.149310180531761,0.118343364552484,0.220879183629515,0.318034086806562,0.218089846291895,0.7215107923858614,0.7760484775576036,0.7317533714477727,0.6618505278262106,1,126238
Chr01_809426_814269,0.381520462251111,0.0984984113034518,0.113214166360972,0.556599520036437,0.138123466842774,0.6964628497218631,0.6299183558572685,0.9514339788003339,0.5548960146205355,1,809426
Chr01_814270_1367747,0.338729211103466,0.0170248114063159,0.175995419700363,0.524964777615721,0.225195055221638,0.5632095927123023,0.7313190581139611,0.9284155786945983,0.6618505278262106,1,814270
Chr01_1367748_1367899,0.286109609750916,0.00887682919661138,0.169079246216313,0.365818903513611,0.26807571895545,0.5632095927123023,0.7305892784426502,0.7996139357974774,0.71492752573159,1,1367748
Chr01_1367900_2042574,0.314140205835472,0.023328621875304,0.128105076773409,0.43458502338742,0.224041876992226,0.5845936655498649,0.6635441221965098,0.8829977520644396,0.6618505278262106,1,1367900
Chr01_2042575_2043251,0.320088400319225,0.0310493792258496,0.147270234607684,0.468612517668346,0.229972673398193,0.5845936655498649,0.6896433332806892,0.9127224200337719,0.6618505278262106,1,2042575
Chr01_2043252_2231677,0.337551997861997,0.0457204301459371,0.151454958167983,0.522742546010546,0.22185453358553,0.627166158325595,0.6937874972314513,0.9284155786945983,0.6618505278262106,1,2043252
Chr01_2231678_2231705,0.358288008090975,0.0652471492360606,0.156004788349515,0.561840775719164,0.227606708626896,0.6547636268878207,0.707566741471497,0.9567345780817764,0.6618505278262106,1,2231678
Chr01_2231706_3033846,0.352701281101128,0.0511169909607068,0.170241806784442,0.540742961791402,0.242019661791513,0.627166158325595,0.7305892784426502,0.9296619381567566,0.6746640249909384,1,2231706
Chr01_3033847_3052413,0.218802139751404,0.026941177155604,0.216364223198963,0.457662730149723,0.273900805312752,0.5845936655498649,0.7726140358261477,0.899456484012464,0.71492752573159,1,3033847
Chr01_3052414_4229970,0.16723938995655,0.0176409711025992,0.229904663523362,0.349144498648352,0.289177860517314,0.5632095927123023,0.7760484775576036,0.7745289870759967,0.7300555822896124,1,3052414
Chr01_4229971_4235626,0.126858035607916,0.00277144857024884,0.0719826153197989,0.260947596792544,0.0800580724923548,0.5632095927123023,0.5837912106868436,0.681160779874823,0.43437026905835413,1,4229971
Chr01_4235627_5264100,0.134011688501375,0.00908089542779418,0.0890369205037088,0.248777532664065,0.0932335322365075,0.5632095927123023,0.6079981874942605,0.6795233634001381,0.43437026905835413,1,4235627
Chr01_5264101_5264149,0.270496472706052,0.00935321584887828,0.0841748626411719,0.433390552563686,0.0888510559578667,0.5632095927123023,0.6079981874942605,0.8829977520644396,0.43437026905835413,1,5264101
Chr01_5264150_5885231,0.323659302906604,0.0280815396553294,0.112635173163299,0.569207846832416,0.106828127515259,0.5845936655498649,0.6299183558572685,0.9622668616168978,0.4643580375532258,1,5264150
Chr01_5885232_5886075,0.590485000899436,0.120902867214087,0.329727412226177,0.824602838169805,"NA",0.7215107923858614,0.8494702417619371,0.9967051065476981,NA,1,5885232
Chr01_5886076_6253003,0.607429754969542,0.197206300266578,0.169530861947492,0.898316240148874,"NA",0.7466872717953638,0.7305892784426502,0.9967051065476981,NA,1,5886076
Chr01_6253004_6253851,0.603736371532996,0.196720046635176,0.193154375868528,0.970826664454541,"NA",0.7466872717953638,0.7483614628825898,0.9967051065476981,NA,1,6253004
Chr01_6253852_6811196,0.602946422108302,0.19606423008784,0.184811202279945,0.99297687753174,"NA",0.7466872717953638,0.7369346690912806,0.9985616743682515,NA,1,6253852
Chr01_6811197_6811650,0.625620761088934,0.368151600142119,0.375414335466677,0.988900927861083,"NA",0.8640293992984326,0.883509087405883,0.9967051065476981,NA,1,6811197
Chr01_6811651_7107385,0.646316245183824,0.520624414670008,0.570198301824481,0.896476270990862,"NA",0.9209566817730085,0.9202019811906041,0.9967051065476981,NA,1,6811651
Chr01_7107386_7117068,0.653990247571655,0.647109933057578,0.231521717174783,0.984351613377089,"NA",0.9539891707245404,0.7760484775576036,0.9967051065476981,NA,1,7107386
Chr01_7117069_8021093,0.587792695032108,0.869468663185969,0.513101300155947,0.431363777168235,"NA",0.9739397611022034,0.9020080290478006,0.8829977520644396,NA,1,7117069
Chr01_8021094_8021338,0.244039954552439,0.865575304724397,0.526196333929389,0.188373835051973,"NA",0.9739397611022034,0.9020080290478006,0.5956745968726121,NA,1,8021094
Chr01_8021339_8546533,0.382223024701505,0.621254730974738,0.474500535883243,0.346668698484457,"NA",0.9405372450031179,0.9020080290478006,0.7745289870759967,NA,1,8021339
Chr01_8546534_8548055,0.925540869236479,0.493248832320288,0.511602896070265,0.909894756917924,"NA",0.9123511577396808,0.9020080290478006,0.9967051065476981,NA,1,8546534
Chr01_8548056_9439189,0.936178901487644,0.603568692811085,0.833505349082313,0.83256005574341,"NA",0.9403178649080557,0.9622009880238522,0.9967051065476981,NA,1,8548056
Chr01_9439190_9439923,0.894432153564621,0.841800481538303,0.936155301825464,0.85335694221972,"NA",0.9729505565605748,0.9885935783237705,0.9967051065476981,NA,1,9439190
Chr01_9439924_10127710,0.992634546487762,0.780853008527785,0.804618810608898,0.734975136711486,"NA",0.9616840892335772,0.9547543705934483,0.9967051065476981,NA,1,9439924
Chr01_10127711_10127775,0.985728213695731,0.464588055035483,0.925066607741502,0.738026268576002,"NA",0.9092244758056385,0.9863683018117372,0.9967051065476981,NA,1,10127711
Chr01_10127776_10700451,0.996443145220787,0.597907551579028,0.978431033696317,0.802470334692484,"NA",0.937371154247455,0.9973337734554522,0.9967051065476981,NA,1,10127776
Chr01_10700452_10700489,0.735829971106564,0.578522950379484,0.908650265623981,0.976376255134566,"NA",0.9353056731818806,0.9828385751705473,0.9967051065476981,NA,1,10700452
Chr01_10700490_11189458,0.716005584222846,0.951070702380812,0.575283210358041,0.953647558196996,"NA",0.9906179090741031,0.920647268673146,0.9967051065476981,NA,1,10700490
Chr01_11189459_11289027,0.838923411720152,0.905211000150073,0.509680338877244,0.986697271895527,"NA",0.9768136801044265,0.9020080290478006,0.9967051065476981,NA,1,11189459
Chr01_11289028_11965532,0.286152209921834,0.856405461410523,0.849607856050247,0.169649451471376,"NA",0.9739397611022034,0.9687084273524753,0.5638163926223425,NA,1,11289028
Chr01_11965533_11966198,0.297029661060531,0.945187590148234,0.652278428889463,0.172208492024216,"NA",0.9885732500238906,0.9453078228656594,0.5657641588849034,NA,1,11965533
Chr01_11966199_12330339,0.312760214159663,0.954109695021539,0.535346364397283,0.188263908556,"NA",0.9906179090741031,0.9020080290478006,0.5956745968726121,NA,1,11966199
Chr01_12330340_12330527,0.289567245975602,0.981631759532955,0.317987293141661,0.207067375772429,"NA",0.9909837344980441,0.84672153072117,0.62248890039381,NA,1,12330340
Chr01_12330528_13051606,0.265505981052945,0.620027707170588,0.441876109885927,0.166741057647532,"NA",0.9405372450031179,0.8970097216035285,0.5598901397302054,NA,1,12330528
Chr01_13051607_13052006,0.851511736761978,0.718543149545364,0.239057979755883,0.985469948342086,"NA",0.9539891707245404,0.785500682384718,0.9967051065476981,NA,1,13051607
Chr01_13052007_13382483,0.809984563108589,0.839909396832247,0.197745013054374,0.955378425329775,"NA",0.9729505565605748,0.7522402311365521,0.9967051065476981,NA,1,13052007
Chr01_13382484_13382509,0.817445602712692,0.897287094294838,0.225594960688931,0.963468187425055,"NA",0.9768136801044265,0.7760484775576036,0.9967051065476981,NA,1,13382484
Chr01_13382510_13576339,0.81584764385888,0.846021253831066,0.396210218448617,0.95592007791859,"NA",0.9739397611022034,0.8836865546752489,0.9967051065476981,NA,1,13382510
Chr01_13576340_13576350,0.822924364186959,0.916733502015833,0.466787174686764,0.960440565543316,"NA",0.9784020509165949,0.9020080290478006,0.9967051065476981,NA,1,13576340
Chr01_13576351_14061355,0.795215107258944,0.62687810509181,0.554355946425721,0.931494471865702,"NA",0.9405372450031179,0.9078466982231215,0.9967051065476981,NA,1,13576351
Chr01_14061356_14061634,0.79207275579733,0.569612699357934,0.383052111792755,0.92979717294828,"NA",0.9331679836561545,0.883509087405883,0.9967051065476981,NA,1,14061356
Chr01_14061635_14604721,0.749658863873723,0.276875494279322,0.334597575122887,0.865546615822736,"NA",0.8043928009059634,0.8494985978702658,0.9967051065476981,NA,1,14061635
Chr01_14604722_14607157,0.661588187574901,0.0388954759659952,0.0816768314234701,0.744170135785674,"NA",0.5845936655498649,0.6079981874942605,0.9967051065476981,NA,1,14604722
Chr01_14607158_15449572,0.691029634306122,0.0777776103260478,0.0531559825395765,0.785582440933064,"NA",0.6873866098452985,0.5354765820039443,0.9967051065476981,NA,1,14607158
