Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.377390363660478,0.852186142155379,0.28047050662368,0.249884716891996,0.254669662007375,0.9990650755507675,0.9846277511307052,0.5825842164288617,0.9439743833273029,1,1
Chr01_126238_809425,0.34422703138592,0.853291757175528,0.278688533413247,0.22171387628472,0.252851360413684,0.9990650755507675,0.9846277511307052,0.5492403740156341,0.9439743833273029,1,126238
Chr01_809426_814269,0.349998604988016,0.895362074087972,0.545833829745052,0.265905595814559,0.517895939401837,0.9990650755507675,0.9846277511307052,0.5930171596840033,0.9439743833273029,1,809426
Chr01_814270_1367747,0.331306757355833,0.740304687329787,0.963534511366334,0.253541085675137,0.937305390041833,0.9990650755507675,0.998526809557902,0.5825842164288617,0.9797891242520185,1,814270
Chr01_1367748_1367899,0.375040913172854,0.988007048836365,0.976508001214976,0.220603078422454,0.982207060475394,0.9990650755507675,0.998526809557902,0.5492403740156341,0.999802826980549,1,1367748
Chr01_1367900_2042574,0.380898536072153,0.96890647938687,0.906392914475387,0.268202487570959,0.934583398954989,0.9990650755507675,0.998526809557902,0.5946999823843486,0.9797891242520185,1,1367900
Chr01_2042575_2043251,0.382554672139727,0.927845991222779,0.824524941547178,0.320838301079227,0.844278787232218,0.9990650755507675,0.9846277511307052,0.637168262569736,0.9564654054113936,1,2042575
Chr01_2043252_2231677,0.359268538259743,0.732083046165048,0.791553479422928,0.251541162636183,0.876595458980526,0.9990650755507675,0.9846277511307052,0.5825842164288617,0.9564654054113936,1,2043252
Chr01_2231678_2231705,0.343580301994567,0.408796113973686,0.91104005468828,0.211561446115542,0.979489203973092,0.9990650755507675,0.998526809557902,0.5409241519999654,0.999802826980549,1,2231678
Chr01_2231706_3033846,0.338280635754673,0.36234641739223,0.940498157078251,0.201856231982011,0.997861570080282,0.9990650755507675,0.998526809557902,0.5269385280846652,0.999802826980549,1,2231706
Chr01_3033847_3052413,0.336561797476521,0.161113007310271,0.952672203902216,0.223469502446572,0.952405954716511,0.9126578002340646,0.998526809557902,0.5495151699505869,0.9797891242520185,1,3033847
Chr01_3052414_4229970,0.412661005201357,0.371762274990578,0.973215187494948,0.35605859567504,0.881962761159683,0.9990650755507675,0.998526809557902,0.6526532303615804,0.9564654054113936,1,3052414
Chr01_4229971_4235626,0.416456496309755,0.4420966039281,0.223557068929571,0.366504913725386,0.20060919018453,0.9990650755507675,0.9846277511307052,0.6597088447056948,0.9439743833273029,1,4229971
Chr01_4235627_5264100,0.453517863584683,0.785838134390455,0.230172413058897,0.40251411279974,0.209784831873703,0.9990650755507675,0.9846277511307052,0.6760424575343296,0.9439743833273029,1,4235627
Chr01_5264101_5264149,0.403152566858767,0.690195028533403,0.274724572999595,0.360353016605929,0.251867414176453,0.9990650755507675,0.9846277511307052,0.6544571769120904,0.9439743833273029,1,5264101
Chr01_5264150_5885231,0.348162208393551,0.250362805248033,0.286613463010789,0.338795698753969,0.241801999231947,0.9990650755507675,0.9846277511307052,0.6435722223310584,0.9439743833273029,1,5264150
Chr01_5885232_5886075,0.240968641089714,0.145910657215123,0.327170333073794,0.200975419188015,"NA",0.8781997681135215,0.9846277511307052,0.5269385280846652,NA,1,5885232
Chr01_5886076_6253003,0.261105836238988,0.277623530829039,0.419503164522371,0.239609939678838,"NA",0.9990650755507675,0.9846277511307052,0.5734721156516476,NA,1,5886076
Chr01_6253004_6253851,0.245944030100598,0.15871398417321,0.757189571129663,0.221920489508608,"NA",0.9043879689869895,0.9846277511307052,0.5492403740156341,NA,1,6253004
Chr01_6253852_6811196,0.242227164715262,0.215471641276505,0.888608064404228,0.230491641510924,"NA",0.9850029607108738,0.998526809557902,0.5561460519030337,NA,1,6253852
Chr01_6811197_6811650,0.256620870103097,0.275650750638544,0.86808366068815,0.254255673994072,"NA",0.9990650755507675,0.9928320252288461,0.5825842164288617,NA,1,6811197
Chr01_6811651_7107385,0.275141020533416,0.493701073157989,0.931463296390016,0.265189535826116,"NA",0.9990650755507675,0.998526809557902,0.5930171596840033,NA,1,6811651
Chr01_7107386_7117068,0.308360861007028,0.884935116616631,0.338772000236435,0.361628944200344,"NA",0.9990650755507675,0.9846277511307052,0.6544571769120904,NA,1,7107386
Chr01_7117069_8021093,0.868091073889778,0.772417009803183,0.341983745742574,0.792023715089228,"NA",0.9990650755507675,0.9846277511307052,0.9575793299866011,NA,1,7117069
Chr01_8021094_8021338,0.163402177350425,0.74545132332213,0.825107498847756,0.135851036339951,"NA",0.9990650755507675,0.9846277511307052,0.4320350979009042,NA,1,8021094
Chr01_8021339_8546533,0.0137989545359544,0.968194211773898,0.840893356950105,0.0175366493937043,"NA",0.9990650755507675,0.9872041085471391,0.18656939804560624,NA,1,8021339
Chr01_8546534_8548055,0.0707139047270198,0.654635026835438,0.618241789390071,0.0993874886257928,"NA",0.9990650755507675,0.9846277511307052,0.3563694811283407,NA,1,8546534
Chr01_8548056_9439189,0.0656073249531238,0.289110398432519,0.217934568658079,0.089206939923354,"NA",0.9990650755507675,0.9846277511307052,0.33876053135450884,NA,1,8548056
Chr01_9439190_9439923,0.154781706934181,0.356856599102209,0.676535401334777,0.183698484719281,"NA",0.9990650755507675,0.9846277511307052,0.5040507202663198,NA,1,9439190
Chr01_9439924_10127710,0.137785688144575,0.179005464833544,0.522748326303828,0.133383276424559,"NA",0.9576792368594602,0.9846277511307052,0.43026863362760964,NA,1,9439924
Chr01_10127711_10127775,0.128721071473128,0.22298094022323,0.205102999160683,0.114426960354885,"NA",0.9850029607108738,0.9751426217599578,0.39247004852863804,NA,1,10127711
Chr01_10127776_10700451,0.116784365648599,0.0967840895541372,0.187285473515585,0.0950043549597107,"NA",0.7169467556971856,0.9492416368184651,0.34690471123749783,NA,1,10127776
Chr01_10700452_10700489,0.205758965593194,0.12152344773996,0.324143328681054,0.21773668571206,"NA",0.8015553436546676,0.9846277511307052,0.5489160144001513,NA,1,10700452
Chr01_10700490_11189458,0.224830939861419,0.0359225639804687,0.163358533341435,0.255291017944403,"NA",0.5964384329860578,0.9291846278385052,0.5827747450644958,NA,1,10700490
Chr01_11189459_11289027,0.0130986585317581,0.142842864496434,0.200602589016981,0.0131709885601057,"NA",0.874383546737911,0.9697625697638541,0.18236753390915583,NA,1,11189459
Chr01_11289028_11965532,0.00309739246052955,0.177931892292265,0.356808740358383,0.00276628098394347,"NA",0.957253699874029,0.9846277511307052,0.15560330534682018,NA,1,11289028
Chr01_11965533_11966198,0.00313274399705639,0.11791631820034,0.29670653661788,0.00272468000810258,"NA",0.7940798211673246,0.9846277511307052,0.15560330534682018,NA,1,11965533
Chr01_11966199_12330339,0.00412987464605298,0.0234407035421509,0.40708797550071,0.00450487826859783,"NA",0.5374618455021742,0.9846277511307052,0.18236753390915583,NA,1,11966199
Chr01_12330340_12330527,0.00541635157776917,0.0212263137842546,0.286249397528365,0.00679542677119041,"NA",0.5374618455021742,0.9846277511307052,0.18236753390915583,NA,1,12330340
Chr01_12330528_13051606,0.00463151455627838,0.0378073442764234,0.316897924374392,0.00523977963852346,"NA",0.6053755633101193,0.9846277511307052,0.18236753390915583,NA,1,12330528
Chr01_13051607_13052006,0.0158623257453323,0.0153519438018869,0.238358403425062,0.0154463342512725,"NA",0.49279739604056955,0.9846277511307052,0.1838310638908533,NA,1,13051607
Chr01_13052007_13382483,0.0134154743729494,0.00776763816292012,0.408647003630884,0.0127933371196158,"NA",0.4153323666631988,0.9846277511307052,0.18236753390915583,NA,1,13052007
Chr01_13382484_13382509,0.0137905929759203,0.0106602452116338,0.389778767247599,0.0131139228507159,"NA",0.4277423391168062,0.9846277511307052,0.18236753390915583,NA,1,13382484
Chr01_13382510_13576339,0.0141132687624521,0.0065839624940334,0.555430914187875,0.0157009042589471,"NA",0.4153323666631988,0.9846277511307052,0.1838310638908533,NA,1,13382510
Chr01_13576340_13576350,0.0146746525475555,0.0140642570268805,0.419631336942375,0.0157894699757145,"NA",0.4837099827459258,0.9846277511307052,0.1838310638908533,NA,1,13576340
Chr01_13576351_14061355,0.0159708328653096,0.00729160542533844,0.352813674628251,0.0176204431487517,"NA",0.4153323666631988,0.9846277511307052,0.18656939804560624,NA,1,13576351
Chr01_14061356_14061634,0.0191767805916461,0.00423833514059148,0.510342042429715,0.0203338803273295,"NA",0.4153323666631988,0.9846277511307052,0.2011043109296324,NA,1,14061356
Chr01_14061635_14604721,0.0174176821334711,0.00834362770126012,0.820323552262002,0.0166159322478072,"NA",0.4153323666631988,0.9846277511307052,0.1838310638908533,NA,1,14061635
Chr01_14604722_14607157,0.0129640512153742,0.0428721484670919,0.905418401038373,0.0125842267193535,"NA",0.6138597587491575,0.998526809557902,0.18236753390915583,NA,1,14604722
Chr01_14607158_15449572,0.0104519808001151,0.0585600961315036,0.95536375183924,0.00943630096491356,"NA",0.6281940237840071,0.998526809557902,0.18236753390915583,NA,1,14607158
Chr01_15449573_15456448,0.00995255502656419,0.0677049072179557,0.804153787387925,0.0102591304671355,"NA",0.667183709911354,0.9846277511307052,0.18236753390915583,NA,1,15449573
Chr01_15456449_16406535,0.0228878666593248,0.0487311836644076,0.943993836395549,0.0272397787208074,"NA",0.6138597587491575,0.998526809557902,0.20908006523612618,NA,1,15456449
Chr01_16406536_16454790,0.0202277274359079,0.0991827533215672,0.97867141500327,0.0216814614636673,"NA",0.7291068049516733,0.998526809557902,0.20908006523612618,NA,1,16406536
Chr01_16454791_19216253,0.00175450423021496,0.0358644419703864,0.723373305283553,0.00160427809716054,"NA",0.5964384329860578,0.9846277511307052,0.15560330534682018,NA,1,16454791
Chr01_19216254_19216663,0.825247283668047,0.046594709965388,0.820736072616586,"NA","NA",0.6138597587491575,0.9846277511307052,NA,NA,1,19216254
Chr01_19216664_20661429,0.674134081763153,0.0414626669957493,0.703401613408616,"NA","NA",0.6138597587491575,0.9846277511307052,NA,NA,1,19216664
Chr01_20661430_20662913,0.967324655760475,0.0497591159704309,0.889164896394934,0.986694322850035,"NA",0.6138597587491575,0.998526809557902,0.9982078774023944,NA,1,20661430
Chr01_20662914_21251875,0.955413675201674,0.0750477618898325,0.902532834679363,0.980821032791564,"NA",0.6909774206391194,0.998526809557902,0.9982078774023944,NA,1,20662914
Chr01_21251876_21488109,0.950421759303496,0.0955343448079584,0.785332840815773,0.950647763348481,"NA",0.7169467556971856,0.9846277511307052,0.9901296624725844,NA,1,21251876
Chr01_21488110_22523058,0.959268520033391,0.0899163351209276,0.87423039196705,0.990381782348997,"NA",0.7097494321430597,0.9967123263908122,0.9982078774023944,NA,1,21488110
Chr01_22523059_22523376,0.835871146199386,0.80767517378933,0.12210182605412,0.918172558988511,"NA",0.9990650755507675,0.914180984238277,0.987552245396785,NA,1,22523059
Chr01_22523377_25610270,0.858527051841408,0.674950397949815,0.269254293787354,0.821787116562657,"NA",0.9990650755507675,0.9846277511307052,0.9668083724266553,NA,1,22523377
Chr01_25610271_25623774,0.635090033190091,0.758142712784323,0.165642466663531,"NA","NA",0.9990650755507675,0.9291846278385052,NA,NA,1,25610271
Chr01_25623775_25991881,0.839480344935484,0.538128859035814,0.042444101277715,"NA","NA",0.9990650755507675,0.7067142480479771,NA,NA,1,25623775
Chr01_25991882_26001088,0.707011020668704,0.510344248037758,0.0319709827961767,"NA","NA",0.9990650755507675,0.6550650304833652,NA,NA,1,25991882
Chr01_26001089_26286066,0.729161568591325,0.533108960781651,0.0389169051852678,"NA","NA",0.9990650755507675,0.7067142480479771,NA,NA,1,26001089
Chr01_26286067_26293474,0.702336845077868,0.447058486200611,0.0470144624454323,"NA","NA",0.9990650755507675,0.7067142480479771,NA,NA,1,26286067
Chr01_26293475_26583692,0.651856863567501,0.568834398020643,0.050685610423525,"NA","NA",0.9990650755507675,0.717797688791979,NA,NA,1,26293475
Chr01_26583693_26647317,0.965963163902988,0.777436667580848,0.0245329581698342,"NA","NA",0.9990650755507675,0.6036348715694474,NA,NA,1,26583693
Chr01_26647318_27308826,0.200062946455788,0.719056080612293,0.0444866743026678,0.199401705193627,"NA",0.9990650755507675,0.7067142480479771,0.5262801603350858,NA,1,26647318
Chr01_27308827_27314420,0.184070931116606,0.609381794443792,0.0765681918947028,0.172831919006401,"NA",0.9990650755507675,0.8573856836581255,0.48307058107379164,NA,1,27308827
Chr01_27314421_27701084,0.184518663064269,0.4152872234673,0.0501221937606563,0.188773493203176,"NA",0.9990650755507675,0.717797688791979,0.5111876966644595,NA,1,27314421
Chr01_27701085_27712150,0.190285869689318,0.578407446763523,0.0691981010733366,0.192088858656502,"NA",0.9990650755507675,0.8028647148629294,0.5145237285442017,NA,1,27701085
Chr01_27712151_27987745,0.202976140389539,0.914514250152568,0.122486290519614,0.212822732813384,"NA",0.9990650755507675,0.914180984238277,0.5426007093355678,NA,1,27712151
Chr01_27987746_27996902,0.196130257899941,0.88444389089712,0.132464415287846,0.206713771824669,"NA",0.9990650755507675,0.914180984238277,0.5346747907487122,NA,1,27987746
Chr01_27996903_28327995,0.199479414222082,0.872888565053913,0.100039559433024,0.230092334546421,"NA",0.9990650755507675,0.914180984238277,0.5561460519030337,NA,1,27996903
Chr01_28327996_28328780,0.194199058165041,0.65349466915276,0.303714781148911,0.201993102432455,"NA",0.9990650755507675,0.9846277511307052,0.5269385280846652,NA,1,28327996
Chr01_28328781_28712697,0.19606833215779,0.765079821259308,0.276621177464285,0.207539723588416,"NA",0.9990650755507675,0.9846277511307052,0.5352027255861731,NA,1,28328781
Chr01_28712698_28712702,0.195056514542336,0.726643842401912,0.424636315899425,0.196832872706934,"NA",0.9990650755507675,0.9846277511307052,0.5241111995155047,NA,1,28712698
Chr01_28712703_29260469,0.212775917659021,0.883791389998689,0.457824596402734,0.215454118981403,"NA",0.9990650755507675,0.9846277511307052,0.5462217100936978,NA,1,28712703
Chr01_29260470_29264772,0.216426781220838,0.939906519702497,0.472904299739673,0.22871721635967,"NA",0.9990650755507675,0.9846277511307052,0.5561080191408542,NA,1,29260470
Chr01_29264773_29827856,0.218036023692032,0.982877674155099,0.603385546766246,0.237719611673042,0.629576568357866,0.9990650755507675,0.9846277511307052,0.5705270680153008,0.9439743833273029,1,29264773
Chr01_29827857_29864780,0.226963431277424,0.924534538509402,0.638019719350027,0.244659655817527,0.647877722494782,0.9990650755507675,0.9846277511307052,0.5749182512683403,0.9439743833273029,1,29827857
Chr01_29864781_30461232,0.203658649901254,0.502185808648412,0.544159163032639,0.218804648777709,"NA",0.9990650755507675,0.9846277511307052,0.5492403740156341,NA,1,29864781
Chr01_30461233_30463952,0.197148683199176,0.690011571902109,0.910803126540901,0.189974893325928,"NA",0.9990650755507675,0.998526809557902,0.5119083951896264,NA,1,30461233
Chr01_30463953_31287140,0.194034735239334,0.853641428736358,0.670459557002148,0.191563906424543,0.685932694081695,0.9990650755507675,0.9846277511307052,0.5145237285442017,0.9439743833273029,1,30463953
Chr01_31287141_31299042,0.186134206379187,0.47816450465656,0.70231861403345,0.18913944776585,0.686488010540519,0.9990650755507675,0.9846277511307052,0.5111876966644595,0.9439743833273029,1,31287141
Chr01_31299043_32249075,0.542262334510996,0.441951778401673,0.75945655252519,0.571713280452057,0.780542683145976,0.9990650755507675,0.9846277511307052,0.8194951699456778,0.9439743833273029,1,31299043
Chr01_32249076_32254238,0.538275758220502,0.417361744459666,0.72944730148111,0.583284273906442,0.761273646515633,0.9990650755507675,0.9846277511307052,0.8293141335162683,0.9439743833273029,1,32249076
Chr01_32254239_32925441,0.538544619504501,0.415857552689581,0.713181827214306,0.55319094559171,0.773878534226579,0.9990650755507675,0.9846277511307052,0.8075864403715923,0.9439743833273029,1,32254239
Chr01_32925442_32925676,0.504227698873979,0.283017530147399,0.662028466233164,0.549387913829015,0.742687126934639,0.9990650755507675,0.9846277511307052,0.8061704805071388,0.9439743833273029,1,32925442
Chr01_32925677_33648211,0.530877183376403,0.414667109146506,0.678299217957934,0.552471715961008,0.748142161491163,0.9990650755507675,0.9846277511307052,0.8075864403715923,0.9439743833273029,1,32925677
Chr01_33648212_33648861,0.549746476892089,0.566912651679283,0.602319989568481,0.601907314240387,0.670185552684116,0.9990650755507675,0.9846277511307052,0.8435669327000833,0.9439743833273029,1,33648212
Chr01_33648862_33944256,0.555216406253947,0.580873415260301,0.606686943293065,0.571870903233901,0.692481335029127,0.9990650755507675,0.9846277511307052,0.8194951699456778,0.9439743833273029,1,33648862
Chr01_33944257_33944395,0.54069951364741,0.505246312409354,0.621961899707541,0.574557169150803,0.695900598828535,0.9990650755507675,0.9846277511307052,0.8194951699456778,0.9439743833273029,1,33944257
Chr01_33944396_34707623,0.119186965277718,0.43214489108803,0.755182760749248,0.106704313330208,0.648695996230913,0.9990650755507675,0.9846277511307052,0.37240050505033256,0.9439743833273029,1,33944396
Chr01_34707624_34711948,0.137994965844621,0.940048464841071,0.793246663066033,0.132313604674532,0.713362151396374,0.9990650755507675,0.9846277511307052,0.43026863362760964,0.9439743833273029,1,34707624
Chr01_34711949_35098398,0.0551517168070215,0.902980063148936,0.28795531246561,0.0507307910155276,0.274187824263749,0.9990650755507675,0.9846277511307052,0.26240064318376344,0.9439743833273029,1,34711949
Chr01_35098399_35197978,0.0517987897771083,0.749882248499589,0.233466637442829,0.0517361072995943,0.241896134728294,0.9990650755507675,0.9846277511307052,0.26306495237081845,0.9439743833273029,1,35098399
Chr01_35197979_35842906,0.0379496094821668,0.609969197503322,0.178174260730731,0.0472718298895532,0.202452254654126,0.9990650755507675,0.9489481672845362,0.2578459019644843,0.9439743833273029,1,35197979
Chr01_35842907_35842941,0.0333323753229045,0.606991034888667,0.237524743068839,0.0453339043689381,0.231026522632618,0.9990650755507675,0.9846277511307052,0.257553049089369,0.9439743833273029,1,35842907
Chr01_35842942_36467175,0.036179286828635,0.700570281116193,0.207584877944747,0.0484237640058509,0.220593344444389,0.9990650755507675,0.9751426217599578,0.2578780331672533,0.9439743833273029,1,35842942
Chr01_36467176_36477457,0.00867246871031333,0.638968464851434,0.292723160594002,0.0112572677440617,0.311064826884405,0.9990650755507675,0.9846277511307052,0.18236753390915583,0.9439743833273029,1,36467176
Chr01_36477458_36677915,0.0109726961063247,0.602005777010112,0.41702611102363,0.0115644230675117,0.374813793868436,0.9990650755507675,0.9846277511307052,0.18236753390915583,0.9439743833273029,1,36477458
Chr01_36677916_36678639,0.0132321473900859,0.712183879612302,0.446355997021283,0.0124561085644473,0.396289044667233,0.9990650755507675,0.9846277511307052,0.18236753390915583,0.9439743833273029,1,36677916
Chr01_36678640_37008510,0.0151173851804889,0.871494957487547,0.550656190142256,0.0125274103609577,0.465850129105524,0.9990650755507675,0.9846277511307052,0.18236753390915583,0.9439743833273029,1,36678640
Chr01_37008511_37008685,0.0157505324052473,0.908819713376401,0.569020516437826,0.0128773281448585,0.473622225251625,0.9990650755507675,0.9846277511307052,0.18236753390915583,0.9439743833273029,1,37008511
Chr01_37008686_37399402,0.0127537929680901,0.953738481217464,0.555685279227474,0.0118709207773466,0.457750832843577,0.9990650755507675,0.9846277511307052,0.18236753390915583,0.9439743833273029,1,37008686
Chr01_37399403_37399747,0.0132101480363281,0.890501251208452,0.591167740812019,0.0136864980007649,0.487369217743793,0.9990650755507675,0.9846277511307052,0.1838310638908533,0.9439743833273029,1,37399403
Chr01_37399748_38492440,0.0151038693723648,0.966685827731583,0.596668940904775,0.01413012489569,0.48725685128566,0.9990650755507675,0.9846277511307052,0.1838310638908533,0.9439743833273029,1,37399748
Chr01_38492441_38553272,0.00714905088776429,0.883987767985205,0.560306942528715,0.00807750999798897,0.440583343700972,0.9990650755507675,0.9846277511307052,0.18236753390915583,0.9439743833273029,1,38492441
Chr01_38553273_41248221,0.0358765093741736,0.795133588199174,0.588779866107302,0.0368344902341388,0.406958533466605,0.9990650755507675,0.9846277511307052,0.23962330931191575,0.9439743833273029,1,38553273
Chr01_41248222_41249634,0.0531515040889094,0.727513037540256,0.502649497106985,0.035947899957846,0.378487964896711,0.9990650755507675,0.9846277511307052,0.23789051442692205,0.9439743833273029,1,41248222
Chr01_41249635_41946984,0.251774326621954,0.93922990018421,0.331959795808521,0.181209051196779,0.257182228607189,0.9990650755507675,0.9846277511307052,0.49874050788104307,0.9439743833273029,1,41249635
Chr01_41946985_41946999,0.304256744081175,0.5440800538914,0.337236983545644,0.192897822634374,0.283656827558318,0.9990650755507675,0.9846277511307052,0.5151573898247377,0.9439743833273029,1,41946985
Chr01_41947000_42826924,0.468371617060308,0.885981982639307,0.455873356816504,0.454189999582372,0.400586245774872,0.9990650755507675,0.9846277511307052,0.7209365072736063,0.9439743833273029,1,41947000
Chr01_42826925_42828044,0.313685258114607,0.949285753089942,0.357708463574445,0.415694466289847,0.2445220584409,0.9990650755507675,0.9846277511307052,0.6840364935889064,0.9439743833273029,1,42826925
Chr01_42828045_44953517,0.156630809107341,0.65351804767156,0.389643466978815,0.225443493880468,0.256172991989408,0.9990650755507675,0.9846277511307052,0.5513563709033185,0.9439743833273029,1,42828045
Chr01_44953518_50495391,0.303138021193503,0.965431348083315,0.476871827617893,0.371717448785942,0.430007615450674,0.9990650755507675,0.9846277511307052,0.6631949320066225,0.9439743833273029,1,44953518
Chr02_1_4524,0.442789369961364,0.986105734370752,0.51839874359667,0.391797457718025,"NA",0.9990650755507675,0.9846277511307052,0.6723020206908922,NA,2,1
Chr02_4525_349303,0.442789369961364,0.986105734370752,0.51839874359667,0.391797457718025,"NA",0.9990650755507675,0.9846277511307052,0.6723020206908922,NA,2,4525
Chr02_349304_361275,0.461441312024884,0.81472497334713,0.429333715588691,0.40337199966215,"NA",0.9990650755507675,0.9846277511307052,0.6760424575343296,NA,2,349304
Chr02_361276_876244,0.465057924089192,0.85369151745922,0.235937118363783,0.417470827364332,"NA",0.9990650755507675,0.9846277511307052,0.6840364935889064,NA,2,361276
Chr02_876245_880558,0.435273703139234,0.799072245563395,0.522330746826786,0.420581864343966,"NA",0.9990650755507675,0.9846277511307052,0.6850404022265527,NA,2,876245
Chr02_880559_1380844,0.421523565042384,0.694634856179497,0.467262154822127,0.393282410078003,0.431019876108193,0.9990650755507675,0.9846277511307052,0.6723020206908922,0.9439743833273029,2,880559
Chr02_1380845_1380870,0.422810938903432,0.647969118590186,0.458339970837396,0.386929154014601,0.42680540772986,0.9990650755507675,0.9846277511307052,0.6723020206908922,0.9439743833273029,2,1380845
Chr02_1380871_1588241,0.456533233960026,0.976309530996583,0.377323137287599,0.389151944090682,0.372884938749879,0.9990650755507675,0.9846277511307052,0.6723020206908922,0.9439743833273029,2,1380871
Chr02_1588242_1591077,0.478682775707922,0.678038101976524,0.62225349319069,0.333671120214586,"NA",0.9990650755507675,0.9846277511307052,0.6435722223310584,NA,2,1588242
Chr02_1591078_2117143,0.473114651792814,0.683288770017324,0.755311239331128,0.34662746285568,"NA",0.9990650755507675,0.9846277511307052,0.6435722223310584,NA,2,1591078
Chr02_2117144_2118662,0.44046754439552,0.710731276477223,0.806870668798278,0.359534615625254,"NA",0.9990650755507675,0.9846277511307052,0.6544571769120904,NA,2,2117144
Chr02_2118663_2439301,0.411006083506696,0.984003734353086,0.738649337036307,0.379494979246619,"NA",0.9990650755507675,0.9846277511307052,0.6673044437463111,NA,2,2118663
Chr02_2439302_2439318,0.384209236358964,0.723277542069193,0.860160541896796,0.336930668416323,"NA",0.9990650755507675,0.9925072514709907,0.6435722223310584,NA,2,2439302
Chr02_2439319_3802076,0.424245802309994,0.78270918633187,0.711997950355702,0.346196685765741,"NA",0.9990650755507675,0.9846277511307052,0.6435722223310584,NA,2,2439319
Chr02_3802077_3811171,0.441272801305749,0.614265772896683,0.367250251330772,0.396566419671552,"NA",0.9990650755507675,0.9846277511307052,0.6735769988597663,NA,2,3802077
Chr02_3811172_4203782,0.491994738997124,0.270576130293677,0.359583855479819,0.45994317184821,"NA",0.9990650755507675,0.9846277511307052,0.7275023807792425,NA,2,3811172
Chr02_4203783_4204963,0.511710221214773,0.193891384562483,0.799225010853573,0.533457025885693,"NA",0.9793943198861427,0.9846277511307052,0.796204516247303,NA,2,4203783
Chr02_4204964_5059530,0.550925490186303,0.0275295999297626,0.539247003273684,0.57380201678045,"NA",0.5572787055125881,0.9846277511307052,0.8194951699456778,NA,2,4204964
Chr02_5059531_5059566,0.618703281904845,0.00902896102296907,0.395156445513644,0.601372901275424,"NA",0.4153323666631988,0.9846277511307052,0.8435669327000833,NA,2,5059531
Chr02_5059567_5396611,0.61955948463147,0.00672284332483276,0.61981837018295,0.572654802801073,"NA",0.4153323666631988,0.9846277511307052,0.8194951699456778,NA,2,5059567
Chr02_5396612_5398283,0.600271116428448,0.0178598502802753,0.675662960554398,0.547881352067722,"NA",0.5211829036334883,0.9846277511307052,0.8061704805071388,NA,2,5396612
Chr02_5398284_5923170,0.594375457058923,0.026142794984608,0.63502472678284,0.522636648609734,"NA",0.5572787055125881,0.9846277511307052,0.7836888109615383,NA,2,5398284
Chr02_5923171_5954021,0.618637329942546,0.0125317831250548,0.347314595879356,0.540430711565492,"NA",0.46415796728568354,0.9846277511307052,0.8009338983561297,NA,2,5923171
Chr02_5954022_6493859,0.602040456759687,0.015981521847155,0.422942504877873,0.566351617567225,"NA",0.496458243187428,0.9846277511307052,0.8194951699456778,NA,2,5954022
Chr02_6493860_6498865,0.335979498042801,0.0189589243685086,0.249060734407908,0.317271142499419,"NA",0.5275531484456859,0.9846277511307052,0.635955519486586,NA,2,6493860
Chr02_6498866_6748647,0.336669426765803,0.0271048807623444,0.413349643545127,0.294069776549725,"NA",0.5572787055125881,0.9846277511307052,0.6098137360775815,NA,2,6498866
