Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.122612622276244,0.587214374622957,0.438385667275009,0.9450958185170066,0.9158090597127133,1,1
Chr01_126238_809425,0.127526788328342,0.60681327936726,0.431287174412965,0.9471007909735355,0.913442812671293,1,126238
Chr01_809426_814269,0.220193417520009,0.579686282093588,0.328352861497745,0.9450958185170066,0.8791939125648327,1,809426
Chr01_814270_1367747,0.183841319162232,0.811821674356737,0.319358992210341,0.9653685305044795,0.8791939125648327,1,814270
Chr01_1367748_1367899,0.0942385579753344,0.604549842123758,0.582612507741457,0.9471007909735355,0.9176589643376079,1,1367748
Chr01_1367900_2042574,0.0784845698187827,0.656879241305713,0.517625708807301,0.9531648595407147,0.9176589643376079,1,1367900
Chr01_2042575_2043251,0.0748591153011966,0.523681514329573,0.678187321134135,0.9385735749455967,0.9356853127415982,1,2042575
Chr01_2043252_2231677,0.0850289138066758,0.7586258201241,0.786495086705655,0.9620651521865992,0.9538582659806525,1,2043252
Chr01_2231678_2231705,0.0669601895719777,0.526516139542923,0.783054911052455,0.9385735749455967,0.9538582659806525,1,2231678
Chr01_2231706_3033846,0.0622596754352088,0.500072276653258,0.761197898263971,0.9321475579402083,0.9536605272010832,1,2231706
Chr01_3033847_3052413,0.0203024992207793,0.400984654742155,0.674142495825456,0.8954345041273116,0.9356853127415982,1,3033847
Chr01_3052414_4229970,0.0910455901290632,0.617329075288928,0.110270287827522,0.9511806392051803,0.7175019403912412,1,3052414
Chr01_4229971_4235626,0.0813297844948785,0.671093900895981,0.0864488546643073,0.9534069697428579,0.7036907867756149,1,4229971
Chr01_4235627_5264100,0.183927928679331,0.733765990186842,0.0914631842815794,0.9620651521865992,0.7036907867756149,1,4235627
Chr01_5264101_5264149,0.123439923680238,0.671951050624819,0.0564877032482034,0.9534069697428579,0.7036907867756149,1,5264101
Chr01_5264150_5885231,0.0934165233490228,0.465559900997366,0.0378404495433036,0.9203871957740182,0.7036907867756149,1,5264150
Chr01_5885232_5886075,0.0903478165778005,0.55267235241102,0.0875457461561157,0.9432378255553426,0.7036907867756149,1,5885232
Chr01_5886076_6253003,0.0427192739132357,0.57327925220126,0.23526181075816,0.9450958185170066,0.8182811681041131,1,5886076
Chr01_6253004_6253851,0.0504665277700214,0.4985689780455,0.371059802261648,0.9321475579402083,0.9092381414197633,1,6253004
Chr01_6253852_6811196,0.0889910188180334,0.547361255708392,0.396297250366819,0.9432378255553426,0.9095763365815398,1,6253852
Chr01_6811197_6811650,0.16876988575745,0.353609706280055,0.18721158665403,0.8943166708450322,0.7555478694677823,1,6811197
Chr01_6811651_7107385,0.120469388671445,0.503117920137831,0.157395934902623,0.9325857894834252,0.7269146169789185,1,6811651
Chr01_7107386_7117068,0.258384865584787,0.629492759323493,0.0274286387632905,0.9531648595407147,0.7036907867756149,1,7107386
Chr01_7117069_8021093,0.332168506922704,0.566951638170599,0.0185531421182039,0.9450958185170066,0.7036907867756149,1,7117069
Chr01_8021094_8021338,0.506896222080225,0.66419119694788,0.106867539636642,0.9534069697428579,0.7159799839751227,1,8021094
Chr01_8021339_8546533,0.226456634139331,0.649427460445901,0.189083111673661,0.9531648595407147,0.7555478694677823,1,8021339
Chr01_8546534_8548055,0.0868648980172494,0.876451809979952,0.217825370505791,0.9814526865969503,0.7940021692922925,1,8546534
Chr01_8548056_9439189,0.0274724353350985,0.646187058991259,0.362092617362282,0.9531648595407147,0.9092381414197633,1,8548056
Chr01_9439190_9439923,0.154912382410404,0.847115293594172,0.132706816499853,0.9738577574583526,0.7177252728141696,1,9439190
Chr01_9439924_10127710,0.0663135373341392,0.92426853072831,0.224217031570307,0.9834484203192293,0.805675378366439,1,9439924
Chr01_10127711_10127775,0.0620923986546955,0.769980991864731,0.2168488092902,0.9620651521865992,0.7940021692922925,1,10127711
Chr01_10127776_10700451,0.064498688782078,0.523311953431255,0.130117660026839,0.9385735749455967,0.7177252728141696,1,10127776
