Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0630095160989414,0.905290026261313,0.763386481295329,0.144462027277359,0.660713782111587,0.9921820152152395,0.9609444043181046,0.4849155911736301,0.8441686917127031,1,1
Chr01_126238_809425,0.0942034779793993,0.939903461932729,0.79664363890136,0.207980665819327,0.692161343200991,0.9982069358244411,0.96180860299115,0.5722361550682739,0.86014210243869,1,126238
Chr01_809426_814269,0.0753238781474789,0.898214479370315,0.536142393748165,0.142383704541707,0.446913585333516,0.9921820152152395,0.9271787399855345,0.4849155911736301,0.7463856354850317,1,809426
Chr01_814270_1367747,0.0628717192224046,0.841876245105966,0.602866148302475,0.126286630552013,0.48790171947153,0.9874869963910419,0.9400988076051418,0.46901451804977934,0.7648189116040199,1,814270
Chr01_1367748_1367899,0.0266718895351078,0.367823390680867,0.465821890214915,0.073045981628784,0.396113687957729,0.907379015101712,0.906906123046625,0.4555810711565507,0.7416004473395515,1,1367748
Chr01_1367900_2042574,0.0263774910502846,0.392309893600854,0.479781401883451,0.0734695467925126,0.403717275803642,0.907379015101712,0.9073196931867196,0.4555810711565507,0.7426655450845323,1,1367900
Chr01_2042575_2043251,0.0248294997407562,0.285387806622692,0.450055412647389,0.0721425106514283,0.393039454433658,0.907379015101712,0.906906123046625,0.4555810711565507,0.7416004473395515,1,2042575
Chr01_2043252_2231677,0.0385888606894457,0.943366109573562,0.333983319583286,0.0972868052374801,0.343317138437974,0.9982069358244411,0.8684861903366209,0.46901451804977934,0.7411147751793111,1,2043252
Chr01_2231678_2231705,0.0398039082547429,0.780104049338956,0.468531777097391,0.115135821004714,0.426826550431236,0.9820049899964318,0.906906123046625,0.46901451804977934,0.7463856354850317,1,2231678
Chr01_2231706_3033846,0.039412731555239,0.745760718216647,0.47840946054796,0.11645682291319,0.433402010558206,0.97991605304009,0.906906123046625,0.46901451804977934,0.7463856354850317,1,2231706
Chr01_3033847_3052413,0.0129535344318207,0.598615343054609,0.424983027776012,0.0592252891039862,0.363146315193488,0.9416379896654377,0.887525313312268,0.4555810711565507,0.7411147751793111,1,3033847
Chr01_3052414_4229970,0.0116213838787787,0.945767773345614,0.504688837190074,0.0325367918869413,0.346553989918109,0.9982069358244411,0.9160513447632641,0.4555810711565507,0.7411147751793111,1,3052414
Chr01_4229971_4235626,0.0121885313093662,0.901367053886023,0.138735315149195,0.0334090770737463,0.0977027666122664,0.9921820152152395,0.8010536773366294,0.4555810711565507,0.7411147751793111,1,4229971
Chr01_4235627_5264100,0.011887527179681,0.94995428339316,0.11950837137799,0.0244256291587002,0.0838096295334957,0.9982069358244411,0.8010536773366294,0.4310405145652977,0.7411147751793111,1,4235627
