Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.110491843653629,0.817638432943984,0.496872238119089,0.9708826275278133,0.9604567875842299,1,1
Chr01_126238_809425,0.112598771135352,0.834123443422982,0.49097084889588,0.971294892401852,0.9604567875842299,1,126238
Chr01_809426_814269,0.189173404730834,0.797152305657106,0.393350957482594,0.9667390462270404,0.9531005508239472,1,809426
Chr01_814270_1367747,0.14867047481783,0.996039974939261,0.354927219151231,0.99892639212897,0.9333838314728277,1,814270
Chr01_1367748_1367899,0.0695553035803594,0.459576875972887,0.667918295786074,0.895130753742309,0.9604567875842299,1,1367748
Chr01_1367900_2042574,0.0509630195690731,0.476073281891451,0.638350262542292,0.895130753742309,0.9604567875842299,1,1367900
Chr01_2042575_2043251,0.0474366739945815,0.358450062540376,0.813129290690314,0.895130753742309,0.9764870887293989,1,2042575
Chr01_2043252_2231677,0.0637831104289942,0.972981584429099,0.666450361517951,0.9977189217480817,0.9604567875842299,1,2043252
Chr01_2231678_2231705,0.0547562587377387,0.632314020085466,0.863400343068404,0.9386922005604519,0.9764870887293989,1,2231678
Chr01_2231706_3033846,0.0508698783916594,0.605929493172107,0.842918348673378,0.93295001128265,0.9764870887293989,1,2231706
Chr01_3033847_3052413,0.0177095964744395,0.606460849348554,0.732603670604427,0.93295001128265,0.9668524769747029,1,3033847
Chr01_3052414_4229970,0.0824672554637631,0.847912018607463,0.123244660990248,0.9760987804261311,0.7324319097659535,1,3052414
Chr01_4229971_4235626,0.0617111115588759,0.921586555211045,0.106394029508184,0.983649183789547,0.7255298705262567,1,4229971
Chr01_4235627_5264100,0.12823831793622,0.930847021654369,0.0870643578729734,0.983649183789547,0.7159959883593321,1,4235627
Chr01_5264101_5264149,0.100943201168068,0.722420610632931,0.0721775783306386,0.9550652958276072,0.7159959883593321,1,5264101
Chr01_5264150_5885231,0.0655112068613503,0.590558860927189,0.0897583554627003,0.9292617370471945,0.7159959883593321,1,5264150
Chr01_5885232_5886075,0.0571280426485552,0.739235673982895,0.114122991186488,0.9573298575425734,0.7258841079870255,1,5885232
Chr01_5886076_6253003,0.0169734511757617,0.808163546866124,0.35128339559463,0.9708826275278133,0.9333838314728277,1,5886076
Chr01_6253004_6253851,0.0289500343719821,0.729544001796199,0.448696059430483,0.9572711507634427,0.9604567875842299,1,6253004
Chr01_6253852_6811196,0.0681097395774413,0.6939522374675,0.405774512715083,0.954856984975881,0.9531005508239472,1,6253852
Chr01_6811197_6811650,0.170189121257798,0.455864945604226,0.182770327516878,0.895130753742309,0.8061391555327846,1,6811197
Chr01_6811651_7107385,0.103593704653769,0.568334554657659,0.149969382723831,0.9260679799244089,0.7362072911540752,1,6811651
Chr01_7107386_7117068,0.24068039828209,0.594261111562155,0.0279547711637207,0.93295001128265,0.6902678110426419,1,7107386
Chr01_7117069_8021093,0.298269596333963,0.468549605265393,0.0230173625172942,0.895130753742309,0.6681567800690726,1,7117069
Chr01_8021094_8021338,0.496937403603456,0.581103899816168,0.0851435075696948,0.9267042455772134,0.7159959883593321,1,8021094
Chr01_8021339_8546533,0.226775022856937,0.597118328142978,0.152834913662534,0.93295001128265,0.7362072911540752,1,8021339
Chr01_8546534_8548055,0.0553695175853629,0.875699389814438,0.167821778041414,0.9801089715151151,0.7801922912409344,1,8546534
Chr01_8548056_9439189,0.0190928615264382,0.871462826762325,0.271370302535302,0.9801089715151151,0.905192690064105,1,8548056
Chr01_9439190_9439923,0.130071204218546,0.826315698080744,0.118173291262978,0.9710891874934702,0.7324319097659535,1,9439190
Chr01_9439924_10127710,0.0523543329123183,0.68499050593271,0.208739645664368,0.954856984975881,0.8238372080933869,1,9439924
Chr01_10127711_10127775,0.0429780613888306,0.927602262120522,0.194494034646013,0.983649183789547,0.8061391555327846,1,10127711
Chr01_10127776_10700451,0.0365772118845102,0.826000822031917,0.113604060732264,0.9710891874934702,0.7258841079870255,1,10127776
Chr01_10700452_10700489,0.0219124352543212,0.423298597652167,0.226608962888455,0.895130753742309,0.8556301724252341,1,10700452
Chr01_10700490_11189458,0.0265294681230322,0.75866555789516,0.381256624795893,0.9577383398943768,0.9436052204759071,1,10700490
Chr01_11189459_11289027,0.0139965869334933,0.924376173340594,0.775942600779185,0.983649183789547,0.9712028213208206,1,11189459
Chr01_11289028_11965532,0.0067439368434485,0.994120977494498,0.819251464097792,0.99892639212897,0.9764870887293989,1,11289028
Chr01_11965533_11966198,0.00372750871276042,0.716238590245678,0.734242152772851,0.954856984975881,0.9668524769747029,1,11965533
Chr01_11966199_12330339,0.0224168165226931,0.313766879374648,0.907293346432689,0.895130753742309,0.9806226652934684,1,11966199
Chr01_12330340_12330527,0.193352344632423,0.120258803283425,0.774855238799787,0.8402395639762,0.9712028213208206,1,12330340
Chr01_12330528_13051606,0.1891140067155,0.118281681099432,0.549837661287772,0.8402395639762,0.9604567875842299,1,12330528
Chr01_13051607_13052006,0.102815084445067,0.142815910637388,0.501554929281843,0.8482815089544522,0.9604567875842299,1,13051607
Chr01_13052007_13382483,0.0900434192510496,0.182274311098842,0.397940141359223,0.895130753742309,0.9531005508239472,1,13052007
Chr01_13382484_13382509,0.0863932012662748,0.114898838773863,0.443455727149758,0.8402395639762,0.9604567875842299,1,13382484
Chr01_13382510_13576339,0.0370883851826091,0.0851647408824361,0.427404597064981,0.8402395639762,0.9604567875842299,1,13382510
Chr01_13576340_13576350,0.0447956233735433,0.107454983524268,0.572530157543194,0.8402395639762,0.9604567875842299,1,13576340
Chr01_13576351_14061355,0.0559289467405462,0.130005913844708,0.706139488118239,0.8402395639762,0.9668524769747029,1,13576351
Chr01_14061356_14061634,0.0378035976909893,0.166648910583487,0.408372676893352,0.8821568742686603,0.9531005508239472,1,14061356
Chr01_14061635_14604721,0.0561019377045758,0.303562241861122,0.280004356725363,0.895130753742309,0.905192690064105,1,14061635
Chr01_14604722_14607157,0.0434605671591899,0.757395010889918,0.142067933248048,0.9577383398943768,0.7362072911540752,1,14604722
Chr01_14607158_15449572,0.0445941894312228,0.779189328246648,0.0480803169372391,0.9612039696856265,0.7159959883593321,1,14607158
Chr01_15449573_15456448,0.00977072512112627,0.986357619545204,0.032262178254384,0.99892639212897,0.7159959883593321,1,15449573
Chr01_15456449_16406535,0.0139754809029519,0.803946395228966,0.0545868046541448,0.9677504732568679,0.7159959883593321,1,15456449
Chr01_16406536_16454790,0.00521206386064068,0.518430159851379,0.083394733536951,0.9093774935097959,0.7159959883593321,1,16406536
Chr01_16454791_19216253,0.00501947000675588,0.479842180813511,0.0473020929558934,0.895130753742309,0.7159959883593321,1,16454791
Chr01_19216254_19216663,0.00388221021378378,0.308129493389236,0.0641684502824157,0.895130753742309,0.7159959883593321,1,19216254
Chr01_19216664_20661429,0.00921771562871177,0.800335032247698,0.227804044249106,0.9667390462270404,0.8556301724252341,1,19216664
Chr01_20661430_20662913,0.00908868409975285,0.89895216348469,0.207817413894928,0.9804003241019641,0.8238372080933869,1,20661430
Chr01_20662914_21251875,0.0200534929644324,0.608461930634166,0.401446627898702,0.93295001128265,0.9531005508239472,1,20662914
Chr01_21251876_21488109,0.105304120273192,0.86836468297638,0.19777479954296,0.9801089715151151,0.8083217919207076,1,21251876
Chr01_21488110_22523058,0.193176573508636,0.719861029171848,0.125533077046162,0.954856984975881,0.7324319097659535,1,21488110
Chr01_22523059_22523376,0.125560197090504,0.334431522490547,0.112851046421832,0.895130753742309,0.7258841079870255,1,22523059
Chr01_22523377_25610270,0.0763881175400776,0.310505444438706,0.273672552940641,0.895130753742309,0.905192690064105,1,22523377
Chr01_25610271_25623774,0.0606521643675606,0.370004588438556,0.193271586974702,0.895130753742309,0.8061391555327846,1,25610271
Chr01_25623775_25991881,0.0335408148507274,0.472717946184577,0.2310395752896,0.895130753742309,0.8556301724252341,1,25623775
Chr01_25991882_26001088,0.0536783032048486,0.284865516105238,0.162458630628741,0.895130753742309,0.7594546664829008,1,25991882
Chr01_26001089_26286066,0.0428432075374764,0.246017897889319,0.111134844316744,0.895130753742309,0.7258841079870255,1,26001089
