Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.511752256148783,0.56471384915829,0.97046383750599,0.776372342132496,0.862792325553025,0.8958480877137397,0.9917457993983743,0.986425738575464,0.9131694595246042,1,1
Chr01_126238_809425,0.492622837398051,0.56283844973162,0.96966952052435,0.769298545850476,0.862557488599009,0.8958480877137397,0.9917457993983743,0.986425738575464,0.9131694595246042,1,126238
Chr01_809426_814269,0.643548806205705,0.624850788798494,0.765159478392439,0.836863502749786,0.945267817593576,0.9137360105328449,0.9358489603568488,0.986425738575464,0.9616733707376758,1,809426
Chr01_814270_1367747,0.612015552164947,0.813022286329927,0.53275224366558,0.806265920539019,0.71841173176259,0.9641991249937728,0.8857829832314233,0.986425738575464,0.8808778570976507,1,814270
Chr01_1367748_1367899,0.591879960019437,0.658260920569817,0.506980715607114,0.777747459868871,0.7014038540934,0.9260706732915313,0.8817474291215787,0.986425738575464,0.880782673405331,1,1367748
Chr01_1367900_2042574,0.606761752977565,0.81212576555132,0.457166995995735,0.801735117271772,0.666324592627189,0.9641991249937728,0.8632388571448879,0.986425738575464,0.8644551137092871,1,1367900
Chr01_2042575_2043251,0.609566872530376,0.796973542296536,0.496341713601321,0.775245502606152,0.704982559736369,0.9631163208579714,0.8770221471524259,0.986425738575464,0.880782673405331,1,2042575
Chr01_2043252_2231677,0.676896348906065,0.630512927466907,0.592098034136285,0.883348804155409,0.734891713368054,0.915812894646503,0.9000436281404988,0.9929280359133852,0.8808778570976507,1,2043252
Chr01_2231678_2231705,0.711302771931815,0.481936798913093,0.494192827036417,0.926832438447045,0.671311461370654,0.8685138197876061,0.8770221471524259,0.9965998893002845,0.8644551137092871,1,2231678
Chr01_2231706_3033846,0.709719268836374,0.478382602382671,0.491810972164118,0.926129843791327,0.66978665857038,0.8685138197876061,0.8770221471524259,0.9965998893002845,0.8644551137092871,1,2231706
Chr01_3033847_3052413,0.587028878311379,0.308462664938531,0.459771208221958,0.842775032711994,0.665627440437505,0.8375809140939462,0.8648521445873039,0.9893446036184279,0.8644551137092871,1,3033847
Chr01_3052414_4229970,0.518745923766065,0.402433534583682,0.416505436336932,0.757002746353649,0.65575226648091,0.8375809140939462,0.8372452206474198,0.986425738575464,0.8644551137092871,1,3052414
Chr01_4229971_4235626,0.513060528357538,0.456148979116582,0.731108782058694,0.725504295570411,0.565523131638306,0.8576662490773198,0.9358485504388186,0.986425738575464,0.8424334305444613,1,4229971
Chr01_4235627_5264100,0.472004157417441,0.664922990252526,0.637339661043094,0.606342493811188,0.492374794775638,0.9260706732915313,0.9291678333046142,0.9655889310285259,0.8370371511185846,1,4235627
Chr01_5264101_5264149,0.487535779179951,0.925778163175294,0.757408140613018,0.678865639760749,0.588731544397681,0.9800753065568845,0.9358489603568488,0.9857813659719111,0.8424334305444613,1,5264101
Chr01_5264150_5885231,0.54005586764327,0.726618233262618,0.836975581556546,0.798240850211522,0.668355179998014,0.9452468237573458,0.9629719056618327,0.986425738575464,0.8644551137092871,1,5264150
Chr01_5885232_5886075,0.966113361957895,0.599792063493891,0.0462780646938522,0.819159016531428,"NA",0.9031966969677896,0.5787763155867489,0.986425738575464,NA,1,5885232
Chr01_5886076_6253003,0.951534568624107,0.726045669346093,0.153552756588263,0.817643482341136,"NA",0.9452468237573458,0.7993043491594447,0.986425738575464,NA,1,5886076
Chr01_6253004_6253851,0.961688211576264,0.648185205412807,0.348376409442676,0.781385479984217,"NA",0.9237809748957275,0.8362694565773876,0.986425738575464,NA,1,6253004
Chr01_6253852_6811196,0.953161376928243,0.7245451934549,0.392927849535966,0.804997648347455,"NA",0.9452468237573458,0.8372452206474198,0.986425738575464,NA,1,6253852
Chr01_6811197_6811650,0.99059650965499,0.412706658651455,0.155364960949359,0.814289625096721,"NA",0.8375809140939462,0.8000880074557899,0.986425738575464,NA,1,6811197
Chr01_6811651_7107385,0.967055308988179,0.557065250882912,0.0890823207414566,0.876927106033591,"NA",0.8940892268574723,0.756806164701476,0.9929280359133852,NA,1,6811651
Chr01_7107386_7117068,0.940185529400278,0.835514507168745,0.0295590310524131,0.959535101923208,"NA",0.9641991249937728,0.4518309032297431,0.998972766721939,NA,1,7107386
Chr01_7117069_8021093,0.448611894544013,0.647095150666943,0.0216002955216493,0.511762008377884,"NA",0.9237809748957275,0.4458179230306334,0.9412962019011771,NA,1,7117069
Chr01_8021094_8021338,0.340019016314686,0.635884413491876,0.112178113705213,0.379592252388481,"NA",0.9167016320249649,0.7771350311459936,0.832405345339207,NA,1,8021094
Chr01_8021339_8546533,0.0117959763175512,0.663208566324752,0.232934460318272,0.0210603105593895,"NA",0.9260706732915313,0.8310536091431414,0.10280287188312162,NA,1,8021339
Chr01_8546534_8548055,0.0164187104499017,0.288800570206339,0.409137324637706,0.0348354596275997,"NA",0.8191485787439451,0.8372452206474198,0.15278089907739156,NA,1,8546534
Chr01_8548056_9439189,0.0142197075651857,0.218984866171657,0.40020621616053,0.0327064200757225,"NA",0.7807796956453242,0.8372452206474198,0.14417523951747058,NA,1,8548056
Chr01_9439190_9439923,0.0402848080837044,0.11132069760015,0.155209266625914,0.0649683601100507,"NA",0.7509726792384133,0.8000880074557899,0.2660315788392597,NA,1,9439190
Chr01_9439924_10127710,0.0348610985847679,0.0885579080360825,0.283450228700603,0.0573641845511738,"NA",0.7509726792384133,0.8310536091431414,0.23828199736641426,NA,1,9439924
Chr01_10127711_10127775,0.0354531423120362,0.084326713561521,0.415023979629836,0.0596643808804153,"NA",0.7509726792384133,0.8372452206474198,0.24665083770659724,NA,1,10127711
Chr01_10127776_10700451,0.0188004409737236,0.0255918351651118,0.268023358577505,0.0288408548684034,"NA",0.7509726792384133,0.8310536091431414,0.1287430808908035,NA,1,10127776
Chr01_10700452_10700489,0.0579659725151464,0.0790693662587186,0.276269023255691,0.0952356274566717,"NA",0.7509726792384133,0.8310536091431414,0.3500271453945905,NA,1,10700452
Chr01_10700490_11189458,0.0649887464127421,0.0664700943187068,0.536086896005066,0.104109075473199,"NA",0.7509726792384133,0.8857829832314233,0.37662198411454795,NA,1,10700490
Chr01_11189459_11289027,0.000785441845547373,0.0893884986895587,0.874577229153976,0.00124750179264482,"NA",0.7509726792384133,0.9752557717099644,0.02043619425522944,NA,1,11189459
Chr01_11289028_11965532,0.00547039321709877,0.094143961555407,0.886359302418529,0.00958778192292011,"NA",0.7509726792384133,0.9777365500905424,0.06560096599687774,NA,1,11289028
Chr01_11965533_11966198,0.00456975207716109,0.0913757736046969,0.925757530248607,0.00740824614173734,"NA",0.7509726792384133,0.985526555323589,0.05981985669589777,NA,1,11965533
Chr01_11966199_12330339,0.00690431956084337,0.0353817350805932,0.878287273851217,0.0118238533992276,"NA",0.7509726792384133,0.9776242246672758,0.07240242084857118,NA,1,11966199
Chr01_12330340_12330527,0.00668049586227269,0.0203902816294043,0.912671921006156,0.00965974494263335,"NA",0.7509726792384133,0.982014592099361,0.06560096599687774,NA,1,12330340
Chr01_12330528_13051606,0.00870458377704936,0.0148275831129033,0.983910233235333,0.0131275946323075,"NA",0.7509726792384133,0.9952789439134723,0.07611860262233563,NA,1,12330528
Chr01_13051607_13052006,0.000968423759751029,0.0216585107660705,0.909496070996568,0.00147794229327499,"NA",0.7509726792384133,0.9807891560690875,0.020458992677630312,NA,1,13051607
Chr01_13052007_13382483,0.000821532363100758,0.0243921784309937,0.855978610524482,0.00127280191556306,"NA",0.7509726792384133,0.9663627220809803,0.02043619425522944,NA,1,13052007
