Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.537878120781161,0.767329146784512,0.50859846039903,0.9558847937972172,0.9500430580521746,1,1
Chr01_126238_809425,0.706801105938081,0.752708585138052,0.5102070786412,0.9558847937972172,0.9500430580521746,1,126238
Chr01_809426_814269,0.634451086978809,0.798155821956145,0.481704523320563,0.9625397267273111,0.9490977996816665,1,809426
Chr01_814270_1367747,0.669154531817151,0.581205577361503,0.49439151242154,0.9184728561312181,0.9490977996816665,1,814270
Chr01_1367748_1367899,0.492320065612711,0.230981606805326,0.778130114878392,0.9154689821425898,0.9837244651605161,1,1367748
Chr01_1367900_2042574,0.499089689910236,0.234235269747627,0.771092540111734,0.9154689821425898,0.9837244651605161,1,1367900
Chr01_2042575_2043251,0.474568690512681,0.143969400806533,0.99066874110056,0.8748675529732031,0.997194823464434,1,2042575
Chr01_2043252_2231677,0.489992455780114,0.614615027516584,0.524328394122891,0.9339865567539306,0.9576186074321941,1,2043252
Chr01_2231678_2231705,0.566898081494065,0.961640706220199,0.954040488971192,0.9942444210982521,0.9916427703598212,1,2231678
Chr01_2231706_3033846,0.566362681995722,0.975875073868615,0.964544682416016,0.9942444210982521,0.9932382313208403,1,2231706
Chr01_3033847_3052413,0.41290284107219,0.994124775287092,0.953267354093124,0.9968763695556063,0.9916427703598212,1,3033847
Chr01_3052414_4229970,0.512368955080252,0.648070608066964,0.184538146986633,0.9339865567539306,0.7984823667690851,1,3052414
Chr01_4229971_4235626,0.359652964445608,0.653803474614242,0.14344131717912,0.9339865567539306,0.7776938883205302,1,4229971
Chr01_4235627_5264100,0.376622209812027,0.511060942664589,0.154332754629802,0.9162548500122966,0.7909565737910838,1,4235627
Chr01_5264101_5264149,0.420634744087905,0.747743881313088,0.120457991764714,0.9558847937972172,0.7343521424514303,1,5264101
Chr01_5264150_5885231,0.410492225464667,0.800987183529754,0.183457399389034,0.9625397267273111,0.7984823667690851,1,5264150
Chr01_5885232_5886075,0.558347667502365,0.620821196980296,0.222886920470074,0.9339865567539306,0.8464060271015468,1,5885232
Chr01_5886076_6253003,0.547672453288598,0.660854482299214,0.526064636624145,0.9339865567539306,0.9576186074321941,1,5886076
Chr01_6253004_6253851,0.559940885033582,0.742913785800812,0.596924954299909,0.9558847937972172,0.9576186074321941,1,6253004
Chr01_6253852_6811196,0.570586737475699,0.709787813657095,0.605570581400596,0.9477878817379606,0.9576186074321941,1,6253852
Chr01_6811197_6811650,0.591602515676867,0.915803586994689,0.273323457795655,0.9802283199858011,0.9097182497723294,1,6811197
Chr01_6811651_7107385,0.568566570843199,0.930225953057753,0.240889607228411,0.9872681105565775,0.8777354109537243,1,6811651
Chr01_7107386_7117068,0.568462558355093,0.923620343350732,0.0590355626841382,0.9830284275782797,0.6593011119100486,1,7107386
Chr01_7117069_8021093,0.556693290409451,0.824721847678164,0.0422672799794317,0.9625397267273111,0.6593011119100486,1,7117069
Chr01_8021094_8021338,0.724357881191543,0.86737204250978,0.130371200900674,0.9754834395130141,0.7538704997165484,1,8021094
Chr01_8021339_8546533,0.544543353239183,0.833187431891247,0.199685645819103,0.9625397267273111,0.8287959971530825,1,8021339
Chr01_8546534_8548055,0.555993478084866,0.320730184936904,0.186700342126571,0.9154689821425898,0.8019454301573418,1,8546534
Chr01_8548056_9439189,0.532480341970605,0.341441612732632,0.28551370093007,0.9154689821425898,0.9124621377686937,1,8548056
Chr01_9439190_9439923,0.542533782455727,0.700787725903768,0.114269521988414,0.9462645493007258,0.7297350650204,1,9439190
Chr01_9439924_10127710,0.509856395403982,0.950419102524523,0.172792595803724,0.9905742447633741,0.7980317766743481,1,9439924
Chr01_10127711_10127775,0.499544977056883,0.695318061876067,0.13418531566653,0.9452964587438978,0.756565669408092,1,10127711
Chr01_10127776_10700451,0.493711922856086,0.438251642005639,0.0750368945141048,0.9162548500122966,0.6696038690721552,1,10127776
Chr01_10700452_10700489,0.615304031869491,0.243971712086091,0.169334529223537,0.9154689821425898,0.7980317766743481,1,10700452
Chr01_10700490_11189458,0.645688371751159,0.54442796505193,0.305670694135007,0.9184728561312181,0.9200790124465095,1,10700490
Chr01_11189459_11289027,0.574458834010027,0.974026939906364,0.620731924296958,0.9942444210982521,0.9576186074321941,1,11189459
Chr01_11289028_11965532,0.51957471913613,0.939471754832731,0.990632380069036,0.9894687268454031,0.997194823464434,1,11289028
Chr01_11965533_11966198,0.512436821080514,0.723573836846155,0.581740816990506,0.9548628345477118,0.9576186074321941,1,11965533
Chr01_11966199_12330339,0.551811106032833,0.351793093675425,0.7991241569955,0.9154689821425898,0.9837244651605161,1,11966199
