Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.379974219345444,0.936061693748429,0.300281241511735,0.9981116856211206,0.9982726146994784,1,1
Chr01_126238_809425,0.365345465135039,0.92010447163227,0.300265084810547,0.9981116856211206,0.9982726146994784,1,126238
Chr01_809426_814269,0.686198067674608,0.820478835927837,0.184390849665437,0.992746693367869,0.9890474978644291,1,809426
Chr01_814270_1367747,0.625616424316885,0.998969137719189,0.163821956193373,0.999723320429609,0.9890474978644291,1,814270
Chr01_1367748_1367899,0.401909289008378,0.758035286653717,0.198672992041713,0.992746693367869,0.9890474978644291,1,1367748
Chr01_1367900_2042574,0.347564527026844,0.714762840171243,0.194255510707637,0.9912155411690005,0.9890474978644291,1,1367900
Chr01_2042575_2043251,0.537414902131097,0.687315355876472,0.251393177764373,0.9912155411690005,0.9982726146994784,1,2042575
Chr01_2043252_2231677,0.460109605891316,0.989259711231102,0.520858749587496,0.9981116856211206,0.9982726146994784,1,2043252
Chr01_2231678_2231705,0.380600913988628,0.735733362192799,0.435785546633298,0.992746693367869,0.9982726146994784,1,2231678
Chr01_2231706_3033846,0.362381564423107,0.699279171461428,0.413327141403443,0.9912155411690005,0.9982726146994784,1,2231706
Chr01_3033847_3052413,0.340493519722613,0.321579707446865,0.257547183377899,0.9912155411690005,0.9982726146994784,1,3033847
Chr01_3052414_4229970,0.523571130172997,0.580359845356064,0.12049282363373,0.9912155411690005,0.8851155165118154,1,3052414
Chr01_4229971_4235626,0.659349954652162,0.684850079703002,0.185049754853196,0.9912155411690005,0.9890474978644291,1,4229971
Chr01_4235627_5264100,0.44299355926316,0.718511166072703,0.0624387482771045,0.9912155411690005,0.742327340627798,1,4235627
Chr01_5264101_5264149,0.576204481237665,0.69786579398713,0.0512005114025269,0.9912155411690005,0.6843320035205223,1,5264101
Chr01_5264150_5885231,0.690047113358972,0.32174029626168,0.0143101679912329,0.9912155411690005,0.5103959916873068,1,5264150
Chr01_5885232_5886075,0.48250845335143,0.20088020079684,0.0691324289749001,0.9912155411690005,0.7741224314282418,1,5885232
Chr01_5886076_6253003,0.341009273041116,0.167569934733104,0.129175220511037,0.9912155411690005,0.9039028081174323,1,5886076
Chr01_6253004_6253851,0.247572964905271,0.17471979207091,0.19006162580553,0.9912155411690005,0.9890474978644291,1,6253004
Chr01_6253852_6811196,0.331951883764477,0.13726649661417,0.143399051440322,0.9912155411690005,0.9377845759866289,1,6253852
Chr01_6811197_6811650,0.485072894974102,0.182730656521681,0.194982187025202,0.9912155411690005,0.9890474978644291,1,6811197
Chr01_6811651_7107385,0.764525929364139,0.134072425749324,0.254909636152744,0.9912155411690005,0.9982726146994784,1,6811651
Chr01_7107386_7117068,0.707491174431601,0.198255655466487,0.108759882099993,0.9912155411690005,0.8584898890351907,1,7107386
Chr01_7117069_8021093,0.671024053247992,0.164611888003946,0.216754978858685,0.9912155411690005,0.9982726146994784,1,7117069
Chr01_8021094_8021338,0.890008692946097,0.231185742391052,0.565208561299578,0.9912155411690005,0.9982726146994784,1,8021094
Chr01_8021339_8546533,0.496879468175762,0.106744466239238,0.763888032781341,0.9524668867007083,0.9982726146994784,1,8021339
Chr01_8546534_8548055,0.0848256638792115,0.194160344724754,0.825333185450269,0.9912155411690005,0.9982726146994784,1,8546534
Chr01_8548056_9439189,0.141582160087065,0.358875190322314,0.335224821597311,0.9912155411690005,0.9982726146994784,1,8548056
Chr01_9439190_9439923,0.209877237310369,0.40657447041826,0.397401060596266,0.9912155411690005,0.9982726146994784,1,9439190
Chr01_9439924_10127710,0.582018665970253,0.63333525093074,0.342441145895204,0.9912155411690005,0.9982726146994784,1,9439924
Chr01_10127711_10127775,0.677860028178824,0.647169918682662,0.207725570352077,0.9912155411690005,0.9982726146994784,1,10127711
Chr01_10127776_10700451,0.917657708203141,0.765030774762285,0.191216825879116,0.992746693367869,0.9890474978644291,1,10127776
Chr01_10700452_10700489,0.737792873024082,0.9084693520405,0.266778099142737,0.9981116856211206,0.9982726146994784,1,10700452
Chr01_10700490_11189458,0.6830076117184,0.902436244310465,0.351207025748008,0.9980060628820245,0.9982726146994784,1,10700490
Chr01_11189459_11289027,0.451472082614374,0.709835438978611,0.265130525215311,0.9912155411690005,0.9982726146994784,1,11189459
Chr01_11289028_11965532,0.424825403456866,0.537290375333322,0.242381874564729,0.9912155411690005,0.9982726146994784,1,11289028
Chr01_11965533_11966198,0.243073915777334,0.395283473392519,0.228365969214008,0.9912155411690005,0.9982726146994784,1,11965533
Chr01_11966199_12330339,0.329575303515069,0.383454332601565,0.829117933813081,0.9912155411690005,0.9982726146994784,1,11966199
Chr01_12330340_12330527,0.386772168844901,0.217164681608823,0.7097133575353,0.9912155411690005,0.9982726146994784,1,12330340
Chr01_12330528_13051606,0.539804274081478,0.327194757585054,0.777414216446683,0.9912155411690005,0.9982726146994784,1,12330528
Chr01_13051607_13052006,0.571921716414632,0.348717907015471,0.360818274219901,0.9912155411690005,0.9982726146994784,1,13051607
Chr01_13052007_13382483,0.413576682054164,0.347270676809372,0.676620481686503,0.9912155411690005,0.9982726146994784,1,13052007
Chr01_13382484_13382509,0.390401228454045,0.250384156921522,0.516910649772975,0.9912155411690005,0.9982726146994784,1,13382484
Chr01_13382510_13576339,0.193282660654958,0.175907158806037,0.588030819879523,0.9912155411690005,0.9982726146994784,1,13382510
