Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.329577255244248,0.290798265952453,0.9336592462199905,1,1
Chr01_126238_809425,0.329577255244248,0.290798265952453,0.9336592462199905,1,126238
Chr01_809426_814269,0.332906916325831,0.306675458796727,0.9336592462199905,1,809426
Chr01_814270_1367747,0.388650259974072,0.357879931755238,0.9336592462199905,1,814270
Chr01_1367748_1367899,0.168101442994521,0.645367042993295,0.9343291194598997,1,1367748
Chr01_1367900_2042574,0.247355650997536,0.465897044376483,0.9343291194598997,1,1367900
Chr01_2042575_2043251,0.305694971715933,0.533094953923159,0.9343291194598997,1,2042575
Chr01_2043252_2231677,0.281025049958465,0.975633374130921,0.9954604928639932,1,2043252
Chr01_2231678_2231705,0.390385970435056,0.494734043081518,0.9343291194598997,1,2231678
Chr01_2231706_3033846,0.36494001520251,0.465999299051357,0.9343291194598997,1,2231706
Chr01_3033847_3052413,0.208749258987763,0.412898404593895,0.9336592462199905,1,3033847
Chr01_3052414_4229970,0.398124561415471,0.0823088640900357,0.8254838298472211,1,3052414
Chr01_4229971_4235626,0.346342603847662,0.113566459485468,0.870774192501796,1,4229971
Chr01_4235627_5264100,0.485595214113958,0.0482770220494724,0.7830696627346625,1,4235627
Chr01_5264101_5264149,0.446843160089564,0.0523889215984432,0.7895928906848161,1,5264101
Chr01_5264150_5885231,0.405765313738201,0.0578738140073802,0.8072917381307618,1,5264150
Chr01_5885232_5886075,0.369017749277801,0.0410280832130127,0.7648052946806737,1,5885232
Chr01_5886076_6253003,0.271019865794211,0.104308884359753,0.870774192501796,1,5886076
Chr01_6253004_6253851,0.359424193486743,0.155694833661266,0.9208735251899697,1,6253004
Chr01_6253852_6811196,0.45588104665703,0.0895856392920806,0.8254838298472211,1,6253852
Chr01_6811197_6811650,0.532740674614992,0.0563649658455036,0.8072917381307618,1,6811197
Chr01_6811651_7107385,0.403812612296375,0.0758722209180889,0.8254838298472211,1,6811651
Chr01_7107386_7117068,0.984750566575055,0.0113264535157,0.6399570607300256,1,7107386
Chr01_7117069_8021093,0.911254353886013,0.00960965122981171,0.6261276466333193,1,7117069
Chr01_8021094_8021338,0.876002514488298,0.0244643852320431,0.6399570607300256,1,8021094
Chr01_8021339_8546533,0.561783989094968,0.0407913653856286,0.7648052946806737,1,8021339
Chr01_8546534_8548055,0.458461757565846,0.0714236326670556,0.8229048282871458,1,8546534
Chr01_8548056_9439189,0.490344565761324,0.186624528695063,0.9284499293715922,1,8548056
Chr01_9439190_9439923,0.56325206232699,0.0443080899038334,0.7648052946806737,1,9439190
