Marker,Intercept,Dosage,Dos_P_adj,CHR,BP
Chr01_1_126237,0.0556280885368793,0.170809292557864,0.58407567417535,1,1
Chr01_126238_809425,0.0765286148639128,0.232406591538793,0.5999607580134001,1,126238
Chr01_809426_814269,0.0765286148639128,0.232406591538793,0.5999607580134001,1,809426
Chr01_814270_1367747,0.0765286148639128,0.232406591538793,0.5999607580134001,1,814270
Chr01_1367748_1367899,0.0556280885368793,0.170809292557864,0.58407567417535,1,1367748
Chr01_1367900_2042574,0.0556280885368793,0.170809292557864,0.58407567417535,1,1367900
Chr01_2042575_2043251,0.0556280885368793,0.170809292557864,0.58407567417535,1,2042575
Chr01_2043252_2231677,0.0556280885368793,0.170809292557864,0.58407567417535,1,2043252
Chr01_2231678_2231705,0.0556280885368793,0.170809292557864,0.58407567417535,1,2231678
Chr01_2231706_3033846,0.0556280885368793,0.170809292557864,0.58407567417535,1,2231706
Chr01_3033847_3052413,0.0385764533061261,0.119325308917469,0.58407567417535,1,3033847
Chr01_3052414_4229970,0.0348334962966979,0.115231605683694,0.58407567417535,1,3052414
Chr01_4229971_4235626,0.081056632757766,0.214327396205854,0.5954262617998497,1,4229971
Chr01_4235627_5264100,0.081056632757766,0.214327396205854,0.5954262617998497,1,4235627
Chr01_5264101_5264149,0.129795807694549,0.284696516490383,0.6351731191417391,1,5264101
Chr01_5264150_5885231,0.129795807694549,0.284696516490383,0.6351731191417391,1,5264150
Chr01_5885232_5886075,0.0758216328205683,0.157557055263344,0.58407567417535,1,5885232
Chr01_5886076_6253003,0.0758216328205683,0.157557055263344,0.58407567417535,1,5886076
Chr01_6253004_6253851,0.0758216328205683,0.157557055263344,0.58407567417535,1,6253004
Chr01_6253852_6811196,0.0758216328205683,0.157557055263344,0.58407567417535,1,6253852
Chr01_6811197_6811650,0.0758216328205683,0.157557055263344,0.58407567417535,1,6811197
Chr01_6811651_7107385,0.0758216328205683,0.157557055263344,0.58407567417535,1,6811651
Chr01_7107386_7117068,0.0758216328205683,0.157557055263344,0.58407567417535,1,7107386
Chr01_7117069_8021093,0.032047752589522,0.0800843274795173,0.58407567417535,1,7117069
Chr01_8021094_8021338,0.0714493929726089,0.149581119299521,0.58407567417535,1,8021094
Chr01_8021339_8546533,0.0113739751475216,0.031804149938965,0.5645705581509755,1,8021339
Chr01_8546534_8548055,0.027418915536743,0.0640522842257632,0.58407567417535,1,8546534
Chr01_8548056_9439189,0.027418915536743,0.0640522842257632,0.58407567417535,1,8548056
Chr01_9439190_9439923,0.027418915536743,0.0640522842257632,0.58407567417535,1,9439190
Chr01_9439924_10127710,0.027418915536743,0.0640522842257632,0.58407567417535,1,9439924
Chr01_10127711_10127775,0.027418915536743,0.0640522842257632,0.58407567417535,1,10127711
