Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.0761418173270494,0.68759850220193,0.9413902240447023,1,1
Chr01_126238_809425,0.0761418173270494,0.68759850220193,0.9413902240447023,1,126238
Chr01_809426_814269,0.0761418173270494,0.68759850220193,0.9413902240447023,1,809426
Chr01_814270_1367747,0.0761418173270494,0.68759850220193,0.9413902240447023,1,814270
Chr01_1367748_1367899,0.0761418173270494,0.68759850220193,0.9413902240447023,1,1367748
Chr01_1367900_2042574,0.0761418173270494,0.68759850220193,0.9413902240447023,1,1367900
Chr01_2042575_2043251,0.0761418173270494,0.68759850220193,0.9413902240447023,1,2042575
Chr01_2043252_2231677,0.0761418173270494,0.68759850220193,0.9413902240447023,1,2043252
Chr01_2231678_2231705,0.0761418173270494,0.68759850220193,0.9413902240447023,1,2231678
Chr01_2231706_3033846,0.0761418173270494,0.68759850220193,0.9413902240447023,1,2231706
Chr01_3033847_3052413,0.0761418173270494,0.68759850220193,0.9413902240447023,1,3033847
Chr01_3052414_4229970,0.0761418173270494,0.68759850220193,0.9413902240447023,1,3052414
Chr01_4229971_4235626,0.0761418173270494,0.68759850220193,0.9413902240447023,1,4229971
Chr01_4235627_5264100,0.0878779294729839,0.638210195197636,0.9284158729125037,1,4235627
Chr01_5264101_5264149,0.0291970432548605,0.557859906979011,0.9284158729125037,1,5264101
Chr01_5264150_5885231,0.0308322488766619,0.562348636540205,0.9284158729125037,1,5264150
Chr01_5885232_5886075,0.0339047391813058,0.635830839709995,0.9284158729125037,1,5885232
Chr01_5886076_6253003,0.0330844720986264,0.775330648735338,0.9450063139566365,1,5886076
Chr01_6253004_6253851,0.0344351628485599,0.799848604289316,0.9450063139566365,1,6253004
Chr01_6253852_6811196,0.0452027273724149,0.644543062290795,0.9284158729125037,1,6253852
Chr01_6811197_6811650,0.0473538300626428,0.793365302907317,0.9450063139566365,1,6811197
Chr01_6811651_7107385,0.0474565687822523,0.786011417272573,0.9450063139566365,1,6811651
Chr01_7107386_7117068,0.0363723406891989,0.635687779080612,0.9284158729125037,1,7107386
Chr01_7117069_8021093,0.141229428533302,0.789639101445263,0.9450063139566365,1,7117069
Chr01_8021094_8021338,0.106115472721198,0.694615236187524,0.9427200290077146,1,8021094
Chr01_8021339_8546533,0.106115472721198,0.694615236187524,0.9427200290077146,1,8021339
Chr01_8546534_8548055,0.0383335386434644,0.610184917686752,0.9284158729125037,1,8546534
Chr01_8548056_9439189,0.011757427622621,0.579221543882217,0.9284158729125037,1,8548056
Chr01_9439190_9439923,0.0365586769993523,0.967181681720747,0.984673265326335,1,9439190
Chr01_9439924_10127710,0.0354435615489896,0.923900733677485,0.9690477142021415,1,9439924
Chr01_10127711_10127775,0.0354435615489896,0.923900733677485,0.9690477142021415,1,10127711
Chr01_10127776_10700451,0.0341912175931177,0.877537405210219,0.952205140806272,1,10127776
Chr01_10700452_10700489,0.0395847452020346,0.809572669197943,0.9468447631583258,1,10700452
Chr01_10700490_11189458,0.0356647961851723,0.749113633662291,0.9427200290077146,1,10700490
Chr01_11189459_11289027,0.040525840337643,0.795832687516155,0.9450063139566365,1,11189459
Chr01_11289028_11965532,0.0168560662796278,0.596624744633121,0.9284158729125037,1,11289028
Chr01_11965533_11966198,0.0175891979090124,0.469635783858771,0.9266833920677193,1,11965533
Chr01_11966199_12330339,0.0668791945829121,0.448055650511347,0.9236565808250738,1,11966199
Chr01_12330340_12330527,0.150324429921098,0.279233396776346,0.9236565808250738,1,12330340
Chr01_12330528_13051606,0.134538166328309,0.163590074901602,0.9236565808250738,1,12330528
Chr01_13051607_13052006,0.0343835060097116,0.202458179289184,0.9236565808250738,1,13051607
Chr01_13052007_13382483,0.0454054304474414,0.245982947445718,0.9236565808250738,1,13052007
Chr01_13382484_13382509,0.04382927155651,0.170001482434447,0.9236565808250738,1,13382484
Chr01_13382510_13576339,0.0298833067251896,0.127803579975783,0.9236565808250738,1,13382510
Chr01_13576340_13576350,0.0357746068601007,0.150556584277334,0.9236565808250738,1,13576340
Chr01_13576351_14061355,0.0544888798947939,0.217785944857102,0.9236565808250738,1,13576351
Chr01_14061356_14061634,0.0756790268059918,0.262539834696008,0.9236565808250738,1,14061356
Chr01_14061635_14604721,0.0897940449243392,0.360916584469822,0.9236565808250738,1,14061635
Chr01_14604722_14607157,0.0537767970878589,0.615441448960078,0.9284158729125037,1,14604722
Chr01_14607158_15449572,0.0440744631854529,0.73753318464422,0.9427200290077146,1,14607158
Chr01_15449573_15456448,0.0308864418375651,0.825273631699365,0.952205140806272,1,15449573
Chr01_15456449_16406535,0.0274791252757108,0.883054176084608,0.952205140806272,1,15456449
Chr01_16406536_16454790,0.0362372844512128,0.939765761211968,0.970178892642776,1,16406536
Chr01_16454791_19216253,0.0186311203967642,0.766216656507591,0.9427200290077146,1,16454791
Chr01_19216254_19216663,0.0186311203967642,0.766216656507591,0.9427200290077146,1,19216254
Chr01_19216664_20661429,0.0193227232791047,0.957067025595502,0.9806350572750486,1,19216664
Chr01_20661430_20662913,0.0280337547762886,0.754138064655064,0.9427200290077146,1,20661430
Chr01_20662914_21251875,0.0397722313805735,0.587403450470428,0.9284158729125037,1,20662914
Chr01_21251876_21488109,0.0503536505563784,0.834133411606474,0.952205140806272,1,21251876
Chr01_21488110_22523058,0.0487646308898944,0.9695385557673,0.9860238021990501,1,21488110
Chr01_22523059_22523376,0.0362704681297904,0.95122168667989,0.9767372898633634,1,22523059
Chr01_22523377_25610270,0.101788012118031,0.828870500613865,0.952205140806272,1,22523377
Chr01_25610271_25623774,0.0356091573731813,0.729785008704789,0.9427200290077146,1,25610271
Chr01_25623775_25991881,0.0390380044053312,0.719883936954176,0.9427200290077146,1,25623775
Chr01_25991882_26001088,0.0473021400139907,0.660992792465889,0.9329942513124717,1,25991882
Chr01_26001089_26286066,0.044479722317546,0.654345877451389,0.9284158729125037,1,26001089
Chr01_26286067_26293474,0.044479722317546,0.654345877451389,0.9284158729125037,1,26286067
