Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.778377333876604,0.335533134328223,0.690947157108597,0.7224674515189599,0.9677104304863234,1,1
Chr01_126238_809425,0.762780687438672,0.340155778006267,0.692912610480315,0.7239191586954339,0.9677104304863234,1,126238
Chr01_809426_814269,0.937777018517368,0.460248520225578,0.46685815759802,0.7807216809271821,0.9372716975015415,1,809426
Chr01_814270_1367747,0.943817584682711,0.279741592632035,0.447625218200653,0.7186398697742039,0.9372716975015415,1,814270
Chr01_1367748_1367899,0.442319548350073,0.17702605219345,0.20931588983167,0.652912438413397,0.8895526627411183,1,1367748
Chr01_1367900_2042574,0.427133495421722,0.199755283947016,0.154432360469338,0.6590678392170461,0.8851630388014611,1,1367900
Chr01_2042575_2043251,0.60035845609162,0.19751259953057,0.245342137763469,0.6590678392170461,0.8997062618233505,1,2042575
Chr01_2043252_2231677,0.977014438762441,0.348110669657416,0.359166970463919,0.7319444866377546,0.9346643374937577,1,2043252
Chr01_2231678_2231705,0.650466741495361,0.361772155021846,0.29411158335976,0.7372939448367292,0.9135072716777705,1,2231678
Chr01_2231706_3033846,0.7035603299556,0.303001209208929,0.33642317840411,0.7205694285273293,0.9346643374937577,1,2231706
Chr01_3033847_3052413,0.284005195127457,0.25748058541488,0.668041515984176,0.6856424578060996,0.9677104304863234,1,3033847
Chr01_3052414_4229970,0.818089860906775,0.215548103333177,0.273235807134365,0.661059947483597,0.9135072716777705,1,3052414
Chr01_4229971_4235626,0.921878732646797,0.251599794322026,0.224955053067927,0.6761318552285631,0.8997062618233505,1,4229971
Chr01_4235627_5264100,0.687295982372646,0.210248337111746,0.446883117815875,0.6590678392170461,0.9372716975015415,1,4235627
Chr01_5264101_5264149,0.750199328365696,0.164675823661408,0.334219410205223,0.652912438413397,0.9346643374937577,1,5264101
Chr01_5264150_5885231,0.430488273422036,0.0762716931879,0.754484969184348,0.5622956483909706,0.9677104304863234,1,5264150
Chr01_5885232_5886075,0.745367322971693,0.0639505387690785,0.971591435863594,0.5404598198542463,0.9947086554649737,1,5885232
Chr01_5886076_6253003,0.971062036051909,0.0516263140081031,0.835889276305376,0.5399961271827507,0.9725349987361529,1,5886076
Chr01_6253004_6253851,0.864324263078174,0.137643616522153,0.934152542625472,0.6465892815162602,0.9838335526778773,1,6253004
Chr01_6253852_6811196,0.982300859646375,0.0446671956351002,0.580495171549148,0.5399961271827507,0.9621632533594312,1,6253852
Chr01_6811197_6811650,0.91791763126609,0.0795160069326158,0.713527986137598,0.5714471244485747,0.9677104304863234,1,6811197
Chr01_6811651_7107385,0.883108179427881,0.0217243763490486,0.843402816937981,0.5357280244744589,0.9761982123933602,1,6811651
Chr01_7107386_7117068,0.898669042318983,0.0482973660646126,0.623610497562894,0.5399961271827507,0.9677104304863234,1,7107386
Chr01_7117069_8021093,0.76336322316787,0.014175652908997,0.474573629992765,0.5125795543652202,0.9372716975015415,1,7117069
Chr01_8021094_8021338,0.698510439175642,0.0422122594441375,0.870030515897521,0.5399961271827507,0.9831255377557908,1,8021094
Chr01_8021339_8546533,0.827941306839065,0.00848692610664056,0.681584504830443,0.5125795543652202,0.9677104304863234,1,8021339
Chr01_8546534_8548055,0.59408796378287,0.00548204241157128,0.762438255201599,0.5125795543652202,0.9677104304863234,1,8546534
Chr01_8548056_9439189,0.65463525285257,0.00381470342776264,0.444032525231416,0.49920786383587096,0.9372716975015415,1,8548056
Chr01_9439190_9439923,0.967207468334666,0.018629578819089,0.391827165205322,0.5125795543652202,0.9346643374937577,1,9439190
Chr01_9439924_10127710,0.732153168778136,0.0325850298511769,0.519639290986317,0.5357280244744589,0.9406252579319986,1,9439924
Chr01_10127711_10127775,0.807236713395138,0.027880375028552,0.501474914044759,0.5357280244744589,0.9372716975015415,1,10127711
Chr01_10127776_10700451,0.916092316803413,0.0067432718156982,0.559318881891968,0.5125795543652202,0.9519206061319637,1,10127776
Chr01_10700452_10700489,0.751393362760189,0.0169179629473899,0.540164651832808,0.5125795543652202,0.9461935401653327,1,10700452
Chr01_10700490_11189458,0.576264160983241,0.0249959422296842,0.69090354979121,0.5357280244744589,0.9677104304863234,1,10700490
Chr01_11189459_11289027,0.607714344739918,0.0326557653276531,0.944376896861692,0.5357280244744589,0.9838335526778773,1,11189459
Chr01_11289028_11965532,0.871827215296106,0.0731911386177631,0.85602073871478,0.5622956483909706,0.9814760577918309,1,11289028
Chr01_11965533_11966198,0.870767328835051,0.102839869155361,0.858154559356928,0.5893266783715977,0.9814760577918309,1,11965533
Chr01_11966199_12330339,0.74703873950467,0.03275786960794,0.778712673086101,0.5357280244744589,0.9677104304863234,1,11966199
Chr01_12330340_12330527,0.700877729507369,0.0457986731098423,0.951795580845063,0.5399961271827507,0.9880060344510488,1,12330340
Chr01_12330528_13051606,0.45626232045364,0.0185678497950456,0.943313483334393,0.5125795543652202,0.9838335526778773,1,12330528
Chr01_13051607_13052006,0.79012247179031,0.018526343415365,0.911913531697236,0.5125795543652202,0.9838335526778773,1,13051607
Chr01_13052007_13382483,0.800217891893947,0.0378040515506089,0.969575416075054,0.5399961271827507,0.9947086554649737,1,13052007
Chr01_13382484_13382509,0.938236053008531,0.045491081593394,0.878211078966032,0.5399961271827507,0.9831255377557908,1,13382484
Chr01_13382510_13576339,0.730420039100727,0.026051531865074,0.890800840729188,0.5357280244744589,0.9831255377557908,1,13382510
Chr01_13576340_13576350,0.741154137163084,0.0365608369714768,0.932335824967364,0.5399961271827507,0.9838335526778773,1,13576340
Chr01_13576351_14061355,0.692020932108699,0.0500892316161219,0.824336136625656,0.5399961271827507,0.9677104304863234,1,13576351
Chr01_14061356_14061634,0.724024102509659,0.0394876300954263,0.89419756870942,0.5399961271827507,0.9831255377557908,1,14061356
Chr01_14061635_14604721,0.677926629713691,0.0352532333634848,0.760787330415193,0.5388708528418391,0.9677104304863234,1,14061635
