Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.496940753338041,0.373727761813348,0.99987191683284,1,1
Chr01_126238_809425,0.496940753338041,0.373727761813348,0.99987191683284,1,126238
Chr01_809426_814269,0.832657378249118,0.246428871432674,0.99987191683284,1,809426
Chr01_814270_1367747,0.785658577513405,0.207143771428863,0.99987191683284,1,814270
Chr01_1367748_1367899,0.558891708381532,0.186734891300512,0.99987191683284,1,1367748
Chr01_1367900_2042574,0.58485021173207,0.160505447115485,0.9667345642858353,1,1367900
Chr01_2042575_2043251,0.810837017712644,0.203904798584076,0.99987191683284,1,2042575
Chr01_2043252_2231677,0.64877030770939,0.365270085620082,0.99987191683284,1,2043252
Chr01_2231678_2231705,0.582556974415629,0.393538722118614,0.99987191683284,1,2231678
Chr01_2231706_3033846,0.556964471721906,0.372033569223187,0.99987191683284,1,2231706
Chr01_3033847_3052413,0.416268440020989,0.428509684818539,0.99987191683284,1,3033847
Chr01_3052414_4229970,0.694866330348021,0.391988267793902,0.99987191683284,1,3052414
Chr01_4229971_4235626,0.890473292829494,0.628771624818093,0.99987191683284,1,4229971
Chr01_4235627_5264100,0.643201452795216,0.582242908987136,0.99987191683284,1,4235627
Chr01_5264101_5264149,0.433505384153791,0.427041258145054,0.99987191683284,1,5264101
Chr01_5264150_5885231,0.377035981716475,0.453188310251256,0.99987191683284,1,5264150
Chr01_5885232_5886075,0.378146505702018,0.406160198176119,0.99987191683284,1,5885232
Chr01_5886076_6253003,0.461232653462522,0.417711188824629,0.99987191683284,1,5886076
Chr01_6253004_6253851,0.301787944832207,0.610370551693962,0.99987191683284,1,6253004
Chr01_6253852_6811196,0.311574534200531,0.496612906850408,0.99987191683284,1,6253852
Chr01_6811197_6811650,0.365828865270976,0.673918395679314,0.99987191683284,1,6811197
Chr01_6811651_7107385,0.483578647673316,0.82579875788765,0.99987191683284,1,6811651
Chr01_7107386_7117068,0.920433644728974,0.27650247060819,0.99987191683284,1,7107386
Chr01_7117069_8021093,0.973376813726655,0.294960812022517,0.99987191683284,1,7117069
Chr01_8021094_8021338,0.987392776842841,0.73863135882265,0.99987191683284,1,8021094
Chr01_8021339_8546533,0.483101858043174,0.608261678411227,0.99987191683284,1,8021339
Chr01_8546534_8548055,0.21518804414346,0.724193662521438,0.99987191683284,1,8546534
Chr01_8548056_9439189,0.264441970019607,0.780006216860391,0.99987191683284,1,8548056
Chr01_9439190_9439923,0.352480357757401,0.938618572942866,0.99987191683284,1,9439190
Chr01_9439924_10127710,0.496056540821267,0.910727924182699,0.99987191683284,1,9439924
Chr01_10127711_10127775,0.764837471404905,0.774200339093184,0.99987191683284,1,10127711
Chr01_10127776_10700451,0.672745804185225,0.813159918036439,0.99987191683284,1,10127776
Chr01_10700452_10700489,0.640935746036291,0.657037278551222,0.99987191683284,1,10700452
Chr01_10700490_11189458,0.275634010364006,0.514990129735892,0.99987191683284,1,10700490
Chr01_11189459_11289027,0.279227060346087,0.621324615485077,0.99987191683284,1,11189459
Chr01_11289028_11965532,0.240969868015088,0.567400937312691,0.99987191683284,1,11289028
Chr01_11965533_11966198,0.223805331882423,0.825440207327361,0.99987191683284,1,11965533
Chr01_11966199_12330339,0.268284980990907,0.971565791832248,0.99987191683284,1,11966199
Chr01_12330340_12330527,0.2762890554169,0.884591907990006,0.99987191683284,1,12330340
Chr01_12330528_13051606,0.295263584988583,0.937090703035108,0.99987191683284,1,12330528
Chr01_13051607_13052006,0.304967586031448,0.752268911539656,0.99987191683284,1,13051607
Chr01_13052007_13382483,0.326699627810718,0.695484060733867,0.99987191683284,1,13052007
Chr01_13382484_13382509,0.296046055740811,0.645093052342273,0.99987191683284,1,13382484
Chr01_13382510_13576339,0.246828158282957,0.516730079993587,0.99987191683284,1,13382510
Chr01_13576340_13576350,0.194413990831053,0.596802897145171,0.99987191683284,1,13576340
Chr01_13576351_14061355,0.209302298229404,0.559979223245254,0.99987191683284,1,13576351
Chr01_14061356_14061634,0.183655457440175,0.588367427414191,0.99987191683284,1,14061356
Chr01_14061635_14604721,0.262495628820543,0.766464388273686,0.99987191683284,1,14061635
Chr01_14604722_14607157,0.502702375436206,0.808819971073441,0.99987191683284,1,14604722
Chr01_14607158_15449572,0.49260640351355,0.711515456682436,0.99987191683284,1,14607158
Chr01_15449573_15456448,0.422951505593897,0.95327185221808,0.99987191683284,1,15449573
Chr01_15456449_16406535,0.179620729662548,0.879119266948131,0.99987191683284,1,15456449
Chr01_16406536_16454790,0.205912902776565,0.935416776634406,0.99987191683284,1,16406536
Chr01_16454791_19216253,0.346175220621719,0.960765172113067,0.99987191683284,1,16454791
Chr01_19216254_19216663,0.468349814308232,0.911301707491368,0.99987191683284,1,19216254
Chr01_19216664_20661429,0.403989781966452,0.882669999885617,0.99987191683284,1,19216664
Chr01_20661430_20662913,0.339743138369114,0.979789307110959,0.99987191683284,1,20661430
Chr01_20662914_21251875,0.290256881069226,0.978525058687554,0.99987191683284,1,20662914
Chr01_21251876_21488109,0.47435215113314,0.836047124982838,0.99987191683284,1,21251876
Chr01_21488110_22523058,0.514744097212363,0.668467639555397,0.99987191683284,1,21488110
