Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.0968698476812982,0.419500656799619,0.7934034161210185,1,1
Chr01_126238_809425,0.0968698476812982,0.419500656799619,0.7934034161210185,1,126238
Chr01_809426_814269,0.0968698476812982,0.419500656799619,0.7934034161210185,1,809426
Chr01_814270_1367747,0.0968698476812982,0.419500656799619,0.7934034161210185,1,814270
Chr01_1367748_1367899,0.0968698476812982,0.419500656799619,0.7934034161210185,1,1367748
Chr01_1367900_2042574,0.0968698476812982,0.419500656799619,0.7934034161210185,1,1367900
Chr01_2042575_2043251,0.0968698476812982,0.419500656799619,0.7934034161210185,1,2042575
Chr01_2043252_2231677,0.0968698476812982,0.419500656799619,0.7934034161210185,1,2043252
Chr01_2231678_2231705,0.0968698476812982,0.419500656799619,0.7934034161210185,1,2231678
Chr01_2231706_3033846,0.0968698476812982,0.419500656799619,0.7934034161210185,1,2231706
Chr01_3033847_3052413,0.0968698476812982,0.419500656799619,0.7934034161210185,1,3033847
Chr01_3052414_4229970,0.0968698476812982,0.419500656799619,0.7934034161210185,1,3052414
Chr01_4229971_4235626,0.0968698476812982,0.419500656799619,0.7934034161210185,1,4229971
Chr01_4235627_5264100,0.0992105215656211,0.445221432274228,0.8209574387021892,1,4235627
Chr01_5264101_5264149,0.0511066507269956,0.311416121747764,0.7510236193675425,1,5264101
Chr01_5264150_5885231,0.037031726970226,0.333173044018346,0.7573236059611715,1,5264150
Chr01_5885232_5886075,0.0478589380989029,0.507915251572087,0.8341820875455008,1,5885232
Chr01_5886076_6253003,0.0493806314105133,0.705751297104594,0.9208861563646719,1,5886076
Chr01_6253004_6253851,0.0677168482442732,0.812185240356102,0.9548583969681964,1,6253004
Chr01_6253852_6811196,0.0335316627883861,0.882194242848365,0.9856598253995695,1,6253852
Chr01_6811197_6811650,0.0335587106280714,0.881938106220529,0.9856598253995695,1,6811197
Chr01_6811651_7107385,0.0367443301179938,0.862228846599512,0.9839186186375408,1,6811651
Chr01_7107386_7117068,0.073198400711954,0.791429261936677,0.9527016398407545,1,7107386
Chr01_7117069_8021093,0.39204816927234,0.203029829195612,0.6452748330161964,1,7117069
Chr01_8021094_8021338,0.316195974379911,0.233079233520109,0.6829971385677718,1,8021094
Chr01_8021339_8546533,0.316195974379911,0.233079233520109,0.6829971385677718,1,8021339
Chr01_8546534_8548055,0.114292989498173,0.161835381583231,0.610183295018974,1,8546534
Chr01_8548056_9439189,0.102759329477172,0.121372863577437,0.610183295018974,1,8548056
Chr01_9439190_9439923,0.0483662507836731,0.0243532936347226,0.39321263015441765,1,9439190
Chr01_9439924_10127710,0.0262847182745131,0.016324203327754,0.30042812662808804,1,9439924
Chr01_10127711_10127775,0.0262847182745131,0.016324203327754,0.30042812662808804,1,10127711
Chr01_10127776_10700451,0.0474066443572498,0.0265422749868667,0.3954186991710852,1,10127776
Chr01_10700452_10700489,0.0652672581975879,0.0283268826431398,0.3954186991710852,1,10700452
Chr01_10700490_11189458,0.0396007123009318,0.0191877480581604,0.34004953503073154,1,10700490
Chr01_11189459_11289027,0.0321403237429122,0.024652829476766,0.39321263015441765,1,11189459
Chr01_11289028_11965532,0.0124624250869953,0.0314583418404369,0.3954186991710852,1,11289028
Chr01_11965533_11966198,0.0141222238723567,0.0367205340606272,0.40392587466689917,1,11965533
Chr01_11966199_12330339,0.0539239789677283,0.0344816714542523,0.3954186991710852,1,11966199
Chr01_12330340_12330527,0.130192265496311,0.0704061839520501,0.5611162832829099,1,12330340
Chr01_12330528_13051606,0.103064213871751,0.115161090672519,0.610183295018974,1,12330528
Chr01_13051607_13052006,0.0367229359725025,0.125974835342968,0.610183295018974,1,13051607
Chr01_13052007_13382483,0.0736512207587568,0.13005132316941,0.610183295018974,1,13052007
Chr01_13382484_13382509,0.0763666326868403,0.185927240022109,0.6217526567661255,1,13382484
Chr01_13382510_13576339,0.0928121360235558,0.226161412360676,0.6829971385677718,1,13382510
Chr01_13576340_13576350,0.061296792513912,0.285037509290339,0.7154410395584466,1,13576340
Chr01_13576351_14061355,0.0878753438872876,0.165371864309463,0.6125050771712348,1,13576351
Chr01_14061356_14061634,0.0740722190471538,0.173209970326619,0.6162153962920981,1,14061356
Chr01_14061635_14604721,0.111956133314708,0.168630333197906,0.6125050771712348,1,14061635
Chr01_14604722_14607157,0.0554502015121613,0.0947576552132624,0.610183295018974,1,14604722
Chr01_14607158_15449572,0.0602054753538047,0.0779076155180761,0.5870676224472349,1,14607158
Chr01_15449573_15456448,0.0586416727821231,0.0763010366505507,0.5795245402744208,1,15449573
Chr01_15456449_16406535,0.0539831673415125,0.0702006286127132,0.5611162832829099,1,15456449
Chr01_16406536_16454790,0.0448724142842116,0.0540953342512072,0.5584594952145535,1,16406536
Chr01_16454791_19216253,0.0219579809261776,0.0310940826990054,0.3954186991710852,1,16454791
Chr01_19216254_19216663,0.0219579809261776,0.0310940826990054,0.3954186991710852,1,19216254
Chr01_19216664_20661429,0.00968350672570526,0.0789592548472067,0.5903438038185689,1,19216664
Chr01_20661430_20662913,0.0309211869424753,0.0985639150867757,0.610183295018974,1,20661430
Chr01_20662914_21251875,0.0411585263052963,0.0820828745804686,0.6042562382577573,1,20662914
Chr01_21251876_21488109,0.0710193020604713,0.199822614858466,0.64171222288440255,1,21251876
Chr01_21488110_22523058,0.133416986334921,0.359556527418861,0.7680705284371652,1,21488110
Chr01_22523059_22523376,0.0657554885766405,0.55910709754541,0.8479643301916915,1,22523059
Chr01_22523377_25610270,0.0344390459821056,0.698688639162367,0.917208542768704,1,22523377
Chr01_25610271_25623774,0.0677371382583958,0.928692221568708,0.9929670749621465,1,25610271
Chr01_25623775_25991881,0.0813521165341257,0.977418779744601,0.997748532187038,1,25623775
Chr01_25991882_26001088,0.0649728647597242,0.815542381822562,0.9548583969681964,1,25991882
Chr01_26001089_26286066,0.0538161651911929,0.769103031256451,0.9423109026373424,1,26001089
Chr01_26286067_26293474,0.0538161651911929,0.769103031256451,0.9423109026373424,1,26286067
Chr01_26293475_26583692,0.147132668772937,0.675909394286524,0.9067871328014128,1,26293475
Chr01_26583693_26647317,0.174991751576977,0.502785485065699,0.8328893292941852,1,26583693
Chr01_26647318_27308826,0.169327560788799,0.483702121695602,0.8312812975297009,1,26647318
Chr01_27308827_27314420,0.0831450184836759,0.371551544486266,0.7779241529671674,1,27308827
Chr01_27314421_27701084,0.143573331764439,0.349596681344927,0.7573236059611715,1,27314421
Chr01_27701085_27712150,0.114143385102157,0.394655646967004,0.7934034161210185,1,27701085
Chr01_27712151_27987745,0.0964401530234611,0.344326622490158,0.7573236059611715,1,27712151
Chr01_27987746_27996902,0.0537039810273394,0.336034138794727,0.7573236059611715,1,27987746
Chr01_27996903_28327995,0.12380140405822,0.233451384933037,0.6829971385677718,1,27996903
Chr01_28327996_28328780,0.122829802279985,0.187079100757679,0.6217526567661255,1,28327996
Chr01_28328781_28712697,0.0991526515542786,0.153018699991463,0.610183295018974,1,28328781
Chr01_28712698_28712702,0.0722169295240394,0.0669237839087311,0.5611162832829099,1,28712698
Chr01_28712703_29260469,0.06309089439112,0.100305427853059,0.610183295018974,1,28712703
Chr01_29260470_29264772,0.0751474048363277,0.155743550077108,0.610183295018974,1,29260470
Chr01_29264773_29827856,0.0700894213991064,0.173031503636705,0.6162153962920981,1,29264773
Chr01_29827857_29864780,0.0582142938998613,0.19498975255298,0.6347115414734757,1,29827857
Chr01_29864781_30461232,0.167248850718223,0.232485769015288,0.6829971385677718,1,29864781
Chr01_30461233_30463952,0.10117408219065,0.320840684077325,0.7510236193675425,1,30461233
Chr01_30463953_31287140,0.1645206760534,0.367032543736915,0.7733899471802592,1,30463953
Chr01_31287141_31299042,0.0746183806733691,0.298143917451915,0.7343910947149224,1,31287141
Chr01_31299043_32249075,0.0777642682059712,0.318566986870542,0.7510236193675425,1,31299043
Chr01_32249076_32254238,0.0567469276739349,0.408626831316767,0.7934034161210185,1,32249076
Chr01_32254239_32925441,0.10266469720996,0.40070426469133,0.7934034161210185,1,32254239
Chr01_32925442_32925676,0.100384828818453,0.395955673094144,0.7934034161210185,1,32925442
Chr01_32925677_33648211,0.0763809321835903,0.649652810167448,0.8891191262759955,1,32925677
Chr01_33648212_33648861,0.0969527862186517,0.863872192831316,0.9839186186375408,1,33648212
Chr01_33648862_33944256,0.0969527862186517,0.863872192831316,0.9839186186375408,1,33648862
Chr01_33944257_33944395,0.0969527862186517,0.863872192831316,0.9839186186375408,1,33944257
Chr01_33944396_34707623,0.0521175440200898,0.996837624896613,0.997748532187038,1,33944396
Chr01_34707624_34711948,0.0560201130425245,0.821158266149243,0.9548583969681964,1,34707624
Chr01_34711949_35098398,0.0585224444758853,0.993813241102481,0.997748532187038,1,34711949
Chr01_35098399_35197978,0.0579957379504914,0.977605186309435,0.997748532187038,1,35098399
Chr01_35197979_35842906,0.118096256495403,0.732368179019602,0.9320164193108499,1,35197979
Chr01_35842907_35842941,0.0951791325337828,0.769519551927824,0.9423109026373424,1,35842907
Chr01_35842942_36467175,0.0506006511816853,0.622558335932954,0.8647577780129123,1,35842942
Chr01_36467176_36477457,0.04322482485155,0.590586018235326,0.8630483610297415,1,36467176
Chr01_36477458_36677915,0.04322482485155,0.590586018235326,0.8630483610297415,1,36477458
Chr01_36677916_36678639,0.04322482485155,0.590586018235326,0.8630483610297415,1,36677916
Chr01_36678640_37008510,0.0466812437706546,0.747065897041008,0.9407555399439601,1,36678640
Chr01_37008511_37008685,0.103733194721161,0.525547222889663,0.8363909302094119,1,37008511
Chr01_37008686_37399402,0.103733194721161,0.525547222889663,0.8363909302094119,1,37008686
Chr01_37399403_37399747,0.103733194721161,0.525547222889663,0.8363909302094119,1,37399403
Chr01_37399748_38492440,0.043230216502952,0.520373049092056,0.8363909302094119,1,37399748
Chr01_38492441_38553272,0.0665854407226965,0.491214130616437,0.8312812975297009,1,38492441
Chr01_38553273_41248221,0.0462153038914129,0.308151040223114,0.7510236193675425,1,38553273
Chr01_41248222_41249634,0.113710702940015,0.188409895989735,0.6217526567661255,1,41248222
Chr01_41249635_41946984,0.113710702940015,0.188409895989735,0.6217526567661255,1,41249635
Chr01_41946985_41946999,0.113710702940015,0.188409895989735,0.6217526567661255,1,41946985
Chr01_41947000_42826924,0.138757160379841,0.325481835584833,0.7523819242866793,1,41947000
Chr01_42826925_42828044,0.0980382638073038,0.518642806485221,0.8363909302094119,1,42826925
Chr01_42828045_44953517,0.335214191745912,0.761035054545467,0.9423109026373424,1,42828045
Chr01_44953518_50495391,0.159896176437698,0.406913006347476,0.7934034161210185,1,44953518
Chr02_1_4524,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,1
Chr02_4525_349303,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,4525
Chr02_349304_361275,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,349304
Chr02_361276_876244,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,361276
Chr02_876245_880558,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,876245
Chr02_880559_1380844,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,880559
Chr02_1380845_1380870,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,1380845
Chr02_1380871_1588241,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,1380871
Chr02_1588242_1591077,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,1588242
Chr02_1591078_2117143,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,1591078
Chr02_2117144_2118662,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,2117144
Chr02_2118663_2439301,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,2118663
Chr02_2439302_2439318,0.0607170491759246,0.00524245754162793,0.14382215104121585,2,2439302
Chr02_2439319_3802076,0.0502479475950037,0.00433828586322691,0.14382215104121585,2,2439319
Chr02_3802077_3811171,0.110539592959443,0.00286837178338555,0.14382215104121585,2,3802077
Chr02_3811172_4203782,0.117325953183659,0.00358788393934759,0.14382215104121585,2,3811172
Chr02_4203783_4204963,0.100470860200324,0.00651751454282278,0.1685746329049027,2,4203783
Chr02_4204964_5059530,0.304571942898518,0.017956101295289,0.3242262064073882,2,4204964
Chr02_5059531_5059566,0.0460864042062704,0.0727047221808577,0.5611162832829099,2,5059531
Chr02_5059567_5396611,0.0460864042062704,0.0727047221808577,0.5611162832829099,2,5059567
Chr02_5396612_5398283,0.0460864042062704,0.0727047221808577,0.5611162832829099,2,5396612
Chr02_5398284_5923170,0.136058499009793,0.178878089384772,0.6202403316711117,2,5398284
Chr02_5923171_5954021,0.073815826560244,0.446406091164538,0.8215589023931977,2,5923171
Chr02_5954022_6493859,0.111626523087887,0.431022859088831,0.8039958752448292,2,5954022
Chr02_6493860_6498865,0.0730774036976622,0.339120035891398,0.7573236059611715,2,6493860
Chr02_6498866_6748647,0.084167439994123,0.287414312912723,0.7181605677740887,2,6498866
Chr02_6748648_6759682,0.0666208629942509,0.206110577064104,0.6452748330161964,2,6748648
Chr02_6759683_7031301,0.0394115322301633,0.293616017869303,0.7279547386034274,2,6759683
Chr02_7031302_7048371,0.0265037901093223,0.283557293275961,0.7154410395584466,2,7031302
Chr02_7048372_7535720,0.0240285861773209,0.234088883438066,0.6829971385677718,2,7048372
Chr02_7535721_7537775,0.0338987491398162,0.362586747602128,0.7711011499005255,2,7535721
Chr02_7537776_7944758,0.0289414341410566,0.595751642959663,0.8647577780129123,2,7537776
Chr02_7944759_7947379,0.0957934809457772,0.823202059243128,0.9551514779312538,2,7944759
Chr02_7947380_8614429,0.162597204673664,0.755740116058093,0.9407555399439601,2,7947380
Chr02_8614430_8625186,0.119488025554431,0.873870872681011,0.9856598253995695,2,8614430
Chr02_8625187_9195211,0.149855332689581,0.941263033676372,0.9929670749621465,2,8625187
Chr02_9195212_9195222,0.10048226505684,0.773851569241101,0.9429133896981698,2,9195212
Chr02_9195223_9912687,0.202683335323872,0.744109645347811,0.9407555399439601,2,9195223
Chr02_9912688_9912975,0.112940592401798,0.893782044470751,0.9901730605675628,2,9912688
Chr02_9912976_10267833,0.137193885231164,0.960193139203935,0.997748532187038,2,9912976
Chr02_10267834_10267871,0.089753532832356,0.980676783138774,0.997748532187038,2,10267834
Chr02_10267872_10413420,0.089753532832356,0.980676783138774,0.997748532187038,2,10267872
Chr02_10413421_10413478,0.089753532832356,0.980676783138774,0.997748532187038,2,10413421
Chr02_10413479_11173441,0.0703780118614201,0.961623816146672,0.997748532187038,2,10413479
Chr02_11173442_11173501,0.0556220977988265,0.786644814327774,0.9505291506460601,2,11173442
Chr02_11173502_11801906,0.0345140323199115,0.783037289634755,0.949767663093106,2,11173502
Chr02_11801907_12265594,0.0564809834241168,0.543554352369828,0.8363909302094119,2,11801907
Chr02_12265595_12817972,0.211964257265078,0.501586154272483,0.8328893292941852,2,12265595
Chr02_12817973_12824108,0.0639611907004127,0.31119357801928,0.7510236193675425,2,12817973
Chr02_12824109_13491547,0.195966361080536,0.534303286344061,0.8363909302094119,2,12824109
Chr02_13491548_13517019,0.177961346205324,0.503040786135882,0.8328893292941852,2,13491548
Chr02_13517020_14119781,0.191193044466362,0.317678509594504,0.7510236193675425,2,13517020
Chr02_14119782_14120038,0.0692578180200013,0.547512303307044,0.8363909302094119,2,14119782
Chr02_14120039_14602012,0.0692578180200013,0.547512303307044,0.8363909302094119,2,14120039
Chr02_14602013_14602277,0.0692578180200013,0.547512303307044,0.8363909302094119,2,14602013
Chr02_14602278_15318678,0.0692578180200013,0.547512303307044,0.8363909302094119,2,14602278
Chr02_15318679_15347678,0.0692578180200013,0.547512303307044,0.8363909302094119,2,15318679
Chr02_15347679_15710186,0.0692578180200013,0.547512303307044,0.8363909302094119,2,15347679
Chr02_15710187_15710672,0.0692578180200013,0.547512303307044,0.8363909302094119,2,15710187
Chr02_15710673_16424164,0.0692578180200013,0.547512303307044,0.8363909302094119,2,15710673
Chr02_16424165_16424173,0.0692578180200013,0.547512303307044,0.8363909302094119,2,16424165
