Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.835473078754285,0.986817037655307,0.585479804263127,0.944243242350476,Chr01_1_126237,0.9975219609925868,0.9782301456720882,0.9957342599539253,1,1
Chr01_126238_809425,0.835473078754285,0.986817037655307,0.585479804263127,0.944243242350476,Chr01_126238_809425,0.9975219609925868,0.9782301456720882,0.9957342599539253,1,126238
Chr01_809426_814269,0.947099085461277,0.928432528402846,0.523033242535375,0.838464550763061,Chr01_809426_814269,0.9928377531656449,0.9782301456720882,0.9957342599539253,1,809426
Chr01_814270_1367747,0.82171098226572,0.84566237515103,0.455217256838683,0.977457777728225,Chr01_814270_1367747,0.9769341812663177,0.9782301456720882,0.9986007912231782,1,814270
Chr01_1367748_1367899,0.928612580224758,0.359401389935565,0.82038624996101,0.953640460296231,Chr01_1367748_1367899,0.9476122292479378,0.9931759868192244,0.9957342599539253,1,1367748
Chr01_1367900_2042574,0.945378436069453,0.355176244578005,0.808954391189573,0.947641409326348,Chr01_1367900_2042574,0.9476122292479378,0.9931759868192244,0.9957342599539253,1,1367900
Chr01_2042575_2043251,0.818623044531653,0.241170149894032,0.941448338573718,0.958434768131547,Chr01_2042575_2043251,0.9476122292479378,0.9933540767691038,0.9957342599539253,1,2042575
Chr01_2043252_2231677,0.929455153145602,0.864010846617367,0.494567733031158,0.876326406871602,Chr01_2043252_2231677,0.9794254600438846,0.9782301456720882,0.9957342599539253,1,2043252
Chr01_2231678_2231705,0.68832058651353,0.735078994793431,0.966834378868213,0.980631266281758,Chr01_2231678_2231705,0.9718163335468045,0.9936740678710195,0.9987558298885082,1,2231678
Chr01_2231706_3033846,0.654954333526952,0.696363491308854,0.995994115670633,0.988866484671018,Chr01_2231706_3033846,0.9718163335468045,0.9992566872749323,0.9987558298885082,1,2231706
Chr01_3033847_3052413,0.466348957581422,0.612549301513638,0.759602913256855,0.910883303737739,Chr01_3033847_3052413,0.9718163335468045,0.9931759868192244,0.9957342599539253,1,3033847
Chr01_3052414_4229970,0.578286123503326,0.972828248364901,0.112474989677667,0.860716759101184,Chr01_3052414_4229970,0.9975219609925868,0.7170030141536787,0.9957342599539253,1,3052414
Chr01_4229971_4235626,0.49743704331802,0.997085247954151,0.143873759575562,0.3269603677725,Chr01_4229971_4235626,0.997934129537115,0.7362951225337584,0.7617082678805228,1,4229971
Chr01_4235627_5264100,0.474658926010953,0.832547222697452,0.106313249075385,0.344575500545367,Chr01_4235627_5264100,0.9747398288781194,0.7170030141536787,0.7735336113036115,1,4235627
Chr01_5264101_5264149,0.528344756005335,0.968675587961277,0.101091735479112,0.352982477728513,Chr01_5264101_5264149,0.9975219609925868,0.7080904765778424,0.7735336113036115,1,5264101
Chr01_5264150_5885231,0.586328435767004,0.845684504965146,0.0960634008704423,0.352637863363525,Chr01_5264150_5885231,0.9769341812663177,0.7017761422367426,0.7735336113036115,1,5264150
