Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.78977073570702,0.0655561511841949,0.212401677904412,0.975033243707424,0.9405479777099187,1,1
Chr01_126238_809425,0.764197202650117,0.061302537033023,0.211558746290384,0.975033243707424,0.9405479777099187,1,126238
Chr01_809426_814269,0.0986434809902652,0.102096768495376,0.168836024855227,0.975033243707424,0.9209237719376018,1,809426
Chr01_814270_1367747,0.123264184982832,0.0676860065151318,0.159868737564824,0.975033243707424,0.9119881012024216,1,814270
Chr01_1367748_1367899,0.897990187064744,0.151245570829521,0.321187367048516,0.975033243707424,0.9405479777099187,1,1367748
Chr01_1367900_2042574,0.107017095153587,0.140970332409229,0.319523844127746,0.975033243707424,0.9405479777099187,1,1367900
Chr01_2042575_2043251,0.756165157989649,0.158660844662401,0.39234448804163,0.975033243707424,0.9405479777099187,1,2042575
Chr01_2043252_2231677,0.753353980584707,0.0557559439809715,0.939560008740026,0.975033243707424,0.9747774134456051,1,2043252
Chr01_2231678_2231705,0.0963855554553844,0.0663724627196182,0.750146223499234,0.975033243707424,0.9469961071142136,1,2231678
Chr01_2231706_3033846,0.0920669191240515,0.0614896093823521,0.738712201292447,0.975033243707424,0.9469961071142136,1,2231706
Chr01_3033847_3052413,0.598340530603562,0.051374793759777,0.888429686152197,0.975033243707424,0.9639614006970085,1,3033847
Chr01_3052414_4229970,0.53983729356667,0.0479430022927262,0.437090717898463,0.975033243707424,0.9405479777099187,1,3052414
Chr01_4229971_4235626,0.399897852537917,0.0205936537063596,0.411902863051014,0.975033243707424,0.9405479777099187,1,4229971
Chr01_4235627_5264100,0.406752753317867,0.00806938562377099,0.583387478095221,0.7990888301636084,0.9405479777099187,1,4235627
Chr01_5264101_5264149,0.361227680310175,0.00558028672423867,0.283363106019568,0.6277822564768504,0.9405479777099187,1,5264101
Chr01_5264150_5885231,0.371932417254462,0.00167989359762923,0.0541060313421521,0.3023808475732614,0.7165436124443965,1,5264150
Chr01_5885232_5886075,0.0117651358185872,0.00243464834230632,0.0904536596355726,0.36519725134594805,0.7600943174457642,1,5885232
Chr01_5886076_6253003,0.812247100585819,0.0029825753953599,0.102424433686642,0.38347397940341577,0.8086139501577,1,5886076
