Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.865184227583082,0.574422460177341,0.811435696488731,0.9940735950898614,0.9745198195522292,1,1
Chr01_126238_809425,0.957136767086166,0.498890403992593,0.834869004289293,0.9940735950898614,0.9745198195522292,1,126238
Chr01_809426_814269,0.704182228642352,0.433642003042846,0.607931315436232,0.9940735950898614,0.9428667580058975,1,809426
Chr01_814270_1367747,0.71112040746636,0.604618289375621,0.543467126394469,0.9940735950898614,0.9371814007035261,1,814270
Chr01_1367748_1367899,0.622643162936619,0.803653055847905,0.731604941008809,0.9943099553044924,0.9641390900846706,1,1367748
Chr01_1367900_2042574,0.795232688236715,0.769006813284648,0.754728957415362,0.9940735950898614,0.9661467946028092,1,1367900
Chr01_2042575_2043251,0.829939747947817,0.730780253260263,0.63939954377304,0.9940735950898614,0.9569251784104664,1,2042575
Chr01_2043252_2231677,0.848678380993732,0.512477822745716,0.662034451655895,0.9940735950898614,0.9569251784104664,1,2043252
Chr01_2231678_2231705,0.84743521610447,0.687580285677581,0.936313669018148,0.9940735950898614,0.9913475083907585,1,2231678
Chr01_2231706_3033846,0.877583064356256,0.731348640642199,0.899755138001065,0.9940735950898614,0.9879865426397099,1,2231706
Chr01_3033847_3052413,0.733093756986964,0.672502916780958,0.587251308505455,0.9940735950898614,0.9420843882684994,1,3033847
Chr01_3052414_4229970,0.943759387320371,0.60845429931362,0.423720489250738,0.9940735950898614,0.9149440986114618,1,3052414
Chr01_4229971_4235626,0.872419941930804,0.94347355518669,0.167119855918785,0.999612923723206,0.7947482269662706,1,4229971
Chr01_4235627_5264100,0.527312550328227,0.706845687445904,0.159847980470456,0.9940735950898614,0.7947482269662706,1,4235627
Chr01_5264101_5264149,0.164766876099458,0.520767398645064,0.169666928319548,0.9940735950898614,0.7947482269662706,1,5264101
Chr01_5264150_5885231,0.467076369230656,0.162742500078006,0.560221686874022,0.9940735950898614,0.9413146956389942,1,5264150
Chr01_5885232_5886075,0.531035983669975,0.126687585043753,0.386466531498308,0.9940735950898614,0.9070209228012522,1,5885232
Chr01_5886076_6253003,0.931316655136047,0.142333757684369,0.370787906229343,0.9940735950898614,0.8989330071476361,1,5886076
Chr01_6253004_6253851,0.855343924731087,0.249149395439523,0.474799611491588,0.9940735950898614,0.9149440986114618,1,6253004
Chr01_6253852_6811196,0.844614826390324,0.279145490006211,0.442581432512791,0.9940735950898614,0.9149440986114618,1,6253852
Chr01_6811197_6811650,0.944741154334695,0.350886916506292,0.304460597079783,0.9940735950898614,0.8577764056580993,1,6811197
Chr01_6811651_7107385,0.818070920102786,0.13640681461087,0.668127460190931,0.9940735950898614,0.9569251784104664,1,6811651
