Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.109291987876045,0.149572632927432,0.788833592211876,0.6915700596187937,0.9792513263405709,1,1
Chr01_126238_809425,0.110516446143176,0.140852857642001,0.791709633230364,0.6914245435450359,0.9792513263405709,1,126238
Chr01_809426_814269,0.360588058379738,0.12911497246237,0.688714787384557,0.6633640772893764,0.9792513263405709,1,809426
Chr01_814270_1367747,0.27742971336884,0.0311777000102938,0.618726005550441,0.5630743783763817,0.9735835675573116,1,814270
Chr01_1367748_1367899,0.55971635825741,0.0192686094525469,0.240792964685729,0.5246203560977543,0.8997913368630246,1,1367748
Chr01_1367900_2042574,0.42494680298943,0.0497211929397673,0.135375786478043,0.5630743783763817,0.8997913368630246,1,1367900
Chr01_2042575_2043251,0.345344827472289,0.0620744205543726,0.279899136374001,0.5685971602086108,0.9084846075402154,1,2042575
Chr01_2043252_2231677,0.247215284249037,0.0768274291525955,0.323084654253195,0.5928152926134943,0.9158313554942119,1,2043252
Chr01_2231678_2231705,0.251620499479906,0.0983283593699699,0.356145583826709,0.6420070026158443,0.941871423740247,1,2231678
Chr01_2231706_3033846,0.277003484451052,0.0792500591994143,0.393401041473638,0.5928152926134943,0.9568664466003506,1,2231706
Chr01_3033847_3052413,0.0891355856062818,0.0438088821464932,0.709917196087612,0.5630743783763817,0.9792513263405709,1,3033847
Chr01_3052414_4229970,0.1159162528233,0.0291597474470873,0.595727662177754,0.5506046429714719,0.9638243664210401,1,3052414
Chr01_4229971_4235626,0.151183945007546,0.00761320309649571,0.825867060082645,0.5246203560977543,0.9792513263405709,1,4229971
Chr01_4235627_5264100,0.219151273933672,0.0213404528951238,0.992579563564748,0.5246203560977543,0.9988026329287903,1,4235627
Chr01_5264101_5264149,0.181409776897982,0.019808634593557,0.971494291387428,0.5246203560977543,0.9894948902269174,1,5264101
Chr01_5264150_5885231,0.0778619106374191,0.0467851808185094,0.637774425177149,0.5630743783763817,0.9779884895630486,1,5264150
Chr01_5885232_5886075,0.0978489387758934,0.122399614978841,0.326167872689,0.6521046900726223,0.9158313554942119,1,5885232
Chr01_5886076_6253003,0.0387873499731016,0.19737519197222,0.167029828902854,0.7328227978868219,0.8997913368630246,1,5886076
Chr01_6253004_6253851,0.0135147919118832,0.193805362368852,0.190546261896402,0.7259262700224196,0.8997913368630246,1,6253004
Chr01_6253852_6811196,0.00926820987320966,0.192162500775509,0.182492159261217,0.7259262700224196,0.8997913368630246,1,6253852
Chr01_6811197_6811650,0.0177228280755294,0.364041897277854,0.372698352251688,0.8852837047438722,0.9568664466003506,1,6811197
Chr01_6811651_7107385,0.0831586010765564,0.524874360100053,0.565997319965485,0.9377625394737495,0.9628233203513046,1,6811651
Chr01_7107386_7117068,0.0378867343708919,0.645014270696878,0.228427246352046,0.967521406045317,0.8997913368630246,1,7107386
Chr01_7117069_8021093,0.295704154287601,0.791601701623109,0.521324331084083,0.973481188195167,0.9628233203513046,1,7117069
Chr01_8021094_8021338,0.510256072418014,0.945949782546441,0.542681464342872,0.9892687347769903,0.9628233203513046,1,8021094
