Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.842585251534198,0.629032144298969,0.346517487213894,0.745174973244695,Chr01_1_126237,0.9590270523052998,0.9975906350907924,0.9114291505423161,1,1
Chr01_126238_809425,0.842585251534198,0.629032144298969,0.346517487213894,0.745174973244695,Chr01_126238_809425,0.9590270523052998,0.9975906350907924,0.9114291505423161,1,126238
Chr01_809426_814269,0.669605522973908,0.692213781533353,0.267089480902688,0.574015653539344,Chr01_809426_814269,0.9590270523052998,0.9964713086163604,0.8748379174972081,1,809426
Chr01_814270_1367747,0.881834424784625,0.557999219850132,0.220499948301107,0.831065160446328,Chr01_814270_1367747,0.9590270523052998,0.9798009365927052,0.9555693043334184,1,814270
Chr01_1367748_1367899,0.914462248455491,0.490867870477039,0.254363255996969,0.879959665696191,Chr01_1367748_1367899,0.9590270523052998,0.9964713086163604,0.9735049274548851,1,1367748
Chr01_1367900_2042574,0.868902310375286,0.400697136126478,0.293270735363237,0.879323366923173,Chr01_1367900_2042574,0.9590270523052998,0.9964713086163604,0.9735049274548851,1,1367900
Chr01_2042575_2043251,0.748307276506307,0.383296631793359,0.370924896942456,0.819172300175999,Chr01_2042575_2043251,0.9590270523052998,0.9975906350907924,0.9472161813711175,1,2042575
Chr01_2043252_2231677,0.769836072700956,0.555267087374244,0.622242452250851,0.766222552708165,Chr01_2043252_2231677,0.9590270523052998,0.9975906350907924,0.919292258198352,1,2043252
Chr01_2231678_2231705,0.933943100186947,0.87626242960412,0.572915112450998,0.773429458722351,Chr01_2231678_2231705,0.965010377470684,0.9975906350907924,0.920056376713798,1,2231678
Chr01_2231706_3033846,0.967487320496733,0.913898901327976,0.545538123665531,0.780466909543143,Chr01_2231706_3033846,0.9717073749770051,0.9975906350907924,0.920254880166722,1,2231706
Chr01_3033847_3052413,0.748991784709765,0.57171194542471,0.39303565856662,0.786585633911264,Chr01_3033847_3052413,0.9590270523052998,0.9975906350907924,0.9245694910275489,1,3033847
Chr01_3052414_4229970,0.999919343138475,0.944238064097891,0.266061613181213,0.780867740336909,Chr01_3052414_4229970,0.9820894314560227,0.9964713086163604,0.920254880166722,1,3052414
Chr01_4229971_4235626,0.893131386659087,0.791746961087176,0.424219524868834,0.842752990037205,Chr01_4229971_4235626,0.9590270523052998,0.9975906350907924,0.9618035982952489,1,4229971
Chr01_4235627_5264100,0.96613241416798,0.63028559993811,0.290676303680494,0.91406415487578,Chr01_4235627_5264100,0.9590270523052998,0.9964713086163604,0.9797829481815681,1,4235627
Chr01_5264101_5264149,0.926734632847643,0.61635961555083,0.378584306781341,0.893039620526795,Chr01_5264101_5264149,0.9590270523052998,0.9975906350907924,0.9778071047987654,1,5264101
Chr01_5264150_5885231,0.977469491791594,0.966190254275963,0.174528006452408,0.852256092558967,Chr01_5264150_5885231,0.9878284067626895,0.9524193862582835,0.9672555283386427,1,5264150
Chr01_5885232_5886075,0.363706938547436,0.64691835018728,0.387864486076136,"NA",Chr01_5885232_5886075,0.9590270523052998,0.9975906350907924,NA,1,5885232
Chr01_5886076_6253003,0.382799483121398,0.659926036540489,0.547683974095431,"NA",Chr01_5886076_6253003,0.9590270523052998,0.9975906350907924,NA,1,5886076
Chr01_6253004_6253851,0.366166131546598,0.654670907857914,0.660768576999574,"NA",Chr01_6253004_6253851,0.9590270523052998,0.9975906350907924,NA,1,6253004
Chr01_6253852_6811196,0.263408928461847,0.524362553675135,0.529399001143781,"NA",Chr01_6253852_6811196,0.9590270523052998,0.9975906350907924,NA,1,6253852
Chr01_6811197_6811650,0.410363831133472,0.64098730792228,0.651451954572325,"NA",Chr01_6811197_6811650,0.9590270523052998,0.9975906350907924,NA,1,6811197
Chr01_6811651_7107385,0.407751414685258,0.581209759799542,0.673749157280399,"NA",Chr01_6811651_7107385,0.9590270523052998,0.9975906350907924,NA,1,6811651
Chr01_7107386_7117068,0.39106043915589,0.579794813374181,0.180119931909074,"NA",Chr01_7107386_7117068,0.9590270523052998,0.9524193862582835,NA,1,7107386
Chr01_7117069_8021093,0.247799520625086,0.545540210337077,0.340647881609154,0.142532972161138,Chr01_7117069_8021093,0.9590270523052998,0.9975906350907924,0.6837128508354589,1,7117069
Chr01_8021094_8021338,0.774556600063992,0.757295329887394,0.913326378180092,"NA",Chr01_8021094_8021338,0.9590270523052998,0.9975906350907924,NA,1,8021094
Chr01_8021339_8546533,0.588072499657569,0.793711714631283,0.730984272907035,"NA",Chr01_8021339_8546533,0.9590270523052998,0.9975906350907924,NA,1,8021339
Chr01_8546534_8548055,0.165241876946109,0.357221731046812,0.622312964835839,"NA",Chr01_8546534_8548055,0.9590270523052998,0.9975906350907924,NA,1,8546534
Chr01_8548056_9439189,0.369809602935716,0.561923164631666,0.938393501774394,"NA",Chr01_8548056_9439189,0.9590270523052998,0.9975906350907924,NA,1,8548056
Chr01_9439190_9439923,0.486223833807826,0.654689712481149,0.906086330491326,"NA",Chr01_9439190_9439923,0.9590270523052998,0.9975906350907924,NA,1,9439190
Chr01_9439924_10127710,0.913617134299677,0.792151563529706,0.958946225055473,"NA",Chr01_9439924_10127710,0.9590270523052998,0.9975906350907924,NA,1,9439924
Chr01_10127711_10127775,0.761126614270385,0.762501234892578,0.681129864554695,"NA",Chr01_10127711_10127775,0.9590270523052998,0.9975906350907924,NA,1,10127711
Chr01_10127776_10700451,0.561510440099084,0.635278798648896,0.708621424126823,"NA",Chr01_10127776_10700451,0.9590270523052998,0.9975906350907924,NA,1,10127776
Chr01_10700452_10700489,0.587550332737457,0.549266308796746,0.836433842757519,"NA",Chr01_10700452_10700489,0.9590270523052998,0.9975906350907924,NA,1,10700452
Chr01_10700490_11189458,0.289129127541571,0.34685269873819,0.892543773149485,0.129630058348677,Chr01_10700490_11189458,0.9590270523052998,0.9975906350907924,0.6801492602641503,1,10700490
Chr01_11189459_11289027,0.446939932827049,0.30097517496174,0.816423288089733,"NA",Chr01_11189459_11289027,0.9590270523052998,0.9975906350907924,NA,1,11189459
Chr01_11289028_11965532,0.875280355169007,0.196450933550744,0.836400512986349,0.871040422070275,Chr01_11289028_11965532,0.9590270523052998,0.9975906350907924,0.9735049274548851,1,11289028
Chr01_11965533_11966198,0.297943042594974,0.150341442110701,0.756497589548591,"NA",Chr01_11965533_11966198,0.9590270523052998,0.9975906350907924,NA,1,11965533
Chr01_11966199_12330339,0.361643394714502,0.13781652276025,0.632616352036575,"NA",Chr01_11966199_12330339,0.9590270523052998,0.9975906350907924,NA,1,11966199
Chr01_12330340_12330527,0.260327391042157,0.0968548226109169,0.834385594571269,"NA",Chr01_12330340_12330527,0.9590270523052998,0.9975906350907924,NA,1,12330340
Chr01_12330528_13051606,0.277781963193584,0.117091408145508,0.863994161406515,"NA",Chr01_12330528_13051606,0.9590270523052998,0.9975906350907924,NA,1,12330528
Chr01_13051607_13052006,0.227263050636928,0.137487598655775,0.693993642351301,"NA",Chr01_13051607_13052006,0.9590270523052998,0.9975906350907924,NA,1,13051607
Chr01_13052007_13382483,0.211528515235062,0.112172372776399,0.815565781566608,"NA",Chr01_13052007_13382483,0.9590270523052998,0.9975906350907924,NA,1,13052007
Chr01_13382484_13382509,0.1799473967403,0.0859591508848427,0.804030586168643,"NA",Chr01_13382484_13382509,0.9590270523052998,0.9975906350907924,NA,1,13382484
Chr01_13382510_13576339,0.15293669959933,0.0491531369019695,0.865317846912744,"NA",Chr01_13382510_13576339,0.9590270523052998,0.9975906350907924,NA,1,13382510
Chr01_13576340_13576350,0.243611259159114,0.124362597713859,0.631033120946889,"NA",Chr01_13576340_13576350,0.9590270523052998,0.9975906350907924,NA,1,13576340
Chr01_13576351_14061355,0.334363324303716,0.196537803015136,0.582538983579735,"NA",Chr01_13576351_14061355,0.9590270523052998,0.9975906350907924,NA,1,13576351
Chr01_14061356_14061634,0.204640802480702,0.099062262915879,0.596123809111939,"NA",Chr01_14061356_14061634,0.9590270523052998,0.9975906350907924,NA,1,14061356
Chr01_14061635_14604721,0.277738620001766,0.144998459194138,0.980669384985276,"NA",Chr01_14061635_14604721,0.9590270523052998,0.9975906350907924,NA,1,14061635
Chr01_14604722_14607157,0.626385638318881,0.410562921273085,0.800777165986774,"NA",Chr01_14604722_14607157,0.9590270523052998,0.9975906350907924,NA,1,14604722
Chr01_14607158_15449572,0.668020225618421,0.404928763852314,0.679255387037972,"NA",Chr01_14607158_15449572,0.9590270523052998,0.9975906350907924,NA,1,14607158
Chr01_15449573_15456448,0.469672607428647,0.273235431535022,0.99180878894125,"NA",Chr01_15449573_15456448,0.9590270523052998,0.9976611708132064,NA,1,15449573
Chr01_15456449_16406535,0.500519882204466,0.577574415685813,0.971597741894953,0.452035699655572,Chr01_15456449_16406535,0.9590270523052998,0.9975906350907924,0.8748379174972081,1,15456449
Chr01_16406536_16454790,0.404801112501752,0.906820671858438,0.865968908237924,0.411525841623064,Chr01_16406536_16454790,0.9696395340430448,0.9975906350907924,0.8748379174972081,1,16406536
