Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.0207185550574665,0.583560173013821,0.625334970353964,0.9701089672488571,0.9894789998970501,1,1
Chr01_126238_809425,0.0204992945692223,0.569055382682235,0.620639834607744,0.9676616005892661,0.9894789998970501,1,126238
Chr01_809426_814269,0.0461291412589861,0.607483258093535,0.509767919480356,0.9701089672488571,0.98038659985519,1,809426
Chr01_814270_1367747,0.0287070384057924,0.465337987473796,0.417115408456825,0.9316434135909887,0.9620022340346017,1,814270
Chr01_1367748_1367899,0.00982553964380135,0.188157189929033,0.685496585023483,0.8500802528335567,0.9894789998970501,1,1367748
Chr01_1367900_2042574,0.00735510380643172,0.171946204907988,0.687137107588167,0.8364924557694308,0.9894789998970501,1,1367900
Chr01_2042575_2043251,0.00583354568317604,0.119166559706849,0.906513152288541,0.8024992797041649,0.9956970760401568,1,2042575
Chr01_2043252_2231677,0.011303237744579,0.437952612534869,0.667803999517807,0.9190468064997903,0.9894789998970501,1,2043252
Chr01_2231678_2231705,0.0104779352934728,0.627269134592072,0.917745864248664,0.9701089672488571,0.9958214175289382,1,2231678
Chr01_2231706_3033846,0.00914857361751067,0.664424463635537,0.884764264488302,0.9701089672488571,0.9933794871874913,1,2231706
Chr01_3033847_3052413,0.00285670991864972,0.546524149396348,0.793685275014268,0.9654066014814571,0.9894789998970501,1,3033847
Chr01_3052414_4229970,0.0106367669010268,0.425020442482145,0.182122815636293,0.9081437010069842,0.7985486397304543,1,3052414
Chr01_4229971_4235626,0.00668871865350915,0.429095954691079,0.130039277779986,0.9081745150934265,0.7726191664175119,1,4229971
Chr01_4235627_5264100,0.0357656367079859,0.554584364102471,0.067135027358623,0.9662999429881763,0.7645472306650107,1,4235627
Chr01_5264101_5264149,0.0442094408959197,0.676565024711987,0.0594729376000114,0.9701089672488571,0.7645472306650107,1,5264101
Chr01_5264150_5885231,0.0169808471893143,0.78486360944652,0.0678933972711812,0.9701089672488571,0.7645472306650107,1,5264150
Chr01_5885232_5886075,0.016540891169509,0.820415062789783,0.0765392955606453,0.9701089672488571,0.7645472306650107,1,5885232
Chr01_5886076_6253003,0.00557087188031383,0.874846058179017,0.161690262048529,0.9808851127259364,0.7764755184338227,1,5886076
Chr01_6253004_6253851,0.0173915831614443,0.893962761554941,0.167939063411409,0.9808851127259364,0.7854660412163471,1,6253004
Chr01_6253852_6811196,0.030840676584919,0.959867185022397,0.147963104116302,0.995223666999308,0.7726191664175119,1,6253852
Chr01_6811197_6811650,0.0754490481922965,0.708584703635692,0.0495632280604021,0.9701089672488571,0.7645472306650107,1,6811197
Chr01_6811651_7107385,0.0302606395791797,0.824056315179115,0.0378577626366333,0.9701089672488571,0.7645472306650107,1,6811651
Chr01_7107386_7117068,0.122980175210769,0.823123271495776,0.00320798610208904,0.9701089672488571,0.481603222928488,1,7107386
Chr01_7117069_8021093,0.199855186558621,0.385658582787889,0.00292074898530465,0.8956064044948434,0.481603222928488,1,7117069
Chr01_8021094_8021338,0.336106177913216,0.373405297269471,0.0209088933732838,0.8956064044948434,0.7645472306650107,1,8021094
Chr01_8021339_8546533,0.132022325678651,0.406417444199633,0.0378954696268153,0.8956064044948434,0.7645472306650107,1,8021339
Chr01_8546534_8548055,0.0211722682452449,0.743794852750809,0.0347441470879598,0.9701089672488571,0.7645472306650107,1,8546534
Chr01_8548056_9439189,0.00829343659717409,0.868645910289188,0.132853461951077,0.9808851127259364,0.7726191664175119,1,8548056
Chr01_9439190_9439923,0.0254744786800949,0.449494713258841,0.0736776820185022,0.9196702565812743,0.7645472306650107,1,9439190
Chr01_9439924_10127710,0.00726118280215181,0.396154329645251,0.148350863053462,0.8956064044948434,0.7726191664175119,1,9439924
Chr01_10127711_10127775,0.00725066151318641,0.483561246758369,0.171183987483666,0.940746425511736,0.7925489420517806,1,10127711
Chr01_10127776_10700451,0.0106675894479872,0.713054575643162,0.202383966975762,0.9701089672488571,0.8223449797369571,1,10127776
Chr01_10700452_10700489,0.00914113103183081,0.895726383820031,0.353014558125254,0.9808851127259364,0.9620022340346017,1,10700452
Chr01_10700490_11189458,0.00664415138989536,0.824775936668675,0.485779315993325,0.9701089672488571,0.98038659985519,1,10700490
