Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.111359898534742,0.726534223922204,0.459883525619815,0.9545053992320361,0.9154439131495256,1,1
Chr01_126238_809425,0.115030795972987,0.746600693706314,0.453136270278034,0.9563799360647964,0.9154439131495256,1,126238
Chr01_809426_814269,0.185791622134337,0.714413512731579,0.374611302306269,0.9523233295454953,0.9068891055256358,1,809426
Chr01_814270_1367747,0.147921735071323,0.908886969883963,0.356054541092297,0.9814108420025146,0.8952494074983864,1,814270
Chr01_1367748_1367899,0.0764545141711079,0.534811690095504,0.643590834728311,0.9473800232944732,0.943914419866,1,1367748
Chr01_1367900_2042574,0.0577572052420696,0.563412047706661,0.604784315943253,0.9480184531481378,0.9399126893874942,1,1367900
Chr01_2042575_2043251,0.0564892629494175,0.436588245949297,0.775160384496633,0.9411270865229568,0.9688255657131712,1,2042575
Chr01_2043252_2231677,0.0654718810812214,0.868950321340752,0.690174129669048,0.9640543311649127,0.9563132185198464,1,2043252
Chr01_2231678_2231705,0.0565434087208677,0.561480042237411,0.835428261257805,0.9480184531481378,0.9815952874806638,1,2231678
Chr01_2231706_3033846,0.0526369704837471,0.536713690410571,0.815589945235616,0.9473800232944732,0.9815952874806638,1,2231706
Chr01_3033847_3052413,0.0220477380133529,0.430495437679622,0.666886761563434,0.9411270865229568,0.943914419866,1,3033847
Chr01_3052414_4229970,0.0885816079396898,0.694444260056744,0.109175586569721,0.9523233295454953,0.6966978752962829,1,3052414
Chr01_4229971_4235626,0.0740877717340928,0.738804115898678,0.0840042972507918,0.9563799360647964,0.6966978752962829,1,4229971
Chr01_4235627_5264100,0.150073500604491,0.822188339227838,0.0739859322485948,0.9601588084711944,0.6966978752962829,1,4235627
Chr01_5264101_5264149,0.114378241081357,0.663313767812261,0.0522229157426056,0.9523233295454953,0.6966978752962829,1,5264101
Chr01_5264150_5885231,0.0730643493854083,0.517399995066063,0.0511174606628162,0.9473800232944732,0.6966978752962829,1,5264150
Chr01_5885232_5886075,0.0765994769138127,0.64682470256139,0.084747879426827,0.9523233295454953,0.6966978752962829,1,5885232
Chr01_5886076_6253003,0.0244612915507531,0.715973095110009,0.286700595034761,0.9523233295454953,0.8518808972571655,1,5886076
Chr01_6253004_6253851,0.0299232206437754,0.634931525672525,0.434249801795261,0.9523233295454953,0.9154439131495256,1,6253004
Chr01_6253852_6811196,0.0607268027778687,0.650302815787777,0.429823820983572,0.9523233295454953,0.9154439131495256,1,6253852
Chr01_6811197_6811650,0.144725005197396,0.387856057652625,0.180084574698855,0.9290235835413162,0.7631007401919458,1,6811197
Chr01_6811651_7107385,0.105563681961522,0.530751339616158,0.15098826326789,0.9473800232944732,0.7343520077120104,1,6811651
Chr01_7107386_7117068,0.235583129863445,0.60258597422257,0.0300598534996866,0.9501258903735834,0.6966978752962829,1,7107386
Chr01_7117069_8021093,0.284470627943143,0.643448376197971,0.0199827938900508,0.9523233295454953,0.6872653755756758,1,7117069
Chr01_8021094_8021338,0.457960304226636,0.796466341752842,0.0843249594352157,0.9601588084711944,0.6966978752962829,1,8021094
Chr01_8021339_8546533,0.187331728185435,0.775595244511841,0.161034415321761,0.9601588084711944,0.7491601060621055,1,8021339
Chr01_8546534_8548055,0.0616579968465009,0.703935730576184,0.187526700502292,0.9523233295454953,0.77291388213168,1,8546534
Chr01_8548056_9439189,0.0189755997055286,0.638701669652312,0.26648285572628,0.9523233295454953,0.8422033971714808,1,8548056
Chr01_9439190_9439923,0.145755565607586,0.815734216336763,0.103619625700302,0.9601588084711944,0.6966978752962829,1,9439190
Chr01_9439924_10127710,0.05449726811843,0.932529621882981,0.194804021279793,0.989643084159971,0.7824410092967304,1,9439924
Chr01_10127711_10127775,0.0470223452196009,0.713604509337448,0.198662937381236,0.9523233295454953,0.7852436142761227,1,10127711
Chr01_10127776_10700451,0.0426220549052296,0.445088008035572,0.107989644181702,0.9426118710498482,0.6966978752962829,1,10127776
Chr01_10700452_10700489,0.02545072236812,0.208941291627837,0.207115138137212,0.9290235835413162,0.7852436142761227,1,10700452
Chr01_10700490_11189458,0.0321812214543317,0.393074957585659,0.40792533098507,0.9290235835413162,0.9154439131495256,1,10700490
Chr01_11189459_11289027,0.0170457784851272,0.637131493298143,0.828310841682306,0.9523233295454953,0.9815952874806638,1,11189459
Chr01_11289028_11965532,0.00925077239107272,0.560181655958351,0.779688279779551,0.9480184531481378,0.9688255657131712,1,11289028
Chr01_11965533_11966198,0.00727135907667211,0.368715579782723,0.846027090975027,0.9290235835413162,0.9815952874806638,1,11965533
Chr01_11966199_12330339,0.0348459483344925,0.130960394772357,0.979941646330932,0.8926166110296915,0.994445690768528,1,11966199
Chr01_12330340_12330527,0.228170738888195,0.0466720730738893,0.88849049817326,0.7817068062708111,0.9886290345248662,1,12330340
Chr01_12330528_13051606,0.20830264749931,0.0418883207074732,0.708822246857211,0.775739477717244,0.9600503849838173,1,12330528
Chr01_13051607_13052006,0.104086903328887,0.0636391773371842,0.690031393210962,0.8470438952001934,0.9563132185198464,1,13051607
Chr01_13052007_13382483,0.0806703404808997,0.085436712038793,0.566959908269448,0.8470438952001934,0.9399126893874942,1,13052007
Chr01_13382484_13382509,0.0771513411082657,0.0505665049918933,0.608077507359285,0.7817068062708111,0.9399126893874942,1,13382484
Chr01_13382510_13576339,0.0311773232567667,0.0359383590726832,0.589214211533647,0.7293879824463665,0.9399126893874942,1,13382510
Chr01_13576340_13576350,0.0487768752091727,0.0560130643291415,0.721310365210553,0.8050832977457203,0.9633086411643009,1,13576340
Chr01_13576351_14061355,0.0592253346113756,0.0652244243234193,0.85739466806589,0.8470438952001934,0.9829417444612525,1,13576351
Chr01_14061356_14061634,0.0482368489206454,0.0878878872172554,0.537387468690545,0.8470438952001934,0.9364406858283307,1,14061356
