Pheno,Marker,Nig_P_adj,Linkage_Class
Blup_Transfo_PC1_PC3_y1_y2,Chr17_9135977_10478406,0.06217295921407901,suggestive
Blup_Transfo_PC1_PC3_y1_y2,Chr17_13349543_13731534,0.0053726917868961634,confirmed
Blup_Transfo_PC1_PC3_y1_y2,Chr17_13731535_13865657,0.008987590752499814,confirmed
Blup_Transfo_PC1_PC3_y1_y2,Chr17_13865658_14959995,0.04717857795913247,significant
Blup_Transfo_PC1_PC3_year2,Chr17_13349543_13731534,0.05946106482281351,suggestive
Blup_Transfo_PC1_PC3_year2,Chr17_13731535_13865657,0.05946106482281351,suggestive
Blup_Transfo_PC1_y1_y2,Chr17_9135977_10478406,0.07789604551588206,suggestive
Blup_Transfo_PC1_y1_y2,Chr17_13349543_13731534,0.017837779694692205,significant
Blup_Transfo_PC1_y1_y2,Chr17_13731535_13865657,0.031016150238246273,significant
Blup_Transfo_PC1_y1_y2,Chr17_13865658_14959995,0.07789604551588206,suggestive
Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_year2,Chr17_10878413_11065072,0.09558523269894044,suggestive
Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_year2,Chr17_13349543_13731534,0.09558523269894044,suggestive
Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_year2,Chr17_13731535_13865657,0.09558523269894044,suggestive
Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_y1_y2,Chr04_1_60379,0.05751313149831327,suggestive
Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_y1_y2,Chr04_60380_871979,0.05751313149831327,suggestive
Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_y1_y2,Chr04_871980_872101,0.06740309087754302,suggestive
