Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0292119122044678,0.775768959937544,0.660490503680678,0.116965941551441,0.750264440618897,0.9857242541303192,0.9784057064413089,0.39476005273611336,0.8869980972230181,1,1
Chr01_126238_809425,0.0376332957553088,0.749444877144412,0.634887399582909,0.151064274311188,0.723736074342863,0.9857242541303192,0.9784057064413089,0.42349474081910093,0.8869980972230181,1,126238
Chr01_809426_814269,0.0189491857572181,0.741725166639115,0.712701809614215,0.062849637038682,0.6049570736032,0.9857242541303192,0.9784057064413089,0.28307515592784016,0.8644524826764306,1,809426
Chr01_814270_1367747,0.0147612708689149,0.543363952006831,0.49065442493055,0.0549017283138358,0.377554903287168,0.9479338510553954,0.9727950506684184,0.2682901248163205,0.7655688225563837,1,814270
Chr01_1367748_1367899,0.00722585842825089,0.256203970863187,0.416243468352066,0.0387549313844614,0.335576203328,0.8880374421156918,0.9108635260253237,0.2523682384452889,0.7655688225563837,1,1367748
Chr01_1367900_2042574,0.0068166866951213,0.241763029869402,0.417124418460195,0.0380560464397755,0.336924336952447,0.8880374421156918,0.9108635260253237,0.2523682384452889,0.7655688225563837,1,1367900
Chr01_2042575_2043251,0.00568018650779646,0.169167618455822,0.375989234469103,0.0360527762699747,0.32110619859774,0.83116539067835,0.9108635260253237,0.2523682384452889,0.7655688225563837,1,2042575
Chr01_2043252_2231677,0.0104070682194646,0.587656189203979,0.274901954676677,0.04803842908415,0.27306629375371,0.9653661934435759,0.8708242840580261,0.25903861033128855,0.7655688225563837,1,2043252
Chr01_2231678_2231705,0.0107119741145086,0.742693237837639,0.364582523700704,0.0532488673526379,0.322952660873985,0.9857242541303192,0.9108635260253237,0.26580580566504186,0.7655688225563837,1,2231678
Chr01_2231706_3033846,0.0106613330391187,0.787255749466069,0.377822798973808,0.0546671449447418,0.331772582334384,0.9857242541303192,0.9108635260253237,0.2682901248163205,0.7655688225563837,1,2231706
Chr01_3033847_3052413,0.00448689182813437,0.712500165453526,0.356296273366503,0.0344208341764524,0.303145941285249,0.9857242541303192,0.9108635260253237,0.2509932877406704,0.7655688225563837,1,3033847
Chr01_3052414_4229970,0.00276563938891649,0.565740732531746,0.392294022067274,0.016360493269314,0.27509378062161,0.9653661934435759,0.9108635260253237,0.20282891386409757,0.7655688225563837,1,3052414
Chr01_4229971_4235626,0.00287583303598135,0.596177209501762,0.238785629695376,0.0177097216433666,0.183965227504614,0.9653661934435759,0.8413138882781971,0.20401599333158324,0.7655688225563837,1,4229971
Chr01_4235627_5264100,0.00294621467856343,0.686459294897679,0.201093360370187,0.0115047193747781,0.147784631981208,0.9857242541303192,0.8260418651987906,0.1755535788821338,0.7655688225563837,1,4235627
Chr01_5264101_5264149,0.00672619453546832,0.730196489570256,0.206401231737175,0.0206799258194461,0.150377303496056,0.9857242541303192,0.8260418651987906,0.21278494413781532,0.7655688225563837,1,5264101
Chr01_5264150_5885231,0.00653109656928379,0.863518856672953,0.215542057456442,0.0235712748170057,0.157067272925908,0.9857242541303192,0.8260418651987906,0.21502051196943595,0.7655688225563837,1,5264150
