Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.870440093949833,0.777944108704119,0.947664494345767,0.9543441741172822,0.985995312169922,1,1
Chr01_126238_809425,0.992079748090893,0.666765056545288,0.917344122822465,0.9531198591463969,0.985995312169922,1,126238
Chr01_809426_814269,0.583899843403594,0.585082727321236,0.725479796158028,0.9531198591463969,0.9632726477886063,1,809426
Chr01_814270_1367747,0.650705146092517,0.787616630644253,0.589929457458217,0.9623345136013078,0.9403451244120955,1,814270
Chr01_1367748_1367899,0.399877092824394,0.855298488506288,0.627276010511046,0.9717091761686826,0.9433894362543301,1,1367748
Chr01_1367900_2042574,0.662406162643972,0.975541621639894,0.608641812674792,0.997761456992358,0.9417437052632571,1,1367900
Chr01_2042575_2043251,0.659548900954746,0.958480210961664,0.502695078206287,0.9924907990925617,0.9014811179006599,1,2042575
Chr01_2043252_2231677,0.831093497940278,0.701871212970795,0.628394255576262,0.9531198591463969,0.9433894362543301,1,2043252
Chr01_2231678_2231705,0.962229084138952,0.596180132422781,0.99752626526583,0.9531198591463969,0.997630923854374,1,2231678
Chr01_2231706_3033846,0.999286608785114,0.647585368186562,0.957614632663721,0.9531198591463969,0.9869424669570519,1,2231706
Chr01_3033847_3052413,0.715871571072725,0.656522994957969,0.655696466398969,0.9531198591463969,0.9453826507822305,1,3033847
Chr01_3052414_4229970,0.967623828297192,0.960651367606355,0.40607175076124,0.993670533839871,0.8695375296114919,1,3052414
Chr01_4229971_4235626,0.986591624770463,0.687962268621133,0.139468651571343,0.9531198591463969,0.7958850942987155,1,4229971
Chr01_4235627_5264100,0.441448277407102,0.865027006471021,0.308136236869985,0.9717091761686826,0.8455179444780705,1,4235627
Chr01_5264101_5264149,0.13326993510948,0.494277793313562,0.402277817656076,0.9531198591463969,0.8695375296114919,1,5264101
Chr01_5264150_5885231,0.37129614164155,0.1194614480359,0.922237458646642,0.935295727305461,0.985995312169922,1,5264150
Chr01_5885232_5886075,0.571112296874213,0.0615993965321514,0.622182534755395,0.935295727305461,0.9420782719645368,1,5885232
Chr01_5886076_6253003,0.99502468377846,0.110867672818063,0.751338889309215,0.935295727305461,0.9666594481987089,1,5886076
Chr01_6253004_6253851,0.76458594652092,0.274331786734537,0.984156508316652,0.9531198591463969,0.9931531289070784,1,6253004
Chr01_6253852_6811196,0.768395837187718,0.379919081028762,0.844350161750431,0.9531198591463969,0.9666594481987089,1,6253852
Chr01_6811197_6811650,0.983609315652419,0.562599353260741,0.532629461530641,0.9531198591463969,0.9169465677438711,1,6811197
