Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.721774833180395,0.540799307877578,0.206495027882055,0.765067040748249,Chr01_1_126237,0.9437035141014618,0.7804277815218938,0.8747693910976255,1,1
Chr01_126238_809425,0.721774833180395,0.540799307877578,0.206495027882055,0.765067040748249,Chr01_126238_809425,0.9437035141014618,0.7804277815218938,0.8747693910976255,1,126238
Chr01_809426_814269,0.798308062323933,0.662210017429394,0.109255990778952,0.796962057652162,Chr01_809426_814269,0.9807096395846734,0.7449452251877994,0.897861841098032,1,809426
Chr01_814270_1367747,0.812319690809788,0.986533344322056,0.124617542871173,0.897841136578591,Chr01_814270_1367747,0.9971216180860666,0.7449452251877994,0.963766534718977,1,814270
Chr01_1367748_1367899,0.958725347819093,0.481347957914053,0.208724865179029,0.929067934266261,Chr01_1367748_1367899,0.9437035141014618,0.7804277815218938,0.9818824629602662,1,1367748
Chr01_1367900_2042574,0.917083552223718,0.609050786520408,0.137937985816083,0.951740269930573,Chr01_1367900_2042574,0.9730577674457938,0.7458002961920419,0.9837853968642625,1,1367900
Chr01_2042575_2043251,0.977386819976992,0.497183799077922,0.196834472782765,0.961546486573443,Chr01_2042575_2043251,0.9437035141014618,0.7804277815218938,0.9855628819893062,1,2042575
Chr01_2043252_2231677,0.865628420148673,0.751034171735999,0.479172390171362,0.806453022583813,Chr01_2043252_2231677,0.9807096395846734,0.8657014969064947,0.9035805763986519,1,2043252
Chr01_2231678_2231705,0.635384467803762,0.494439711287852,0.222349723789979,0.860149699588546,Chr01_2231678_2231705,0.9437035141014618,0.7804277815218938,0.9372892902592103,1,2231678
Chr01_2231706_3033846,0.648487305948263,0.506455586351106,0.226003791293222,0.85508315687654,Chr01_2231706_3033846,0.9437035141014618,0.7804277815218938,0.9372892902592103,1,2231706
Chr01_3033847_3052413,0.488742806490227,0.527963884481577,0.175049721588527,0.968932310501662,Chr01_3033847_3052413,0.9437035141014618,0.7649433039279467,0.9866076926169494,1,3033847
Chr01_3052414_4229970,0.517059413564677,0.71095377134635,0.0375891693678314,0.991920068255604,Chr01_3052414_4229970,0.9807096395846734,0.7449452251877994,0.992500201696223,1,3052414
Chr01_4229971_4235626,0.703328058933431,0.773171566273007,0.0597108396232352,0.427606923094891,Chr01_4229971_4235626,0.9840366498017196,0.7449452251877994,0.6704902875596702,1,4229971
Chr01_4235627_5264100,0.646723050478532,0.969703127834103,0.0503811044937728,0.444267476949936,Chr01_4235627_5264100,0.9971216180860666,0.7449452251877994,0.6722074076732276,1,4235627
Chr01_5264101_5264149,0.663631678117755,0.753209597800141,0.0565142437431167,0.487646670262955,Chr01_5264101_5264149,0.9807096395846734,0.7449452251877994,0.7012062190666379,1,5264101
Chr01_5264150_5885231,0.669561368949142,0.802003509920383,0.0840204130020022,0.482735588240895,Chr01_5264150_5885231,0.9861237928385561,0.7449452251877994,0.6993369680112391,1,5264150
Chr01_5885232_5886075,0.491105658373673,0.734622391054173,0.0814531232221591,"NA",Chr01_5885232_5886075,0.9807096395846734,0.7449452251877994,NA,1,5885232
Chr01_5886076_6253003,0.724851672779158,0.63724868513546,0.295496595339988,"NA",Chr01_5886076_6253003,0.9807096395846734,0.8292968965993213,NA,1,5886076
Chr01_6253004_6253851,0.746626827305417,0.694961586704003,0.37346101039283,"NA",Chr01_6253004_6253851,0.9807096395846734,0.8362070027021895,NA,1,6253004
Chr01_6253852_6811196,0.705369808576623,0.777603609474366,0.322617699903211,"NA",Chr01_6253852_6811196,0.9840366498017196,0.82983220749496,NA,1,6253852
Chr01_6811197_6811650,0.446498945198244,0.944896908564164,0.157034703231585,"NA",Chr01_6811197_6811650,0.9971216180860666,0.7556563135692315,NA,1,6811197
