Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.37658777375376,0.198498513197224,0.0928338562469859,0.8976932167464472,0.7312526161589045,1,1
Chr01_126238_809425,0.350229896965814,0.180961427829102,0.0936186750256001,0.8976932167464472,0.7312526161589045,1,126238
Chr01_809426_814269,0.535634683720856,0.213756171339654,0.0742535605216375,0.8976932167464472,0.6835718242311762,1,809426
Chr01_814270_1367747,0.669026055259179,0.185453399094845,0.0981626213914694,0.8976932167464472,0.7312526161589045,1,814270
Chr01_1367748_1367899,0.874648583013875,0.338487913481544,0.16586724171656,0.9215795077689566,0.7981940157631247,1,1367748
Chr01_1367900_2042574,0.588648182639751,0.375058048548059,0.218367844341412,0.9295134195336431,0.8373516667371321,1,1367900
Chr01_2042575_2043251,0.38276278441395,0.437903083678554,0.382834344875255,0.9502068494883122,0.9111799959467312,1,2042575
Chr01_2043252_2231677,0.313934317618891,0.130121013231088,0.74819479406797,0.8976932167464472,0.9801162326225068,1,2043252
Chr01_2231678_2231705,0.358653865229398,0.167328051463049,0.638061748384779,0.8976932167464472,0.9726471637414995,1,2231678
Chr01_2231706_3033846,0.413222679823891,0.21907817101604,0.720464190911124,0.8976932167464472,0.9801162326225068,1,2231706
Chr01_3033847_3052413,0.148651149095987,0.0730266721328499,0.951519566565526,0.8976932167464472,0.994825728019152,1,3033847
Chr01_3052414_4229970,0.241823889740863,0.165987975347924,0.755027456272763,0.8976932167464472,0.9801162326225068,1,3052414
Chr01_4229971_4235626,0.331194143926919,0.124429364295326,0.599883368622347,0.8976932167464472,0.9726471637414995,1,4229971
Chr01_4235627_5264100,0.601203750547199,0.370541886139117,0.77244633103767,0.9295134195336431,0.9801162326225068,1,4235627
Chr01_5264101_5264149,0.120091664287594,0.649216817495352,0.406839913925982,0.9836238428417917,0.9246916040716688,1,5264101
Chr01_5264150_5885231,0.0950903417511623,0.574741456863662,0.188152286088706,0.9836238428417917,0.8262119199908733,1,5264150
Chr01_5885232_5886075,0.085127733599889,0.621477255252286,0.470139381054501,0.9836238428417917,0.9530730195159752,1,5885232
Chr01_5886076_6253003,0.326436702918423,0.649738849389983,0.226465370841343,0.9836238428417917,0.8373516667371321,1,5886076
Chr01_6253004_6253851,0.276406806456339,0.609258344941076,0.344942844132033,0.9836238428417917,0.8764642715017092,1,6253004
Chr01_6253852_6811196,0.425255365728109,0.724731084902697,0.409106219485192,0.9836238428417917,0.9246916040716688,1,6253852
Chr01_6811197_6811650,0.46888762958399,0.911160602597015,0.51659785962619,0.992510697698383,0.9574652070723049,1,6811197
Chr01_6811651_7107385,0.353705174823467,0.795367856250652,0.504298130401858,0.9836238428417917,0.9574652070723049,1,6811651
Chr01_7107386_7117068,0.998850661995924,0.620962363033331,0.185503415693494,0.9836238428417917,0.8204956101148664,1,7107386
Chr01_7117069_8021093,0.703519637891848,0.287848625239142,0.502796495686509,0.9088466429681762,0.9574652070723049,1,7117069
Chr01_8021094_8021338,0.760068771315794,0.212387115001922,0.544036020396978,0.8976932167464472,0.9612966745730087,1,8021094
Chr01_8021339_8546533,0.188393528008415,0.265961004029295,0.789861636657148,0.9088466429681762,0.9852807721513388,1,8021339
Chr01_8546534_8548055,0.0488801498136106,0.295010319401618,0.541843041304462,0.910605243773266,0.9609481561255929,1,8546534
Chr01_8548056_9439189,0.050035214124976,0.19753103014638,0.710668597093696,0.8976932167464472,0.9801162326225068,1,8548056
Chr01_9439190_9439923,0.247002485805437,0.166365106666829,0.530196189569017,0.8976932167464472,0.9604036999489497,1,9439190
Chr01_9439924_10127710,0.359720585691841,0.326435393707082,0.508448637169886,0.9163646082422581,0.9574652070723049,1,9439924
Chr01_10127711_10127775,0.519918434550601,0.301901722860379,0.566873256856135,0.910605243773266,0.9705117704513135,1,10127711
Chr01_10127776_10700451,0.356974839670486,0.106144408559155,0.71633081199282,0.8976932167464472,0.9801162326225068,1,10127776
Chr01_10700452_10700489,0.186828371055532,0.119089252264581,0.589836210809156,0.8976932167464472,0.9726471637414995,1,10700452
Chr01_10700490_11189458,0.169575834903686,0.152033355811744,0.821857192851073,0.8976932167464472,0.994825728019152,1,10700490
Chr01_11189459_11289027,0.336561508259686,0.140908418744568,0.763401243577982,0.8976932167464472,0.9801162326225068,1,11189459
Chr01_11289028_11965532,0.492998696718052,0.163961132480264,0.757321674714664,0.8976932167464472,0.9801162326225068,1,11289028
Chr01_11965533_11966198,0.484087887740256,0.0888213863356031,0.889128782908626,0.8976932167464472,0.994825728019152,1,11965533
Chr01_11966199_12330339,0.576564783215402,0.089853323772099,0.97141783070539,0.8976932167464472,0.994825728019152,1,11966199
Chr01_12330340_12330527,0.38865810075717,0.0445399082028456,0.654592963510988,0.8976932167464472,0.9740189023316785,1,12330340
Chr01_12330528_13051606,0.435765672544269,0.0558576147156907,0.745051668429809,0.8976932167464472,0.9801162326225068,1,12330528
Chr01_13051607_13052006,0.247110195502832,0.106804429502956,0.844121113165702,0.8976932167464472,0.994825728019152,1,13051607
Chr01_13052007_13382483,0.310807929285307,0.223895706427007,0.558383125061773,0.8976932167464472,0.9659006303743951,1,13052007
