Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.115401691805588,0.363847896200016,0.883762529602577,1,1
Chr01_126238_809425,0.115401691805588,0.363847896200016,0.883762529602577,1,126238
Chr01_809426_814269,0.181957847695,0.288061453489266,0.8180261453686277,1,809426
Chr01_814270_1367747,0.157670585827504,0.259987754367571,0.7848841669708688,1,814270
Chr01_1367748_1367899,0.091044207901832,0.440935781538229,0.9033124244750391,1,1367748
Chr01_1367900_2042574,0.0875209874947794,0.348312206266324,0.8731902409766132,1,1367900
Chr01_2042575_2043251,0.0935369786778574,0.480746570081155,0.9172895162325534,1,2042575
Chr01_2043252_2231677,0.0846999318155218,0.984771556952328,0.9972765925961671,1,2043252
Chr01_2231678_2231705,0.097825560062287,0.422738959403336,0.89607438160351,1,2231678
Chr01_2231706_3033846,0.0907471260616443,0.405215496461147,0.89607438160351,1,2231706
Chr01_3033847_3052413,0.0312854562788116,0.394383623722824,0.89607438160351,1,3033847
Chr01_3052414_4229970,0.115009156330357,0.0465331349589305,0.7257227776420004,1,3052414
Chr01_4229971_4235626,0.117345958635244,0.0662231448588904,0.7257227776420004,1,4229971
Chr01_4235627_5264100,0.210134156461227,0.034496214008391,0.7257227776420004,1,4235627
Chr01_5264101_5264149,0.178317013863169,0.0523487312464326,0.7257227776420004,1,5264101
Chr01_5264150_5885231,0.0971403378539229,0.0982290616325422,0.7257227776420004,1,5264150
Chr01_5885232_5886075,0.110721693435185,0.0851369743336509,0.7257227776420004,1,5885232
Chr01_5886076_6253003,0.0480760320720006,0.237910623966352,0.7703363404524572,1,5886076
Chr01_6253004_6253851,0.0733601588252314,0.29930327025117,0.8326547372975862,1,6253004
Chr01_6253852_6811196,0.11426229464901,0.209765834704485,0.7539221921718887,1,6253852
Chr01_6811197_6811650,0.179033754432006,0.118512844598343,0.7257227776420004,1,6811197
Chr01_6811651_7107385,0.113156641554519,0.152698217479811,0.7360572808161352,1,6811651
Chr01_7107386_7117068,0.28357529273372,0.0572053493160421,0.7257227776420004,1,7107386
Chr01_7117069_8021093,0.178628066430241,0.0426763481716478,0.7257227776420004,1,7117069
Chr01_8021094_8021338,0.38874512948177,0.0565207056735418,0.7257227776420004,1,8021094
Chr01_8021339_8546533,0.181662705702858,0.0889254652592486,0.7257227776420004,1,8021339
Chr01_8546534_8548055,0.194376481901059,0.116441303581907,0.7257227776420004,1,8546534
Chr01_8548056_9439189,0.128565223910131,0.210341928223505,0.7539221921718887,1,8548056
Chr01_9439190_9439923,0.224543793287338,0.110930631104487,0.7257227776420004,1,9439190
Chr01_9439924_10127710,0.0892176025289367,0.157804912581196,0.7360572808161352,1,9439924
Chr01_10127711_10127775,0.0728781052228259,0.174489481808762,0.746272904239349,1,10127711
Chr01_10127776_10700451,0.0349846649305087,0.0954340046219357,0.7257227776420004,1,10127776
Chr01_10700452_10700489,0.0231247779832555,0.238193359896173,0.7703363404524572,1,10700452
Chr01_10700490_11189458,0.0214818207398617,0.448014130879658,0.9038424801743692,1,10700490
Chr01_11189459_11289027,0.0150518757136154,0.768683093435869,0.9428586706306042,1,11189459
Chr01_11289028_11965532,0.0208434118066072,0.84882714570849,0.9473230938177583,1,11289028
Chr01_11965533_11966198,0.0218808608114699,0.754481514943872,0.9428586706306042,1,11965533
Chr01_11966199_12330339,0.0195867886696385,0.984446650611988,0.9972765925961671,1,11966199
Chr01_12330340_12330527,0.066377688619519,0.915081118906961,0.9665923077196045,1,12330340
Chr01_12330528_13051606,0.0826354435731276,0.82815294748008,0.9473230938177583,1,12330528
Chr01_13051607_13052006,0.097743113710478,0.859038137966423,0.9473230938177583,1,13051607
Chr01_13052007_13382483,0.0489348653344925,0.686334006933929,0.9422149773407607,1,13052007
Chr01_13382484_13382509,0.0514035450520564,0.688041388754327,0.9422149773407607,1,13382484
Chr01_13382510_13576339,0.0375722703969394,0.671173411708323,0.9422149773407607,1,13382510
Chr01_13576340_13576350,0.04663118247188,0.749262873803801,0.9428586706306042,1,13576340
Chr01_13576351_14061355,0.0454174445099629,0.750781617871621,0.9428586706306042,1,13576351
Chr01_14061356_14061634,0.0274139581041373,0.521745316266206,0.9207687549789454,1,14061356
Chr01_14061635_14604721,0.0177095166614777,0.54026315670116,0.9262602392590669,1,14061635
Chr01_14604722_14607157,0.0382496545552448,0.304358382515866,0.8330726654110832,1,14604722
Chr01_14607158_15449572,0.0398997891742021,0.13610553396373,0.7360572808161352,1,14607158
Chr01_15449573_15456448,0.00766869262421645,0.0778405636115122,0.7257227776420004,1,15449573
Chr01_15456449_16406535,0.0160948890929914,0.0813872697331261,0.7257227776420004,1,15456449
Chr01_16406536_16454790,0.00730215507894982,0.13272384045874,0.7360572808161352,1,16406536
Chr01_16454791_19216253,0.010755140234614,0.109353814569114,0.7257227776420004,1,16454791
Chr01_19216254_19216663,0.00903983297933447,0.173314182605129,0.746272904239349,1,19216254
Chr01_19216664_20661429,0.0141548316264245,0.189491402207434,0.7539221921718887,1,19216664
Chr01_20661430_20662913,0.0107693016611328,0.156953593072242,0.7360572808161352,1,20661430
Chr01_20662914_21251875,0.0142141728869722,0.233028688343213,0.7703363404524572,1,20662914
Chr01_21251876_21488109,0.0458340857900085,0.144564365110057,0.7360572808161352,1,21251876
Chr01_21488110_22523058,0.0550839635543992,0.0879500900292522,0.7257227776420004,1,21488110
Chr01_22523059_22523376,0.0563143919211329,0.0799755665984236,0.7257227776420004,1,22523059
Chr01_22523377_25610270,0.0228549587573757,0.184957038938818,0.7482076470838286,1,22523377
Chr01_25610271_25623774,0.0380610328185328,0.150064946630809,0.7360572808161352,1,25610271
Chr01_25623775_25991881,0.0201547476669484,0.136111386764843,0.7360572808161352,1,25623775
Chr01_25991882_26001088,0.0293144020091091,0.155736276891812,0.7360572808161352,1,25991882
Chr01_26001089_26286066,0.0259389210594744,0.143693031631826,0.7360572808161352,1,26001089
Chr01_26286067_26293474,0.0386221338482157,0.121467164449346,0.7257227776420004,1,26286067
Chr01_26293475_26583692,0.0297099198859062,0.182928416123545,0.7482076470838286,1,26293475
Chr01_26583693_26647317,0.0822639741153918,0.113076624519384,0.7257227776420004,1,26583693
Chr01_26647318_27308826,0.079277148023402,0.06444800603563,0.7257227776420004,1,26647318
Chr01_27308827_27314420,0.0296880005693871,0.0467115536215707,0.7257227776420004,1,27308827
Chr01_27314421_27701084,0.00768192216703489,0.0786282910604948,0.7257227776420004,1,27314421
Chr01_27701085_27712150,0.0102381758705907,0.101545150263634,0.7257227776420004,1,27701085
Chr01_27712151_27987745,0.032764324855515,0.0896988141645461,0.7257227776420004,1,27712151
Chr01_27987746_27996902,0.0303125054498212,0.061716010876022,0.7257227776420004,1,27987746
Chr01_27996903_28327995,0.0211501592905623,0.0845541702595161,0.7257227776420004,1,27996903
Chr01_28327996_28328780,0.0695861511145245,0.126641278857068,0.7257227776420004,1,28327996
Chr01_28328781_28712697,0.0503793655420463,0.126556981304002,0.7257227776420004,1,28328781
Chr01_28712698_28712702,0.0446158979763734,0.183129878520226,0.7482076470838286,1,28712698
Chr01_28712703_29260469,0.0284385671799585,0.207780848629806,0.7539221921718887,1,28712703
Chr01_29260470_29264772,0.0207519434453561,0.166555477002318,0.7378868109004282,1,29260470
Chr01_29264773_29827856,0.0222292038969656,0.243749345788926,0.7703363404524572,1,29264773
Chr01_29827857_29864780,0.0176297335890887,0.122381794767299,0.7257227776420004,1,29827857
Chr01_29864781_30461232,0.0301121885405406,0.0324441320781229,0.7257227776420004,1,29864781
Chr01_30461233_30463952,0.0453445704586521,0.0792625771707879,0.7257227776420004,1,30461233
Chr01_30463953_31287140,0.0457036839740461,0.140483147723298,0.7360572808161352,1,30463953
Chr01_31287141_31299042,0.0524305493438956,0.0668569077421706,0.7257227776420004,1,31287141
Chr01_31299043_32249075,0.0350554455841645,0.121139697128783,0.7257227776420004,1,31299043
Chr01_32249076_32254238,0.058100064497617,0.055751694552193,0.7257227776420004,1,32249076
Chr01_32254239_32925441,0.0860649667194846,0.078577896791923,0.7257227776420004,1,32254239
Chr01_32925442_32925676,0.0465810544030083,0.122852653411751,0.7257227776420004,1,32925442
Chr01_32925677_33648211,0.0503386927100475,0.108088398477931,0.7257227776420004,1,32925677
