Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.738514350843071,0.536175910352451,0.869722139834848,0.386670863235591,Chr01_1_126237,0.9936954657970266,0.9899159389484172,0.786563647451978,1,1
Chr01_126238_809425,0.738514350843071,0.536175910352451,0.869722139834848,0.386670863235591,Chr01_126238_809425,0.9936954657970266,0.9899159389484172,0.786563647451978,1,126238
Chr01_809426_814269,0.363824139142678,0.605579044985878,0.922427857151783,0.174583639996006,Chr01_809426_814269,0.9936954657970266,0.9899159389484172,0.6211724170796874,1,809426
Chr01_814270_1367747,0.735175682874181,0.467853726589918,0.939447701314234,0.377606562224212,Chr01_814270_1367747,0.9936954657970266,0.9899159389484172,0.786563647451978,1,814270
Chr01_1367748_1367899,0.631567137795061,0.789028622063029,0.633122154621342,0.395536313984445,Chr01_1367748_1367899,0.9936954657970266,0.9868845028600389,0.786563647451978,1,1367748
Chr01_1367900_2042574,0.554216567196378,0.808167313440017,0.687581119297656,0.368959105340862,Chr01_1367900_2042574,0.9936954657970266,0.9868845028600389,0.786563647451978,1,1367900
Chr01_2042575_2043251,0.458378568402169,0.864143785254079,0.707430212268016,0.33328119651304,Chr01_2042575_2043251,0.9936954657970266,0.9868845028600389,0.78605665718588,1,2042575
Chr01_2043252_2231677,0.533886271638546,0.493449159570636,0.318519391982545,0.300673034300222,Chr01_2043252_2231677,0.9936954657970266,0.9781038018895585,0.7640708417746895,1,2043252
Chr01_2231678_2231705,0.751670219978173,0.282272351652486,0.507172350895911,0.324655672635596,Chr01_2231678_2231705,0.9936954657970266,0.9781038018895585,0.78605665718588,1,2231678
Chr01_2231706_3033846,0.803410286145856,0.245678443491661,0.544061112987207,0.331931129942442,Chr01_2231706_3033846,0.9936954657970266,0.9837945180063702,0.78605665718588,1,2231706
Chr01_3033847_3052413,0.904206868923802,0.0998338513175836,0.95989057643309,0.357428721368662,Chr01_3033847_3052413,0.8177721107963019,0.9910936694641412,0.786563647451978,1,3033847
Chr01_3052414_4229970,0.930549284386689,0.279129626169901,0.44834463522284,0.394058317892629,Chr01_3052414_4229970,0.9936954657970266,0.9781038018895585,0.786563647451978,1,3052414
Chr01_4229971_4235626,0.204675914701945,0.314814605816354,0.568945841154988,0.0862468543187381,Chr01_4229971_4235626,0.9936954657970266,0.9837945180063702,0.4858309041440844,1,4229971
Chr01_4235627_5264100,0.192434871592786,0.59638712395244,0.420811755449637,0.098581646064465,Chr01_4235627_5264100,0.9936954657970266,0.9781038018895585,0.512958734606623,1,4235627
Chr01_5264101_5264149,0.170734707555038,0.579033587435952,0.571041354189897,0.0915828525975765,Chr01_5264101_5264149,0.9936954657970266,0.9837945180063702,0.4976271813709024,1,5264101
Chr01_5264150_5885231,0.222880367877247,0.236622804834045,0.350775077184317,0.0821844047662929,Chr01_5264150_5885231,0.9936954657970266,0.9781038018895585,0.4751829353868125,1,5264150
Chr01_5885232_5886075,0.107963797958322,0.195645759275479,0.342748596937636,"NA",Chr01_5885232_5886075,0.9936954657970266,0.9781038018895585,NA,1,5885232
Chr01_5886076_6253003,0.259247109408461,0.365956566801306,0.538237224981567,"NA",Chr01_5886076_6253003,0.9936954657970266,0.9811295701092565,NA,1,5886076
Chr01_6253004_6253851,0.189605937937876,0.215468183082508,0.916294161397981,"NA",Chr01_6253004_6253851,0.9936954657970266,0.9899159389484172,NA,1,6253004
Chr01_6253852_6811196,0.223237344604888,0.229071179681638,0.936665711243587,"NA",Chr01_6253852_6811196,0.9936954657970266,0.9899159389484172,NA,1,6253852
Chr01_6811197_6811650,0.246795451406816,0.230930399606056,0.773015256401918,"NA",Chr01_6811197_6811650,0.9936954657970266,0.9899159389484172,NA,1,6811197
Chr01_6811651_7107385,0.429725120933725,0.433466652326966,0.854516556278334,"NA",Chr01_6811651_7107385,0.9936954657970266,0.9899159389484172,NA,1,6811651
Chr01_7107386_7117068,0.689980845650052,0.790184480461792,0.238224746516522,"NA",Chr01_7107386_7117068,0.9936954657970266,0.9781038018895585,NA,1,7107386
Chr01_7117069_8021093,0.094991458028093,0.825652753194933,0.29579718107166,0.0631012819417776,Chr01_7117069_8021093,0.9936954657970266,0.9781038018895585,0.4735735250874004,1,7117069
Chr01_8021094_8021338,0.638613511332302,0.672170503897975,0.728063006939708,"NA",Chr01_8021094_8021338,0.9936954657970266,0.9868845028600389,NA,1,8021094
Chr01_8021339_8546533,0.85403936142053,0.949649606991004,0.591371813820745,"NA",Chr01_8021339_8546533,0.993725879606859,0.9868845028600389,NA,1,8021339
Chr01_8546534_8548055,0.879336672768532,0.994083014940139,0.915282144106646,"NA",Chr01_8546534_8548055,0.999632819722054,0.9899159389484172,NA,1,8546534
Chr01_8548056_9439189,0.6440293425552,0.655977611213788,0.405512587600618,"NA",Chr01_8548056_9439189,0.9936954657970266,0.9781038018895585,NA,1,8548056
Chr01_9439190_9439923,0.920620745618578,0.838996936538776,0.942340610916108,"NA",Chr01_9439190_9439923,0.9936954657970266,0.9899159389484172,NA,1,9439190
Chr01_9439924_10127710,0.391037898222744,0.415184783948778,0.688566923746666,"NA",Chr01_9439924_10127710,0.9936954657970266,0.9868845028600389,NA,1,9439924
Chr01_10127711_10127775,0.313088578201518,0.448908184574101,0.36939321239287,"NA",Chr01_10127711_10127775,0.9936954657970266,0.9781038018895585,NA,1,10127711
Chr01_10127776_10700451,0.128065999564942,0.229461415274869,0.348928189158963,"NA",Chr01_10127776_10700451,0.9936954657970266,0.9781038018895585,NA,1,10127776
Chr01_10700452_10700489,0.199940067114827,0.207703337774993,0.525706333707466,"NA",Chr01_10700452_10700489,0.9936954657970266,0.9781038018895585,NA,1,10700452
Chr01_10700490_11189458,0.637973380776993,0.0529425610878977,0.377740693198727,0.695027580998165,Chr01_10700490_11189458,0.5960709524837424,0.9781038018895585,0.9277107276801594,1,10700490
Chr01_11189459_11289027,0.130651077954799,0.16343560959064,0.358587208506688,"NA",Chr01_11189459_11289027,0.9936954657970266,0.9781038018895585,NA,1,11189459
Chr01_11289028_11965532,0.294194437099588,0.154288699340322,0.556686244179881,0.102389366611524,Chr01_11289028_11965532,0.9936954657970266,0.9837945180063702,0.5195625710700474,1,11289028
Chr01_11965533_11966198,0.060148064485187,0.0721239654569253,0.443100098889065,"NA",Chr01_11965533_11966198,0.6902263494227752,0.9781038018895585,NA,1,11965533
Chr01_11966199_12330339,0.020398893957286,0.0122881496531569,0.478157040020902,"NA",Chr01_11966199_12330339,0.32148776470313684,0.9781038018895585,NA,1,11966199
Chr01_12330340_12330527,0.0163883609187627,0.0114234114388426,0.337133729418512,"NA",Chr01_12330340_12330527,0.32148776470313684,0.9781038018895585,NA,1,12330340
Chr01_12330528_13051606,0.0223097781953585,0.01933247842968,0.357725002993189,"NA",Chr01_12330528_13051606,0.4021996055913861,0.9781038018895585,NA,1,12330528
Chr01_13051607_13052006,0.00816824956075675,0.0131013822606294,0.188927480622443,"NA",Chr01_13051607_13052006,0.32148776470313684,0.9781038018895585,NA,1,13051607
Chr01_13052007_13382483,0.00328262030916935,0.00467571967254429,0.251462735204219,"NA",Chr01_13052007_13382483,0.16572828617129207,0.9781038018895585,NA,1,13052007
Chr01_13382484_13382509,0.00459783192213202,0.00577104692830826,0.345349550924082,"NA",Chr01_13382484_13382509,0.1904445486341726,0.9781038018895585,NA,1,13382484
Chr01_13382510_13576339,0.00323843218725136,0.00221680452419053,0.373194325011673,"NA",Chr01_13382510_13576339,0.12556134242516126,0.9781038018895585,NA,1,13382510
