Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.0793650066555599,0.926722388635802,0.476159985306903,0.986101337440805,0.9650315299563141,1,1
Chr01_126238_809425,0.0807873708765714,0.944764445819888,0.470363372601861,0.986101337440805,0.9650315299563141,1,126238
Chr01_809426_814269,0.137403479973069,0.915940980817153,0.383138365302124,0.986101337440805,0.9650315299563141,1,809426
Chr01_814270_1367747,0.107986880032136,0.881379987578623,0.3513580097408,0.9852466067815577,0.9529716719610349,1,814270
Chr01_1367748_1367899,0.0489704845467174,0.378765942243699,0.660724946503934,0.9023576405280255,0.9690879476052539,1,1367748
Chr01_1367900_2042574,0.03557202065121,0.395133806355712,0.626600870708055,0.9023576405280255,0.9690879476052539,1,1367900
Chr01_2042575_2043251,0.033267249802014,0.290764071476088,0.798894994190167,0.9023576405280255,0.9824350656778293,1,2042575
Chr01_2043252_2231677,0.0452388450433248,0.921574032559708,0.672589778931125,0.986101337440805,0.9690879476052539,1,2043252
Chr01_2231678_2231705,0.036448486381713,0.732225556779778,0.863793850818327,0.9666509219614663,0.9887944551279128,1,2231678
Chr01_2231706_3033846,0.0335400233869347,0.70490821799928,0.843479628159288,0.9547491053914299,0.9832693084478885,1,2231706
Chr01_3033847_3052413,0.0105091987806724,0.702850235110083,0.730412742683254,0.9541922800880167,0.9743012123704226,1,3033847
Chr01_3052414_4229970,0.0546382318155035,0.967727617419561,0.122660925883815,0.986101337440805,0.716073379088045,1,3052414
Chr01_4229971_4235626,0.0394583112089783,0.956971910567812,0.1061075071281,0.986101337440805,0.6877739819054948,1,4229971
Chr01_4235627_5264100,0.089238647384614,0.949401674073409,0.0860413089944649,0.986101337440805,0.6877739819054948,1,4235627
Chr01_5264101_5264149,0.0697667493062957,0.828502762526657,0.0730390547692865,0.9814066443984361,0.6877739819054948,1,5264101
Chr01_5264150_5885231,0.0440123573233049,0.685640035612201,0.0897158350649669,0.9541922800880167,0.6877739819054948,1,5264150
Chr01_5885232_5886075,0.0386445392887809,0.841509813834612,0.112049109127796,0.9814066443984361,0.7006707278575814,1,5885232
Chr01_5886076_6253003,0.0139486580006723,0.844462609620527,0.374212453214012,0.9814066443984361,0.9650315299563141,1,5886076
Chr01_6253004_6253851,0.0239342475058753,0.762946752949062,0.476612789113166,0.9692710236668788,0.9650315299563141,1,6253004
Chr01_6253852_6811196,0.0577276558898114,0.72922258709753,0.434079698482201,0.9666509219614663,0.9650315299563141,1,6253852
Chr01_6811197_6811650,0.127787894155768,0.441852713444443,0.177716057746129,0.9023576405280255,0.7741728364086191,1,6811197
Chr01_6811651_7107385,0.0755685382772103,0.553785459589579,0.144613596671054,0.917519088852053,0.7523546245300834,1,6811651
Chr01_7107386_7117068,0.17941940234042,0.589302034364231,0.027443126403826,0.9403907479851163,0.6800923480271633,1,7107386
Chr01_7117069_8021093,0.220039754815401,0.46186425843724,0.0222031870676243,0.9023576405280255,0.6681771608163188,1,7117069
Chr01_8021094_8021338,0.386910311406468,0.563669039508606,0.0813706309120301,0.9263025342095351,0.6877739819054948,1,8021094
Chr01_8021339_8546533,0.170729672081618,0.578940489252444,0.143670967618214,0.9323071758362935,0.7523546245300834,1,8021339
Chr01_8546534_8548055,0.0553695175853629,0.875699389814438,0.167821778041414,0.9814066443984361,0.7639542694711042,1,8546534
Chr01_8548056_9439189,0.0133541561567006,0.952895593746956,0.314764099146567,0.986101337440805,0.9190940993556074,1,8548056
Chr01_9439190_9439923,0.100344725279843,0.743445996798928,0.142068767043161,0.9689808748928092,0.7523546245300834,1,9439190
Chr01_9439924_10127710,0.036256542114485,0.624564108306717,0.226794402224226,0.9405168348557823,0.8327197590523722,1,9439924
Chr01_10127711_10127775,0.0290078355602783,0.857520746354394,0.21509706176886,0.9814066443984361,0.8285538819336488,1,10127711
Chr01_10127776_10700451,0.0241097269242788,0.897907446285123,0.131656163853,0.986101337440805,0.7502064247954969,1,10127776
Chr01_10700452_10700489,0.0140286302811122,0.471224682062763,0.262456985023178,0.9029281590211163,0.8648855476653247,1,10700452
Chr01_10700490_11189458,0.0174228352862796,0.812335668301554,0.421799125480084,0.9814066443984361,0.9650315299563141,1,10700490
Chr01_11189459_11289027,0.00902066961723589,0.87612956294676,0.820048799272401,0.9814066443984361,0.9832693084478885,1,11189459
Chr01_11289028_11965532,0.00413977344326046,0.959969530057524,0.773674422457876,0.986101337440805,0.9810655099529131,1,11289028
Chr01_11965533_11966198,0.00219918807372978,0.769001975902237,0.780270355861533,0.9692710236668788,0.9810655099529131,1,11965533
Chr01_11966199_12330339,0.0161874160024761,0.360722929520741,0.980910768157729,0.9023576405280255,0.9981730221441282,1,11966199
Chr01_12330340_12330527,0.150365248341562,0.147872097517611,0.863398774812883,0.8757138871353614,0.9887944551279128,1,12330340
Chr01_12330528_13051606,0.147504019011601,0.146704688177971,0.627182687954259,0.8757138871353614,0.9690879476052539,1,12330528
Chr01_13051607_13052006,0.0676888719555265,0.187730736264283,0.546901875290851,0.8757138871353614,0.9690879476052539,1,13051607
Chr01_13052007_13382483,0.0663485371720214,0.224005425806783,0.467515920071987,0.8992715845770128,0.9650315299563141,1,13052007
Chr01_13382484_13382509,0.0633634007097522,0.144024816730371,0.519720187094713,0.8757138871353614,0.9690879476052539,1,13382484
Chr01_13382510_13576339,0.0260482045272468,0.107185413239792,0.503999579410143,0.8757138871353614,0.9650315299563141,1,13382510
Chr01_13576340_13576350,0.0299556248039725,0.126568926678607,0.645255743238103,0.8757138871353614,0.9690879476052539,1,13576340
Chr01_13576351_14061355,0.0378490697471036,0.150813109639375,0.782495646852773,0.8757138871353614,0.9824350656778293,1,13576351
Chr01_14061356_14061634,0.0270512202249028,0.202714483649045,0.4738298701365,0.8888905865994475,0.9650315299563141,1,14061356
Chr01_14061635_14604721,0.0417143057251592,0.35733930336076,0.328667389940654,0.9023576405280255,0.9309020485672053,1,14061635
Chr01_14604722_14607157,0.0314837914676861,0.842759501079585,0.172904145000774,0.9814066443984361,0.7639542694711042,1,14604722
Chr01_14607158_15449572,0.0282683562241335,0.825312330150299,0.0655083390023675,0.9814066443984361,0.6877739819054948,1,14607158
Chr01_15449573_15456448,0.00566885558125474,0.944681549733526,0.0433420711912877,0.986101337440805,0.6877739819054948,1,15449573
Chr01_15456449_16406535,0.00881990063247808,0.843234199783885,0.069778181317853,0.9814066443984361,0.6877739819054948,1,15456449
Chr01_16406536_16454790,0.00434818445345055,0.546176895405281,0.0899769584217841,0.917519088852053,0.6877739819054948,1,16406536
Chr01_16454791_19216253,0.00414700906401593,0.508673791002768,0.051751084780644,0.9088420106399533,0.6877739819054948,1,16454791
Chr01_19216254_19216663,0.00313477215975398,0.331660649425448,0.0707049719859709,0.9023576405280255,0.6877739819054948,1,19216254
Chr01_19216664_20661429,0.00585633180404978,0.834408270679688,0.204752642061914,0.9814066443984361,0.8192677034996177,1,19216664
Chr01_20661430_20662913,0.00582532611973309,0.866122681861572,0.188316851255227,0.9814066443984361,0.7878029274350257,1,20661430
Chr01_20662914_21251875,0.0133500376812036,0.576305840209291,0.374335535691958,0.9323071758362935,0.9650315299563141,1,20662914
Chr01_21251876_21488109,0.073817417044571,0.831430825880738,0.178469750449339,0.9814066443984361,0.7741728364086191,1,21251876
Chr01_21488110_22523058,0.140982720766309,0.753922217954947,0.111435260275102,0.9692710236668788,0.7006707278575814,1,21488110
Chr01_22523059_22523376,0.0860638248696309,0.356981431482283,0.0949424099107299,0.9023576405280255,0.6877739819054948,1,22523059
Chr01_22523377_25610270,0.0523878913216098,0.324889602669616,0.237504660302377,0.9023576405280255,0.8403993284384376,1,22523377
Chr01_25610271_25623774,0.042627137229278,0.379380744293189,0.1702768526888,0.9023576405280255,0.7639542694711042,1,25610271
Chr01_25623775_25991881,0.0234399816446793,0.4913937170726,0.21190402592217,0.9088309009911892,0.8282752018314758,1,25623775
Chr01_25991882_26001088,0.0377985947178283,0.297625925226104,0.145314600376527,0.9023576405280255,0.7523546245300834,1,25991882
