Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.186033446848004,0.658706874603791,0.9301344281957117,1,1
Chr01_126238_809425,0.186033446848004,0.658706874603791,0.9301344281957117,1,126238
Chr01_809426_814269,0.349746448753114,0.431125850126587,0.8392266691379956,1,809426
Chr01_814270_1367747,0.316287757322907,0.395336787123049,0.8366652307057143,1,814270
Chr01_1367748_1367899,0.285184797461938,0.430979269759908,0.8392266691379956,1,1367748
Chr01_1367900_2042574,0.210805287988441,0.329515598902273,0.8044551738507022,1,1367900
Chr01_2042575_2043251,0.161906794574025,0.387491035740734,0.8366652307057143,1,2042575
Chr01_2043252_2231677,0.273179215201887,0.44434509796762,0.847894725835611,1,2043252
Chr01_2231678_2231705,0.505945542000461,0.17158929238332,0.7508511458834974,1,2231678
Chr01_2231706_3033846,0.503873452206081,0.16895169131434,0.7508511458834974,1,2231706
Chr01_3033847_3052413,0.221370317137633,0.185507537399465,0.7508511458834974,1,3033847
Chr01_3052414_4229970,0.239878875339575,0.056386889802484,0.7508511458834974,1,3052414
Chr01_4229971_4235626,0.161866565209207,0.0892979974760814,0.7508511458834974,1,4229971
Chr01_4235627_5264100,0.221720473935153,0.0783014429947794,0.7508511458834974,1,4235627
Chr01_5264101_5264149,0.149593660392445,0.0770663666491774,0.7508511458834974,1,5264101
Chr01_5264150_5885231,0.154156941384325,0.257963183583486,0.7619468107697411,1,5264150
Chr01_5885232_5886075,0.114506128460375,0.247999330612416,0.7619468107697411,1,5885232
Chr01_5886076_6253003,0.0984022596907798,0.403676614961329,0.8366652307057143,1,5886076
Chr01_6253004_6253851,0.172980884958515,0.223145257099068,0.7619468107697411,1,6253004
Chr01_6253852_6811196,0.320529313734884,0.146642106546478,0.7508511458834974,1,6253852
Chr01_6811197_6811650,0.487294488573097,0.127319804794593,0.7508511458834974,1,6811197
Chr01_6811651_7107385,0.327417461409492,0.108238313364146,0.7508511458834974,1,6811651
Chr01_7107386_7117068,0.374361720921049,0.099594378777087,0.7508511458834974,1,7107386
Chr01_7117069_8021093,0.203109662142294,0.130829874712086,0.7508511458834974,1,7117069
Chr01_8021094_8021338,0.386283625995813,0.0892115610752344,0.7508511458834974,1,8021094
Chr01_8021339_8546533,0.322462270198412,0.141304055788833,0.7508511458834974,1,8021339
Chr01_8546534_8548055,0.204309956623825,0.106334604014442,0.7508511458834974,1,8546534
Chr01_8548056_9439189,0.130945369217254,0.253131993340031,0.7619468107697411,1,8548056
Chr01_9439190_9439923,0.194603831751665,0.298527833122713,0.7954603772942146,1,9439190
Chr01_9439924_10127710,0.144398625541799,0.250282087457686,0.7619468107697411,1,9439924
Chr01_10127711_10127775,0.0917964624971151,0.145878180564183,0.7508511458834974,1,10127711
Chr01_10127776_10700451,0.0794892265001828,0.203191745508776,0.7508511458834974,1,10127776
Chr01_10700452_10700489,0.0573004409037923,0.394050158410418,0.8366652307057143,1,10700452
Chr01_10700490_11189458,0.0568979560830548,0.385110367342437,0.8366652307057143,1,10700490
Chr01_11189459_11289027,0.0520150282120072,0.441677448351729,0.8470647656765624,1,11189459
Chr01_11289028_11965532,0.071381175691519,0.740874663301581,0.9535222663286881,1,11289028
Chr01_11965533_11966198,0.0490458684566686,0.427512327915459,0.8366652307057143,1,11965533
Chr01_11966199_12330339,0.0332656675577329,0.415114384650662,0.8366652307057143,1,11966199
Chr01_12330340_12330527,0.0632798799256942,0.278422668921121,0.7878485218474239,1,12330340
Chr01_12330528_13051606,0.104051433589084,0.192499480514966,0.7508511458834974,1,12330528
Chr01_13051607_13052006,0.176804640682335,0.130983732239414,0.7508511458834974,1,13051607
Chr01_13052007_13382483,0.156663574150929,0.0737301628193992,0.7508511458834974,1,13052007
Chr01_13382484_13382509,0.127112305957337,0.0957599923669657,0.7508511458834974,1,13382484
Chr01_13382510_13576339,0.0969785195916948,0.069845015753303,0.7508511458834974,1,13382510
Chr01_13576340_13576350,0.0504802888317889,0.113725605271031,0.7508511458834974,1,13576340
Chr01_13576351_14061355,0.067086643564999,0.145228529503694,0.7508511458834974,1,13576351
Chr01_14061356_14061634,0.0184497251936061,0.115571427092574,0.7508511458834974,1,14061356
Chr01_14061635_14604721,0.0267406356846813,0.0729098941229473,0.7508511458834974,1,14061635
Chr01_14604722_14607157,0.0314839768642178,0.0670568243828041,0.7508511458834974,1,14604722
Chr01_14607158_15449572,0.0571240297451308,0.0461080009310358,0.7508511458834974,1,14607158
Chr01_15449573_15456448,0.0758727897881939,0.0572560294633396,0.7508511458834974,1,15449573
Chr01_15456449_16406535,0.0834459828431527,0.150135733962495,0.7508511458834974,1,15456449
Chr01_16406536_16454790,0.0660248361692833,0.166175104872573,0.7508511458834974,1,16406536
Chr01_16454791_19216253,0.0458312137871043,0.138984192407438,0.7508511458834974,1,16454791
Chr01_19216254_19216663,0.0438457181859723,0.198745709041584,0.7508511458834974,1,19216254
Chr01_19216664_20661429,0.0551963725474728,0.133463928037214,0.7508511458834974,1,19216664
Chr01_20661430_20662913,0.0507331974960684,0.123436792785518,0.7508511458834974,1,20661430
Chr01_20662914_21251875,0.0637409860587865,0.191002793498856,0.7508511458834974,1,20662914
Chr01_21251876_21488109,0.173328873854479,0.178323227720502,0.7508511458834974,1,21251876
Chr01_21488110_22523058,0.120444811372852,0.188710167321295,0.7508511458834974,1,21488110
Chr01_22523059_22523376,0.20506138287176,0.732349568996363,0.9535088530896263,1,22523059
Chr01_22523377_25610270,0.106269146968366,0.836528614993384,0.9727313299497795,1,22523377
Chr01_25610271_25623774,0.151692360407298,0.954573515851048,0.999816132811181,1,25610271
Chr01_25623775_25991881,0.06476314635572,0.40226122310618,0.8366652307057143,1,25623775
Chr01_25991882_26001088,0.0902091390116482,0.280514439678092,0.7883067513199886,1,25991882
Chr01_26001089_26286066,0.077429944280069,0.305677607987949,0.7954603772942146,1,26001089
Chr01_26286067_26293474,0.0537194776540297,0.237127787051947,0.7619468107697411,1,26286067
