Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.121740250998061,0.646496222906339,0.186174009418295,0.9268191866947537,0.7863402239904302,1,1
Chr01_126238_809425,0.116588651091096,0.637913138609324,0.184621563416013,0.9223879166378064,0.7863402239904302,1,126238
Chr01_809426_814269,0.254425218247756,0.727070369849901,0.0761936761349988,0.9446711311272423,0.7741810038425734,1,809426
Chr01_814270_1367747,0.259184730333404,0.89896974415194,0.0962783300815483,0.980430909035248,0.7741810038425734,1,814270
Chr01_1367748_1367899,0.270370485253084,0.607329985993514,0.101940466549319,0.9207492584027143,0.7741810038425734,1,1367748
Chr01_1367900_2042574,0.254312912676633,0.772455842374367,0.0562680108323432,0.9536858669314301,0.7741810038425734,1,1367900
Chr01_2042575_2043251,0.321072224818454,0.768687114952967,0.0725911759921298,0.9529514533681671,0.7741810038425734,1,2042575
Chr01_2043252_2231677,0.233035631928636,0.710039703332894,0.194818342629353,0.9369134362312834,0.801752410051568,1,2043252
Chr01_2231678_2231705,0.218486220453121,0.62327599930292,0.138727482685409,0.9207492584027143,0.7741810038425734,1,2231678
Chr01_2231706_3033846,0.214379728421596,0.616933170755264,0.134892782414564,0.9207492584027143,0.7741810038425734,1,2231706
Chr01_3033847_3052413,0.108835634882483,0.45292763236328,0.10801558750047,0.910795339811665,0.7741810038425734,1,3033847
Chr01_3052414_4229970,0.131720879647985,0.493190921862996,0.0245822417424797,0.9190607019518825,0.7741810038425734,1,3052414
Chr01_4229971_4235626,0.120526877735465,0.675267993518773,0.0320785155541247,0.9284813062804631,0.7741810038425734,1,4229971
Chr01_4235627_5264100,0.230452301663717,0.898823955934598,0.0751093860220131,0.980430909035248,0.7741810038425734,1,4235627
Chr01_5264101_5264149,0.0874852390890096,0.780982982965541,0.0383285108822441,0.9578244133136239,0.7741810038425734,1,5264101
Chr01_5264150_5885231,0.0770372522377211,0.799421656087425,0.0236491569668419,0.964715607534073,0.7741810038425734,1,5264150
