Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.0599869039792639,0.533878360156937,0.9717151881689011,1,1
Chr01_126238_809425,0.0599869039792639,0.533878360156937,0.9717151881689011,1,126238
Chr01_809426_814269,0.122498418124841,0.431827500916439,0.9717151881689011,1,809426
Chr01_814270_1367747,0.0838397197776728,0.352135208470759,0.9588719663920164,1,814270
Chr01_1367748_1367899,0.0310298154809502,0.483477167116891,0.9717151881689011,1,1367748
Chr01_1367900_2042574,0.0421689549525517,0.387470846417006,0.960726446698293,1,1367900
Chr01_2042575_2043251,0.0400944618103861,0.552353966307722,0.9783532049128717,1,2042575
Chr01_2043252_2231677,0.04978918234944,0.940710975023075,0.9951586153071452,1,2043252
Chr01_2231678_2231705,0.0687662686966454,0.404535776581461,0.960726446698293,1,2231678
Chr01_2231706_3033846,0.0619668447870213,0.381577777349617,0.960726446698293,1,2231706
Chr01_3033847_3052413,0.0137800386505267,0.485827265768783,0.9717151881689011,1,3033847
Chr01_3052414_4229970,0.0557952967102449,0.0876107224183333,0.7572776509492387,1,3052414
Chr01_4229971_4235626,0.0528824917119326,0.0994296512644249,0.7572776509492387,1,4229971
Chr01_4235627_5264100,0.125872146064047,0.0392749891886797,0.7572776509492387,1,4235627
Chr01_5264101_5264149,0.127204033012008,0.0357256032217725,0.7572776509492387,1,5264101
Chr01_5264150_5885231,0.0587939902655735,0.0972368918784634,0.7572776509492387,1,5264150
Chr01_5885232_5886075,0.0480873204747453,0.065681552329898,0.7572776509492387,1,5885232
Chr01_5886076_6253003,0.0198036264439882,0.108375209538609,0.7572776509492387,1,5886076
Chr01_6253004_6253851,0.0583130122103632,0.0979031938441031,0.7572776509492387,1,6253004
Chr01_6253852_6811196,0.111221288633179,0.0613463228481935,0.7572776509492387,1,6253852
Chr01_6811197_6811650,0.195606105132896,0.0306406872169767,0.7572776509492387,1,6811197
Chr01_6811651_7107385,0.0808115716843457,0.0405656611321019,0.7572776509492387,1,6811651
Chr01_7107386_7117068,0.23403986145868,0.00582374033784998,0.6883683444301791,1,7107386
Chr01_7117069_8021093,0.117184916327974,0.00490009221786034,0.6883683444301791,1,7117069
Chr01_8021094_8021338,0.259199185751086,0.0106612498477373,0.6883683444301791,1,8021094
Chr01_8021339_8546533,0.117631774428988,0.0143238665130151,0.7243691830408474,1,8021339
Chr01_8546534_8548055,0.0895553269172333,0.0188193117506353,0.7572776509492387,1,8546534
Chr01_8548056_9439189,0.0582175763411294,0.084002231789318,0.7572776509492387,1,8548056
Chr01_9439190_9439923,0.0879363742561552,0.0748896234865847,0.7572776509492387,1,9439190
Chr01_9439924_10127710,0.0352703768482155,0.108642137352231,0.7572776509492387,1,9439924
Chr01_10127711_10127775,0.0311889033283726,0.129593243806473,0.7742683613848098,1,10127711
Chr01_10127776_10700451,0.0229928431375409,0.13477752669949,0.7742683613848098,1,10127776
Chr01_10700452_10700489,0.0158909136488072,0.328983095193711,0.9474199692993897,1,10700452
Chr01_10700490_11189458,0.00844600879717527,0.585304388867555,0.9817773537466613,1,10700490
Chr01_11189459_11289027,0.00467373677364285,0.863861724169465,0.9829882958265723,1,11189459
Chr01_11289028_11965532,0.00649843587724701,0.723232096977364,0.9829882958265723,1,11289028
Chr01_11965533_11966198,0.0044335368013195,0.873336734799913,0.9829882958265723,1,11965533
Chr01_11966199_12330339,0.00484923136943237,0.940572293109541,0.9951586153071452,1,11966199
Chr01_12330340_12330527,0.0212978628710516,0.925243359132819,0.9951586153071452,1,12330340
Chr01_12330528_13051606,0.0357565280222574,0.78564926059701,0.9829882958265723,1,12330528
Chr01_13051607_13052006,0.0560060984772848,0.778833953502027,0.9829882958265723,1,13051607
Chr01_13052007_13382483,0.0264396745331044,0.567251818002099,0.9817773537466613,1,13052007
Chr01_13382484_13382509,0.0229093713182828,0.621841299915052,0.9829882958265723,1,13382484
Chr01_13382510_13576339,0.0130887973390011,0.601083054575354,0.9829882958265723,1,13382510
Chr01_13576340_13576350,0.0135509190791288,0.669885952405534,0.9829882958265723,1,13576340
Chr01_13576351_14061355,0.0157031281337754,0.718365987140167,0.9829882958265723,1,13576351
Chr01_14061356_14061634,0.0054685631954655,0.526015828020801,0.9717151881689011,1,14061356
Chr01_14061635_14604721,0.0041683678970405,0.471687919775787,0.9717151881689011,1,14061635
Chr01_14604722_14607157,0.0132660880965502,0.219382404769556,0.8431685195360044,1,14604722
Chr01_14607158_15449572,0.0197445923921213,0.0955414175067276,0.7572776509492387,1,14607158
Chr01_15449573_15456448,0.00667052076526895,0.08659012480498,0.7572776509492387,1,15449573
Chr01_15456449_16406535,0.00595928612293311,0.116408720826413,0.7572776509492387,1,15456449
Chr01_16406536_16454790,0.00343744663272159,0.19332641464096,0.8296564072260033,1,16406536
Chr01_16454791_19216253,0.00529749380726623,0.15943469443697,0.7950013102172158,1,16454791
Chr01_19216254_19216663,0.00389965431221341,0.228917519323486,0.8634049021710587,1,19216254
Chr01_19216664_20661429,0.00462887235869049,0.319614074484249,0.939902652380865,1,19216664
Chr01_20661430_20662913,0.00344255874241546,0.271639106792912,0.9137672613772403,1,20661430
Chr01_20662914_21251875,0.00448900461600375,0.339812334002806,0.9504108812492635,1,20662914
Chr01_21251876_21488109,0.0115671285802826,0.255503146879339,0.8939138035426213,1,21251876
Chr01_21488110_22523058,0.013077290697433,0.165441277518556,0.7950013102172158,1,21488110
Chr01_22523059_22523376,0.0446579175884139,0.19932591812081,0.8331990506588483,1,22523059
Chr01_22523377_25610270,0.0279502000258488,0.432008794038669,0.9717151881689011,1,22523377
Chr01_25610271_25623774,0.0488858291310976,0.344473475602358,0.9504108812492635,1,25610271
Chr01_25623775_25991881,0.00740677958991331,0.393208061342779,0.960726446698293,1,25623775
Chr01_25991882_26001088,0.00895354949441674,0.527414574593546,0.9717151881689011,1,25991882
Chr01_26001089_26286066,0.00843886268702752,0.524948831184228,0.9717151881689011,1,26001089
Chr01_26286067_26293474,0.0125951332454265,0.469836106085781,0.9717151881689011,1,26286067
Chr01_26293475_26583692,0.0120722065341523,0.629426463225603,0.9829882958265723,1,26293475
Chr01_26583693_26647317,0.0306951954943549,0.470757827956916,0.9717151881689011,1,26583693
Chr01_26647318_27308826,0.0280111728070689,0.276020994505013,0.9137672613772403,1,26647318
Chr01_27308827_27314420,0.00665936024828403,0.207086192139595,0.8397520588033577,1,27308827
Chr01_27314421_27701084,0.00166867210131434,0.286390258402604,0.9166403922785686,1,27314421
Chr01_27701085_27712150,0.00164454973311159,0.283947882164122,0.9149431758621709,1,27701085
Chr01_27712151_27987745,0.0124558771205004,0.178814128405697,0.7962375418468169,1,27712151
Chr01_27987746_27996902,0.0123158587549916,0.12940062810634,0.7742683613848098,1,27987746
Chr01_27996903_28327995,0.0081464728024048,0.173178322596539,0.7962375418468169,1,27996903
Chr01_28327996_28328780,0.0411142596771103,0.172996645202275,0.7962375418468169,1,28327996
Chr01_28328781_28712697,0.0303027550008391,0.152459974799725,0.7950013102172158,1,28328781
Chr01_28712698_28712702,0.0220311780017281,0.184334458531845,0.8055163324884733,1,28712698
Chr01_28712703_29260469,0.00815473822278322,0.166975196816782,0.7950013102172158,1,28712703
Chr01_29260470_29264772,0.00566989692145316,0.131958336123131,0.7742683613848098,1,29260470
Chr01_29264773_29827856,0.0076938698532573,0.166843058384144,0.7950013102172158,1,29264773
Chr01_29827857_29864780,0.00306868431178618,0.0473762336346946,0.7572776509492387,1,29827857
Chr01_29864781_30461232,0.00763292230788262,0.00956012805165864,0.6883683444301791,1,29864781
Chr01_30461233_30463952,0.00885767065088532,0.0328586501596376,0.7572776509492387,1,30461233
Chr01_30463953_31287140,0.0143849711487299,0.0540720823893597,0.7572776509492387,1,30463953
Chr01_31287141_31299042,0.0430705403946192,0.0267723645358934,0.7572776509492387,1,31287141
Chr01_31299043_32249075,0.0210240823766692,0.0764029382522261,0.7572776509492387,1,31299043
Chr01_32249076_32254238,0.0457923991548066,0.0359635784701404,0.7572776509492387,1,32249076
Chr01_32254239_32925441,0.0468646537942787,0.0513988862304175,0.7572776509492387,1,32254239
Chr01_32925442_32925676,0.022297053949251,0.100097581510995,0.7572776509492387,1,32925442
Chr01_32925677_33648211,0.0206355896351771,0.0731739308780497,0.7572776509492387,1,32925677
Chr01_33648212_33648861,0.020289162800765,0.0715355199280571,0.7572776509492387,1,33648212
Chr01_33648862_33944256,0.0316862480484753,0.11731523109205,0.7572776509492387,1,33648862
Chr01_33944257_33944395,0.0320737418316134,0.0697955199920868,0.7572776509492387,1,33944257
Chr01_33944396_34707623,0.0296513415541689,0.0624643343180261,0.7572776509492387,1,33944396
Chr01_34707624_34711948,0.023158609060706,0.174376680125856,0.7962375418468169,1,34707624
Chr01_34711949_35098398,0.0211523321675126,0.203631709325946,0.8348586679652265,1,34711949
Chr01_35098399_35197978,0.0068385203915604,0.342164394642089,0.9504108812492635,1,35098399
Chr01_35197979_35842906,0.00466644177807292,0.730926488480179,0.9829882958265723,1,35197979
Chr01_35842907_35842941,0.00666743625315949,0.852195502152946,0.9829882958265723,1,35842907
Chr01_35842942_36467175,0.0187409725822658,0.699071552499528,0.9829882958265723,1,35842942
