Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.332262909120797,0.514794934208211,0.195230633693133,0.9761364612046717,0.8176719075029103,1,1
Chr01_126238_809425,0.342883124236395,0.530068379624209,0.190686955815078,0.9761364612046717,0.8176719075029103,1,126238
Chr01_809426_814269,0.355555183450229,0.605058942757535,0.212043292183831,0.9761364612046717,0.8261426968201208,1,809426
Chr01_814270_1367747,0.421126464601609,0.613644746384352,0.298770013211553,0.9761364612046717,0.8675988614863293,1,814270
Chr01_1367748_1367899,0.187895185813418,0.913316742887509,0.658954909236478,0.9862056073085103,0.9473792624805595,1,1367748
Chr01_1367900_2042574,0.20119763961442,0.921122825838041,0.620887294602555,0.9880936153209021,0.9473792624805595,1,1367900
Chr01_2042575_2043251,0.227164353948337,0.707346477465614,0.667134592731034,0.9761364612046717,0.950060942513646,1,2042575
Chr01_2043252_2231677,0.266318014638115,0.58788415533696,0.866938109593526,0.9761364612046717,0.9926827282090049,1,2043252
Chr01_2231678_2231705,0.256455409426493,0.34960752804727,0.719611610544626,0.9761364612046717,0.9724481223576026,1,2231678
Chr01_2231706_3033846,0.239517698662367,0.317871717137716,0.687117954081391,0.9717309843634521,0.963346811495672,1,2231706
Chr01_3033847_3052413,0.16865434003464,0.13494403515611,0.432580620954971,0.9078039468192569,0.8970565872338109,1,3033847
Chr01_3052414_4229970,0.883758743541721,0.282795975071286,0.0719663299128552,0.967358350280955,0.7170685030803439,1,3052414
Chr01_4229971_4235626,0.506990811011258,0.301518235643607,0.0485805374756729,0.967358350280955,0.7058407340029192,1,4229971
Chr01_4235627_5264100,0.50078941488238,0.693631800963066,0.0752807461835743,0.9761364612046717,0.7170685030803439,1,4235627
Chr01_5264101_5264149,0.492864196525616,0.742178331387991,0.0386081095139811,0.9761364612046717,0.7058407340029192,1,5264101
Chr01_5264150_5885231,0.518981279701113,0.474624305876847,0.0146581543954899,0.9761364612046717,0.6499603647020331,1,5264150
Chr01_5885232_5886075,0.847848730825277,0.494708012780163,0.020579217626741,0.9761364612046717,0.7058407340029192,1,5885232
Chr01_5886076_6253003,0.81089539490489,0.565166434154836,0.0437599616111736,0.9761364612046717,0.7058407340029192,1,5886076
Chr01_6253004_6253851,0.816835835671032,0.478572763037,0.113996515452171,0.9761364612046717,0.7684264255383652,1,6253004
Chr01_6253852_6811196,0.771873518839328,0.5597960202373,0.127695306023795,0.9761364612046717,0.781807996064051,1,6253852
Chr01_6811197_6811650,0.801175312564216,0.358853871134685,0.0598495503498158,0.9761364612046717,0.7058407340029192,1,6811197
Chr01_6811651_7107385,0.784832618645061,0.621280780569476,0.0618734400837356,0.9761364612046717,0.7058407340029192,1,6811651
Chr01_7107386_7117068,0.747762702674593,0.943617133720411,0.00242903836717948,0.9908451823879915,0.2732668163076915,1,7107386
Chr01_7117069_8021093,0.589736993768051,0.749429725907536,0.0054990223330251,0.9761364612046717,0.3807015461325069,1,7117069
Chr01_8021094_8021338,0.587594868984148,0.743697630371509,0.0449439282999726,0.9761364612046717,0.7058407340029192,1,8021094
Chr01_8021339_8546533,0.513803043121236,0.99467294935293,0.0752395912190276,0.999024704029918,0.7170685030803439,1,8021339
Chr01_8546534_8548055,0.509711576494572,0.458153816958513,0.122914519403292,0.9761364612046717,0.779035686358893,1,8546534
Chr01_8548056_9439189,0.502817333738621,0.313893696260009,0.353946550415142,0.9717309843634521,0.885645782227186,1,8548056
Chr01_9439190_9439923,0.532855981831076,0.4224078717201,0.0613875435573083,0.9761364612046717,0.7058407340029192,1,9439190
Chr01_9439924_10127710,0.52184696964482,0.568234540869906,0.120806736860021,0.9761364612046717,0.7766147369572779,1,9439924
Chr01_10127711_10127775,0.52046043511729,0.562844361973907,0.198834902938092,0.9761364612046717,0.8176719075029103,1,10127711
Chr01_10127776_10700451,0.523014051034407,0.253687935757032,0.117211255347331,0.9473823327026092,0.7684264255383652,1,10127776
