Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0535270593519194,0.885429072700512,0.784930396440091,0.105049986146267,0.688900599154382,0.974102923957454,0.9562356748108415,0.5409282603340754,0.8546018432198533,1,1
Chr01_126238_809425,0.0869175926887322,0.846854814997692,0.823107614844592,0.163615243493972,0.725454304427402,0.974102923957454,0.9562356748108415,0.5853454553021534,0.8760950889533106,1,126238
Chr01_809426_814269,0.0763747171428144,0.924824781378916,0.577471315724366,0.125553530786677,0.493498120645584,0.9754723597676845,0.8963183727509966,0.5494406401702726,0.8397625733750597,1,809426
Chr01_814270_1367747,0.0620739502338011,0.647608145648588,0.631134009232046,0.107969464168945,0.52511548798271,0.9360956595344155,0.9208818952885761,0.5409282603340754,0.8397625733750597,1,814270
Chr01_1367748_1367899,0.0250214799429724,0.272629115926581,0.479474464241316,0.0572677272759954,0.415218592567183,0.904200248858789,0.893643468495543,0.4603848781864203,0.8397625733750597,1,1367748
Chr01_1367900_2042574,0.0251134479342549,0.283364801031443,0.497944348183214,0.0597024970720787,0.429856728279558,0.904200248858789,0.893643468495543,0.4603848781864203,0.8397625733750597,1,1367900
Chr01_2042575_2043251,0.0226623182221918,0.17739058875083,0.47599563963219,0.0617552489770205,0.433680033535698,0.904200248858789,0.893643468495543,0.4603848781864203,0.8397625733750597,1,2042575
Chr01_2043252_2231677,0.0348862010380078,0.73612205758201,0.348365691571303,0.0789954396845309,0.367638230772208,0.9366913809289795,0.893643468495543,0.5139139334924605,0.8334764615383342,1,2043252
Chr01_2231678_2231705,0.0354942556509753,0.986495281560153,0.478963067105838,0.0906310236928366,0.446313420203812,0.9936920827588059,0.893643468495543,0.5310895108264189,0.8397625733750597,1,2231678
Chr01_2231706_3033846,0.034737830072271,0.970862164131469,0.481944018553642,0.0899683457755563,0.447843351745599,0.9905412868543271,0.893643468495543,0.5310895108264189,0.8397625733750597,1,2231706
Chr01_3033847_3052413,0.0109379700110965,0.883595255880537,0.412433207819156,0.0457071241798359,0.373132032981588,0.974102923957454,0.893643468495543,0.4603848781864203,0.8350028289382654,1,3033847
Chr01_3052414_4229970,0.0105153518981579,0.758692624216949,0.502519465161851,0.0255032706848763,0.36451856286981,0.942736770478609,0.893643468495543,0.43942014706869476,0.8334764615383342,1,3052414
Chr01_4229971_4235626,0.0113567940204472,0.856418208029644,0.156965376691998,0.0261627365604807,0.116317374243948,0.974102923957454,0.8142938207614124,0.43942014706869476,0.8293592457526716,1,4229971
Chr01_4235627_5264100,0.0116773246885252,0.697899640604528,0.138703463411536,0.0202318538193219,0.103756465957496,0.9366913809289795,0.7994450823234098,0.43485216921102093,0.7772942025968345,1,4235627
Chr01_5264101_5264149,0.0297410472679604,0.832908027301749,0.167256351188731,0.048274975946159,0.123840973347684,0.974102923957454,0.8142938207614124,0.4603848781864203,0.8293592457526716,1,5264101
