Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.99044664564659,0.103944450600339,0.7539030745227663,1,1
Chr01_126238_809425,0.99044664564659,0.103944450600339,0.7539030745227663,1,126238
Chr01_809426_814269,0.925775971950194,0.0746815322643135,0.7539030745227663,1,809426
Chr01_814270_1367747,0.790120995191563,0.0994445735603782,0.7539030745227663,1,814270
Chr01_1367748_1367899,0.655123090419069,0.13155618978667,0.781983065999026,1,1367748
Chr01_1367900_2042574,0.851289496379038,0.119249632737778,0.7539030745227663,1,1367900
Chr01_2042575_2043251,0.991447062622418,0.170199331643386,0.8291844542272998,1,2042575
Chr01_2043252_2231677,0.967573073579788,0.32120159734573,0.9132361024160536,1,2043252
Chr01_2231678_2231705,0.946471661053411,0.09934779615418,0.7539030745227663,1,2231678
Chr01_2231706_3033846,0.985973724588989,0.117732077370428,0.7539030745227663,1,2231706
Chr01_3033847_3052413,0.937673577704216,0.0895842537388708,0.7539030745227663,1,3033847
Chr01_3052414_4229970,0.767618328287066,0.0267714059096125,0.7539030745227663,1,3052414
Chr01_4229971_4235626,0.78698941623046,0.0405426494330456,0.7539030745227663,1,4229971
Chr01_4235627_5264100,0.859501220929578,0.0530021007566406,0.7539030745227663,1,4235627
Chr01_5264101_5264149,0.966394697668351,0.111174816969542,0.7539030745227663,1,5264101
Chr01_5264150_5885231,0.93719646174055,0.113058792549793,0.7539030745227663,1,5264150
Chr01_5885232_5886075,0.921640345523735,0.165887361509157,0.8291844542272998,1,5885232
Chr01_5886076_6253003,0.802714255170269,0.539911867361113,0.966066793430553,1,5886076
Chr01_6253004_6253851,0.483051724327029,0.88329034512354,0.9851687440678428,1,6253004
Chr01_6253852_6811196,0.513040090897844,0.849470668384959,0.9828549550818659,1,6253852
Chr01_6811197_6811650,0.502555826753764,0.641181174009488,0.966066793430553,1,6811197
Chr01_6811651_7107385,0.773324585591691,0.744268360725258,0.9715167853849426,1,6811651
Chr01_7107386_7117068,0.892726596546031,0.831843794166113,0.9828549550818659,1,7107386
Chr01_7117069_8021093,0.877779726084083,0.694931392808582,0.9681617437888548,1,7117069
Chr01_8021094_8021338,0.891873300249718,0.513965648472961,0.966066793430553,1,8021094
Chr01_8021339_8546533,0.978566122208975,0.684621913752558,0.9681617437888548,1,8021339
Chr01_8546534_8548055,0.94618573260578,0.682906261918106,0.9681617437888548,1,8546534
Chr01_8548056_9439189,0.998510098322112,0.506868575771832,0.966066793430553,1,8548056
Chr01_9439190_9439923,0.754350580381087,0.193501404425421,0.8536695897197225,1,9439190
Chr01_9439924_10127710,0.914101483001304,0.284343716258774,0.9132361024160536,1,9439924
Chr01_10127711_10127775,0.710049136880866,0.290617038303486,0.9132361024160536,1,10127711
Chr01_10127776_10700451,0.515799562248666,0.11423357770743,0.7539030745227663,1,10127776
Chr01_10700452_10700489,0.374802003019401,0.199533867952533,0.860152755092676,1,10700452
Chr01_10700490_11189458,0.637062809400892,0.30819895861629,0.9132361024160536,1,10700490
Chr01_11189459_11289027,0.62673352405074,0.467510677820282,0.966066793430553,1,11189459
Chr01_11289028_11965532,0.762374545567802,0.630297732834153,0.966066793430553,1,11289028
Chr01_11965533_11966198,0.795462966268344,0.434902296505248,0.9645985255087419,1,11965533
Chr01_11966199_12330339,0.784874467065196,0.546793886109092,0.966066793430553,1,11966199
Chr01_12330340_12330527,0.984384089158061,0.496399024057927,0.966066793430553,1,12330340
Chr01_12330528_13051606,0.948860407017398,0.535970373581988,0.966066793430553,1,12330528
Chr01_13051607_13052006,0.87610020854246,0.588930124984479,0.966066793430553,1,13051607
Chr01_13052007_13382483,0.759811569635873,0.509242785226157,0.966066793430553,1,13052007
Chr01_13382484_13382509,0.81436174173686,0.469675705466524,0.966066793430553,1,13382484
Chr01_13382510_13576339,0.88769391071117,0.500866751393673,0.966066793430553,1,13382510
