Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.368713986739187,0.72557044392911,0.246001246419351,0.230825721068596,0.235522988867596,0.997157611351353,0.9980354082185281,0.5103937979977209,0.8951989540967111,1,1
Chr01_126238_809425,0.332032464234711,0.726679196731365,0.244589959558302,0.20097745736904,0.234090765866141,0.997157611351353,0.9980354082185281,0.49056869380007107,0.8951989540967111,1,126238
Chr01_809426_814269,0.330666810667701,0.746960318564208,0.510073387744586,0.238120162611906,0.504718111093353,0.997157611351353,0.9980354082185281,0.5164880158437293,0.998364311300753,1,809426
Chr01_814270_1367747,0.310650523489377,0.590619387941745,0.923004197286911,0.223707740622291,0.927414072391301,0.997157611351353,0.9980354082185281,0.504656626364646,0.998364311300753,1,814270
Chr01_1367748_1367899,0.36629040402044,0.959430520339821,0.947486987711635,0.190426693437192,0.972365045478349,0.997157611351353,0.9980354082185281,0.48390783273451143,0.998364311300753,1,1367748
Chr01_1367900_2042574,0.369041420337129,0.960586677047278,0.877753683489507,0.232887994910386,0.942136863016326,0.997157611351353,0.9980354082185281,0.5119980346121463,0.998364311300753,1,1367900
Chr01_2042575_2043251,0.370326209229941,0.986232683357245,0.788573665309073,0.278619694572605,0.849117941710498,0.997157611351353,0.9980354082185281,0.5576103785006219,0.998364311300753,1,2042575
Chr01_2043252_2231677,0.345149573508424,0.625637331789935,0.734319561123782,0.221639613489171,0.862273592473372,0.997157611351353,0.9980354082185281,0.5031831000747385,0.998364311300753,1,2043252
Chr01_2231678_2231705,0.328355173882624,0.390916270393014,0.815380435807242,0.207795450102354,0.913465130122641,0.997157611351353,0.9980354082185281,0.49643756876007433,0.998364311300753,1,2231678
Chr01_2231706_3033846,0.323159032214271,0.346321894467708,0.843918526496929,0.198334386397992,0.935625335191402,0.997157611351353,0.9980354082185281,0.49056869380007107,0.998364311300753,1,2231706
Chr01_3033847_3052413,0.330650507153221,0.16398112432412,0.949229747353535,0.231567556498966,0.974312119995353,0.997157611351353,0.9980354082185281,0.5103937979977209,0.998364311300753,1,3033847
Chr01_3052414_4229970,0.62977438055814,0.350706118291769,0.792499733930242,0.549373289298624,0.718267713341406,0.997157611351353,0.9980354082185281,0.7510419651171061,0.998364311300753,1,3052414
Chr01_4229971_4235626,0.632508022129996,0.398347931364494,0.191336353549285,0.562145515633405,0.1736647826462,0.997157611351353,0.9904268558118449,0.75492798143758,0.8499395047886485,1,4229971
