Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.44100054888385,0.555455103753117,0.9430018351899863,1,1
Chr01_126238_809425,0.44100054888385,0.555455103753117,0.9430018351899863,1,126238
Chr01_809426_814269,0.44100054888385,0.555455103753117,0.9430018351899863,1,809426
Chr01_814270_1367747,0.44100054888385,0.555455103753117,0.9430018351899863,1,814270
Chr01_1367748_1367899,0.44100054888385,0.555455103753117,0.9430018351899863,1,1367748
Chr01_1367900_2042574,0.44100054888385,0.555455103753117,0.9430018351899863,1,1367900
Chr01_2042575_2043251,0.44100054888385,0.555455103753117,0.9430018351899863,1,2042575
Chr01_2043252_2231677,0.44100054888385,0.555455103753117,0.9430018351899863,1,2043252
Chr01_2231678_2231705,0.44100054888385,0.555455103753117,0.9430018351899863,1,2231678
Chr01_2231706_3033846,0.44100054888385,0.555455103753117,0.9430018351899863,1,2231706
Chr01_3033847_3052413,0.44100054888385,0.555455103753117,0.9430018351899863,1,3033847
Chr01_3052414_4229970,0.44100054888385,0.555455103753117,0.9430018351899863,1,3052414
Chr01_4229971_4235626,0.44100054888385,0.555455103753117,0.9430018351899863,1,4229971
Chr01_4235627_5264100,0.627725727820219,0.881886078267689,0.982899849787872,1,4235627
Chr01_5264101_5264149,0.386430356886095,0.895233421128667,0.982899849787872,1,5264101
Chr01_5264150_5885231,0.304216743332022,0.952419848734336,0.9875989340592347,1,5264150
Chr01_5885232_5886075,0.453717961810767,0.911546598299071,0.9875989340592347,1,5885232
Chr01_5886076_6253003,0.543006228065223,0.878025194942562,0.982899849787872,1,5886076
Chr01_6253004_6253851,0.515282585353027,0.847505868039318,0.982899849787872,1,6253004
Chr01_6253852_6811196,0.680381395799718,0.54000704591956,0.9430018351899863,1,6253852
Chr01_6811197_6811650,0.575204630027193,0.379704478194996,0.9430018351899863,1,6811197
Chr01_6811651_7107385,0.596576651304904,0.399741958190713,0.9430018351899863,1,6811651
Chr01_7107386_7117068,0.449944128130725,0.226961423898468,0.9383976158708232,1,7107386
Chr01_7117069_8021093,0.376637861146848,0.271735364778938,0.9430018351899863,1,7117069
Chr01_8021094_8021338,0.292472806518484,0.242178838008966,0.9430018351899863,1,8021094
Chr01_8021339_8546533,0.292472806518484,0.242178838008966,0.9430018351899863,1,8021339
Chr01_8546534_8548055,0.301427005493734,0.253621327706263,0.9430018351899863,1,8546534
