Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.148464979114447,0.93472558730581,0.481268199712548,0.330527788103487,0.543041773083324,0.9882793054510935,0.999364440770387,0.685426288693867,0.999543400587419,1,1
Chr01_126238_809425,0.113097411525513,0.942322227658459,0.484949996064365,0.279579528856482,0.547341330642386,0.9885390669609294,0.999364440770387,0.6386334415503396,0.999543400587419,1,126238
Chr01_809426_814269,0.0564781487477689,0.77740448970009,0.855398142827973,0.118514008183198,0.743405937756674,0.9683611800530996,0.999364440770387,0.48377431909760044,0.999543400587419,1,809426
Chr01_814270_1367747,0.0504119864099006,0.494343707870655,0.512381074871142,0.105040068821599,0.408574486475834,0.8734917260173225,0.999364440770387,0.46408666011439853,0.999543400587419,1,814270
Chr01_1367748_1367899,0.0551457940827749,0.251689143197217,0.527031053595752,0.126055347589814,0.435428102853147,0.6863744276794808,0.999364440770387,0.4972611225267709,0.999543400587419,1,1367748
Chr01_1367900_2042574,0.0527802666732998,0.296555967865287,0.57477704318426,0.134903000877396,0.469209867957381,0.7379415944554816,0.999364440770387,0.4972611225267709,0.999543400587419,1,1367900
Chr01_2042575_2043251,0.0541913537622918,0.294153478643444,0.586740087845775,0.152290540439101,0.495230232350557,0.7343722152641174,0.999364440770387,0.4972611225267709,0.999543400587419,1,2042575
Chr01_2043252_2231677,0.0720770294266752,0.630566164137419,0.472110038162265,0.152061872813095,0.416944265871263,0.9228556779013266,0.999364440770387,0.4972611225267709,0.999543400587419,1,2043252
Chr01_2231678_2231705,0.0779444303951968,0.652359754798586,0.48853462123841,0.14129376691159,0.407189653704074,0.9235483859582436,0.999364440770387,0.4972611225267709,0.999543400587419,1,2231678
Chr01_2231706_3033846,0.0763841680989947,0.64908162486345,0.485796204107612,0.139045912877042,0.404447685689989,0.9235483859582436,0.999364440770387,0.4972611225267709,0.999543400587419,1,2231706
Chr01_3033847_3052413,0.03145553003665,0.299034340138645,0.494088327361556,0.0978349878154297,0.410394737322198,0.7402829551504245,0.999364440770387,0.4562253317817965,0.999543400587419,1,3033847
Chr01_3052414_4229970,0.0174904889825269,0.408317658618963,0.475439286021632,0.0571439696756034,0.365289647662504,0.8121245068805297,0.999364440770387,0.4524632422947061,0.999543400587419,1,3052414
Chr01_4229971_4235626,0.0167930445332361,0.322776139852792,0.762221038437748,0.0673159264751682,0.681901465403365,0.7637184832389158,0.999364440770387,0.4524632422947061,0.999543400587419,1,4229971
Chr01_4235627_5264100,0.0184529244548863,0.609435947272626,0.715760379508229,0.0557289731735664,0.615600611681202,0.914199232815498,0.999364440770387,0.4524632422947061,0.999543400587419,1,4235627
Chr01_5264101_5264149,0.0145364196810204,0.589835091651648,0.631940430786355,0.0471852389706725,0.543663304130653,0.910384561939064,0.999364440770387,0.4524632422947061,0.999543400587419,1,5264101
Chr01_5264150_5885231,0.0157534626126249,0.503236387831609,0.588080516199414,0.0499749763316831,0.530615957693225,0.8795220353572403,0.999364440770387,0.4524632422947061,0.999543400587419,1,5264150
Chr01_5885232_5886075,0.0190973900534598,0.598188518164956,0.296267923191412,0.052900408316685,"NA",0.9113878167932901,0.960659595670376,0.4524632422947061,NA,1,5885232
Chr01_5886076_6253003,0.0195499213743733,0.611842687572263,0.622627046186841,0.0540086532837932,"NA",0.9149138325032443,0.999364440770387,0.4524632422947061,NA,1,5886076
Chr01_6253004_6253851,0.0192638726533702,0.499698395499903,0.417358000489326,0.0466565198756168,"NA",0.8781196256686252,0.999364440770387,0.4524632422947061,NA,1,6253004
Chr01_6253852_6811196,0.0256741078677476,0.83432289976374,0.2214995231931,0.0591916589333622,"NA",0.9882570141112934,0.960659595670376,0.4524632422947061,NA,1,6253852
Chr01_6811197_6811650,0.0287979689552586,0.998019746376252,0.118199814304397,0.0576963688556939,"NA",0.998056099094681,0.9408220255256841,0.4524632422947061,NA,1,6811197
Chr01_6811651_7107385,0.0262130630366843,0.801123592127439,0.0593399479904019,0.0567605006437067,"NA",0.9763516775288975,0.9408220255256841,0.4524632422947061,NA,1,6811651
