Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.346722016857184,0.639634114944817,0.258156050942568,0.230078769630996,0.240281357823248,0.9910523477713438,0.9967396278751832,0.5336878677007639,0.904527277705215,1,1
Chr01_126238_809425,0.310572271692662,0.640194125092029,0.256797070934612,0.200410781696307,0.23888325938419,0.9910523477713438,0.9967396278751832,0.511514960311005,0.904527277705215,1,126238
Chr01_809426_814269,0.320153543316323,0.657574882785469,0.507448160573714,0.247238205702797,0.491566577700093,0.9910523477713438,0.9967396278751832,0.5494182348951044,0.9981505661664123,1,809426
Chr01_814270_1367747,0.301603955765616,0.513973121068848,0.919257002584448,0.232926873753614,0.907866601501198,0.9910523477713438,0.9967396278751832,0.5361488142666307,0.9981505661664123,1,814270
Chr01_1367748_1367899,0.356516415549911,0.844818697706489,0.940446313635071,0.204196352880552,0.99869091075059,0.9910523477713438,0.9967396278751832,0.511514960311005,0.999394390055343,1,1367748
Chr01_1367900_2042574,0.360341054639621,0.862194200334188,0.870805196618922,0.246746554746882,0.916286776146033,0.9910523477713438,0.9967396278751832,0.5494182348951044,0.9981505661664123,1,1367900
Chr01_2042575_2043251,0.361497705980011,0.919307864167587,0.782246569770037,0.294944360020142,0.823142625263409,0.9910523477713438,0.9967396278751832,0.6032952818593814,0.9981505661664123,1,2042575
Chr01_2043252_2231677,0.337453735077339,0.541715416549402,0.731979245896704,0.233832532588317,0.840913169203232,0.9910523477713438,0.9967396278751832,0.5368604064527687,0.9981505661664123,1,2043252
Chr01_2231678_2231705,0.319723189579188,0.322554130117946,0.815101668458698,0.218532999922905,0.892874408433389,0.9910523477713438,0.9967396278751832,0.5258815506166163,0.9981505661664123,1,2231678
Chr01_2231706_3033846,0.314646778898545,0.283020263554801,0.843208405673948,0.208708806761155,0.914755729258474,0.9910523477713438,0.9967396278751832,0.5168004481979606,0.9981505661664123,1,2231706
Chr01_3033847_3052413,0.322682189240359,0.126407922328342,0.94824911472319,0.241360529121892,0.953949547616342,0.9109854959271467,0.9967396278751832,0.544422246139606,0.9981505661664123,1,3033847
Chr01_3052414_4229970,0.618723441501165,0.287475698209119,0.788429959221968,0.561471905497703,0.701749951975241,0.9910523477713438,0.9967396278751832,0.766423304094319,0.9981505661664123,1,3052414
