Pheno,Marker,Del_P_adj,Linkage_Class
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_3811172_4203782,0.0986659307351856,suggestive
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_4203783_4204963,0.0986659307351856,suggestive
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_4204964_5059530,0.03264696525122604,significant
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_3811172_4203782,0.0534861314926905,suggestive
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_4203783_4204963,0.0534861314926905,suggestive
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_4204964_5059530,0.0160098894171027,significant
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_5059531_5059566,0.0883913689666818,suggestive
Blup_Transfo_Horiz_size_50perc_field_y1_y2,Chr02_4204964_5059530,0.06844937423595615,suggestive
Blup_Transfo_Horiz_size_50perc_field_year2,Chr02_4204964_5059530,0.04695251276614977,significant
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_3811172_4203782,0.09583694124974931,suggestive
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_4203783_4204963,0.09583694124974931,suggestive
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_4204964_5059530,0.0242850032500383,significant
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_5059531_5059566,0.09583694124974931,suggestive
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_3811172_4203782,0.05701144033993253,suggestive
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_4203783_4204963,0.05701144033993253,suggestive
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_4204964_5059530,0.01288584566660349,significant
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_5059531_5059566,0.05701144033993253,suggestive
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_4204964_5059530,0.03164894852916888,significant
Blup_Transfo_Horiz_size_center_field_year2,Chr02_3811172_4203782,0.0682669668978744,suggestive
Blup_Transfo_Horiz_size_center_field_year2,Chr02_4203783_4204963,0.0682669668978744,suggestive
Blup_Transfo_Horiz_size_center_field_year2,Chr02_4204964_5059530,0.01628609341621896,significant
Blup_Transfo_Horiz_size_center_field_year2,Chr02_5059531_5059566,0.07011643925589008,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1_4524,0.02917153670771817,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_4525_349303,0.02917153670771817,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_349304_361275,0.02917153670771817,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_361276_876244,0.02734127835995664,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_876245_880558,0.06970611073178434,suggestive
