Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.52188239716311,0.514248439532248,0.954552863357304,0.773140356626989,0.86923396988661,0.8806253835109438,0.9803801887585729,0.9957638394838043,0.9264462543009508,1,1
Chr01_126238_809425,0.502966910302507,0.512173605403783,0.953689543127743,0.765800991431611,0.869027665503644,0.8799822986919574,0.9803801887585729,0.9957638394838043,0.9264462543009508,1,126238
Chr01_809426_814269,0.646987723004814,0.572642569967806,0.764764678753485,0.823256002181583,0.952917875483701,0.9047697349501299,0.9438778203253073,0.9957638394838043,0.9652529048137448,1,809426
Chr01_814270_1367747,0.61552502279272,0.757115045925584,0.533340251716079,0.791396476198211,0.728167457900239,0.9533583313161998,0.8964727928578434,0.9957638394838043,0.8901165580404159,1,814270
Chr01_1367748_1367899,0.595675680421033,0.717054880803384,0.510195290515652,0.757748091213236,0.716170296399557,0.9368626304052639,0.8909797317946697,0.9957638394838043,0.8901165580404159,1,1367748
Chr01_1367900_2042574,0.610070763359537,0.871968937817073,0.460278950233113,0.783891121093046,0.679391617725692,0.9836396303038665,0.886717135347456,0.9957638394838043,0.8841659926458302,1,1367900
Chr01_2042575_2043251,0.612704396444405,0.854489309793886,0.499455349267054,0.756614630449293,0.718676362990693,0.9816184386271856,0.886717135347456,0.9957638394838043,0.8901165580404159,1,2042575
Chr01_2043252_2231677,0.679538969956607,0.57905571262389,0.591871297782363,0.868049390099231,0.744343444118304,0.9124621015290425,0.9109091937285065,0.9957638394838043,0.8901165580404159,1,2043252
Chr01_2231678_2231705,0.714005861779482,0.434663831397887,0.492804574100774,0.912886960423082,0.679068334065447,0.8360589328134421,0.886717135347456,0.9957638394838043,0.8841659926458302,1,2231678
Chr01_2231706_3033846,0.712431649129746,0.431131445168587,0.490587785631816,0.912011076001362,0.677722178665116,0.8360589328134421,0.886717135347456,0.9957638394838043,0.8841659926458302,1,2231706
Chr01_3033847_3052413,0.586913769063033,0.266659978994295,0.459576084371514,0.827164550509769,0.674774757750456,0.8048462323878802,0.886717135347456,0.9957638394838043,0.8841659926458302,1,3033847
Chr01_3052414_4229970,0.520276337772702,0.352489078375189,0.417224311118178,0.74455617139174,0.664187295823548,0.8355912565801136,0.8782396165651642,0.9957638394838043,0.8841659926458302,1,3052414
Chr01_4229971_4235626,0.514845970689871,0.399786005560074,0.721148311821268,0.712252380863578,0.551294345933459,0.8360589328134421,0.9380011221892262,0.9957638394838043,0.853222440047451,1,4229971
Chr01_4235627_5264100,0.473241050173439,0.602631236148199,0.628541007504057,0.594313465313391,0.479574179714839,0.920616361776382,0.9271762011920024,0.9693190819380619,0.853222440047451,1,4235627
Chr01_5264101_5264149,0.491181865766612,0.853622561894945,0.748438930100375,0.669356657906209,0.575118199817311,0.9816184386271856,0.9438778203253073,0.9957638394838043,0.853222440047451,1,5264101
Chr01_5264150_5885231,0.544169158300678,0.656997604875248,0.828261496627845,0.790261718264364,0.655058992863359,0.9354540249671874,0.9549954846660814,0.9957638394838043,0.8841659926458302,1,5264150
Chr01_5885232_5886075,0.971993270317915,0.5392147747181,0.0367040642553824,0.82373746174378,"NA",0.8885257524185443,0.5090694129333472,0.9957638394838043,NA,1,5885232
Chr01_5886076_6253003,0.956350803706914,0.674734232731385,0.130215189708124,0.822526843766206,"NA",0.9354540249671874,0.7972157184778722,0.9957638394838043,NA,1,5886076
Chr01_6253004_6253851,0.966877740178413,0.596963798757948,0.304361022903745,0.787477287381816,"NA",0.920616361776382,0.8746478337870124,0.9957638394838043,NA,1,6253004
Chr01_6253852_6811196,0.958487243502061,0.670244237060037,0.344735075407548,0.811204166848443,"NA",0.9354540249671874,0.8746478337870124,0.9957638394838043,NA,1,6253852
Chr01_6811197_6811650,0.993160633695064,0.384826054235252,0.134171407832426,0.823325202598604,"NA",0.8355912565801136,0.7972157184778722,0.9957638394838043,NA,1,6811197
Chr01_6811651_7107385,0.969456384719719,0.527030080836163,0.0755707558012354,0.885322955033603,"NA",0.8864225471999726,0.695615440051272,0.9957638394838043,NA,1,6811651
Chr01_7107386_7117068,0.942024731014954,0.808790760827384,0.0231048276138648,0.969605590896023,"NA",0.9703283057830818,0.4335552946366395,0.9997654319355708,NA,1,7107386
Chr01_7117069_8021093,0.446392843190227,0.668830919801055,0.0157364292963798,0.499302301977933,"NA",0.9354540249671874,0.3764940709158867,0.9580469726950928,NA,1,7117069
Chr01_8021094_8021338,0.336925247225111,0.674766444060743,0.0864588128173538,0.368530408032501,"NA",0.9354540249671874,0.7590925125340146,0.852286614716015,NA,1,8021094
Chr01_8021339_8546533,0.0110800137036721,0.710816920428927,0.192242255552262,0.019084765253887,"NA",0.9368626304052639,0.8354389766436346,0.09862300657210969,NA,1,8021339
Chr01_8546534_8548055,0.0164187104499017,0.288800570206339,0.409137324637706,0.0348354596275997,"NA",0.8105048260629514,0.8774443133998858,0.15889235156670475,NA,1,8546534
Chr01_8548056_9439189,0.0137085835120472,0.220682911413256,0.405099994001436,0.0320354968566599,"NA",0.7679765317181309,0.8774443133998858,0.14762749582398943,NA,1,8548056
Chr01_9439190_9439923,0.0396765507259378,0.11605288179918,0.161529310796698,0.0653158758522041,"NA",0.7576996024289621,0.809337960379267,0.2762027877688123,NA,1,9439190
Chr01_9439924_10127710,0.0345856444178708,0.107028167426476,0.335821775608721,0.0557403557226719,"NA",0.7576996024289621,0.8746478337870124,0.24190232046635282,NA,1,9439924
Chr01_10127711_10127775,0.0351031692012609,0.102145227904276,0.484251618003134,0.0576857953867811,"NA",0.7576996024289621,0.886717135347456,0.24913575398928647,NA,1,10127711
Chr01_10127776_10700451,0.0188037551792141,0.0337084985411946,0.327442235880402,0.028136389764222,"NA",0.7195484408680323,0.8746478337870124,0.1312508408976267,NA,1,10127776
Chr01_10700452_10700489,0.0560090640855801,0.0984300629937175,0.326359471780946,0.0902163681564594,"NA",0.7576996024289621,0.8746478337870124,0.3537431277713803,NA,1,10700452
Chr01_10700490_11189458,0.0628855989691209,0.0799979589656004,0.602431973746953,0.0992107796789866,"NA",0.7576996024289621,0.9180372593564236,0.3823036079009225,NA,1,10700490
Chr01_11189459_11289027,0.000713087798650953,0.104808534607993,0.951935240826506,0.00111610030969176,"NA",0.7576996024289621,0.9803801887585729,0.020982958551100446,NA,1,11189459
Chr01_11289028_11965532,0.00503472823071749,0.107754348325443,0.814835697120516,0.00869917654905678,"NA",0.7576996024289621,0.9511752347515758,0.06492222891958369,NA,1,11289028
Chr01_11965533_11966198,0.00419506747612474,0.10539897983267,0.998474514066579,0.00668720858768203,"NA",0.7576996024289621,0.99847451406657906,0.056399664881016366,NA,1,11965533
Chr01_11966199_12330339,0.00658220013095704,0.0355292176952513,0.89368421900695,0.0114439761929756,"NA",0.7195484408680323,0.9719249576636968,0.07112013078084584,NA,1,11966199
Chr01_12330340_12330527,0.00634676103475096,0.0207207620303595,0.935426383161751,0.00933996906349402,"NA",0.7195484408680323,0.9763886599739771,0.06574749876191854,NA,1,12330340
Chr01_12330528_13051606,0.00829347998526203,0.0149704533489781,0.994047786893271,0.0127167157631147,"NA",0.7195484408680323,0.9971737233300424,0.0752356394494915,NA,1,12330528
Chr01_13051607_13052006,0.000886789807435052,0.0175714215414438,0.848780504362086,0.00135082138995692,"NA",0.7195484408680323,0.9659508036189238,0.02118656706353485,NA,1,13051607
Chr01_13052007_13382483,0.000770220825007313,0.0245411104613269,0.875691256956298,0.00120991904612303,"NA",0.7195484408680323,0.9674157294294211,0.020982958551100446,NA,1,13052007
Chr01_13382484_13382509,0.00070373930386753,0.0156421428459739,0.968410546867264,0.00108209375201523,"NA",0.7195484408680323,0.9859243546297571,0.020982958551100446,NA,1,13382484
Chr01_13382510_13576339,0.00063001585794196,0.010028026357309,0.917815629372033,0.00107193093228136,"NA",0.7195484408680323,0.9722942709860459,0.020982958551100446,NA,1,13382510
Chr01_13576340_13576350,0.000665357703205778,0.0321452668302508,0.903874739755106,0.00104264082592494,"NA",0.7195484408680323,0.9722942709860459,0.020982958551100446,NA,1,13576340
Chr01_13576351_14061355,0.000740256858895412,0.0343145055816907,0.835366213347772,0.00114762739932113,"NA",0.7195484408680323,0.9585677052443857,0.020982958551100446,NA,1,13576351
Chr01_14061356_14061634,0.000879563209007292,0.0289445013909355,0.938717570683689,0.00145763939794645,"NA",0.7195484408680323,0.9774533354645019,0.022086942741764853,NA,1,14061356
Chr01_14061635_14604721,0.000853355477303142,0.0308928544013495,0.871800722985999,0.001333560364643,"NA",0.7195484408680323,0.9674157294294211,0.02118656706353485,NA,1,14061635
Chr01_14604722_14607157,0.000188925660815539,0.228684700545156,0.590007850859805,0.000291860663171421,"NA",0.7719610099603084,0.9109091937285065,0.010570641622287569,NA,1,14604722
Chr01_14607158_15449572,0.000209798586001897,0.210199317130007,0.270578942821409,0.000306751115529687,"NA",0.7600243343521695,0.8746478337870124,0.010570641622287569,NA,1,14607158
Chr01_15449573_15456448,0.000151049256240316,0.259206934081452,0.320287490990233,0.000324386637203506,"NA",0.8048462323878802,0.8746478337870124,0.010740801987404978,NA,1,15449573
Chr01_15456449_16406535,0.00582616128350782,0.160073311622965,0.590445679345685,0.0120699994046379,"NA",0.7576996024289621,0.9109091937285065,0.07295311979367664,NA,1,15456449
Chr01_16406536_16454790,0.00620733080382638,0.288610330311251,0.480205743142011,0.0130610306000196,"NA",0.8105048260629514,0.886717135347456,0.07582182698972417,NA,1,16406536
Chr01_16454791_19216253,0.0383462572371249,0.186820489001627,0.502195075609531,0.071943059506668,"NA",0.7576996024289621,0.886717135347456,0.2936853662053023,NA,1,16454791
Chr01_19216254_19216663,0.143386118178329,0.239075953365033,0.543919656231782,"NA","NA",0.7889506461046089,0.8966648063478277,NA,NA,1,19216254
Chr01_19216664_20661429,0.0973022400432954,0.0933081173074949,0.822982880534326,"NA","NA",0.7576996024289621,0.9546052403771766,NA,NA,1,19216664
Chr01_20661430_20662913,0.882694445673635,0.140793068711323,0.773598079841952,0.750436084961298,"NA",0.7576996024289621,0.9479300414964763,0.9957638394838043,NA,1,20661430
Chr01_20662914_21251875,0.893192641715137,0.186343948241581,0.956410024605857,0.777821406154195,"NA",0.7576996024289621,0.9803801887585729,0.9957638394838043,NA,1,20662914
Chr01_21251876_21488109,0.849070837005041,0.0863014970544711,0.833603802443394,0.784155723265931,"NA",0.7576996024289621,0.9585677052443857,0.9957638394838043,NA,1,21251876
Chr01_21488110_22523058,0.825921630531686,0.0471288808721067,0.730755835550398,0.749354747386414,"NA",0.7454048940591782,0.9412292525191532,0.9957638394838043,NA,1,21488110
