Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.392784970461933,0.707651228949921,0.04337805122314,0.996697946120347,0.6393145720543156,1,1
Chr01_126238_809425,0.360502826228585,0.666729544079281,0.0440416705192973,0.996697946120347,0.6393145720543156,1,126238
Chr01_809426_814269,0.685885806071667,0.616880666801855,0.0237930897648143,0.996697946120347,0.5666934407986147,1,809426
Chr01_814270_1367747,0.789755269031164,0.729337105618949,0.0295441509050796,0.996697946120347,0.587141548329467,1,814270
Chr01_1367748_1367899,0.828792934534642,0.852042619284472,0.0364780253743676,0.996697946120347,0.6313504391717468,1,1367748
Chr01_1367900_2042574,0.70071201609519,0.835435780378611,0.032095002377371,0.996697946120347,0.5940304455688128,1,1367900
Chr01_2042575_2043251,0.669198668986581,0.789921153291289,0.0702659743916743,0.996697946120347,0.7218732071347423,1,2042575
Chr01_2043252_2231677,0.525740749959662,0.673975534964788,0.240291348671561,0.996697946120347,0.9048628192652924,1,2043252
Chr01_2231678_2231705,0.51592473673236,0.552316127108334,0.185436571431719,0.996697946120347,0.8786032764529296,1,2231678
Chr01_2231706_3033846,0.544194767802236,0.598768740674525,0.201364040146864,0.996697946120347,0.8786032764529296,1,2231706
Chr01_3033847_3052413,0.317318079843401,0.179178937617826,0.163084721859326,0.996697946120347,0.8786032764529296,1,3033847
Chr01_3052414_4229970,0.462237204987156,0.423099776676167,0.100553645396188,0.996697946120347,0.7869415726658191,1,3052414
Chr01_4229971_4235626,0.604741775824588,0.394490067719748,0.0973803941528605,0.996697946120347,0.7687925854173197,1,4229971
Chr01_4235627_5264100,0.58745573189818,0.582035992241734,0.0466070622476533,0.996697946120347,0.6413366507666605,1,4235627
Chr01_5264101_5264149,0.4738219926943,0.677863146765634,0.0251863751466051,0.996697946120347,0.5666934407986147,1,5264101
Chr01_5264150_5885231,0.357288350894442,0.442523397604927,0.00532563188820724,0.996697946120347,0.48219852288228293,1,5264150
Chr01_5885232_5886075,0.373866777651155,0.348588952472962,0.0457533572285378,0.996697946120347,0.6413366507666605,1,5885232
Chr01_5886076_6253003,0.474901061729255,0.413485337015664,0.0470313543895551,0.996697946120347,0.6413366507666605,1,5886076
Chr01_6253004_6253851,0.341488694624128,0.435795868316112,0.0792183609421678,0.996697946120347,0.7499897401846537,1,6253004
Chr01_6253852_6811196,0.445788526569922,0.45362880393784,0.0808322275532349,0.996697946120347,0.7499897401846537,1,6253852
Chr01_6811197_6811650,0.642879895596067,0.6241895121148,0.119766942613468,0.996697946120347,0.8291557565547785,1,6811197
Chr01_6811651_7107385,0.819220284106171,0.635713578386761,0.139345236135846,0.996697946120347,0.8581798011684236,1,6811651
Chr01_7107386_7117068,0.576020000884983,0.813609816099718,0.0437185613475625,0.996697946120347,0.6393145720543156,1,7107386
Chr01_7117069_8021093,0.832467829297658,0.755282101848976,0.185371356716916,0.996697946120347,0.8786032764529296,1,7117069
Chr01_8021094_8021338,0.81775908470345,0.925797561809771,0.336229512161183,0.996697946120347,0.9667264215008985,1,8021094
Chr01_8021339_8546533,0.659477987611391,0.766874320096445,0.6868554742681,0.996697946120347,0.9723882380920891,1,8021339
Chr01_8546534_8548055,0.0378983142046477,0.917083752272896,0.721000659070038,0.996697946120347,0.973459684732345,1,8546534
Chr01_8548056_9439189,0.970331760443946,0.846177524255273,0.863495361630823,0.996697946120347,0.9809980758303812,1,8548056
Chr01_9439190_9439923,0.734738565470011,0.716306277047974,0.907027165942399,0.996697946120347,0.9855336532120411,1,9439190
Chr01_9439924_10127710,0.681657988641436,0.738428046315196,0.905080125881894,0.996697946120347,0.9855336532120411,1,9439924
Chr01_10127711_10127775,0.673924767064223,0.628491377123939,0.802555294127392,0.996697946120347,0.973459684732345,1,10127711
Chr01_10127776_10700451,0.683997136142716,0.466480378704621,0.786754674326298,0.996697946120347,0.973459684732345,1,10127776
Chr01_10700452_10700489,0.654168602631367,0.468749120638789,0.949417035809166,0.996697946120347,0.9855336532120411,1,10700452
Chr01_10700490_11189458,0.593705115073464,0.515753780516499,0.946223706113618,0.996697946120347,0.9855336532120411,1,10700490
Chr01_11189459_11289027,0.994008475326712,0.441212184893257,0.673118519790456,0.996697946120347,0.9723882380920891,1,11189459
Chr01_11289028_11965532,0.74028725527111,0.315650058945861,0.55609454678727,0.996697946120347,0.9723882380920891,1,11289028
Chr01_11965533_11966198,0.77048678137085,0.231680358360239,0.537903362897046,0.996697946120347,0.9723882380920891,1,11965533
Chr01_11966199_12330339,0.768853076748526,0.119790046924551,0.893995437245401,0.996697946120347,0.9855336532120411,1,11966199
Chr01_12330340_12330527,0.803836824494404,0.0474006844372707,0.781575820026892,0.996697946120347,0.973459684732345,1,12330340
Chr01_12330528_13051606,0.803843012355005,0.0661691615054524,0.802696074948805,0.996697946120347,0.973459684732345,1,12330528
Chr01_13051607_13052006,0.470761193415495,0.0662991143465542,0.488018857088036,0.996697946120347,0.9723882380920891,1,13051607
Chr01_13052007_13382483,0.371563121904762,0.107331751521291,0.599694542184821,0.996697946120347,0.9723882380920891,1,13052007
Chr01_13382484_13382509,0.358166791485406,0.0835966685219216,0.550749181661325,0.996697946120347,0.9723882380920891,1,13382484
Chr01_13382510_13576339,0.18437527128684,0.0561333004939656,0.803867950395189,0.996697946120347,0.973459684732345,1,13382510
Chr01_13576340_13576350,0.255117071782291,0.236631781826228,0.60011008192325,0.996697946120347,0.9723882380920891,1,13576340
Chr01_13576351_14061355,0.991568390857135,0.384264620506183,0.557705881662843,0.996697946120347,0.9723882380920891,1,13576351
Chr01_14061356_14061634,0.302958217829877,0.117256704432694,0.635201899592034,0.996697946120347,0.9723882380920891,1,14061356
