Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.155541816022072,0.887039486542724,0.0861384550783044,0.999850308516448,0.9652419175126956,1,1
Chr01_126238_809425,0.139833929772053,0.850696953014585,0.0870414653784183,0.999850308516448,0.9652419175126956,1,126238
Chr01_809426_814269,0.330682156455851,0.821939231177304,0.0569192843038941,0.999850308516448,0.9652419175126956,1,809426
Chr01_814270_1367747,0.371659654541388,0.887951429533495,0.0664088468870374,0.999850308516448,0.9652419175126956,1,814270
Chr01_1367748_1367899,0.388792471476534,0.820063814852907,0.115070819572833,0.999850308516448,0.9652419175126956,1,1367748
Chr01_1367900_2042574,0.227483791195219,0.720347102341642,0.143775251366704,0.999850308516448,0.9652419175126956,1,1367900
Chr01_2042575_2043251,0.208486144274426,0.653935775740421,0.269007468281335,0.999850308516448,0.9912141390304865,1,2042575
Chr01_2043252_2231677,0.152411803462925,0.818612456523564,0.621135604288373,0.999850308516448,0.9912141390304865,1,2043252
Chr01_2231678_2231705,0.173074144798107,0.686471422632568,0.535252592861811,0.999850308516448,0.9912141390304865,1,2231678
Chr01_2231706_3033846,0.184492809483732,0.734843397376482,0.567100267530164,0.999850308516448,0.9912141390304865,1,2231706
Chr01_3033847_3052413,0.0820366542857801,0.254465266062791,0.564801778542201,0.999850308516448,0.9912141390304865,1,3033847
Chr01_3052414_4229970,0.140761958839062,0.581871656111284,0.353814599935482,0.999850308516448,0.9912141390304865,1,3052414
Chr01_4229971_4235626,0.202505086863683,0.610235553049095,0.423253818211429,0.999850308516448,0.9912141390304865,1,4229971
Chr01_4235627_5264100,0.191818521598071,0.995990114483385,0.350164162988465,0.999850308516448,0.9912141390304865,1,4235627
Chr01_5264101_5264149,0.077695014021537,0.806044385996974,0.272891446769028,0.999850308516448,0.9912141390304865,1,5264101
Chr01_5264150_5885231,0.0987234741510371,0.8713271962759,0.0757778319744683,0.999850308516448,0.9652419175126956,1,5264150
Chr01_5885232_5886075,0.0833322123730058,0.669880317099637,0.328516849861754,0.999850308516448,0.9912141390304865,1,5885232
Chr01_5886076_6253003,0.208802860351537,0.648562996661587,0.298476175650258,0.999850308516448,0.9912141390304865,1,5886076
Chr01_6253004_6253851,0.140518737990354,0.624576676951173,0.448836530250038,0.999850308516448,0.9912141390304865,1,6253004
Chr01_6253852_6811196,0.208510067363535,0.627685685588737,0.436170167657692,0.999850308516448,0.9912141390304865,1,6253852
Chr01_6811197_6811650,0.263126953464494,0.759603764063937,0.529055248956902,0.999850308516448,0.9912141390304865,1,6811197
Chr01_6811651_7107385,0.286543914299677,0.88464507374741,0.516482183137394,0.999850308516448,0.9912141390304865,1,6811651
Chr01_7107386_7117068,0.997182688425522,0.993269561199321,0.10142334317136,0.999850308516448,0.9652419175126956,1,7107386
Chr01_7117069_8021093,0.771435796826791,0.882798995178778,0.331011283640904,0.999850308516448,0.9912141390304865,1,7117069
Chr01_8021094_8021338,0.746149644187926,0.630899831641704,0.703396450830963,0.999850308516448,0.9986399750019669,1,8021094
Chr01_8021339_8546533,0.188949927820466,0.811579086872817,0.794982248810855,0.999850308516448,0.9986399750019669,1,8021339
Chr01_8546534_8548055,0.0302966019361897,0.913746914470711,0.596965642421288,0.999850308516448,0.9912141390304865,1,8546534
Chr01_8548056_9439189,0.0296671488586076,0.659435566263266,0.936518632250934,0.999850308516448,0.9986399750019669,1,8548056
Chr01_9439190_9439923,0.131185515523635,0.66816369275203,0.742333491282861,0.999850308516448,0.9986399750019669,1,9439190
Chr01_9439924_10127710,0.289225403476241,0.413027464605357,0.720903174413169,0.999850308516448,0.9986399750019669,1,9439924
Chr01_10127711_10127775,0.44820867079196,0.380329383752227,0.920943444041054,0.999850308516448,0.9986399750019669,1,10127711
Chr01_10127776_10700451,0.54144217648608,0.175046921687402,0.981480561011714,0.9797140507160945,0.999431928718325,1,10127776
