Marker,Intercept,Dosage,Dos_P_adj,CHR,BP
Chr01_1_126237,0.886320244616039,0.843831807358677,0.9715745852934973,1,1
Chr01_126238_809425,0.740292289619539,0.985786254263028,0.9956375756478426,1,126238
Chr01_809426_814269,0.740292289619539,0.985786254263028,0.9956375756478426,1,809426
Chr01_814270_1367747,0.740292289619539,0.985786254263028,0.9956375756478426,1,814270
Chr01_1367748_1367899,0.886320244616039,0.843831807358677,0.9715745852934973,1,1367748
Chr01_1367900_2042574,0.886320244616039,0.843831807358677,0.9715745852934973,1,1367900
Chr01_2042575_2043251,0.886320244616039,0.843831807358677,0.9715745852934973,1,2042575
Chr01_2043252_2231677,0.886320244616039,0.843831807358677,0.9715745852934973,1,2043252
Chr01_2231678_2231705,0.886320244616039,0.843831807358677,0.9715745852934973,1,2231678
Chr01_2231706_3033846,0.886320244616039,0.843831807358677,0.9715745852934973,1,2231706
Chr01_3033847_3052413,0.639300197524795,0.872667177560441,0.9715745852934973,1,3033847
Chr01_3052414_4229970,0.73398634076891,0.993357370841351,0.997759437543162,1,3052414
Chr01_4229971_4235626,0.920058000248576,0.678248134018011,0.9715745852934973,1,4229971
Chr01_4235627_5264100,0.920058000248576,0.678248134018011,0.9715745852934973,1,4235627
Chr01_5264101_5264149,0.716655269936134,0.52284798092488,0.9689366828147977,1,5264101
Chr01_5264150_5885231,0.716655269936134,0.52284798092488,0.9689366828147977,1,5264150
Chr01_5885232_5886075,0.985587895172571,0.842830646627604,0.9715745852934973,1,5885232
Chr01_5886076_6253003,0.985587895172571,0.842830646627604,0.9715745852934973,1,5886076
Chr01_6253004_6253851,0.985587895172571,0.842830646627604,0.9715745852934973,1,6253004
Chr01_6253852_6811196,0.985587895172571,0.842830646627604,0.9715745852934973,1,6253852
Chr01_6811197_6811650,0.985587895172571,0.842830646627604,0.9715745852934973,1,6811197
Chr01_6811651_7107385,0.985587895172571,0.842830646627604,0.9715745852934973,1,6811651
Chr01_7107386_7117068,0.985587895172571,0.842830646627604,0.9715745852934973,1,7107386
Chr01_7117069_8021093,0.629665738494984,0.803118737951926,0.9715745852934973,1,7117069
Chr01_8021094_8021338,0.54730249262856,0.692479451483607,0.9715745852934973,1,8021094
Chr01_8021339_8546533,0.257534282693771,0.360920480616791,0.887737290194469,1,8021339
Chr01_8546534_8548055,0.457040690619049,0.589273795006921,0.9703083467979987,1,8546534
Chr01_8548056_9439189,0.457040690619049,0.589273795006921,0.9703083467979987,1,8548056
Chr01_9439190_9439923,0.457040690619049,0.589273795006921,0.9703083467979987,1,9439190
Chr01_9439924_10127710,0.457040690619049,0.589273795006921,0.9703083467979987,1,9439924
Chr01_10127711_10127775,0.457040690619049,0.589273795006921,0.9703083467979987,1,10127711
Chr01_10127776_10700451,0.457040690619049,0.589273795006921,0.9703083467979987,1,10127776
Chr01_10700452_10700489,0.535744524081128,0.659661620147263,0.9715745852934973,1,10700452
Chr01_10700490_11189458,0.535744524081128,0.659661620147263,0.9715745852934973,1,10700490
Chr01_11189459_11289027,0.183701583724751,0.219315033322581,0.8329501734364557,1,11189459
Chr01_11289028_11965532,0.0926729213036027,0.122506044687926,0.8329501734364557,1,11289028
Chr01_11965533_11966198,0.0926729213036027,0.122506044687926,0.8329501734364557,1,11965533
Chr01_11966199_12330339,0.0926729213036027,0.122506044687926,0.8329501734364557,1,11966199
Chr01_12330340_12330527,0.0926729213036027,0.122506044687926,0.8329501734364557,1,12330340
Chr01_12330528_13051606,0.0926729213036027,0.122506044687926,0.8329501734364557,1,12330528
Chr01_13051607_13052006,0.183701583724751,0.219315033322581,0.8329501734364557,1,13051607
Chr01_13052007_13382483,0.183701583724751,0.219315033322581,0.8329501734364557,1,13052007
Chr01_13382484_13382509,0.183701583724751,0.219315033322581,0.8329501734364557,1,13382484
Chr01_13382510_13576339,0.183701583724751,0.219315033322581,0.8329501734364557,1,13382510
Chr01_13576340_13576350,0.183701583724751,0.219315033322581,0.8329501734364557,1,13576340
Chr01_13576351_14061355,0.183701583724751,0.219315033322581,0.8329501734364557,1,13576351
Chr01_14061356_14061634,0.183701583724751,0.219315033322581,0.8329501734364557,1,14061356
Chr01_14061635_14604721,0.183701583724751,0.219315033322581,0.8329501734364557,1,14061635
Chr01_14604722_14607157,0.183701583724751,0.219315033322581,0.8329501734364557,1,14604722
Chr01_14607158_15449572,0.183701583724751,0.219315033322581,0.8329501734364557,1,14607158
Chr01_15449573_15456448,0.183701583724751,0.219315033322581,0.8329501734364557,1,15449573
Chr01_15456449_16406535,0.136170878002845,0.176586793597856,0.8329501734364557,1,15456449
Chr01_16406536_16454790,0.136170878002845,0.176586793597856,0.8329501734364557,1,16406536
Chr01_16454791_19216253,0.0686051977209356,0.101784104294138,0.8329501734364557,1,16454791
Chr01_19216254_19216663,0.238766917443251,"NA",NA,1,19216254
Chr01_19216664_20661429,0.956845937816439,0.871858442634898,0.9715745852934973,1,19216664
Chr01_20661430_20662913,0.956845937816439,0.871858442634898,0.9715745852934973,1,20661430
Chr01_20662914_21251875,0.956845937816439,0.871858442634898,0.9715745852934973,1,20662914
Chr01_21251876_21488109,0.956845937816439,0.871858442634898,0.9715745852934973,1,21251876
Chr01_21488110_22523058,0.956845937816439,0.871858442634898,0.9715745852934973,1,21488110
Chr01_22523059_22523376,0.956845937816439,0.871858442634898,0.9715745852934973,1,22523059
Chr01_22523377_25610270,0.956845937816439,0.871858442634898,0.9715745852934973,1,22523377
Chr01_25610271_25623774,0.238766917443251,"NA",NA,1,25610271
Chr01_25623775_25991881,0.238766917443251,"NA",NA,1,25623775
Chr01_25991882_26001088,0.238766917443251,"NA",NA,1,25991882
Chr01_26001089_26286066,0.238766917443251,"NA",NA,1,26001089
Chr01_26286067_26293474,0.238766917443251,"NA",NA,1,26286067
Chr01_26293475_26583692,0.238766917443251,"NA",NA,1,26293475
Chr01_26583693_26647317,0.238766917443251,"NA",NA,1,26583693
Chr01_26647318_27308826,0.833652872137241,0.917219103046591,0.9793671263838601,1,26647318
