Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.15090882753997,0.487826671713589,0.9311089552396595,1,1
Chr01_126238_809425,0.15090882753997,0.487826671713589,0.9311089552396595,1,126238
Chr01_809426_814269,0.205478763530829,0.442238142672927,0.9311089552396595,1,809426
Chr01_814270_1367747,0.190767960252997,0.430848130432205,0.9311089552396595,1,814270
Chr01_1367748_1367899,0.131014753238742,0.646715297950718,0.9325494810901334,1,1367748
Chr01_1367900_2042574,0.119753216119503,0.601560561035402,0.9311089552396595,1,1367900
Chr01_2042575_2043251,0.10386876986042,0.798222201324747,0.9608855926505762,1,2042575
Chr01_2043252_2231677,0.107978597744925,0.77879318910198,0.9531210136661046,1,2043252
Chr01_2231678_2231705,0.102508351924551,0.588095908644293,0.9311089552396595,1,2231678
Chr01_2231706_3033846,0.0967047859288898,0.573849491851518,0.9311089552396595,1,2231706
Chr01_3033847_3052413,0.0356323043056364,0.586269924489088,0.9311089552396595,1,3033847
Chr01_3052414_4229970,0.185692218675466,0.069678532653692,0.6474997224260551,1,3052414
Chr01_4229971_4235626,0.180765483357831,0.0803968586261238,0.6474997224260551,1,4229971
Chr01_4235627_5264100,0.317283276009246,0.0524177585241621,0.6474997224260551,1,4235627
Chr01_5264101_5264149,0.313126813225953,0.081212284425006,0.6474997224260551,1,5264101
Chr01_5264150_5885231,0.170665078380424,0.176873424807287,0.7984333374555361,1,5264150
Chr01_5885232_5886075,0.18223167181606,0.152523648720702,0.762834357412385,1,5885232
Chr01_5886076_6253003,0.0802203111051509,0.335476125821716,0.9275803281381442,1,5886076
Chr01_6253004_6253851,0.114335974187865,0.375902097576243,0.9309047628902823,1,6253004
Chr01_6253852_6811196,0.178208173478011,0.281777244963696,0.9125846432107375,1,6253852
Chr01_6811197_6811650,0.24895246752884,0.166819313738501,0.7825788394497327,1,6811197
Chr01_6811651_7107385,0.167133783808378,0.219553861056697,0.8588257861164988,1,6811651
Chr01_7107386_7117068,0.336171841784134,0.0827811552329086,0.6474997224260551,1,7107386
Chr01_7117069_8021093,0.215342118816574,0.0619332081046635,0.6474997224260551,1,7117069
Chr01_8021094_8021338,0.442562511978996,0.0680241476729045,0.6474997224260551,1,8021094
Chr01_8021339_8546533,0.275078759894454,0.0905884430140778,0.6474997224260551,1,8021339
Chr01_8546534_8548055,0.303170253442626,0.0872120725339902,0.6474997224260551,1,8546534
Chr01_8548056_9439189,0.196786036728086,0.164608112600634,0.7811615558259386,1,8548056
Chr01_9439190_9439923,0.283325858451563,0.105051158601404,0.6870807840058265,1,9439190
Chr01_9439924_10127710,0.117579154044789,0.114211430002797,0.6883454492521537,1,9439924
Chr01_10127711_10127775,0.083572482652609,0.106283688255553,0.6870807840058265,1,10127711
Chr01_10127776_10700451,0.0608859597763712,0.0618971653026801,0.6474997224260551,1,10127776
Chr01_10700452_10700489,0.0372205979292481,0.176237247822706,0.7984333374555361,1,10700452
Chr01_10700490_11189458,0.0354100733134436,0.320010429666835,0.91966961318667,1,10700490
Chr01_11189459_11289027,0.0186906625131002,0.590683199855392,0.9311089552396595,1,11189459
Chr01_11289028_11965532,0.0299518722604076,0.996182102052139,0.998783599284582,1,11289028
Chr01_11965533_11966198,0.0237493400136853,0.591362913548493,0.9311089552396595,1,11965533
Chr01_11966199_12330339,0.0340087248691653,0.81248334020714,0.9658963435754446,1,11966199
Chr01_12330340_12330527,0.108034548349925,0.697811417421006,0.9380215398972438,1,12330340
Chr01_12330528_13051606,0.134483326418787,0.61116025300686,0.9311089552396595,1,12330528
Chr01_13051607_13052006,0.166388986531715,0.599101508313477,0.9311089552396595,1,13051607
Chr01_13052007_13382483,0.0896897982355113,0.449006079610629,0.9311089552396595,1,13052007
Chr01_13382484_13382509,0.0889853523096554,0.465911650699718,0.9311089552396595,1,13382484
Chr01_13382510_13576339,0.0678195946709195,0.430035525843767,0.9311089552396595,1,13382510
Chr01_13576340_13576350,0.0732388994342444,0.504664642188479,0.9311089552396595,1,13576340
Chr01_13576351_14061355,0.0755451918728228,0.519413804759137,0.9311089552396595,1,13576351
Chr01_14061356_14061634,0.0478520507648001,0.340911276788193,0.9292973950368297,1,14061356
Chr01_14061635_14604721,0.0343475516510046,0.341397359681498,0.9292973950368297,1,14061635
Chr01_14604722_14607157,0.0750904827534296,0.171009145719632,0.7830418777688412,1,14604722
Chr01_14607158_15449572,0.0713324967839151,0.0768392760152115,0.6474997224260551,1,14607158
Chr01_15449573_15456448,0.0308929700160744,0.0384076545250751,0.6474997224260551,1,15449573
Chr01_15456449_16406535,0.0400481215631877,0.0338620345656324,0.6474997224260551,1,15456449
Chr01_16406536_16454790,0.0158785939371325,0.0636193858981963,0.6474997224260551,1,16406536
Chr01_16454791_19216253,0.0148124468112047,0.0483104649840553,0.6474997224260551,1,16454791
Chr01_19216254_19216663,0.0110890563454575,0.0899973234137273,0.6474997224260551,1,19216254
Chr01_19216664_20661429,0.022753538450466,0.110981003674141,0.6883454492521537,1,19216664
Chr01_20661430_20662913,0.0176856410638239,0.0905540213895372,0.6474997224260551,1,20661430
Chr01_20662914_21251875,0.0250695556743072,0.15451715360991,0.762834357412385,1,20662914
Chr01_21251876_21488109,0.0739476311442202,0.103467066506704,0.6870807840058265,1,21251876
Chr01_21488110_22523058,0.0956286028360273,0.0678061214501571,0.6474997224260551,1,21488110
Chr01_22523059_22523376,0.121868184204657,0.0940212297171017,0.6553470417927366,1,22523059
Chr01_22523377_25610270,0.0439273540536496,0.182214253422176,0.8110653047675462,1,22523377
Chr01_25610271_25623774,0.074705729115749,0.135218867918389,0.7229579895362453,1,25610271
Chr01_25623775_25991881,0.036694186300153,0.168868115887974,0.7830418777688412,1,25623775
Chr01_25991882_26001088,0.063081136630867,0.203219768284649,0.857758073633048,1,25991882
Chr01_26001089_26286066,0.0554212835907453,0.18494900192807,0.8194268279868657,1,26001089
Chr01_26286067_26293474,0.0785365870801789,0.153696971532229,0.762834357412385,1,26286067
Chr01_26293475_26583692,0.0578249323869259,0.225042037088283,0.8588257861164988,1,26293475
Chr01_26583693_26647317,0.119310654468816,0.140359603999662,0.7340116996047897,1,26583693
Chr01_26647318_27308826,0.114668845511588,0.0723587719356633,0.6474997224260551,1,26647318
Chr01_27308827_27314420,0.0510474446982761,0.0375198842740125,0.6474997224260551,1,27308827
Chr01_27314421_27701084,0.0167674562117704,0.05947537987472,0.6474997224260551,1,27314421
Chr01_27701085_27712150,0.0182688357487783,0.0750977622027497,0.6474997224260551,1,27701085
Chr01_27712151_27987745,0.0560574214413506,0.0496826580474016,0.6474997224260551,1,27712151
Chr01_27987746_27996902,0.0539480388044223,0.0310048423821424,0.6474997224260551,1,27987746
Chr01_27996903_28327995,0.0401354627343316,0.0413528395304063,0.6474997224260551,1,27996903
Chr01_28327996_28328780,0.109526362192403,0.0620461602131164,0.6474997224260551,1,28327996
Chr01_28328781_28712697,0.0804215393865814,0.0582988326102358,0.6474997224260551,1,28328781
Chr01_28712698_28712702,0.0647882467985295,0.0883418616980924,0.6474997224260551,1,28712698
Chr01_28712703_29260469,0.0441077605939696,0.107456125309911,0.6870807840058265,1,28712703
Chr01_29260470_29264772,0.0327331334125434,0.0830804512700475,0.6474997224260551,1,29260470
Chr01_29264773_29827856,0.0387326177184089,0.132816613632427,0.7229579895362453,1,29264773
Chr01_29827857_29864780,0.043719761888209,0.0503786397942158,0.6474997224260551,1,29827857
Chr01_29864781_30461232,0.0683486452375582,0.0112642826337268,0.6474997224260551,1,29864781
Chr01_30461233_30463952,0.0854179230116764,0.0315253566362469,0.6474997224260551,1,30461233
Chr01_30463953_31287140,0.0618164762446765,0.0572122309914679,0.6474997224260551,1,30463953
Chr01_31287141_31299042,0.071459175810941,0.0280533520412184,0.6474997224260551,1,31287141
Chr01_31299043_32249075,0.0553358486561032,0.0740423926694432,0.6474997224260551,1,31299043
Chr01_32249076_32254238,0.105611544481214,0.0570101093642924,0.6474997224260551,1,32249076
Chr01_32254239_32925441,0.156668739040841,0.0875351371383843,0.6474997224260551,1,32254239
Chr01_32925442_32925676,0.0906560703480785,0.132729547207185,0.7229579895362453,1,32925442
Chr01_32925677_33648211,0.0735680964268067,0.157340930609482,0.7687916018942231,1,32925677
Chr01_33648212_33648861,0.0740854776148888,0.157453661411983,0.7687916018942231,1,33648212
Chr01_33648862_33944256,0.107944845669651,0.203459856546188,0.857758073633048,1,33648862
Chr01_33944257_33944395,0.120034573968241,0.119034665663803,0.6985186039620991,1,33944257
Chr01_33944396_34707623,0.116281353512778,0.108410865605935,0.6870807840058265,1,33944396
Chr01_34707624_34711948,0.0523620297888384,0.395356941083439,0.9311089552396595,1,34707624
Chr01_34711949_35098398,0.0506935546579113,0.467019362264013,0.9311089552396595,1,34711949
Chr01_35098399_35197978,0.0124842249433257,0.589901723528021,0.9311089552396595,1,35098399
Chr01_35197979_35842906,0.0120650756143258,0.915920234545311,0.9804687408455953,1,35197979
Chr01_35842907_35842941,0.0151393310009324,0.833491252736323,0.9745983587886798,1,35842907
Chr01_35842942_36467175,0.0644911080335271,0.945012225083389,0.9881019539771378,1,35842942
Chr01_36467176_36477457,0.120922497408648,0.870728562748377,0.9757032997774066,1,36467176
Chr01_36477458_36677915,0.0849399096951185,0.973548693521917,0.9881019539771378,1,36477458
Chr01_36677916_36678639,0.0806418549786528,0.879460626320809,0.9757032997774066,1,36677916
Chr01_36678640_37008510,0.0443383377867012,0.851794600330232,0.9755602073672942,1,36678640
Chr01_37008511_37008685,0.0294869488050398,0.668244724742634,0.9325494810901334,1,37008511
Chr01_37008686_37399402,0.0321617547092694,0.585942867803612,0.9311089552396595,1,37008686
Chr01_37399403_37399747,0.0290287014396008,0.998092002422558,0.998783599284582,1,37399403
Chr01_37399748_38492440,0.0362302356859945,0.976304474305115,0.9881019539771378,1,37399748
Chr01_38492441_38553272,0.0809892153967628,0.419629760189946,0.9311089552396595,1,38492441
Chr01_38553273_41248221,0.104025370318331,0.258902221710746,0.9009797315533961,1,38553273
Chr01_41248222_41249634,0.196499413796223,0.702900627417113,0.9380215398972438,1,41248222
Chr01_41249635_41946984,0.144274646730636,0.557963125006322,0.9311089552396595,1,41249635
Chr01_41946985_41946999,0.360046822150964,0.315131473582257,0.91966961318667,1,41946985
Chr01_41947000_42826924,0.212774562368709,0.846079670930568,0.97554005431392,1,41947000
Chr01_42826925_42828044,0.53607545615892,0.556867185842883,0.9311089552396595,1,42826925
Chr01_42828045_44953517,0.323397440647812,0.533916739839478,0.9311089552396595,1,42828045
Chr01_44953518_50495391,0.323397440647812,0.533916739839478,0.9311089552396595,1,44953518
Chr02_1_4524,0.040596345376145,0.990932859065951,0.995663534955397,2,1
Chr02_4525_349303,0.040596345376145,0.990932859065951,0.995663534955397,2,4525
Chr02_349304_361275,0.0860681101426553,0.817560251874867,0.9673009188165694,2,349304
Chr02_361276_876244,0.0817961110902676,0.866419107914727,0.9757032997774066,2,361276
Chr02_876245_880558,0.200371233672995,0.505952295964812,0.9311089552396595,2,876245
Chr02_880559_1380844,0.139907907644228,0.352736815927949,0.9292973950368297,2,880559
Chr02_1380845_1380870,0.16913820637144,0.398272976752064,0.9311089552396595,2,1380845
Chr02_1380871_1588241,0.0756616012859658,0.26780326624542,0.9063402154915896,2,1380871
Chr02_1588242_1591077,0.15828846590235,0.268391905749109,0.9063402154915896,2,1588242
Chr02_1591078_2117143,0.118816953141772,0.269913230318812,0.9063402154915896,2,1591078
Chr02_2117144_2118662,0.07503017990478,0.308368256801666,0.91966961318667,2,2117144
Chr02_2118663_2439301,0.0398505185419224,0.383676445314319,0.9309047628902823,2,2118663
Chr02_2439302_2439318,0.02579968985105,0.674938036642124,0.9347549943075437,2,2439302
Chr02_2439319_3802076,0.0454540505050813,0.725948010260936,0.9388273592158322,2,2439319
Chr02_3802077_3811171,0.128338521453602,0.5662995028572,0.9311089552396595,2,3802077
Chr02_3811172_4203782,0.140702053043137,0.678299768309214,0.9355669528885189,2,3811172
Chr02_4203783_4204963,0.0649357191508795,0.7071032892103,0.9380215398972438,2,4203783
Chr02_4204964_5059530,0.0461381633659885,0.644946565539779,0.9325494810901334,2,4204964
Chr02_5059531_5059566,0.0161323798535821,0.920308889285981,0.9807746180920754,2,5059531
Chr02_5059567_5396611,0.0349556647337477,0.998783599284582,0.998783599284582,2,5059567
Chr02_5396612_5398283,0.0511617860470618,0.862379993635665,0.9757032997774066,2,5396612
Chr02_5398284_5923170,0.0808699175864466,0.793522919549516,0.9608855926505762,2,5398284
Chr02_5923171_5954021,0.0451548201110355,0.584298532338638,0.9311089552396595,2,5923171
Chr02_5954022_6493859,0.0309336107938634,0.714790223471322,0.9380215398972438,2,5954022
Chr02_6493860_6498865,0.0121048965413728,0.798503160641425,0.9608855926505762,2,6493860
Chr02_6498866_6748647,0.0186822529843416,0.343533863545647,0.9292973950368297,2,6498866
Chr02_6748648_6759682,0.0526120778349993,0.404509677916247,0.9311089552396595,2,6748648
Chr02_6759683_7031301,0.0957855471302173,0.568537988597819,0.9311089552396595,2,6759683
Chr02_7031302_7048371,0.124062670657452,0.656155397632832,0.9325494810901334,2,7031302
Chr02_7048372_7535720,0.0522383106860445,0.691307948407149,0.9372673072249654,2,7048372
Chr02_7535721_7537775,0.13510569009134,0.619181678052638,0.9311089552396595,2,7535721
Chr02_7537776_7944758,0.11094305833418,0.691198915522164,0.9372673072249654,2,7537776
Chr02_7944759_7947379,0.26653894754177,0.900153433161106,0.976475190888788,2,7944759
Chr02_7947380_8614429,0.0781120484280454,0.82240821588125,0.9692668258600446,2,7947380
Chr02_8614430_8625186,0.0274852571851751,0.754347181974236,0.9424415837458797,2,8614430
Chr02_8625187_9195211,0.0136124725798209,0.898166368465312,0.976475190888788,2,8625187
Chr02_9195212_9195222,0.103298894172314,0.960881333477592,0.9881019539771378,2,9195212
Chr02_9195223_9912687,0.137087956227887,0.903359452788568,0.976475190888788,2,9195223
Chr02_9912688_9912975,0.185756499393477,0.536037733818103,0.9311089552396595,2,9912688
Chr02_9912976_10267833,0.0422143594993557,0.487455248257117,0.9311089552396595,2,9912976
Chr02_10267834_10267871,0.0259886243635019,0.333657498543541,0.9275803281381442,2,10267834
