Direction,Pos
01_351_400b,Chr01_3747646_4340087
01_401_450b,Chr01_4381571_5277335
01_451_500b,Chr01_5285269_5478515
01_501_550b,Chr01_5478587_5784147
01_551_600b,Chr01_5784331_6172449
01_601_650b,Chr01_6172661_6704878
01_651_700b,Chr01_6707429_6994679
01_701_750b,Chr01_6994750_7312602
01_751_800b,Chr01_7373367_7951899
01_801_850b,Chr01_7975072_8297240
01_851_900b,Chr01_8298270_8757923
01_901_950b,Chr01_8757951_9371769
01_951_1000b,Chr01_9374077_9781394
01_1001_1050b,Chr01_9781395_10324369
01_1051_1100b,Chr01_10325194_10629755
01_1101_1150b,Chr01_10629864_11103391
01_1151_1200b,Chr01_11103403_11522014
01_1201_1250b,Chr01_11522038_12100252
01_1251_1300a,Chr01_12100294_12666448
01_1301_1350b,Chr01_12667849_13130417
01_1351_1400b,Chr01_13130616_13501319
01_1401_1450b,Chr01_13502499_13902627
01_1451_1500b,Chr01_13911003_14554429
01_1501_1550b,Chr01_14555064_14801543
01_1551_1600b,Chr01_14801576_15563740
01_1601_1650b,Chr01_15563758_16057563
01_1651_1700b,Chr01_16057567_16938008
01_1701_1750b,Chr01_16938845_19638042
01_1751_1800b,Chr01_19638288_20868718
01_1801_1850b,Chr01_20918376_21680968
01_1851_1900a,Chr01_21680984_22380122
01_1901_1950a,Chr01_22381180_22628995
01_1951_2000a,Chr01_22629439_24479216
01_2001_2050a,Chr01_24516038_25028476
01_2051_2100a,Chr01_25028616_25464704
01_2101_2150b,Chr01_25506608_25775054
01_2151_2200b,Chr01_25782867_25998801
01_2201_2250b,Chr01_25998870_26297964
01_2251_2300b,Chr01_26308602_26668292
01_2301_2350b,Chr01_26669100_27147109
01_2351_2400b,Chr01_27147114_27321289
01_2401_2450b,Chr01_27321357_27881415
01_2451_2500b,Chr01_27881467_28083735
01_2501_2550b,Chr01_28083769_28470933
01_2551_2600b,Chr01_28471309_28911027
01_2601_2650b,Chr01_29162850_29289553
01_2651_2700b,Chr01_29290422_29896622
01_2701_2750b,Chr01_29897032_30134546
01_2751_2800b,Chr01_30134669_30489831
01_2801_2850b,Chr01_30490951_30749964
01_2851_2900b,Chr01_30749988_31405447
01_2901_2950b,Chr01_31405452_31991679
01_2951_3000b,Chr01_31992624_32457047
01_3001_3050b,Chr01_32457079_33128799
01_3051_3100b,Chr01_33142072_33586763
01_3101_3150b,Chr01_33586798_34022368
01_3151_3200b,Chr01_34031949_34769065
01_3201_3250b,Chr01_34778568_34997297
01_3251_3300b,Chr01_34999167_35420840
01_3301_3350b,Chr01_35420854_35706405
01_3351_3400b,Chr01_35706883_36164613
01_3401_3450b,Chr01_36176215_36888285
01_3451_3500b,Chr01_36890850_38013740
01_3501_3550b,Chr01_38015212_38338024
01_3551_3600b,Chr01_38370425_38650681
01_3601_3650b,Chr01_38651650_39312475
01_3651_3700b,Chr01_39312583_39660146
01_3701_3750b,Chr01_39660944_41070247
01_3751_3800a,Chr01_41071047_41947006
01_3801_3850a,Chr01_42004887_42295115
01_3851_3900a,Chr01_42331802_43096513
01_3901_3950a,Chr01_43338179_44272285
01_3951_4000a,Chr01_44272292_48325980
01_4001_4050b,Chr01_48329818_48828269
01_4051_4100b,Chr01_48829703_49170114
01_4101_4150b,Chr01_49170320_49830986
01_4151_4200b,Chr01_49888718_50225081
01_4201_4250b,Chr01_50225212_50463730
06_401_450a,Chr06_3521188_4162868
06_451_500a,Chr06_4162915_4446828
06_501_550a,Chr06_4446837_4793753
06_551_600a,Chr06_4796054_5376671
06_601_650a,Chr06_5382511_5958063
06_651_700a,Chr06_5958096_6121218
06_701_750a,Chr06_6126594_6445833
06_751_800a,Chr06_6445861_6890660
06_801_850a,Chr06_6890808_7297661
06_851_900a,Chr06_7298402_7853723
06_901_950a,Chr06_7873695_8550229
06_951_1000a,Chr06_8550330_8722020
06_1001_1050a,Chr06_8760604_9125962
06_1051_1100a,Chr06_9127009_9340874
06_1101_1150a,Chr06_9378541_9662625
06_1151_1200a,Chr06_9671857_10238702
06_1201_1250a,Chr06_11027917_11652091
06_1251_1300a,Chr06_10282071_10814810
06_1301_1350a,Chr06_10817199_11027908
06_1351_1400a,Chr06_11681417_12046793
06_1401_1450a,Chr06_12046850_13049864
06_1451_1500a,Chr06_13050941_13741629
06_1501_1550a,Chr06_13743521_17418875
06_1551_1600a,Chr06_17508430_19431046
06_1601_1650a,Chr06_19433847_21649858
06_1651_1700a,Chr06_21650102_22433796
06_1701_1750a,Chr06_22454567_22858786
06_1751_1800a,Chr06_22858873_23011722
06_1801_1850a,Chr06_23014559_23267968
06_1851_1900a,Chr06_23302831_23647636
06_1901_1950a,Chr06_23654392_23932568
06_1951_2000a,Chr06_23932612_24279733
06_2001_2050a,Chr06_24279861_24488957
06_2051_2100a,Chr06_24570459_25038205
06_2101_2150a,Chr06_25038793_25281272
06_2151_2200a,Chr06_25281324_25638411
06_2201_2250a,Chr06_25653605_26023906
06_2251_2300a,Chr06_26023969_26576490
06_2301_2350a,Chr06_26578391_27426666
06_2351_2400a,Chr06_27428108_27660030
06_2401_2450a,Chr06_27661257_27901310
02_351_400a,Chr02_2695788_3025556
02_401_450a,Chr02_3025592_3360053
02_451_500a,Chr02_3365924_3672700
02_501_550a,Chr02_3672825_3866231
02_551_600a,Chr02_3910937_4206316
02_601_650a,Chr02_4206335_4470521
02_651_700a,Chr02_4471127_4851666
02_701_750a,Chr02_4904861_5428375
02_751_800a,Chr02_5451898_5823391
02_801_850a,Chr02_5823395_6239200
02_851_900a,Chr02_6239398_6538320
02_901_950a,Chr02_6539599_6964689
02_951_1000a,Chr02_6964707_7220865
02_1001_1050a,Chr02_7224549_7469370
02_1051_1100a,Chr02_7469426_7793008
02_1101_1150a,Chr02_7857403_8203285
02_1151_1200a,Chr02_8211377_8695793
02_1201_1250a,Chr02_8721585_9143050
02_1251_1300a,Chr02_9143150_9506512
02_1301_1350a,Chr02_9590223_10151467
02_1351_1400a,Chr02_10151492_10414535
02_1401_1450a,Chr02_10414601_10931687
02_1451_1500a,Chr02_10932152_11369197
02_1501_1550a,Chr02_11369248_11859714
02_1551_1600a,Chr02_11862878_12309259
02_1601_1650a,Chr02_12309852_12778530
02_1651_1700a,Chr02_12814467_13039599
02_1701_1750a,Chr02_13039704_13972934
02_1751_1800a,Chr02_13973959_20038275
02_1801_1850a,Chr02_20039043_21684550
02_1851_1900a,Chr02_21684812_22134317
02_1901_1950a,Chr02_22134347_22937042
02_1951_2000a,Chr02_22937680_23205195
02_2001_2050a,Chr02_23218384_23442891
02_2051_2100a,Chr02_23442938_23707418
02_2101_2150a,Chr02_23707607_23947757
02_2151_2200a,Chr02_23947965_24120102
02_2201_2250a,Chr02_24122069_24452102
02_2251_2300a,Chr02_24452110_24602093
