Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.200984202574356,0.466059689525986,0.295676462674009,0.9575864646361164,0.99976938902852,1,1
Chr01_126238_809425,0.189658152037652,0.475482978752905,0.295930274157435,0.9575864646361164,0.99976938902852,1,126238
Chr01_809426_814269,0.401213729846909,0.551858446947516,0.214130176531627,0.9575864646361164,0.99976938902852,1,809426
Chr01_814270_1367747,0.367093699850728,0.442350049190867,0.209317544954466,0.9575864646361164,0.99976938902852,1,814270
Chr01_1367748_1367899,0.268542384483773,0.368992767756901,0.24938020923672,0.9575864646361164,0.99976938902852,1,1367748
Chr01_1367900_2042574,0.198216805722165,0.293024329250666,0.283325375934017,0.9575864646361164,0.99976938902852,1,1367900
Chr01_2042575_2043251,0.312474300893958,0.275286994566978,0.355052180766478,0.9575864646361164,0.99976938902852,1,2042575
Chr01_2043252_2231677,0.246122409282297,0.416034544760586,0.589634748099272,0.9575864646361164,0.99976938902852,1,2043252
Chr01_2231678_2231705,0.277471632297667,0.700081361260704,0.541475147407578,0.9575864646361164,0.99976938902852,1,2231678
Chr01_2231706_3033846,0.261482283254304,0.734299942878759,0.515417932212734,0.9575864646361164,0.99976938902852,1,2231706
Chr01_3033847_3052413,0.311528310500074,0.743355763431698,0.371824652761277,0.9575864646361164,0.99976938902852,1,3033847
Chr01_3052414_4229970,0.314274920428276,0.861377023011595,0.261281273977914,0.9912938321546598,0.99976938902852,1,3052414
Chr01_4229971_4235626,0.377452889360165,0.707688477595416,0.44662373067422,0.9575864646361164,0.99976938902852,1,4229971
Chr01_4235627_5264100,0.146858948532894,0.587608137435237,0.260123067700115,0.9575864646361164,0.99976938902852,1,4235627
Chr01_5264101_5264149,0.252452646030863,0.616197937907964,0.383565737371263,0.9575864646361164,0.99976938902852,1,5264101
Chr01_5264150_5885231,0.392063531037099,0.997290058540104,0.156823369417199,0.997290058540104,0.99976938902852,1,5264150
Chr01_5885232_5886075,0.340922283195878,0.667852530881615,0.402367666342234,0.9575864646361164,0.99976938902852,1,5885232
Chr01_5886076_6253003,0.269801464149471,0.67933876473325,0.560461279822952,0.9575864646361164,0.99976938902852,1,5886076
Chr01_6253004_6253851,0.194139130055122,0.67673636768388,0.674228045015645,0.9575864646361164,0.99976938902852,1,6253004
Chr01_6253852_6811196,0.203477608399465,0.546778462609467,0.541937653844709,0.9575864646361164,0.99976938902852,1,6253852
Chr01_6811197_6811650,0.308945864114354,0.658332164205623,0.666329864584227,0.9575864646361164,0.99976938902852,1,6811197
Chr01_6811651_7107385,0.444008358982897,0.595992466795415,0.688066583457001,0.9575864646361164,0.99976938902852,1,6811651
Chr01_7107386_7117068,0.992726183273758,0.583773864903002,0.19532904613511,0.9575864646361164,0.99976938902852,1,7107386
Chr01_7117069_8021093,0.999234217040428,0.376737197045245,0.322871919673859,0.9575864646361164,0.99976938902852,1,7117069
Chr01_8021094_8021338,0.907672031736793,0.576372323485929,0.809955614641388,0.9575864646361164,0.99976938902852,1,8021094
Chr01_8021339_8546533,0.480483113230297,0.397948529842701,0.678782954079152,0.9575864646361164,0.99976938902852,1,8021339
Chr01_8546534_8548055,0.104924129332301,0.374291897587992,0.7382745050687,0.9575864646361164,0.99976938902852,1,8546534
Chr01_8548056_9439189,0.135274115446454,0.581822945528846,0.805351251245632,0.9575864646361164,0.99976938902852,1,8548056
