Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.304636252377528,0.702308864899874,0.255752872142855,0.9952539212836053,0.8447340105008155,1,1
Chr01_126238_809425,0.298726650342446,0.697300184865345,0.253687467054349,0.9952539212836053,0.8447340105008155,1,126238
Chr01_809426_814269,0.4345056879749,0.768238656579221,0.139820418071551,0.9952539212836053,0.8119572021541754,1,809426
Chr01_814270_1367747,0.453255671785083,0.959387828809641,0.156093619818456,0.9984085819871259,0.8259239334350171,1,814270
Chr01_1367748_1367899,0.383387289238247,0.463175069517186,0.252698373683175,0.9370537645904414,0.8447340105008155,1,1367748
Chr01_1367900_2042574,0.329322711851679,0.568136747527562,0.189166587716244,0.9582272769937527,0.8447340105008155,1,1367900
Chr01_2042575_2043251,0.290477531917191,0.45389911276075,0.262904384190325,0.9370537645904414,0.8447340105008155,1,2042575
Chr01_2043252_2231677,0.33981057778335,0.860968556290295,0.547868819783947,0.9952539212836053,0.9101741486473389,1,2043252
Chr01_2231678_2231705,0.413505684678326,0.493198271825543,0.222917145388004,0.9484962046832545,0.8447340105008155,1,2231678
Chr01_2231706_3033846,0.418064679081369,0.502946314083921,0.225652410401598,0.9559502936632405,0.8447340105008155,1,2231706
Chr01_3033847_3052413,0.245534321561602,0.446007436425856,0.194491137984708,0.9370537645904414,0.8447340105008155,1,3033847
Chr01_3052414_4229970,0.337783756241133,0.620778967453359,0.0367793676648027,0.9713615242209935,0.695691359206163,1,3052414
Chr01_4229971_4235626,0.278992027746278,0.755436195652614,0.0441739765151926,0.9952539212836053,0.7251432425294084,1,4229971
Chr01_4235627_5264100,0.276045122489163,0.954069331142442,0.0559161220369567,0.9984085819871259,0.7401954082262884,1,4235627
Chr01_5264101_5264149,0.138729859977645,0.976252675808394,0.0465034399305293,0.9984085819871259,0.7401954082262884,1,5264101
Chr01_5264150_5885231,0.0696167873435764,0.996335043914463,0.106941321965157,0.9984085819871259,0.8119572021541754,1,5264150
Chr01_5885232_5886075,0.0968474364244383,0.822202654058769,0.124189979770749,0.9952539212836053,0.8119572021541754,1,5885232
Chr01_5886076_6253003,0.0605401089421757,0.631468316165925,0.418586251298758,0.9753180451181103,0.8666708188010361,1,5886076
Chr01_6253004_6253851,0.0933130849375322,0.684605645110317,0.505027678819054,0.9952539212836053,0.8907248201334962,1,6253004
Chr01_6253852_6811196,0.175544589234085,0.771490526558879,0.431903010695601,0.9952539212836053,0.8666708188010361,1,6253852
Chr01_6811197_6811650,0.324343991513995,0.990779164458066,0.247651599893688,0.9984085819871259,0.8447340105008155,1,6811197
Chr01_6811651_7107385,0.279334586871284,0.969625185206318,0.134928924615237,0.9984085819871259,0.8119572021541754,1,6811651
Chr01_7107386_7117068,0.450657283014111,0.901721856801736,0.0510456358982986,0.9984085819871259,0.7401954082262884,1,7107386
Chr01_7117069_8021093,0.675861939847003,0.940870600108244,0.091431498475123,0.9984085819871259,0.8119572021541754,1,7117069
Chr01_8021094_8021338,0.839324925306083,0.954734254063822,0.180707922829559,0.9984085819871259,0.843028598600059,1,8021094
Chr01_8021339_8546533,0.483801848461538,0.916969192729176,0.276343108047407,0.9984085819871259,0.8447340105008155,1,8021339
Chr01_8546534_8548055,0.160055802094136,0.534356714452376,0.213386126192184,0.9582272769937527,0.8447340105008155,1,8546534
Chr01_8548056_9439189,0.0754576804947711,0.653839853144811,0.231046518053841,0.9866734789603233,0.8447340105008155,1,8548056
Chr01_9439190_9439923,0.319893111655787,0.946571904213022,0.0622370751925556,0.9984085819871259,0.7783675767588446,1,9439190
Chr01_9439924_10127710,0.154074683534165,0.857016273163818,0.117461262441762,0.9952539212836053,0.8119572021541754,1,9439924
Chr01_10127711_10127775,0.11083206621617,0.819723614342431,0.0872080750673198,0.9952539212836053,0.8119572021541754,1,10127711
Chr01_10127776_10700451,0.117834443165371,0.673061245925389,0.0268779533882197,0.9943054793902759,0.691069164008522,1,10127776
Chr01_10700452_10700489,0.0706427321433886,0.394959267218267,0.0549084885159579,0.8970419205924319,0.7401954082262884,1,10700452
Chr01_10700490_11189458,0.0829752618709806,0.853585032122569,0.147979522426129,0.9952539212836053,0.8119572021541754,1,10700490
