Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.09790181778407,0.651451737078662,0.397219689988427,0.9601145001304906,0.8993265054429882,1,1
Chr01_126238_809425,0.101900388852267,0.672824958176528,0.390426024716977,0.9601145001304906,0.8993265054429882,1,126238
Chr01_809426_814269,0.178659267833365,0.651176301885371,0.297342740408387,0.9601145001304906,0.8566066118842008,1,809426
Chr01_814270_1367747,0.151650746368181,0.88653414869424,0.292616338578644,0.9835626557517892,0.8565165369283568,1,814270
Chr01_1367748_1367899,0.0781025115618313,0.544395230172429,0.538248780156471,0.9328258042466243,0.9285069837223886,1,1367748
Chr01_1367900_2042574,0.0646161981906626,0.593294846584162,0.474745881151756,0.9566298541062739,0.9263798559473981,1,1367900
Chr01_2042575_2043251,0.0622806691659503,0.466882253779333,0.626909287454676,0.9240619090290947,0.9285069837223886,1,2042575
Chr01_2043252_2231677,0.0698218277017543,0.823428386023244,0.831352109144912,0.9755839841075424,0.9668986486794086,1,2043252
Chr01_2231678_2231705,0.0524074308640977,0.580125177250578,0.740625890855194,0.9545331366347186,0.9458019469168386,1,2231678
Chr01_2231706_3033846,0.0484147993016661,0.55278676046486,0.719218944505893,0.9347689269681463,0.9422687850158392,1,2231706
Chr01_3033847_3052413,0.0145126745705254,0.441770545985489,0.629459184555247,0.9125553218014296,0.9285069837223886,1,3033847
Chr01_3052414_4229970,0.0689961154482317,0.681963781704411,0.0987217239637355,0.9608921043218103,0.7139651919153522,1,3052414
Chr01_4229971_4235626,0.0605130983296718,0.736874221193067,0.0766986273590665,0.9659224166585654,0.7028317944376179,1,4229971
Chr01_4235627_5264100,0.145444248840063,0.803550504852761,0.0809089731678277,0.9734464759415093,0.7028317944376179,1,4235627
Chr01_5264101_5264149,0.0971180065131279,0.732207951009419,0.0502374007553771,0.9659224166585654,0.7028317944376179,1,5264101
Chr01_5264150_5885231,0.071303360223236,0.515328435153423,0.0333094864836137,0.9294231705094042,0.7028317944376179,1,5264150
Chr01_5885232_5886075,0.0700029745596028,0.605971993045284,0.0774357471037328,0.9593393791830843,0.7028317944376179,1,5885232
Chr01_5886076_6253003,0.039457730652477,0.577362636361665,0.235019358863781,0.9545331366347186,0.7909040192488033,1,5886076
Chr01_6253004_6253851,0.0466774440182487,0.500456915627334,0.371403954417941,0.9294231705094042,0.8986482615690382,1,6253004
Chr01_6253852_6811196,0.0832183494808954,0.550749678785346,0.397802067598209,0.9347689269681463,0.8993265054429882,1,6253852
Chr01_6811197_6811650,0.138972577759363,0.322519951538959,0.168297090929164,0.8969937939954338,0.7139651919153522,1,6811197
Chr01_6811651_7107385,0.0981119758285841,0.467063431610661,0.140177900378101,0.9240619090290947,0.7139651919153522,1,6811651
Chr01_7107386_7117068,0.213840930422783,0.596629984164076,0.0232708562213727,0.957591124583342,0.7028317944376179,1,7107386
Chr01_7117069_8021093,0.271849604153376,0.531314592898572,0.0150325262894886,0.9294231705094042,0.7028317944376179,1,7117069
Chr01_8021094_8021338,0.428804748127948,0.61169180656011,0.0898845716598491,0.9593393791830843,0.7028317944376179,1,8021094
Chr01_8021339_8546533,0.186986647936533,0.599108059416475,0.162451991121191,0.9583738558439626,0.7139651919153522,1,8021339
Chr01_8546534_8548055,0.0868648980172494,0.876451809979952,0.217825370505791,0.9802823379915142,0.7748450381463668,1,8546534
Chr01_8548056_9439189,0.0198519945471032,0.715056573896881,0.410783192056351,0.9659224166585654,0.8993265054429882,1,8548056
Chr01_9439190_9439923,0.121570411485895,0.927943455001984,0.157830797270583,0.9913354601142341,0.7139651919153522,1,9439190
Chr01_9439924_10127710,0.0512239949016282,0.987131601708585,0.259392838607509,0.9982086162587709,0.815440160159155,1,9439924
Chr01_10127711_10127775,0.0476723845405677,0.860945365065773,0.255024517154992,0.9755839841075424,0.8137228859267921,1,10127711
Chr01_10127776_10700451,0.0489755074572619,0.606567502518132,0.161191061937384,0.9593393791830843,0.7139651919153522,1,10127776
Chr01_10700452_10700489,0.0277329960617151,0.331343106848429,0.314572358676405,0.8969937939954338,0.873588700146902,1,10700452
Chr01_10700490_11189458,0.0300425806877917,0.491835555418097,0.531077752064791,0.9294231705094042,0.9285069837223886,1,10700490
Chr01_11189459_11289027,0.0188226384594414,0.786593818534182,0.896246772690727,0.9693178721127153,0.9768084455830973,1,11189459
Chr01_11289028_11965532,0.0099807255783111,0.708686814871707,0.737278667975646,0.9659224166585654,0.9458019469168386,1,11289028
Chr01_11965533_11966198,0.00963460633712273,0.460736701264764,0.949893695429348,0.9205175172571946,0.9879513050446455,1,11965533
Chr01_11966199_12330339,0.0433586271125057,0.190117619209461,0.905180596531439,0.8969937939954338,0.9768084455830973,1,11966199
Chr01_12330340_12330527,0.202730076683251,0.082549083351585,0.961117388410196,0.8969937939954338,0.9906248991586977,1,12330340
Chr01_12330528_13051606,0.178766519681007,0.0713932534423616,0.841728915443539,0.8969937939954338,0.9695777060239411,1,12330528
Chr01_13051607_13052006,0.0773897912424399,0.111079168191643,0.891274973629112,0.8969937939954338,0.9768084455830973,1,13051607
Chr01_13052007_13382483,0.0666109743262304,0.153678720701652,0.83510625979595,0.8969937939954338,0.9690724997893113,1,13052007
Chr01_13382484_13382509,0.065539980080224,0.0970920470327505,0.907804278889234,0.8969937939954338,0.9768084455830973,1,13382484
Chr01_13382510_13576339,0.0240971678102486,0.059161095408092,0.902359484041719,0.8969937939954338,0.9768084455830973,1,13382510
Chr01_13576340_13576350,0.0379657332574609,0.0945913192513803,0.983503652092008,0.8969937939954338,0.99798847910487,1,13576340
Chr01_13576351_14061355,0.0478445372290981,0.109415252639421,0.842717071590902,0.8969937939954338,0.9695777060239411,1,13576351
Chr01_14061356_14061634,0.0390251892113983,0.152617030307896,0.776729730182418,0.8969937939954338,0.9458019469168386,1,14061356
Chr01_14061635_14604721,0.0562901392632148,0.250391441548459,0.621827287377597,0.8969937939954338,0.9285069837223886,1,14061635
Chr01_14604722_14607157,0.0508962825332312,0.699832915873381,0.381602572632799,0.9659224166585654,0.8993265054429882,1,14604722
Chr01_14607158_15449572,0.0573664285211993,0.683500614185296,0.162845613182794,0.9608921043218103,0.7139651919153522,1,14607158
Chr01_15449573_15456448,0.0096136369336128,0.884784094448993,0.104503553431239,0.9835626557517892,0.7139651919153522,1,15449573
Chr01_15456449_16406535,0.0125227931717362,0.69744926404654,0.140888430899237,0.9659224166585654,0.7139651919153522,1,15456449
Chr01_16406536_16454790,0.00772857008215113,0.743138081940316,0.139559013172677,0.9659224166585654,0.7139651919153522,1,16406536
Chr01_16454791_19216253,0.00852456456959981,0.72274516024071,0.0902995733009772,0.9659224166585654,0.7028317944376179,1,16454791
Chr01_19216254_19216663,0.00720563458413721,0.514362943912541,0.123095477423934,0.9294231705094042,0.7139651919153522,1,19216254
Chr01_19216664_20661429,0.0126544525960784,0.714770104966406,0.27259881353405,0.9659224166585654,0.8360275714435993,1,19216664
Chr01_20661430_20662913,0.012090000550222,0.997172054871171,0.245092077456117,0.9982086162587709,0.8076978410791639,1,20661430
Chr01_20662914_21251875,0.0340041489758426,0.710779620683773,0.421942772636542,0.9659224166585654,0.9058456252150213,1,20662914
Chr01_21251876_21488109,0.129897741654723,0.923830630070775,0.199294146517679,0.9913354601142341,0.7659712851894531,1,21251876
Chr01_21488110_22523058,0.211299386476745,0.670452410212251,0.130175262432571,0.9601145001304906,0.7139651919153522,1,21488110
