Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.654106923545587,0.794836583447811,0.9957244960442618,1,1
Chr01_126238_809425,0.654106923545587,0.794836583447811,0.9957244960442618,1,126238
Chr01_809426_814269,0.88768291656692,0.978823158779469,0.9957244960442618,1,809426
Chr01_814270_1367747,0.838852428042826,0.932388071212529,0.9957244960442618,1,814270
Chr01_1367748_1367899,0.684081437262103,0.559339494627419,0.9771648546392437,1,1367748
Chr01_1367900_2042574,0.655311734166075,0.511007358738065,0.9478915054597514,1,1367900
Chr01_2042575_2043251,0.76630284295655,0.628764252562091,0.9863962327799523,1,2042575
Chr01_2043252_2231677,0.864239417594671,0.638429282200444,0.9863962327799523,1,2043252
Chr01_2231678_2231705,0.382940944144132,0.592434569220595,0.9863962327799523,1,2231678
Chr01_2231706_3033846,0.416493499667512,0.635445183577146,0.9863962327799523,1,2231706
Chr01_3033847_3052413,0.278230315253663,0.896585912086759,0.9957244960442618,1,3033847
Chr01_3052414_4229970,0.952584045837537,0.367980318398865,0.9370071654031575,1,3052414
Chr01_4229971_4235626,0.835967858846258,0.36758711333527,0.9370071654031575,1,4229971
Chr01_4235627_5264100,0.652623142481729,0.433127406798392,0.9478915054597514,1,4235627
Chr01_5264101_5264149,0.733738350903676,0.419626779791181,0.9478915054597514,1,5264101
Chr01_5264150_5885231,0.815062487154834,0.95180448957736,0.9957244960442618,1,5264150
Chr01_5885232_5886075,0.943304226831177,0.798761253467475,0.9957244960442618,1,5885232
Chr01_5886076_6253003,0.826450223974409,0.647689277286809,0.9885783705956559,1,5886076
Chr01_6253004_6253851,0.789720204449406,0.545657611819858,0.9719408835386381,1,6253004
Chr01_6253852_6811196,0.758871438548512,0.436811221514599,0.9478915054597514,1,6253852
Chr01_6811197_6811650,0.673715867864849,0.643934476066583,0.9873821411552951,1,6811197
Chr01_6811651_7107385,0.754794590665055,0.52765326484983,0.9563715425403169,1,6811651
Chr01_7107386_7117068,0.688191917078029,0.856446202800045,0.9957244960442618,1,7107386
Chr01_7117069_8021093,0.810039158770278,0.963016861701326,0.9957244960442618,1,7117069
Chr01_8021094_8021338,0.957141531686108,0.773615435611998,0.9957244960442618,1,8021094
Chr01_8021339_8546533,0.803851085372255,0.741130021876855,0.9957244960442618,1,8021339
Chr01_8546534_8548055,0.907977566799606,0.66023479475774,0.9944597923495854,1,8546534
Chr01_8548056_9439189,0.80696719520297,0.453160117743991,0.9478915054597514,1,8548056
Chr01_9439190_9439923,0.829818135198738,0.361082115906841,0.9370071654031575,1,9439190
Chr01_9439924_10127710,0.917264446352172,0.550637108550201,0.9740475284335348,1,9439924
Chr01_10127711_10127775,0.84599290565935,0.615207318554999,0.9863962327799523,1,10127711
Chr01_10127776_10700451,0.684357345384539,0.452626635691639,0.9478915054597514,1,10127776
Chr01_10700452_10700489,0.867302539555199,0.559546855112127,0.9771648546392437,1,10700452
Chr01_10700490_11189458,0.860277900320209,0.501802446130921,0.9478915054597514,1,10700490
Chr01_11189459_11289027,0.972018790092381,0.775530858657479,0.9957244960442618,1,11189459
Chr01_11289028_11965532,0.72874022475114,0.959836650314695,0.9957244960442618,1,11289028
Chr01_11965533_11966198,0.602042100844633,0.714658456749502,0.9957244960442618,1,11965533
Chr01_11966199_12330339,0.693676264563042,0.745440140883422,0.9957244960442618,1,11966199
Chr01_12330340_12330527,0.718170263016387,0.856243327940079,0.9957244960442618,1,12330340
Chr01_12330528_13051606,0.866616670329168,0.988785957603904,0.997165582509264,1,12330528
Chr01_13051607_13052006,0.850246217928453,0.92918485807104,0.9957244960442618,1,13051607
Chr01_13052007_13382483,0.682068694975792,0.895720612772921,0.9957244960442618,1,13052007
Chr01_13382484_13382509,0.765423099845955,0.983151713497367,0.9957244960442618,1,13382484
Chr01_13382510_13576339,0.774073128986818,0.892090269109766,0.9957244960442618,1,13382510
Chr01_13576340_13576350,0.813519278357299,0.901553251857382,0.9957244960442618,1,13576340
Chr01_13576351_14061355,0.745443988507123,0.971378956799951,0.9957244960442618,1,13576351
Chr01_14061356_14061634,0.984645274146147,0.837396570536648,0.9957244960442618,1,14061356
Chr01_14061635_14604721,0.985320749737798,0.797828333926314,0.9957244960442618,1,14061635
Chr01_14604722_14607157,0.309610913204132,0.518245660611067,0.953246958700354,1,14604722
Chr01_14607158_15449572,0.248606837339493,0.322461413453742,0.9350371540689791,1,14607158
Chr01_15449573_15456448,0.151084923473038,0.18398885165864,0.8847064428968233,1,15449573
Chr01_15456449_16406535,0.596481051568388,0.109534694499571,0.8675604878012178,1,15456449
Chr01_16406536_16454790,0.775249075467924,0.142856253113428,0.8847064428968233,1,16406536
Chr01_16454791_19216253,0.948741661629932,0.148795390681415,0.8847064428968233,1,16454791
Chr01_19216254_19216663,0.856214853534399,0.178921170213881,0.8847064428968233,1,19216254
Chr01_19216664_20661429,0.807742402170108,0.413895632715824,0.9478915054597514,1,19216664
Chr01_20661430_20662913,0.781816994313163,0.397624852095458,0.9478915054597514,1,20661430
Chr01_20662914_21251875,0.909538303263124,0.423975619159259,0.9478915054597514,1,20662914
Chr01_21251876_21488109,0.641727943102961,0.353117594374784,0.9370071654031575,1,21251876
Chr01_21488110_22523058,0.697938807765586,0.270398283861722,0.9079151516804893,1,21488110
Chr01_22523059_22523376,0.97198068977646,0.110461611639437,0.8675604878012178,1,22523059
Chr01_22523377_25610270,0.662477763348316,0.329981354784637,0.9350371540689791,1,22523377
Chr01_25610271_25623774,0.580927616959959,0.41106766971842,0.9478915054597514,1,25610271
Chr01_25623775_25991881,0.969493376421748,0.424313657758931,0.9478915054597514,1,25623775
Chr01_25991882_26001088,0.976806031968054,0.50852852458028,0.9478915054597514,1,25991882
Chr01_26001089_26286066,0.971317373149701,0.548430592592335,0.9719408835386381,1,26001089
Chr01_26286067_26293474,0.99697366124755,0.584748472813299,0.9863962327799523,1,26286067
Chr01_26293475_26583692,0.908918145507983,0.566248282472453,0.9817021853734375,1,26293475
Chr01_26583693_26647317,0.468102281733587,0.266645930520995,0.9048941684701852,1,26583693
Chr01_26647318_27308826,0.567082342676283,0.173967270484364,0.8847064428968233,1,26647318
Chr01_27308827_27314420,0.466632323473716,0.0642448935772213,0.83127891836713,1,27308827
Chr01_27314421_27701084,0.81298035042941,0.0639362770585043,0.83127891836713,1,27314421
Chr01_27701085_27712150,0.673570331642282,0.0934953975620787,0.83127891836713,1,27701085
Chr01_27712151_27987745,0.695980424249896,0.0408469554258357,0.83127891836713,1,27712151
Chr01_27987746_27996902,0.786860853928038,0.044501428598857,0.83127891836713,1,27987746
Chr01_27996903_28327995,0.994872395950432,0.0899491680666549,0.83127891836713,1,27996903
Chr01_28327996_28328780,0.986037857735913,0.0815319431712695,0.83127891836713,1,28327996
Chr01_28328781_28712697,0.862394812120478,0.079414528948882,0.83127891836713,1,28328781
Chr01_28712698_28712702,0.929523628053636,0.0583797323510573,0.83127891836713,1,28712698
Chr01_28712703_29260469,0.933082404965812,0.0754937130718731,0.83127891836713,1,28712703
Chr01_29260470_29264772,0.966059611730947,0.0711381362849435,0.83127891836713,1,29260470
Chr01_29264773_29827856,0.793635791913727,0.0558113824775171,0.83127891836713,1,29264773
Chr01_29827857_29864780,0.817228312139561,0.0819312964008583,0.83127891836713,1,29827857
Chr01_29864781_30461232,0.887741330245139,0.085147642799527,0.83127891836713,1,29864781
Chr01_30461233_30463952,0.748290043066356,0.204887569385288,0.8847064428968233,1,30461233
Chr01_30463953_31287140,0.631740984839109,0.302880833630862,0.9251890906365685,1,30463953
Chr01_31287141_31299042,0.444437514302449,0.208198136140548,0.8847064428968233,1,31287141
Chr01_31299043_32249075,0.675791367743625,0.438959246620517,0.9478915054597514,1,31299043
Chr01_32249076_32254238,0.261038519319014,0.349405505241333,0.9370071654031575,1,32249076
Chr01_32254239_32925441,0.2433942158755,0.390236342198901,0.9478915054597514,1,32254239
Chr01_32925442_32925676,0.327549798981007,0.462456742972387,0.9478915054597514,1,32925442
Chr01_32925677_33648211,0.700190362792417,0.432249855901375,0.9478915054597514,1,32925677
Chr01_33648212_33648861,0.716030342699081,0.424788998126183,0.9478915054597514,1,33648212
Chr01_33648862_33944256,0.619450008334402,0.47621476912948,0.9478915054597514,1,33648862
Chr01_33944257_33944395,0.636551874383904,0.487241443742927,0.9478915054597514,1,33944257
Chr01_33944396_34707623,0.614508079469156,0.465157067520504,0.9478915054597514,1,33944396
Chr01_34707624_34711948,0.637399235901268,0.653137020424969,0.9905738962705156,1,34707624
Chr01_34711949_35098398,0.617347153368947,0.620291259985738,0.9863962327799523,1,34711949
Chr01_35098399_35197978,0.603319001169198,0.68302278830789,0.9957244960442618,1,35098399
Chr01_35197979_35842906,0.833297220907582,0.915973496280235,0.9957244960442618,1,35197979
Chr01_35842907_35842941,0.846678417288897,0.929830046200179,0.9957244960442618,1,35842907
Chr01_35842942_36467175,0.861349041011259,0.959782085543863,0.9957244960442618,1,35842942
Chr01_36467176_36477457,0.821446576736908,0.876935241009372,0.9957244960442618,1,36467176
Chr01_36477458_36677915,0.779882922141418,0.716440339097751,0.9957244960442618,1,36477458
Chr01_36677916_36678639,0.669011717312729,0.841950075374584,0.9957244960442618,1,36677916
Chr01_36678640_37008510,0.693291911785175,0.830660838472757,0.9957244960442618,1,36678640
Chr01_37008511_37008685,0.748143227799276,0.76387346318475,0.9957244960442618,1,37008511
Chr01_37008686_37399402,0.882192196026058,0.910015221238243,0.9957244960442618,1,37008686
Chr01_37399403_37399747,0.938698313285472,0.746413743214249,0.9957244960442618,1,37399403
Chr01_37399748_38492440,0.823901765685315,0.63380346817144,0.9863962327799523,1,37399748
Chr01_38492441_38553272,0.395600460877631,0.721493408786349,0.9957244960442618,1,38492441
Chr01_38553273_41248221,0.397184765686719,0.608510972318769,0.9863962327799523,1,38553273
Chr01_41248222_41249634,0.267025118932428,0.406535377080466,0.9478915054597514,1,41248222
Chr01_41249635_41946984,0.419997372747027,0.310466931463489,0.9304674165777949,1,41249635
Chr01_41946985_41946999,0.30270605093361,0.683039480843436,0.9957244960442618,1,41946985
Chr01_41947000_42826924,0.618414537835929,0.59021209737804,0.9863962327799523,1,41947000
Chr01_42826925_42828044,0.831312752235933,0.897066045419484,0.9957244960442618,1,42826925
Chr01_42828045_44953517,0.779675146051464,0.734873144196925,0.9957244960442618,1,42828045
Chr01_44953518_50495391,0.779675146051464,0.734873144196925,0.9957244960442618,1,44953518
Chr02_1_4524,0.936503206963543,0.215395007118257,0.8847064428968233,2,1
Chr02_4525_349303,0.936503206963543,0.215395007118257,0.8847064428968233,2,4525
Chr02_349304_361275,0.860163877102675,0.265303278671827,0.9035417711350122,2,349304
Chr02_361276_876244,0.846162299412234,0.279982816899744,0.9079151516804893,2,361276
Chr02_876245_880558,0.496587352795969,0.876589330066072,0.9957244960442618,2,876245
Chr02_880559_1380844,0.456340898954896,0.991490542003331,0.997165582509264,2,880559
Chr02_1380845_1380870,0.485881812455086,0.973912904758367,0.9957244960442618,2,1380845
Chr02_1380871_1588241,0.961134112254541,0.384745703052271,0.9478915054597514,2,1380871
Chr02_1588242_1591077,0.901517332921897,0.489270898246359,0.9478915054597514,2,1588242
Chr02_1591078_2117143,0.974374641427852,0.404246229737826,0.9478915054597514,2,1591078
Chr02_2117144_2118662,0.836850729210094,0.40782815616525,0.9478915054597514,2,2117144
Chr02_2118663_2439301,0.909704232232695,0.526950394976566,0.9563715425403169,2,2118663
Chr02_2439302_2439318,0.518322254032577,0.349241080586868,0.9370071654031575,2,2439302
Chr02_2439319_3802076,0.648946677133812,0.343592849923168,0.9370071654031575,2,2439319
Chr02_3802077_3811171,0.712644151864676,0.167261091718375,0.8847064428968233,2,3802077
Chr02_3811172_4203782,0.919932193896647,0.0825572292377927,0.83127891836713,2,3811172
Chr02_4203783_4204963,0.979761836706167,0.0897690768128585,0.83127891836713,2,4203783
Chr02_4204964_5059530,0.736381867633029,0.0603605437405452,0.83127891836713,2,4204964
Chr02_5059531_5059566,0.916068262498299,0.100913621914134,0.8397768362767498,2,5059531
Chr02_5059567_5396611,0.886812573275123,0.214768067447228,0.8847064428968233,2,5059567
Chr02_5396612_5398283,0.840206715582847,0.230610133420779,0.8867588018867856,2,5396612
Chr02_5398284_5923170,0.9702343704202,0.297499581951751,0.9230827629898987,2,5398284
Chr02_5923171_5954021,0.931226094714688,0.160420671145793,0.8847064428968233,2,5923171
Chr02_5954022_6493859,0.954366032436404,0.16956110143122,0.8847064428968233,2,5954022
Chr02_6493860_6498865,0.957345064152362,0.166761799247518,0.8847064428968233,2,6493860
Chr02_6498866_6748647,0.960532921708807,0.0995533102938992,0.8397768362767498,2,6498866
Chr02_6748648_6759682,0.952863623126308,0.0548466878175398,0.83127891836713,2,6748648
Chr02_6759683_7031301,0.931560826317329,0.0456520601685151,0.83127891836713,2,6759683
Chr02_7031302_7048371,0.929848429367518,0.066935769239258,0.83127891836713,2,7031302
Chr02_7048372_7535720,0.893362807357991,0.0253106899325899,0.83127891836713,2,7048372
Chr02_7535721_7537775,0.952358521277914,0.0189207452444027,0.83127891836713,2,7535721
Chr02_7537776_7944758,0.827541471173515,0.0299368101594914,0.83127891836713,2,7537776
Chr02_7944759_7947379,0.769255664474716,0.0772954221178544,0.83127891836713,2,7944759
Chr02_7947380_8614429,0.989636113050049,0.0552258449486763,0.83127891836713,2,7947380
Chr02_8614430_8625186,0.802602281986653,0.05542856432969,0.83127891836713,2,8614430
Chr02_8625187_9195211,0.895055103006696,0.254530438011443,0.9035417711350122,2,8625187
Chr02_9195212_9195222,0.943203587413797,0.262108526862451,0.9035417711350122,2,9195212
Chr02_9195223_9912687,0.755150006286644,0.206157499659933,0.8847064428968233,2,9195223
Chr02_9912688_9912975,0.911446829137613,0.219973297920942,0.8847064428968233,2,9912688
Chr02_9912976_10267833,0.84319735825803,0.35595702939613,0.9370071654031575,2,9912976
Chr02_10267834_10267871,0.647716628538352,0.541869780548316,0.9719408835386381,2,10267834
Chr02_10267872_10413420,0.796019335665846,0.612033486642857,0.9863962327799523,2,10267872
Chr02_10413421_10413478,0.668085145353651,0.602658458099566,0.9863962327799523,2,10413421
Chr02_10413479_11173441,0.916530328680968,0.771691284444026,0.9957244960442618,2,10413479
Chr02_11173442_11173501,0.915925878036365,0.799466955957545,0.9957244960442618,2,11173442
Chr02_11173502_11801906,0.930734430659021,0.750809448476893,0.9957244960442618,2,11173502
Chr02_11801907_12265594,0.865024293503654,0.962255140286122,0.9957244960442618,2,11801907
Chr02_12265595_12817972,0.853548693025678,0.702486159088394,0.9957244960442618,2,12265595
Chr02_12817973_12824108,0.839185878188707,0.460319486150865,0.9478915054597514,2,12817973
Chr02_12824109_13491547,0.989523721794785,0.515670411751783,0.9508604702243859,2,12824109
Chr02_13491548_13517019,0.947365021641956,0.599581061422239,0.9863962327799523,2,13491548
Chr02_13517020_14119781,0.684927496778322,0.469341510518994,0.9478915054597514,2,13517020
Chr02_14119782_14120038,0.674043058051887,0.519997456049938,0.953246958700354,2,14119782
Chr02_14120039_14602012,0.92318798267118,0.555010176290255,0.9768837177254192,2,14120039
Chr02_14602013_14602277,0.696170930817955,0.586180440863674,0.9863962327799523,2,14602013
Chr02_14602278_15318678,0.691921024937527,0.638662301219102,0.9863962327799523,2,14602278
Chr02_15318679_15347678,0.759685713043741,0.591242668049058,0.9863962327799523,2,15318679
Chr02_15347679_15710186,0.951949463436152,0.723065473137289,0.9957244960442618,2,15347679
Chr02_15710187_15710672,0.912371630540301,0.982824098251385,0.9957244960442618,2,15710187
Chr02_15710673_16424164,0.63830029757774,0.839578585292296,0.9957244960442618,2,15710673
Chr02_16424165_16424173,0.692804467666178,0.894820516555443,0.9957244960442618,2,16424165
Chr02_16424174_19450199,0.972458218961066,0.699183990434678,0.9957244960442618,2,16424174
Chr02_19450200_19450542,0.817229445548058,0.508018618083938,0.9478915054597514,2,19450200
Chr02_19450543_21586712,0.80284843098074,0.494098038141698,0.9478915054597514,2,19450543
Chr02_21586713_21615015,0.424460067061817,0.631689325115593,0.9863962327799523,2,21586713
Chr02_21615016_22274911,0.726334747305361,0.987816066094946,0.997165582509264,2,21615016
Chr02_22274912_22275977,0.583464102892187,0.384735903413847,0.9478915054597514,2,22274912
Chr02_22275978_23006865,0.855665350732156,0.404358183806863,0.9478915054597514,2,22275978
Chr02_23006866_23006973,0.896776584478669,0.260799172548771,0.9035417711350122,2,23006866
Chr02_23006974_23411993,0.957173034713615,0.0364407384292021,0.83127891836713,2,23006974
Chr02_23411994_23412006,0.982183544347035,0.0619373987393279,0.83127891836713,2,23411994
Chr02_23412007_23945659,0.986237101585708,0.0657566014524312,0.83127891836713,2,23412007
Chr02_23945660_23950242,0.91168240501507,0.0822494999243913,0.83127891836713,2,23945660
Chr02_23950243_24283667,0.893049642797848,0.18395645081458,0.8847064428968233,2,23950243
Chr02_24283668_24284547,0.975837268995675,0.305081875213453,0.9251890906365685,2,24283668
Chr02_24284548_24771958,0.754390029283331,0.449385194034343,0.9478915054597514,2,24284548
Chr02_24771959_24772778,0.573994567970155,0.379688429165208,0.9462547570601668,2,24771959
Chr02_24772779_25141874,0.735337225638342,0.466927511493294,0.9478915054597514,2,24772779
Chr02_25141875_25263035,0.735337225638342,0.466927511493294,0.9478915054597514,2,25141875
Chr03_1_106416,0.98881621098196,0.206096695064837,0.8847064428968233,3,1
Chr03_106417_526428,0.98881621098196,0.206096695064837,0.8847064428968233,3,106417
Chr03_526429_537201,0.939290483794771,0.143957794246963,0.8847064428968233,3,526429
Chr03_537202_1923686,0.886442108191896,0.134789139020485,0.8847064428968233,3,537202
Chr03_1923687_1923687,0.522300053925325,0.182379318987084,0.8847064428968233,3,1923687
Chr03_1923688_2743575,0.560980552686999,0.159326165194236,0.8847064428968233,3,1923688
Chr03_2743576_2744190,0.452167835616383,0.152919614663451,0.8847064428968233,3,2743576
Chr03_2744191_3884923,0.761709142582462,0.278816720664717,0.9079151516804893,3,2744191
Chr03_3884924_3893054,0.870253083863249,0.485361565035741,0.9478915054597514,3,3884924
