Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.735806877968206,0.588010110927212,0.476257559158538,0.821226352300979,Chr01_1_126237,0.9658513566089234,0.9634315479397035,0.999829791420047,1,1
Chr01_126238_809425,0.735806877968206,0.588010110927212,0.476257559158538,0.821226352300979,Chr01_126238_809425,0.9658513566089234,0.9634315479397035,0.999829791420047,1,126238
Chr01_809426_814269,0.503703168096925,0.630442003960428,0.344816090634046,0.551337482129889,Chr01_809426_814269,0.9658513566089234,0.9422757665154046,0.9765939999207665,1,809426
Chr01_814270_1367747,0.66350148492291,0.467885118610517,0.27519556207782,0.712731078617015,Chr01_814270_1367747,0.9465638811930619,0.8787859230040366,0.9945838233428346,1,814270
Chr01_1367748_1367899,0.815130457074717,0.18471524530623,0.450545876330784,0.662235962072145,Chr01_1367748_1367899,0.8671212601066447,0.9634315479397035,0.9765939999207665,1,1367748
Chr01_1367900_2042574,0.817038978888852,0.165289797179021,0.457035761272769,0.658779943638489,Chr01_1367900_2042574,0.8671212601066447,0.9634315479397035,0.9765939999207665,1,1367900
Chr01_2042575_2043251,0.926159567359062,0.11528745665149,0.635819286260492,0.670351356830081,Chr01_2042575_2043251,0.8285785608920831,0.9913235246374099,0.9765939999207665,1,2042575
Chr01_2043252_2231677,0.884976492505869,0.457422875964133,0.85834666429319,0.836379758465131,Chr01_2043252_2231677,0.9465638811930619,0.9913235246374099,0.999829791420047,1,2043252
Chr01_2231678_2231705,0.646312939601936,0.645860388753638,0.700127376933218,0.749305935061125,Chr01_2231678_2231705,0.9658513566089234,0.9913235246374099,0.999829791420047,1,2231678
Chr01_2231706_3033846,0.607722767638149,0.685653083057781,0.665939055169681,0.738930093720151,Chr01_2231706_3033846,0.9703612815715137,0.9913235246374099,0.9964733663570872,1,2231706
Chr01_3033847_3052413,0.522155679122922,0.535422632785093,0.539262427700138,0.626938885916973,Chr01_3033847_3052413,0.9570863981542301,0.9788293513842949,0.9765939999207665,1,3033847
Chr01_3052414_4229970,0.523566726384516,0.397994762054483,0.104615455304061,0.59732680261972,Chr01_3052414_4229970,0.9407389378338916,0.7307809542042801,0.9765939999207665,1,3052414
Chr01_4229971_4235626,0.798079546475029,0.44969867408962,0.120179885228393,0.679910499966813,Chr01_4229971_4235626,0.9465638811930619,0.7420138720230458,0.9780518249095164,1,4229971
Chr01_4235627_5264100,0.781291142478185,0.542534827470536,0.0560585307121714,0.653162510342088,Chr01_4235627_5264100,0.9588081640724968,0.7307809542042801,0.9765939999207665,1,4235627
Chr01_5264101_5264149,0.792376180166914,0.526751258177798,0.0611156213876259,0.666625510997065,Chr01_5264101_5264149,0.9570863981542301,0.7307809542042801,0.9765939999207665,1,5264101
Chr01_5264150_5885231,0.868858070336999,0.597607463136512,0.0636387790397581,0.686554878402586,Chr01_5264150_5885231,0.9658513566089234,0.7307809542042801,0.9803365007888089,1,5264150
Chr01_5885232_5886075,0.407983789724283,0.726605947490766,0.0731083467128763,"NA",Chr01_5885232_5886075,0.9704117219063388,0.7307809542042801,NA,1,5885232
Chr01_5886076_6253003,0.362835239714629,0.78043157898459,0.154453248256058,"NA",Chr01_5886076_6253003,0.9704117219063388,0.7999370295974673,NA,1,5886076
Chr01_6253004_6253851,0.416779359526186,0.791546312679468,0.154833300919299,"NA",Chr01_6253004_6253851,0.9704117219063388,0.7999370295974673,NA,1,6253004
Chr01_6253852_6811196,0.406676683237372,0.853793502987845,0.137304622045546,"NA",Chr01_6253852_6811196,0.9900904030516037,0.7775178893348373,NA,1,6253852
Chr01_6811197_6811650,0.218536657051644,0.816545593942942,0.0452455128628405,"NA",Chr01_6811197_6811650,0.9768245395813965,0.7307809542042801,NA,1,6811197
Chr01_6811651_7107385,0.200123612673712,0.930498670069896,0.034081450304844,"NA",Chr01_6811651_7107385,0.9966621828315815,0.7307809542042801,NA,1,6811651
Chr01_7107386_7117068,0.184112050531252,0.955690834686549,0.0025193496227172,"NA",Chr01_7107386_7117068,0.9966621828315815,0.6993258739523189,NA,1,7107386
Chr01_7117069_8021093,0.0658604542097145,0.780481525298015,0.00251290500312503,0.160190232353517,Chr01_7117069_8021093,0.9704117219063388,0.6993258739523189,0.571214803217883,1,7117069
Chr01_8021094_8021338,0.152371844935903,0.629647395750681,0.0150549585982438,"NA",Chr01_8021094_8021338,0.9658513566089234,0.6993258739523189,NA,1,8021094
Chr01_8021339_8546533,0.0513853405309239,0.342558270392335,0.0255773856856461,"NA",Chr01_8021339_8546533,0.9270250562551584,0.7307809542042801,NA,1,8021339
Chr01_8546534_8548055,0.0539459013177338,0.475607448602815,0.0168487092588843,"NA",Chr01_8546534_8548055,0.9465638811930619,0.6996726743126622,NA,1,8546534
Chr01_8548056_9439189,0.092704113221993,0.60108795626035,0.0831295223487889,"NA",Chr01_8548056_9439189,0.9658513566089234,0.7307809542042801,NA,1,8548056
Chr01_9439190_9439923,0.106868317865472,0.4954694262442,0.0672652622916665,"NA",Chr01_9439190_9439923,0.9465638811930619,0.7307809542042801,NA,1,9439190
Chr01_9439924_10127710,0.0898945329670726,0.470622566754446,0.102767873318494,"NA",Chr01_9439924_10127710,0.9465638811930619,0.7307809542042801,NA,1,9439924
Chr01_10127711_10127775,0.0968725295580614,0.495958096067214,0.162652125810886,"NA",Chr01_10127711_10127775,0.9465638811930619,0.7999370295974673,NA,1,10127711
Chr01_10127776_10700451,0.182585869316437,0.726659560327471,0.184702644274952,"NA",Chr01_10127776_10700451,0.9704117219063388,0.8267300581401917,NA,1,10127776
Chr01_10700452_10700489,0.322446861718278,0.99008781218307,0.321999223154984,"NA",Chr01_10700452_10700489,0.9966621828315815,0.9198604673412528,NA,1,10700452
Chr01_10700490_11189458,0.141468956781576,0.688083206220167,0.526476915485538,0.299516299604769,Chr01_10700490_11189458,0.9703612815715137,0.9788293513842949,0.7128023564237526,1,10700490
Chr01_11189459_11289027,0.128852688013654,0.471791433297585,0.809022624596605,"NA",Chr01_11189459_11289027,0.9465638811930619,0.9913235246374099,NA,1,11189459
Chr01_11289028_11965532,0.313839304110123,0.495057113019892,0.874266047730669,0.526370711901133,Chr01_11289028_11965532,0.9465638811930619,0.9913235246374099,0.9655237692392661,1,11289028
Chr01_11965533_11966198,0.208771550506494,0.732795948445357,0.779292941282602,"NA",Chr01_11965533_11966198,0.9704117219063388,0.9913235246374099,NA,1,11965533
Chr01_11966199_12330339,0.587689420698418,0.859466079634096,0.99666888193862,"NA",Chr01_11966199_12330339,0.9902041977715973,0.99666888193862,NA,1,11966199
Chr01_12330340_12330527,0.893672141537721,0.490978178224409,0.976478581853298,"NA",Chr01_12330340_12330527,0.9465638811930619,0.9928068639582678,NA,1,12330340
Chr01_12330528_13051606,0.92885064649823,0.486567514991756,0.82584708602785,"NA",Chr01_12330528_13051606,0.9465638811930619,0.9913235246374099,NA,1,12330528
Chr01_13051607_13052006,0.912317433462703,0.50661292724695,0.690448684389074,"NA",Chr01_13051607_13052006,0.9538922900695089,0.9913235246374099,NA,1,13051607
Chr01_13052007_13382483,0.832516568813373,0.529135134312607,0.555015137406925,"NA",Chr01_13052007_13382483,0.9570863981542301,0.9845991761378055,NA,1,13052007
Chr01_13382484_13382509,0.948745078847238,0.348924583854894,0.600201206098239,"NA",Chr01_13382484_13382509,0.9270250562551584,0.9913235246374099,NA,1,13382484
Chr01_13382510_13576339,0.916413697291429,0.289586446999208,0.589736674798555,"NA",Chr01_13382510_13576339,0.8864868113142531,0.9884027982175431,NA,1,13382510
Chr01_13576340_13576350,0.885905822731332,0.282017168033457,0.701019239463689,"NA",Chr01_13576340_13576350,0.8858877739211097,0.9913235246374099,NA,1,13576340
Chr01_13576351_14061355,0.961324478712487,0.390021758186283,0.83679765075014,"NA",Chr01_13576351_14061355,0.9407389378338916,0.9913235246374099,NA,1,13576351
Chr01_14061356_14061634,0.821731320074407,0.419655324784487,0.586137104373794,"NA",Chr01_14061356_14061634,0.9426741338301452,0.9858185130938428,NA,1,14061356
Chr01_14061635_14604721,0.480160650911962,0.76839768663866,0.419162705620735,"NA",Chr01_14061635_14604721,0.9704117219063388,0.95737162119103425,NA,1,14061635
Chr01_14604722_14607157,0.0892130029437071,0.502695159460476,0.194930446185314,"NA",Chr01_14604722_14607157,0.9526322130765853,0.8288366779680706,NA,1,14604722
Chr01_14607158_15449572,0.0646977044614032,0.506463756724529,0.0596175516673507,"NA",Chr01_14607158_15449572,0.9538922900695089,0.7307809542042801,NA,1,14607158
Chr01_15449573_15456448,0.0649765575511283,0.605884882017021,0.0539167972107792,"NA",Chr01_15449573_15456448,0.9658513566089234,0.7307809542042801,NA,1,15449573
Chr01_15456449_16406535,0.879583208419421,0.641715902857161,0.0811284033108596,0.682801665996848,Chr01_15456449_16406535,0.9658513566089234,0.7307809542042801,0.9780833348951845,1,15456449
Chr01_16406536_16454790,0.662772403854198,0.212563978424409,0.162767086111424,0.744754922748708,Chr01_16406536_16454790,0.8794088884368868,0.7999370295974673,0.9984269051696653,1,16406536
Chr01_16454791_19216253,0.554192527477399,0.094615244756218,0.123179294256453,0.756512362206845,Chr01_16454791_19216253,0.79672679232718,0.7458396739461761,0.999829791420047,1,16454791
Chr01_19216254_19216663,0.00733464790939316,0.10706926923496,0.154591222213397,"NA",Chr01_19216254_19216663,0.8005100832645057,0.7999370295974673,NA,1,19216254
Chr01_19216664_20661429,0.121481538034529,0.646469747719466,0.436619165170772,"NA",Chr01_19216664_20661429,0.9658513566089234,0.9591702928317491,NA,1,19216664
Chr01_20661430_20662913,0.0876723300237165,0.522359485539571,0.382419865814151,"NA",Chr01_20661430_20662913,0.9570863981542301,0.9423203492547162,NA,1,20661430
Chr01_20662914_21251875,0.0885875243082018,0.446258055425108,0.49546607596178,"NA",Chr01_20662914_21251875,0.9465638811930619,0.9669892047489709,NA,1,20662914
