Phenotype,Marker,Del,Sign.Class
Area_2_cavities_filled_field_y1_y2,Chr02_3811172_4203782,3.8416286835263125,Suggestive
Area_2_cavities_filled_field_y1_y2,Chr02_4204964_5059530,4.342009089788904,Significant
Area_2_cavities_filled_field_year2,Chr02_3811172_4203782,4.0227000311499035,Significant
Area_2_cavities_filled_field_year2,Chr02_4203783_4204963,4.030308328977137,Significant
Area_2_cavities_filled_field_year2,Chr02_4204964_5059530,4.526204786982984,Confirmed
Horiz_size_25perc_field_year2,Chr02_4204964_5059530,3.81021502060479,Suggestive
Horiz_size_50perc_field_y1_y2,Chr02_4204964_5059530,4.160276612919094,Significant
Horiz_size_50perc_field_year2,Chr02_4204964_5059530,4.2598862075627775,Significant
Horiz_size_75perc_field_y1_y2,Chr02_5059531_5059566,3.8560074205298234,Suggestive
Horiz_size_75perc_field_y1_y2,Chr02_4204964_5059530,4.407364580915675,Significant
Horiz_size_75perc_field_year2,Chr02_3811172_4203782,3.993333536634169,Suggestive
Horiz_size_75perc_field_year2,Chr02_4203783_4204963,4.010064461174941,Suggestive
Horiz_size_75perc_field_year2,Chr02_5059531_5059566,3.864051629676742,Suggestive
Horiz_size_75perc_field_year2,Chr02_4204964_5059530,4.570962037958399,Confirmed
Horiz_size_center_field_y1_y2,Chr02_4204964_5059530,4.345203293115655,Significant
Horiz_size_center_field_year2,Chr02_3811172_4203782,3.9505642626656545,Suggestive
Horiz_size_center_field_year2,Chr02_4203783_4204963,3.9586113413577495,Suggestive
Horiz_size_center_field_year2,Chr02_5059531_5059566,3.8013208355594883,Suggestive
Horiz_size_center_field_year2,Chr02_4204964_5059530,4.517353043201224,Confirmed
Indent_depth_mean_field_year2,Chr02_4203783_4204963,3.7552882969433568,Suggestive
Indent_depth_mean_field_year2,Chr02_4204964_5059530,3.9496291539715185,Suggestive
Num_Indents_field_y1_y2,Chr02_1_4524,3.85811957679163,Suggestive
Num_Indents_field_y1_y2,Chr02_4525_349303,3.85811957679163,Suggestive
Num_Indents_field_y1_y2,Chr02_349304_361275,3.861298672102881,Suggestive
Num_Indents_field_y1_y2,Chr02_1380871_1588241,3.9309841461477975,Suggestive
Num_Indents_field_y1_y2,Chr02_361276_876244,4.07164686500238,Significant
Num_Indents_field_y1_y2,Chr02_2118663_2439301,4.044203586671581,Significant
Num_Indents_field_y1_y2,Chr02_3811172_4203782,4.1560003336678815,Significant
Num_Indents_field_y1_y2,Chr02_4203783_4204963,4.2163968639165335,Significant
Num_Indents_field_y1_y2,Chr02_4204964_5059530,4.544976869088655,Significant
Num_Indents_field_year2,Chr02_1_4524,4.1475862235312455,Significant
Num_Indents_field_year2,Chr02_4525_349303,4.1475862235312455,Significant
Num_Indents_field_year2,Chr02_349304_361275,4.081439267578965,Significant
Num_Indents_field_year2,Chr02_361276_876244,4.277469783544687,Significant
Num_Indents_field_year2,Chr02_1380871_1588241,4.1601446811203235,Significant
Num_Indents_field_year2,Chr02_1588242_1591077,4.03954276979187,Significant
Num_Indents_field_year2,Chr02_1591078_2117143,3.9949730918137862,Significant
Num_Indents_field_year2,Chr02_2117144_2118662,4.080667341126053,Significant
Num_Indents_field_year2,Chr02_2118663_2439301,4.336458613808937,Significant
Num_Indents_field_year2,Chr02_3811172_4203782,4.458874565575972,Confirmed
Num_Indents_field_year2,Chr02_4203783_4204963,4.5282870544391045,Confirmed
Num_Indents_field_year2,Chr02_4204964_5059530,4.785413533429338,Confirmed
PC1_PC2_y1_y2,Chr01_5885232_5886075,3.8693887874675608,Suggestive
PC1_PC2_y1_y2,Chr01_4235627_5264100,3.950232170973915,Significant
PC1_PC2_y1_y2,Chr01_5264101_5264149,4.246340180116458,Significant
PC1_PC2_y1_y2,Chr01_5264150_5885231,4.270123583565599,Significant
PC1_PC2_y1_y2,Chr01_5886076_6253003,4.032265468415795,Significant
PC1_PC2_y1_y2,Chr01_6253004_6253851,4.115035174529366,Significant
PC1_PC2_y1_y2,Chr01_6253852_6811196,4.191692699128641,Significant
PC1_PC2_y1_y2,Chr01_6811197_6811650,3.9865273243394137,Significant
PC1_PC3_y1_y2,Chr04_2488920_2489076,3.7187717794627835,Suggestive
PC2_y1_y2,Chr01_6253004_6253851,3.9025833544553925,Suggestive
PC2_y1_y2,Chr01_6811197_6811650,3.9966933985246613,Significant
Perimeter_2_excl_cavities_field_y1_y2,Chr02_3811172_4203782,3.8830489711606697,Suggestive
Perimeter_2_excl_cavities_field_y1_y2,Chr02_4204964_5059530,4.22129681293355,Significant
Perimeter_2_excl_cavities_field_year2,Chr02_3811172_4203782,4.093919053746915,Significant
Perimeter_2_excl_cavities_field_year2,Chr02_4203783_4204963,4.131210027890016,Significant
Perimeter_2_excl_cavities_field_year2,Chr02_4204964_5059530,4.5045718651224425,Confirmed
Squared_Perimeter2_Area2_ratio_field_y1_y2,Chr05_5438585_5830688,3.9216506578902974,Suggestive
Squared_Perimeter2_Area2_ratio_field_y1_y2,Chr05_5830689_5831721,4.083972377099843,Significant
Squared_Perimeter2_Area2_ratio_field_year2,Chr05_5830689_5831721,3.9242612948212967,Suggestive
Squared_Perimeter2_Area2_ratio_field_year2,Chr17_13731535_13865657,3.7671324733287825,Suggestive
Vert_size_25perc_field_y1_y2,Chr02_3811172_4203782,3.8466125633405914,Suggestive
Vert_size_25perc_field_y1_y2,Chr02_4204964_5059530,4.1313212025620825,Significant
Vert_size_25perc_field_year2,Chr02_4203783_4204963,4.02320490258369,Suggestive
Vert_size_25perc_field_year2,Chr02_3811172_4203782,4.065435043733408,Significant
Vert_size_25perc_field_year2,Chr02_4204964_5059530,4.442080756795478,Significant
Vert_size_50perc_field_y1_y2,Chr02_3811172_4203782,3.8901564325502123,Suggestive
Vert_size_50perc_field_y1_y2,Chr02_4203783_4204963,3.83068624929313,Suggestive
Vert_size_50perc_field_y1_y2,Chr02_4204964_5059530,4.12264700312445,Significant
Vert_size_50perc_field_year2,Chr02_4203783_4204963,3.961117689543478,Suggestive
Vert_size_50perc_field_year2,Chr02_3811172_4203782,4.013542761181685,Significant
Vert_size_50perc_field_year2,Chr02_4204964_5059530,4.3100475521467265,Significant
Vert_size_75perc_field_y1_y2,Chr02_3811172_4203782,3.910862233306703,Suggestive
Vert_size_75perc_field_y1_y2,Chr02_4203783_4204963,3.792619782807816,Suggestive
Vert_size_75perc_field_y1_y2,Chr02_4204964_5059530,4.295579427188816,Significant
Vert_size_75perc_field_year2,Chr02_3811172_4203782,4.085110118085789,Significant
Vert_size_75perc_field_year2,Chr02_4203783_4204963,4.1184941196734846,Significant
Vert_size_75perc_field_year2,Chr02_4204964_5059530,4.553308583630577,Confirmed
Vert_size_center_field_y1_y2,Chr02_361276_876244,3.7451742314750356,Suggestive
Vert_size_center_field_y1_y2,Chr02_3811172_4203782,3.893014330510249,Suggestive
Vert_size_center_field_y1_y2,Chr02_4203783_4204963,3.8235917078113304,Suggestive
Vert_size_center_field_y1_y2,Chr02_4204964_5059530,4.083015109484137,Significant
Vert_size_center_field_year2,Chr02_4203783_4204963,3.974508499233643,Suggestive
Vert_size_center_field_year2,Chr02_3811172_4203782,4.041944652702403,Significant
Vert_size_center_field_year2,Chr02_4204964_5059530,4.2619036762675595,Significant
Vert_size_center_Horiz_size_center_ratio_field_y1_y2,Chr02_5059531_5059566,3.715176274262598,Suggestive
Vert_size_center_Horiz_size_center_ratio_field_y1_y2,Chr02_4204964_5059530,4.042710400860923,Significant
Vert_size_center_Horiz_size_center_ratio_field_year2,Chr02_5059531_5059566,3.6953456475638418,Suggestive
Vert_size_center_Horiz_size_center_ratio_field_year2,Chr02_4204964_5059530,4.0272449960643515,Significant
