Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.412443785238054,0.264743926914489,0.0990334887148812,0.8516648018684239,0.6615537445171957,1,1
Chr01_126238_809425,0.367980467919876,0.295171850232946,0.0946257197602581,0.8516648018684239,0.6615537445171957,1,126238
Chr01_809426_814269,0.284178445441001,0.312323044004259,0.0657027537751426,0.8516648018684239,0.6615537445171957,1,809426
Chr01_814270_1367747,0.26516969278178,0.484696590207915,0.106311036008614,0.8861045842531071,0.6659313166716844,1,814270
Chr01_1367748_1367899,0.259950501941514,0.817609400873477,0.139040924309552,0.9556109968545857,0.6936342665500931,1,1367748
Chr01_1367900_2042574,0.333271534682886,0.707544728514503,0.114219317059484,0.9348128973291369,0.6666254686562612,1,1367900
Chr01_2042575_2043251,0.49760788715138,0.894104802173698,0.156938002354679,0.9755492402907494,0.7116695655226564,1,2042575
Chr01_2043252_2231677,0.43939465147273,0.29100707449033,0.289448550610884,0.8516648018684239,0.8485122673654122,1,2043252
Chr01_2231678_2231705,0.588703225702803,0.081314231492072,0.0962548951391582,0.7359440662883423,0.6615537445171957,1,2231678
Chr01_2231706_3033846,0.528053548976739,0.110874758055904,0.121394186175421,0.7359440662883423,0.6917313685617185,1,2231706
Chr01_3033847_3052413,0.702487825167108,0.0287755081026387,0.108564618801957,0.7359440662883423,0.6666254686562612,1,3033847
Chr01_3052414_4229970,0.335431177890363,0.146052842538634,0.0250294116931379,0.7657513721262665,0.6615537445171957,1,3052414
Chr01_4229971_4235626,0.373342229156854,0.172589941457495,0.0188255357343018,0.7959865384931298,0.6615537445171957,1,4229971
Chr01_4235627_5264100,0.549115444667588,0.603798853490439,0.0966116944304269,0.9000902413487504,0.6615537445171957,1,4235627
Chr01_5264101_5264149,0.762601866684345,0.704010500091482,0.0529171692374028,0.9325476087869288,0.6615537445171957,1,5264101
Chr01_5264150_5885231,0.763926095950062,0.608723963582773,0.0468875255252454,0.901847964508016,0.6615537445171957,1,5264150
Chr01_5885232_5886075,0.61642699180655,0.964377332069585,0.0848127590987648,0.9824405559133804,0.6615537445171957,1,5885232
Chr01_5886076_6253003,0.767885128050361,0.881844265758712,0.354717054618701,0.972756045733837,0.887750725929636,1,5886076
Chr01_6253004_6253851,0.795296508560971,0.942158745118141,0.740667507388625,0.9824405559133804,0.9978580577931561,1,6253004
Chr01_6253852_6811196,0.958998560297536,0.874580913932483,0.887140493105713,0.9713933944247353,0.9978580577931561,1,6253852
Chr01_6811197_6811650,0.983723176448141,0.808165902204225,0.551747787441953,0.9556109968545857,0.9882780561684135,1,6811197
Chr01_6811651_7107385,0.611682922081315,0.947057134694317,0.555926915700588,0.9824405559133804,0.9882780561684135,1,6811651
Chr01_7107386_7117068,0.823236785139915,0.661637644306146,0.540246376160542,0.9170170564196221,0.9882780561684135,1,7107386
Chr01_7117069_8021093,0.73706197639744,0.197527310640776,0.44366981483373,0.820959077674795,0.9473481855540621,1,7117069
Chr01_8021094_8021338,0.713100536816922,0.173236486531019,0.53077519974265,0.7959865384931298,0.9882780561684135,1,8021094
Chr01_8021339_8546533,0.840915391754364,0.194395417361176,0.780272320330882,0.820959077674795,0.9978580577931561,1,8021339
Chr01_8546534_8548055,0.692090226032643,0.0349472543264905,0.975079646302667,0.7359440662883423,0.9978580577931561,1,8546534
Chr01_8548056_9439189,0.938439697204848,0.0734036010482593,0.777066606150844,0.7359440662883423,0.9978580577931561,1,8548056
