Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.184256941910575,0.209268553521227,0.7302526190761016,1,1
Chr01_126238_809425,0.184256941910575,0.209268553521227,0.7302526190761016,1,126238
Chr01_809426_814269,0.278887338969871,0.114250074701058,0.7202141564387665,1,809426
Chr01_814270_1367747,0.340992548257685,0.142288302547007,0.7202141564387665,1,814270
Chr01_1367748_1367899,0.24610217649571,0.23929952421001,0.7689131819565515,1,1367748
Chr01_1367900_2042574,0.24026256976174,0.142335440900768,0.7202141564387665,1,1367900
Chr01_2042575_2043251,0.206356475095098,0.208253261033817,0.7302526190761016,1,2042575
Chr01_2043252_2231677,0.238222867573822,0.436474144017729,0.8312929006693366,1,2043252
Chr01_2231678_2231705,0.390791697964367,0.143714424228206,0.7202141564387665,1,2231678
Chr01_2231706_3033846,0.395924778078114,0.145028791452732,0.7202141564387665,1,2231706
Chr01_3033847_3052413,0.186041482495397,0.143373566144228,0.7202141564387665,1,3033847
Chr01_3052414_4229970,0.220788013592216,0.0255055035614456,0.7202141564387665,1,3052414
Chr01_4229971_4235626,0.234627762535274,0.0466519736885707,0.7202141564387665,1,4229971
Chr01_4235627_5264100,0.395075735063339,0.0250230387937811,0.7202141564387665,1,4235627
Chr01_5264101_5264149,0.247303461922533,0.030949552634284,0.7202141564387665,1,5264101
Chr01_5264150_5885231,0.154234460971434,0.0824669053718735,0.7202141564387665,1,5264150
Chr01_5885232_5886075,0.135752860575683,0.0799293378938478,0.7202141564387665,1,5885232
Chr01_5886076_6253003,0.135197601131375,0.219473413228185,0.7523790903171867,1,5886076
Chr01_6253004_6253851,0.200974987051492,0.238076626459074,0.7689131819565515,1,6253004
Chr01_6253852_6811196,0.292106768377466,0.147239379273091,0.7202141564387665,1,6253852
Chr01_6811197_6811650,0.367166049390598,0.108903639823543,0.7202141564387665,1,6811197
Chr01_6811651_7107385,0.251969535731729,0.126061831128849,0.7202141564387665,1,6811651
Chr01_7107386_7117068,0.462567226300972,0.0607505719534077,0.7202141564387665,1,7107386
Chr01_7117069_8021093,0.387267782084567,0.0746833225116643,0.7202141564387665,1,7117069
Chr01_8021094_8021338,0.646721202518875,0.0682013429913309,0.7202141564387665,1,8021094
Chr01_8021339_8546533,0.399265475667049,0.0848182171600721,0.7202141564387665,1,8021339
Chr01_8546534_8548055,0.363815046676266,0.119623381542064,0.7202141564387665,1,8546534
