Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.26406880062227,0.701931669022552,0.9971236457907311,1,1
Chr01_126238_809425,0.26406880062227,0.701931669022552,0.9971236457907311,1,126238
Chr01_809426_814269,0.26406880062227,0.701931669022552,0.9971236457907311,1,809426
Chr01_814270_1367747,0.26406880062227,0.701931669022552,0.9971236457907311,1,814270
Chr01_1367748_1367899,0.26406880062227,0.701931669022552,0.9971236457907311,1,1367748
Chr01_1367900_2042574,0.26406880062227,0.701931669022552,0.9971236457907311,1,1367900
Chr01_2042575_2043251,0.26406880062227,0.701931669022552,0.9971236457907311,1,2042575
Chr01_2043252_2231677,0.26406880062227,0.701931669022552,0.9971236457907311,1,2043252
Chr01_2231678_2231705,0.26406880062227,0.701931669022552,0.9971236457907311,1,2231678
Chr01_2231706_3033846,0.26406880062227,0.701931669022552,0.9971236457907311,1,2231706
Chr01_3033847_3052413,0.26406880062227,0.701931669022552,0.9971236457907311,1,3033847
Chr01_3052414_4229970,0.26406880062227,0.701931669022552,0.9971236457907311,1,3052414
Chr01_4229971_4235626,0.26406880062227,0.701931669022552,0.9971236457907311,1,4229971
Chr01_4235627_5264100,0.308768102515019,0.837140929456796,0.9971236457907311,1,4235627
Chr01_5264101_5264149,0.291323877683335,0.860293147983466,0.9971236457907311,1,5264101
Chr01_5264150_5885231,0.309759634699152,0.63960388039852,0.9971236457907311,1,5264150
Chr01_5885232_5886075,0.386090381734045,0.397051333668647,0.9971236457907311,1,5885232
Chr01_5886076_6253003,0.326213460224238,0.41033080351174,0.9971236457907311,1,5886076
Chr01_6253004_6253851,0.305008601781928,0.427374085705531,0.9971236457907311,1,6253004
Chr01_6253852_6811196,0.384412060027086,0.624675659649195,0.9971236457907311,1,6253852
Chr01_6811197_6811650,0.445085285280655,0.645592150912082,0.9971236457907311,1,6811197
Chr01_6811651_7107385,0.520089600945892,0.571992928658583,0.9971236457907311,1,6811651
Chr01_7107386_7117068,0.416011389647499,0.815805718992429,0.9971236457907311,1,7107386
