Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.231132259035483,0.255982957417324,0.242919052572381,0.285728867695398,0.243438786970176,0.8075509968536954,0.7570584065605271,0.6862856432292983,0.5852923704417755,1,1
Chr01_126238_809425,0.264264696103336,0.244525354613923,0.231668899066535,0.326304943366427,0.232176635051295,0.8075509968536954,0.7382210371861214,0.7228909514579307,0.5685040676624448,1,126238
Chr01_809426_814269,0.499519953023169,0.241776820333058,0.157703905096319,0.483987621637864,0.194449942880361,0.8075509968536954,0.719612787971911,0.8010829599523266,0.5482202230692029,1,809426
Chr01_814270_1367747,0.448118279176182,0.0610298481263956,0.225772537257635,0.477397029113858,0.298709214447708,0.6477851326772367,0.7382210371861214,0.7962761257806434,0.6568630486860046,1,814270
Chr01_1367748_1367899,0.399692913405756,0.0576632660970762,0.228126321576079,0.324057310335549,0.369642462057984,0.6439140953933381,0.7382210371861214,0.7228909514579307,0.7460363846101778,1,1367748
Chr01_1367900_2042574,0.420937464919847,0.0939342016793283,0.178538282951343,0.3917308469432,0.308151116424548,0.6848843666061276,0.719612787971911,0.7474859707589423,0.6644038705348791,1,1367900
Chr01_2042575_2043251,0.434993324273519,0.155121459691781,0.178037776319167,0.442139423696422,0.290841671840771,0.7936828211339068,0.719612787971911,0.7674110241022237,0.6476105602494049,1,2042575
Chr01_2043252_2231677,0.438289821291758,0.130070953664122,0.169465750311852,0.457785855806477,0.280872531319707,0.7850170703804328,0.719612787971911,0.7833128000818838,0.633396218588319,1,2043252
Chr01_2231678_2231705,0.446474892106767,0.145054236809717,0.135450739022145,0.548324778580324,0.231278914477272,0.7936828211339068,0.7169320754868964,0.8370187432745582,0.5685040676624448,1,2231678
Chr01_2231706_3033846,0.439938709724215,0.11738745998592,0.148950982555269,0.527166190461572,0.246571283052854,0.7340527530288373,0.719612787971911,0.8206695289347715,0.5852923704417755,1,2231706
Chr01_3033847_3052413,0.267912913351105,0.0392979013059489,0.16579781337299,0.47297212300947,0.24381545816529,0.630461678240012,0.719612787971911,0.7949065886686063,0.5852923704417755,1,3033847
Chr01_3052414_4229970,0.573256833207966,0.0465709722070001,0.118923481778668,0.767610457522159,0.170698817973349,0.6320879600791611,0.6697269763324988,0.9583840390126777,0.5425395453406354,1,3052414
