Marker,Intercept,Dosage,Dos_P_adj,CHR,BP
Chr01_1_126237,0.850843422834871,0.465994649670163,0.9695811650700799,1,1
Chr01_126238_809425,0.987074361851605,0.56248276195124,0.9695811650700799,1,126238
Chr01_809426_814269,0.987074361851605,0.56248276195124,0.9695811650700799,1,809426
Chr01_814270_1367747,0.987074361851605,0.56248276195124,0.9695811650700799,1,814270
Chr01_1367748_1367899,0.850843422834871,0.465994649670163,0.9695811650700799,1,1367748
Chr01_1367900_2042574,0.850843422834871,0.465994649670163,0.9695811650700799,1,1367900
Chr01_2042575_2043251,0.850843422834871,0.465994649670163,0.9695811650700799,1,2042575
Chr01_2043252_2231677,0.850843422834871,0.465994649670163,0.9695811650700799,1,2043252
Chr01_2231678_2231705,0.850843422834871,0.465994649670163,0.9695811650700799,1,2231678
Chr01_2231706_3033846,0.850843422834871,0.465994649670163,0.9695811650700799,1,2231706
Chr01_3033847_3052413,0.957261846068536,0.576713999662002,0.9695811650700799,1,3033847
Chr01_3052414_4229970,0.820888926517447,0.766659472722163,0.9695811650700799,1,3052414
Chr01_4229971_4235626,0.81309623759342,0.814804843064864,0.9695811650700799,1,4229971
Chr01_4235627_5264100,0.81309623759342,0.814804843064864,0.9695811650700799,1,4235627
Chr01_5264101_5264149,0.475057817906913,0.747294231121176,0.9695811650700799,1,5264101
Chr01_5264150_5885231,0.475057817906913,0.747294231121176,0.9695811650700799,1,5264150
Chr01_5885232_5886075,0.0825359503595081,0.15158061630748,0.9695811650700799,1,5885232
Chr01_5886076_6253003,0.0825359503595081,0.15158061630748,0.9695811650700799,1,5886076
Chr01_6253004_6253851,0.0825359503595081,0.15158061630748,0.9695811650700799,1,6253004
Chr01_6253852_6811196,0.0825359503595081,0.15158061630748,0.9695811650700799,1,6253852
Chr01_6811197_6811650,0.0825359503595081,0.15158061630748,0.9695811650700799,1,6811197
Chr01_6811651_7107385,0.0825359503595081,0.15158061630748,0.9695811650700799,1,6811651
Chr01_7107386_7117068,0.0825359503595081,0.15158061630748,0.9695811650700799,1,7107386
Chr01_7117069_8021093,0.00413362049547745,0.0104909854574698,0.5327089282292998,1,7117069
