Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.0593055004361171,0.722025967663362,0.9209054825769764,1,1
Chr01_126238_809425,0.0593055004361171,0.722025967663362,0.9209054825769764,1,126238
Chr01_809426_814269,0.0593055004361171,0.722025967663362,0.9209054825769764,1,809426
Chr01_814270_1367747,0.0593055004361171,0.722025967663362,0.9209054825769764,1,814270
Chr01_1367748_1367899,0.0593055004361171,0.722025967663362,0.9209054825769764,1,1367748
Chr01_1367900_2042574,0.0593055004361171,0.722025967663362,0.9209054825769764,1,1367900
Chr01_2042575_2043251,0.0593055004361171,0.722025967663362,0.9209054825769764,1,2042575
Chr01_2043252_2231677,0.0593055004361171,0.722025967663362,0.9209054825769764,1,2043252
Chr01_2231678_2231705,0.0593055004361171,0.722025967663362,0.9209054825769764,1,2231678
Chr01_2231706_3033846,0.0593055004361171,0.722025967663362,0.9209054825769764,1,2231706
Chr01_3033847_3052413,0.0593055004361171,0.722025967663362,0.9209054825769764,1,3033847
Chr01_3052414_4229970,0.0593055004361171,0.722025967663362,0.9209054825769764,1,3052414
Chr01_4229971_4235626,0.0593055004361171,0.722025967663362,0.9209054825769764,1,4229971
Chr01_4235627_5264100,0.064650828267691,0.715441035007905,0.9209054825769764,1,4235627
Chr01_5264101_5264149,0.0248717918298321,0.481173838210282,0.8481347818832573,1,5264101
Chr01_5264150_5885231,0.029301578880691,0.4784499769856,0.8472342955446716,1,5264150
Chr01_5885232_5886075,0.0281932222497382,0.658579731285154,0.908156776426358,1,5885232
Chr01_5886076_6253003,0.0276339592308869,0.877181197360833,0.970242868631435,1,5886076
Chr01_6253004_6253851,0.0331099180250021,0.944185473945254,0.9852558306021806,1,6253004
Chr01_6253852_6811196,0.0130680579761886,0.989495149103045,0.9966850612455853,1,6253852
Chr01_6811197_6811650,0.0137838014241,0.755634621477998,0.9419992212480885,1,6811197
Chr01_6811651_7107385,0.014002174897541,0.760600646254681,0.9439519759998363,1,6811651
Chr01_7107386_7117068,0.0348445564496985,0.701709151922664,0.9209054825769764,1,7107386
Chr01_7117069_8021093,0.188101565738632,0.15723865059743,0.5878022993036739,1,7117069
Chr01_8021094_8021338,0.166670129523481,0.180138674805627,0.6134971949785945,1,8021094
Chr01_8021339_8546533,0.166670129523481,0.180138674805627,0.6134971949785945,1,8021339
Chr01_8546534_8548055,0.0455921369393287,0.126419124675615,0.5416963761594868,1,8546534
Chr01_8548056_9439189,0.0396048037783624,0.0892453510919443,0.5146342061879415,1,8548056
Chr01_9439190_9439923,0.0228186639262774,0.0172180097799045,0.45771209331579465,1,9439190
Chr01_9439924_10127710,0.0200283975645025,0.0151030838885541,0.4379894327680689,1,9439924
Chr01_10127711_10127775,0.0200283975645025,0.0151030838885541,0.4379894327680689,1,10127711
Chr01_10127776_10700451,0.0357411985723168,0.0215555961168979,0.5146342061879415,1,10127776
Chr01_10700452_10700489,0.0338933397500704,0.027525342860768,0.5146342061879415,1,10700452
Chr01_10700490_11189458,0.0170725370453737,0.0171060630366325,0.45771209331579465,1,10700490
Chr01_11189459_11289027,0.0136921312533667,0.0167562340939037,0.45771209331579465,1,11189459
Chr01_11289028_11965532,0.00601969871369438,0.0265518664570297,0.5146342061879415,1,11289028
Chr01_11965533_11966198,0.00721739242715416,0.0326585254882054,0.5146342061879415,1,11965533
Chr01_11966199_12330339,0.0354640421838095,0.0240054465152569,0.5146342061879415,1,11966199
Chr01_12330340_12330527,0.0808188890748835,0.0596214363411814,0.5146342061879415,1,12330340
Chr01_12330528_13051606,0.0635743085467482,0.105307965374912,0.5155790227581432,1,12330528
Chr01_13051607_13052006,0.0166697983786448,0.089788661386372,0.5146342061879415,1,13051607
Chr01_13052007_13382483,0.0393815417734846,0.100205883925315,0.5155754350350885,1,13052007
Chr01_13382484_13382509,0.0425764614316813,0.160123945171729,0.5906564617354354,1,13382484
Chr01_13382510_13576339,0.0509025531109055,0.200622061502867,0.6421247921680391,1,13382510
Chr01_13576340_13576350,0.0294392159921011,0.27458271740104,0.703846413317142,1,13576340
Chr01_13576351_14061355,0.0449636354991183,0.16721121654641,0.6015832114094525,1,13576351
Chr01_14061356_14061634,0.0361110499087817,0.169750880257866,0.6084329303624635,1,14061356
Chr01_14061635_14604721,0.0561843664767106,0.174324397228725,0.6134971949785945,1,14061635
Chr01_14604722_14607157,0.02725697553782,0.111653963501917,0.5196911818599997,1,14604722
Chr01_14607158_15449572,0.03129830300625,0.0975863039694636,0.5146342061879415,1,14607158
Chr01_15449573_15456448,0.0312934898451238,0.09939203247526,0.5146342061879415,1,15449573
Chr01_15456449_16406535,0.0277274125234289,0.0884092924023751,0.5146342061879415,1,15456449
Chr01_16406536_16454790,0.0225494329638792,0.0699002204797167,0.5146342061879415,1,16406536
Chr01_16454791_19216253,0.00839952183994693,0.0411450854993486,0.5146342061879415,1,16454791
Chr01_19216254_19216663,0.00839952183994693,0.0411450854993486,0.5146342061879415,1,19216254
Chr01_19216664_20661429,0.0032059284269495,0.0955057101588912,0.5146342061879415,1,19216664
Chr01_20661430_20662913,0.0120780939629637,0.107210267010314,0.5155790227581432,1,20661430
Chr01_20662914_21251875,0.0217691863185729,0.0992847529931225,0.5146342061879415,1,20662914
Chr01_21251876_21488109,0.0464526237747156,0.25054079219944,0.703846413317142,1,21251876
Chr01_21488110_22523058,0.0863921430397691,0.439294706965615,0.842871390658431,1,21488110
Chr01_22523059_22523376,0.0338535556364864,0.686895950808491,0.9129992012829525,1,22523059
Chr01_22523377_25610270,0.0133676287466523,0.915128320158501,0.9851268868297923,1,22523377
Chr01_25610271_25623774,0.0341868005644028,0.82744671329317,0.9529079477997155,1,25610271
Chr01_25623775_25991881,0.0414755432942439,0.790207871612123,0.950651776643254,1,25623775
Chr01_25991882_26001088,0.0295207811054772,0.593372113183754,0.8960777367815076,1,25991882
Chr01_26001089_26286066,0.0247647936962525,0.562720390253545,0.8794623936245134,1,26001089
Chr01_26286067_26293474,0.0247647936962525,0.562720390253545,0.8794623936245134,1,26286067
Chr01_26293475_26583692,0.0768457898048142,0.476321024423198,0.8472342955446716,1,26293475
Chr01_26583693_26647317,0.0993900032127395,0.338180637655341,0.7893630981369788,1,26583693
Chr01_26647318_27308826,0.092044495484835,0.31460626556039,0.7583833655951971,1,26647318
Chr01_27308827_27314420,0.042982307391817,0.229568767036541,0.6827192121705408,1,27308827
Chr01_27314421_27701084,0.0866337400159619,0.240208165977643,0.6883121323134964,1,27314421
Chr01_27701085_27712150,0.0664376934312885,0.276146154172208,0.703846413317142,1,27701085
Chr01_27712151_27987745,0.0564586630391036,0.240651224144305,0.6883121323134964,1,27712151
Chr01_27987746_27996902,0.0271316251991321,0.263660148666417,0.703846413317142,1,27987746
Chr01_27996903_28327995,0.0640740403257574,0.196816974215701,0.6341880280283699,1,27996903
Chr01_28327996_28328780,0.0585207045099249,0.154694955046506,0.5837808791816215,1,28327996
Chr01_28328781_28712697,0.0468205586958084,0.12659437121169,0.5416963761594868,1,28328781
Chr01_28712698_28712702,0.0364373055626115,0.0640092000197139,0.5146342061879415,1,28712698
Chr01_28712703_29260469,0.0299426539575931,0.0969315950370256,0.5146342061879415,1,28712703
Chr01_29260470_29264772,0.0382969795335761,0.153478300049946,0.5828521156658664,1,29260470
Chr01_29264773_29827856,0.0360069963986176,0.17577662819604,0.6134971949785945,1,29264773
Chr01_29827857_29864780,0.0295694881453462,0.195774100663253,0.6329588322119362,1,29827857
Chr01_29864781_30461232,0.0977554531142406,0.26706063212589,0.703846413317142,1,29864781
Chr01_30461233_30463952,0.0514179569068144,0.408577670296774,0.8231764852084478,1,30461233
Chr01_30463953_31287140,0.115166402974414,0.494274666572239,0.8481347818832573,1,30463953
Chr01_31287141_31299042,0.0482413473251004,0.411491093717346,0.8273045728728994,1,31287141
Chr01_31299043_32249075,0.0492643719987792,0.39813227682848,0.8205919069834546,1,31299043
Chr01_32249076_32254238,0.0294851765468207,0.503386161034159,0.8481347818832573,1,32249076
Chr01_32254239_32925441,0.0523603075425634,0.49667259785697,0.8481347818832573,1,32254239
Chr01_32925442_32925676,0.0518040501291639,0.486616194161183,0.8481347818832573,1,32925442
Chr01_32925677_33648211,0.0488924021399773,0.840578410235493,0.9600822099177193,1,32925677
Chr01_33648212_33648861,0.0537364104432778,0.863703159312503,0.9657710872682322,1,33648212
Chr01_33648862_33944256,0.0537364104432778,0.863703159312503,0.9657710872682322,1,33648862
Chr01_33944257_33944395,0.0537364104432778,0.863703159312503,0.9657710872682322,1,33944257
Chr01_33944396_34707623,0.035431522154251,0.813345504467562,0.950651776643254,1,33944396
Chr01_34707624_34711948,0.0335934466408213,0.70702164036911,0.9209054825769764,1,34707624
Chr01_34711949_35098398,0.0387167536341812,0.845501850656935,0.9600822099177193,1,34711949
Chr01_35098399_35197978,0.0327968681652134,0.865693826409934,0.9667082752325634,1,35098399
Chr01_35197979_35842906,0.0685377055749948,0.649570467067219,0.9032874400345487,1,35197979
Chr01_35842907_35842941,0.0522924459127881,0.668078494332033,0.9101494537761471,1,35842907
Chr01_35842942_36467175,0.0208989841564734,0.520214809173815,0.8568770608938743,1,35842942
Chr01_36467176_36477457,0.0187955590050723,0.509452810970696,0.8523537414317414,1,36467176
Chr01_36477458_36677915,0.0187955590050723,0.509452810970696,0.8523537414317414,1,36477458
Chr01_36677916_36678639,0.0187955590050723,0.509452810970696,0.8523537414317414,1,36677916
Chr01_36678640_37008510,0.0215027933187801,0.692694000210364,0.9168854193655855,1,36678640
Chr01_37008511_37008685,0.0620485071029404,0.456485909736011,0.842871390658431,1,37008511
Chr01_37008686_37399402,0.0620485071029404,0.456485909736011,0.842871390658431,1,37008686
Chr01_37399403_37399747,0.0620485071029404,0.456485909736011,0.842871390658431,1,37399403
Chr01_37399748_38492440,0.0242764405237828,0.461405283327166,0.842871390658431,1,37399748
Chr01_38492441_38553272,0.0339257297763408,0.486239803062325,0.8481347818832573,1,38492441
Chr01_38553273_41248221,0.0228747292344035,0.304034454329998,0.742247379576041,1,38553273
Chr01_41248222_41249634,0.0622024009357897,0.182607583497042,0.6153361176291169,1,41248222
Chr01_41249635_41946984,0.0622024009357897,0.182607583497042,0.6153361176291169,1,41249635
Chr01_41946985_41946999,0.0622024009357897,0.182607583497042,0.6153361176291169,1,41946985
Chr01_41947000_42826924,0.0743693781223579,0.314073071396989,0.7583833655951971,1,41947000
Chr01_42826925_42828044,0.0535792179470585,0.494090582415834,0.8481347818832573,1,42826925
Chr01_42828045_44953517,0.194527695815367,0.740658843682658,0.9354643375104442,1,42828045
Chr01_44953518_50495391,0.14396398175936,0.443856939897122,0.842871390658431,1,44953518
Chr02_1_4524,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,1
Chr02_4525_349303,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,4525
Chr02_349304_361275,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,349304
Chr02_361276_876244,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,361276
Chr02_876245_880558,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,876245
Chr02_880559_1380844,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,880559
Chr02_1380845_1380870,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,1380845
Chr02_1380871_1588241,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,1380871
Chr02_1588242_1591077,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,1588242
Chr02_1591078_2117143,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,1591078
Chr02_2117144_2118662,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,2117144
Chr02_2118663_2439301,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,2118663
Chr02_2439302_2439318,0.0347406700858939,0.00522827185237827,0.2001382465090402,2,2439302
Chr02_2439319_3802076,0.04165244204039,0.00463586505225356,0.2001382465090402,2,2439319
Chr02_3802077_3811171,0.0572438902023637,0.00353553811211611,0.2001382465090402,2,3802077
Chr02_3811172_4203782,0.0743800999476619,0.00481132909422457,0.2001382465090402,2,3811172
Chr02_4203783_4204963,0.0601132419997217,0.00767191354667925,0.2622548235009957,2,4203783
Chr02_4204964_5059530,0.182599230955262,0.0268715019394417,0.5146342061879415,2,4204964
Chr02_5059531_5059566,0.0242405623874091,0.136803587976225,0.5416963761594868,2,5059531
Chr02_5059567_5396611,0.0242405623874091,0.136803587976225,0.5416963761594868,2,5059567
Chr02_5396612_5398283,0.0242405623874091,0.136803587976225,0.5416963761594868,2,5396612
Chr02_5398284_5923170,0.0714332386428846,0.291507235316791,0.7205421624209244,2,5398284
Chr02_5923171_5954021,0.0405023359741699,0.598858399526984,0.9011124030618298,2,5923171
Chr02_5954022_6493859,0.063202027764347,0.565750015207879,0.8817960334754728,2,5954022
Chr02_6493860_6498865,0.0388844087887674,0.448175197467614,0.842871390658431,2,6493860
Chr02_6498866_6748647,0.0454095382398243,0.382583145707802,0.8054260011978658,2,6498866
Chr02_6748648_6759682,0.0361168934510892,0.287668829432447,0.7205421624209244,2,6748648
Chr02_6759683_7031301,0.0220706534665116,0.371785784106688,0.8040473091381973,2,6759683
Chr02_7031302_7048371,0.0146632926144178,0.36004129263757,0.8040473091381973,2,7031302
Chr02_7048372_7535720,0.0143046643663112,0.34810760987269,0.7931880539242008,2,7048372
Chr02_7535721_7537775,0.0182867498542805,0.463995287552393,0.842871390658431,2,7535721
Chr02_7537776_7944758,0.0175130959309366,0.688406332633801,0.9137376703613698,2,7537776
Chr02_7944759_7947379,0.05186536247901,0.942943209875968,0.9852558306021806,2,7944759
Chr02_7947380_8614429,0.0931769414853451,0.952353111438648,0.9874343744818918,2,7947380
Chr02_8614430_8625186,0.0681759358726996,0.941332270087374,0.9852558306021806,2,8614430
Chr02_8625187_9195211,0.0870828059299627,0.732749257840256,0.931263001000166,2,8625187
Chr02_9195212_9195222,0.0602665125021514,0.495815596110336,0.8481347818832573,2,9195212
Chr02_9195223_9912687,0.117531315953548,0.491114832488156,0.8481347818832573,2,9195223
Chr02_9912688_9912975,0.061942838917431,0.618028774207011,0.9032874400345487,2,9912688
Chr02_9912976_10267833,0.0788853687936829,0.689742315109951,0.9142429301388131,2,9912976
Chr02_10267834_10267871,0.0548700570184049,0.720597550855655,0.9209054825769764,2,10267834
Chr02_10267872_10413420,0.0548700570184049,0.720597550855655,0.9209054825769764,2,10267872
Chr02_10413421_10413478,0.0548700570184049,0.720597550855655,0.9209054825769764,2,10413421
Chr02_10413479_11173441,0.0385272127696942,0.819538470467632,0.950651776643254,2,10413479
Chr02_11173442_11173501,0.0292512927395324,0.920815586039338,0.9852558306021806,2,11173442
Chr02_11173502_11801906,0.0219468070459044,0.985186445316559,0.9966421016574492,2,11173502
Chr02_11801907_12265594,0.0426575648664396,0.816345200959474,0.950651776643254,2,11801907
Chr02_12265595_12817972,0.139306479143288,0.835203411263564,0.959200562304544,2,12265595
Chr02_12817973_12824108,0.0339856713108415,0.563114034960566,0.8794623936245134,2,12817973
Chr02_12824109_13491547,0.123100484251215,0.912156331646512,0.9830333439028287,2,12824109
Chr02_13491548_13517019,0.114472117194107,0.893818855823123,0.977582451454547,2,13491548
Chr02_13517020_14119781,0.139677139199742,0.546295580691719,0.8701902139296182,2,13517020
Chr02_14119782_14120038,0.0383571321568899,0.821514126733512,0.950651776643254,2,14119782
Chr02_14120039_14602012,0.0383571321568899,0.821514126733512,0.950651776643254,2,14120039
Chr02_14602013_14602277,0.0383571321568899,0.821514126733512,0.950651776643254,2,14602013
Chr02_14602278_15318678,0.0383571321568899,0.821514126733512,0.950651776643254,2,14602278
Chr02_15318679_15347678,0.0383571321568899,0.821514126733512,0.950651776643254,2,15318679
Chr02_15347679_15710186,0.0383571321568899,0.821514126733512,0.950651776643254,2,15347679
Chr02_15710187_15710672,0.0383571321568899,0.821514126733512,0.950651776643254,2,15710187
Chr02_15710673_16424164,0.0383571321568899,0.821514126733512,0.950651776643254,2,15710673
Chr02_16424165_16424173,0.0383571321568899,0.821514126733512,0.950651776643254,2,16424165
Chr02_16424174_19450199,0.0383571321568899,0.821514126733512,0.950651776643254,2,16424174
Chr02_19450200_19450542,0.0383571321568899,0.821514126733512,0.950651776643254,2,19450200
Chr02_19450543_21586712,0.0376544329211695,0.948201421716224,0.9852558306021806,2,19450543
Chr02_21586713_21615015,0.0263428191413979,0.426665483847344,0.842871390658431,2,21586713
Chr02_21615016_22274911,0.0279691185169848,0.611329032823811,0.9032874400345487,2,21615016
Chr02_22274912_22275977,0.0183452813097007,0.80189726186226,0.950651776643254,2,22274912
Chr02_22275978_23006865,0.0106856510213847,0.668006752586545,0.9101494537761471,2,22275978
Chr02_23006866_23006973,0.0442553392540025,0.944143068448449,0.9852558306021806,2,23006866
Chr02_23006974_23411993,0.034214741760548,0.85377069040523,0.9646500008474678,2,23006974
Chr02_23411994_23412006,0.0207320778210578,0.802996495823915,0.950651776643254,2,23411994
Chr02_23412007_23945659,0.0304445018352142,0.536827701101336,0.8657960097662734,2,23412007
Chr02_23945660_23950242,0.0354563910936891,0.342785073905199,0.7908292904382367,2,23945660
Chr02_23950243_24283667,0.145321604866843,0.364165802349454,0.8040473091381973,2,23950243
Chr02_24283668_24284547,0.108204553029274,0.50904934030422,0.8523537414317414,2,24283668
Chr02_24284548_24771958,0.217017278133,0.619626912974022,0.9032874400345487,2,24284548
