Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.870440093949841,0.777944108704136,0.947664494345771,0.953882422116788,0.9860093004753686,1,1
Chr01_126238_809425,0.992079748090893,0.666765056545301,0.917344122822469,0.9513937557599794,0.9860093004753686,1,126238
Chr01_809426_814269,0.583899843403629,0.585082727321277,0.725479796158053,0.9513937557599794,0.9658754682577628,1,809426
Chr01_814270_1367747,0.650705146092555,0.787616630644269,0.589929457458255,0.9605080861515476,0.9481009137721955,1,814270
Chr01_1367748_1367899,0.399877092824399,0.855298488506289,0.627276010511038,0.97681845147291535,0.950393102346994,1,1367748
Chr01_1367900_2042574,0.662406162643978,0.975541621639894,0.608641812674796,0.9954506343264224,0.9483710547788317,1,1367900
Chr01_2042575_2043251,0.659548900954751,0.958480210961667,0.502695078206302,0.9922799073612095,0.8976697825112536,1,2042575
Chr01_2043252_2231677,0.831093497940287,0.701871212970815,0.628394255576284,0.9513937557599794,0.950393102346994,1,2043252
Chr01_2231678_2231705,0.962229084138954,0.596180132422805,0.997526265265829,0.9513937557599794,0.997992081185372,1,2231678
Chr01_2231706_3033846,0.999286608785115,0.647585368186559,0.95761463266372,0.9513937557599794,0.9881777600191247,1,2231706
Chr01_3033847_3052413,0.715871571072737,0.65652299495798,0.655696466398983,0.9513937557599794,0.9518688336590139,1,3033847
Chr01_3052414_4229970,0.967623828297196,0.960651367606358,0.40607175076131,0.9922799073612095,0.8706984608927035,1,3052414
Chr01_4229971_4235626,0.986591624770463,0.687962268621128,0.139468651571317,0.9513937557599794,0.7899579575241253,1,4229971
Chr01_4235627_5264100,0.441448277407087,0.865027006471015,0.30813623686993,0.97681845147291535,0.8507932525005529,1,4235627
Chr01_5264101_5264149,0.133269935109443,0.494277793313537,0.402277817656038,0.9513937557599794,0.8706984608927035,1,5264101
Chr01_5264150_5885231,0.371296141641626,0.119461448035994,0.922237458646648,0.9513937557599794,0.9860093004753686,1,5264150
Chr01_5885232_5886075,0.571112296874237,0.0615993965322375,0.622182534755418,0.9513937557599794,0.9497713634405407,1,5885232
Chr01_5886076_6253003,0.99502468377846,0.110867672818155,0.751338889309234,0.9513937557599794,0.9702562904757746,1,5886076
