Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.696215945706205,0.807341173401319,0.466951457713691,0.806412464627679,Chr01_1_126237,0.9567961226442224,0.9271099719644571,0.8779029313499911,1,1
Chr01_126238_809425,0.696215945706205,0.807341173401319,0.466951457713691,0.806412464627679,Chr01_126238_809425,0.9567961226442224,0.9271099719644571,0.8779029313499911,1,126238
Chr01_809426_814269,0.744695008164161,0.880156455475125,0.405269378738088,0.867957539301869,Chr01_809426_814269,0.9740444448353147,0.9212751312079573,0.9163745475129702,1,809426
Chr01_814270_1367747,0.688713387976397,0.61666112950126,0.361890957037148,0.717262087319197,Chr01_814270_1367747,0.9423011598819709,0.9212751312079573,0.8642679770593821,1,814270
Chr01_1367748_1367899,0.919341961618842,0.246777170002139,0.590171402837852,0.696754936166339,Chr01_1367748_1367899,0.9314051532977576,0.9605340689044632,0.8642679770593821,1,1367748
Chr01_1367900_2042574,0.886059195143148,0.244481501094508,0.585824372436093,0.684646819077127,Chr01_1367900_2042574,0.9314051532977576,0.9605340689044632,0.8642679770593821,1,1367900
Chr01_2042575_2043251,0.989715683276829,0.152091467019614,0.779461501779841,0.686936660054016,Chr01_2042575_2043251,0.9140604254196361,0.9976301194601997,0.8642679770593821,1,2042575
Chr01_2043252_2231677,0.902025281284623,0.660013400978092,0.66363132943092,0.852188548731548,Chr01_2043252_2231677,0.9498967916159156,0.9796802661327767,0.9037025369968401,1,2043252
Chr01_2231678_2231705,0.575931515120583,0.994675682322954,0.855575090074424,0.75078798871351,Chr01_2231678_2231705,0.999592309525833,0.9976301194601997,0.8642679770593821,1,2231678
Chr01_2231706_3033846,0.56153772279176,0.979795579142693,0.843448411711466,0.746440162135881,Chr01_2231706_3033846,0.997607637299819,0.9976301194601997,0.8642679770593821,1,2231706
Chr01_3033847_3052413,0.435427751463537,0.988554713094758,0.742687735755709,0.654047118573954,Chr01_3033847_3052413,0.999592309525833,0.988528738690144,0.8642679770593821,1,3033847
Chr01_3052414_4229970,0.503696342215222,0.679294169641515,0.12785201877087,0.617597552501643,Chr01_3052414_4229970,0.9498967916159156,0.7685087361696533,0.8642679770593821,1,3052414
Chr01_4229971_4235626,0.592671342052455,0.752192278512851,0.158899186682077,0.4635031597586,Chr01_4229971_4235626,0.9567961226442224,0.8003501139723563,0.862444500082361,1,4229971
Chr01_4235627_5264100,0.543165111851865,0.596759185392952,0.150053672597279,0.475056629657031,Chr01_4235627_5264100,0.9378167342528176,0.7977853593088666,0.862444500082361,1,4235627
Chr01_5264101_5264149,0.595550784738951,0.703885517216903,0.138941732369388,0.484008062804562,Chr01_5264101_5264149,0.9541337676722041,0.7857551893285579,0.862444500082361,1,5264101
Chr01_5264150_5885231,0.627647038256102,0.723010604808629,0.18654821351878,0.494479468235479,Chr01_5264150_5885231,0.9567961226442224,0.8104724754697717,0.862444500082361,1,5264150
Chr01_5885232_5886075,0.76376882425504,0.578951429597899,0.226126746266307,"NA",Chr01_5885232_5886075,0.9314051532977576,0.8812444110097652,NA,1,5885232
Chr01_5886076_6253003,0.76436348373707,0.616974257529554,0.524871902461581,"NA",Chr01_5886076_6253003,0.9423011598819709,0.9439337316877466,NA,1,5886076
Chr01_6253004_6253851,0.741449835159624,0.693966937819989,0.589431635581485,"NA",Chr01_6253004_6253851,0.9498967916159156,0.9605340689044632,NA,1,6253004
Chr01_6253852_6811196,0.861845466755603,0.661910263525195,0.599521346543245,"NA",Chr01_6253852_6811196,0.9498967916159156,0.9629010411493265,NA,1,6253852
Chr01_6811197_6811650,0.492539542796861,0.970134979491856,0.272324205912693,"NA",Chr01_6811197_6811650,0.9929616848916643,0.9097991238864891,NA,1,6811197
Chr01_6811651_7107385,0.53454259962209,0.880405898414365,0.239252246316827,"NA",Chr01_6811651_7107385,0.9740444448353147,0.8953762669771201,NA,1,6811651
Chr01_7107386_7117068,0.479924627368906,0.871570115134089,0.059122873112438,"NA",Chr01_7107386_7117068,0.9732702452547528,0.7039399959233643,NA,1,7107386
Chr01_7117069_8021093,0.0751533850751648,0.738809500639243,0.0474897416857294,0.0939729749190274,Chr01_7117069_8021093,0.9567961226442224,0.7039399959233643,0.8243766356457445,1,7117069
Chr01_8021094_8021338,0.725700996776647,0.739374176588698,0.114874750693349,"NA",Chr01_8021094_8021338,0.9567961226442224,0.7428049757671283,NA,1,8021094
Chr01_8021339_8546533,0.594525968515549,0.819825308848759,0.200725052389504,"NA",Chr01_8021339_8546533,0.9567961226442224,0.8265830996989306,NA,1,8021339
Chr01_8546534_8548055,0.676262366395939,0.600286278425598,0.126021225269601,"NA",Chr01_8546534_8548055,0.9386087016946226,0.7633057758418238,NA,1,8546534
Chr01_8548056_9439189,0.575429307746827,0.627159173672463,0.212658359031548,"NA",Chr01_8548056_9439189,0.9445899600183024,0.8551010487108884,NA,1,8548056
Chr01_9439190_9439923,0.599253374108059,0.779704186291862,0.114419230072048,"NA",Chr01_9439190_9439923,0.9567961226442224,0.7428049757671283,NA,1,9439190
Chr01_9439924_10127710,0.419907336375979,0.942265964814722,0.133908655108297,"NA",Chr01_9439924_10127710,0.9876763727576001,0.7857551893285579,NA,1,9439924
Chr01_10127711_10127775,0.506127150408678,0.755006690202616,0.136365213040097,"NA",Chr01_10127711_10127775,0.9567961226442224,0.7857551893285579,NA,1,10127711
Chr01_10127776_10700451,0.675718550047341,0.491948405177708,0.0760422328646998,"NA",Chr01_10127776_10700451,0.9314051532977576,0.7291756483955008,NA,1,10127776
Chr01_10700452_10700489,0.999129816500092,0.2631487500468,0.165663307852818,"NA",Chr01_10700452_10700489,0.9314051532977576,0.8029340777404781,NA,1,10700452
Chr01_10700490_11189458,0.52453458465068,0.627752575309969,0.346660974898212,0.607553710257371,Chr01_10700490_11189458,0.9445899600183024,0.9212751312079573,0.8642679770593821,1,10700490
Chr01_11189459_11289027,0.410420350674774,0.983383763954729,0.614446110739259,"NA",Chr01_11189459_11289027,0.999592309525833,0.9629010411493265,NA,1,11189459
Chr01_11289028_11965532,0.324413426064104,0.993691822491838,0.978671995564815,0.405049281751251,Chr01_11289028_11965532,0.999592309525833,0.9976301194601997,0.8555976087746789,1,11289028
Chr01_11965533_11966198,0.507888216608906,0.777058048458074,0.573156674901048,"NA",Chr01_11965533_11966198,0.9567961226442224,0.9605340689044632,NA,1,11965533
Chr01_11966199_12330339,0.886671803725697,0.393476422832602,0.791107868107163,"NA",Chr01_11966199_12330339,0.9314051532977576,0.9976301194601997,NA,1,11966199
Chr01_12330340_12330527,0.435735280161277,0.191907709885529,0.669295982405474,"NA",Chr01_12330340_12330527,0.9314051532977576,0.9800795818915246,NA,1,12330340
Chr01_12330528_13051606,0.440176478123652,0.156754867503371,0.497711512212144,"NA",Chr01_12330528_13051606,0.9140604254196361,0.9377178369716377,NA,1,12330528
Chr01_13051607_13052006,0.623457006798229,0.193428552238037,0.43256227618309,"NA",Chr01_13051607_13052006,0.9314051532977576,0.9212751312079573,NA,1,13051607
