Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.499486845087107,0.240768119021265,0.8631897851807038,1,1
Chr01_126238_809425,0.499486845087107,0.240768119021265,0.8631897851807038,1,126238
Chr01_809426_814269,0.507464954193842,0.244789031487791,0.8631897851807038,1,809426
Chr01_814270_1367747,0.593208666592778,0.287369086496345,0.8631897851807038,1,814270
Chr01_1367748_1367899,0.282278152201188,0.545171318188204,0.9260467502028727,1,1367748
Chr01_1367900_2042574,0.415147704104801,0.377492051407685,0.8780285735830083,1,1367900
Chr01_2042575_2043251,0.480085185402307,0.41611145025701,0.8950410408161138,1,2042575
Chr01_2043252_2231677,0.468877868943299,0.836003100254519,0.9581381804391721,1,2043252
Chr01_2231678_2231705,0.533933947917104,0.411963562055927,0.8945775529584558,1,2231678
Chr01_2231706_3033846,0.501733625254643,0.383703750853183,0.8780285735830083,1,2231706
Chr01_3033847_3052413,0.22517460452259,0.3887765678194,0.8780285735830083,1,3033847
Chr01_3052414_4229970,0.477502015181664,0.0799149586437747,0.7613867336351683,1,3052414
Chr01_4229971_4235626,0.396476391766667,0.105152585731571,0.7814003333204269,1,4229971
Chr01_4235627_5264100,0.621149431368587,0.0469438948352916,0.7157835474398048,1,4235627
Chr01_5264101_5264149,0.509903441785508,0.0374278248073876,0.7157835474398048,1,5264101
Chr01_5264150_5885231,0.49968710059435,0.0326679323759828,0.7157835474398048,1,5264150
Chr01_5885232_5886075,0.436159731934223,0.0263741780404547,0.6595382988709937,1,5885232
Chr01_5886076_6253003,0.408980409376514,0.0483265797950125,0.7157835474398048,1,5886076
Chr01_6253004_6253851,0.544920599172459,0.0768807223872977,0.7613867336351683,1,6253004
Chr01_6253852_6811196,0.65693156579676,0.0463727373280919,0.7157835474398048,1,6253852
Chr01_6811197_6811650,0.661539001789249,0.0349301451820228,0.7157835474398048,1,6811197
Chr01_6811651_7107385,0.49732672448669,0.0538388278204686,0.7450652977254186,1,6811651
Chr01_7107386_7117068,0.849941844006951,0.00549418008493568,0.38360302664349855,1,7107386
Chr01_7117069_8021093,0.843132012241606,0.00561174751620583,0.38360302664349855,1,7117069
Chr01_8021094_8021338,0.663317251800853,0.0184963897245907,0.6571567539503713,1,8021094
Chr01_8021339_8546533,0.72439723448572,0.0309262216497731,0.7157835474398048,1,8021339
Chr01_8546534_8548055,0.585437130223983,0.063863734679544,0.7538409105051921,1,8546534
Chr01_8548056_9439189,0.619194601011494,0.195419497985877,0.8631897851807038,1,8548056
Chr01_9439190_9439923,0.63308995298405,0.0473999032580708,0.7157835474398048,1,9439190
Chr01_9439924_10127710,0.45431338760087,0.0878734644046617,0.770401510329102,1,9439924
Chr01_10127711_10127775,0.460158687763721,0.176587209056611,0.8631897851807038,1,10127711
Chr01_10127776_10700451,0.381587982905255,0.0761335473415139,0.7613867336351683,1,10127776
Chr01_10700452_10700489,0.325293830467573,0.163352650809326,0.8631897851807038,1,10700452
Chr01_10700490_11189458,0.294315184556368,0.525502044076612,0.922643663968265,1,10700490
Chr01_11189459_11289027,0.278281265207192,0.812853343687741,0.9581381804391721,1,11189459
Chr01_11289028_11965532,0.296715462135272,0.925130160583459,0.9837217374204112,1,11289028
Chr01_11965533_11966198,0.407339023854572,0.740374897308892,0.9538352196583952,1,11965533
Chr01_11966199_12330339,0.353145924644116,0.97318855089134,0.9947501317822616,1,11966199
Chr01_12330340_12330527,0.431947202231077,0.837611833859311,0.9581381804391721,1,12330340
Chr01_12330528_13051606,0.449842682317718,0.864804190052243,0.9645967861065115,1,12330528
Chr01_13051607_13052006,0.454053082747629,0.784176434305925,0.9565375772200215,1,13051607
Chr01_13052007_13382483,0.410222192912806,0.726273195289442,0.9519003174976146,1,13052007
Chr01_13382484_13382509,0.445409820529951,0.769037675312261,0.9565375772200215,1,13382484
Chr01_13382510_13576339,0.344608910501378,0.815445993610109,0.9581381804391721,1,13382510
Chr01_13576340_13576350,0.299315576233063,0.928525884132707,0.9851433160920184,1,13576340
Chr01_13576351_14061355,0.276918288550236,0.962093783371963,0.99387492765185,1,13576351
Chr01_14061356_14061634,0.184945697909695,0.789879927590113,0.9565375772200215,1,14061356
Chr01_14061635_14604721,0.222873686061262,0.656032580553253,0.94603230982639,1,14061635
Chr01_14604722_14607157,0.33841586400701,0.46465296316074,0.9046502404474712,1,14604722
Chr01_14607158_15449572,0.41038866013458,0.253255122193768,0.8631897851807038,1,14607158
Chr01_15449573_15456448,0.0706932908532532,0.169576046674632,0.8631897851807038,1,15449573
Chr01_15456449_16406535,0.123627402666286,0.167571102033144,0.8631897851807038,1,15456449
Chr01_16406536_16454790,0.109243400162173,0.285605027151826,0.8631897851807038,1,16406536
Chr01_16454791_19216253,0.27793018454593,0.272349955806212,0.8631897851807038,1,16454791
Chr01_19216254_19216663,0.243874370191174,0.346097062671982,0.8768615085803988,1,19216254
Chr01_19216664_20661429,0.18271140206359,0.456822884476184,0.9032634306688184,1,19216664
Chr01_20661430_20662913,0.158872669367067,0.409776324974855,0.8932937198199002,1,20661430
Chr01_20662914_21251875,0.186936785347312,0.488951592019145,0.9157077760515103,1,20662914
Chr01_21251876_21488109,0.302479139315175,0.374159651297507,0.8780285735830083,1,21251876
Chr01_21488110_22523058,0.317954206848505,0.268434892262375,0.8631897851807038,1,21488110
Chr01_22523059_22523376,0.197838971393678,0.122765818614227,0.8158811695403836,1,22523059
Chr01_22523377_25610270,0.160135456314652,0.21956007951805,0.8631897851807038,1,22523377
Chr01_25610271_25623774,0.174612122441664,0.228606261160915,0.8631897851807038,1,25610271
Chr01_25623775_25991881,0.226835167445942,0.158201681090058,0.8631897851807038,1,25623775
Chr01_25991882_26001088,0.246806052074492,0.150086644412245,0.8600773575001106,1,25991882
Chr01_26001089_26286066,0.243494781582328,0.147136557374804,0.8600773575001106,1,26001089
Chr01_26286067_26293474,0.310088431963675,0.119760105952344,0.807115643636572,1,26286067
Chr01_26293475_26583692,0.247304336968561,0.166835084681113,0.8631897851807038,1,26293475
Chr01_26583693_26647317,0.480239717167219,0.0842746821834482,0.767654279354869,1,26583693
Chr01_26647318_27308826,0.51097633465388,0.0657742590109519,0.7538409105051921,1,26647318
Chr01_27308827_27314420,0.350643087548452,0.0719028993249317,0.7613867336351683,1,27308827
Chr01_27314421_27701084,0.161938230777702,0.0912913565301937,0.770401510329102,1,27314421
Chr01_27701085_27712150,0.228958420206866,0.143926091524112,0.8555109912333863,1,27701085
Chr01_27712151_27987745,0.334856600551244,0.206075790511867,0.8631897851807038,1,27712151
Chr01_27987746_27996902,0.331706752508465,0.163074753200647,0.8631897851807038,1,27987746
Chr01_27996903_28327995,0.236467470690597,0.251847769409549,0.8631897851807038,1,27996903
Chr01_28327996_28328780,0.438860698582723,0.362395978120836,0.8780285735830083,1,28327996
Chr01_28328781_28712697,0.351748533159474,0.377873631664124,0.8780285735830083,1,28328781
Chr01_28712698_28712702,0.34456920619582,0.485582257474238,0.9141176987415661,1,28712698
Chr01_28712703_29260469,0.276111365802229,0.535867583193795,0.922643663968265,1,28712703
Chr01_29260470_29264772,0.235817990013046,0.473216310021839,0.910419898300541,1,29260470
Chr01_29264773_29827856,0.232803233012597,0.595136098517248,0.9442827507224982,1,29264773
Chr01_29827857_29864780,0.209108312422623,0.534255224852196,0.922643663968265,1,29827857
Chr01_29864781_30461232,0.264260773494225,0.235304751932336,0.8631897851807038,1,29864781
Chr01_30461233_30463952,0.377224068862368,0.50618677501519,0.9186246718482748,1,30461233
Chr01_30463953_31287140,0.410412571610036,0.86673989127243,0.9645967861065115,1,30463953
Chr01_31287141_31299042,0.388191819739984,0.589163720526071,0.9442827507224982,1,31287141
Chr01_31299043_32249075,0.262508408511436,0.78877228196866,0.9565375772200215,1,31299043
Chr01_32249076_32254238,0.227228805949533,0.498443732163546,0.9178048133486668,1,32249076
Chr01_32254239_32925441,0.285605042969761,0.499706591529961,0.9178048133486668,1,32254239
Chr01_32925442_32925676,0.17566064050738,0.548495029488125,0.9260467502028727,1,32925442
Chr01_32925677_33648211,0.266358965420809,0.468867836219379,0.9046502404474712,1,32925677
Chr01_33648212_33648861,0.248648108115523,0.441954081351348,0.9032634306688184,1,33648212
Chr01_33648862_33944256,0.356592832785731,0.437177659270705,0.9032634306688184,1,33648862
Chr01_33944257_33944395,0.376832161192303,0.38122951892593,0.8780285735830083,1,33944257
Chr01_33944396_34707623,0.409282611832631,0.332747626951991,0.871576486494259,1,33944396
