Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.913902191033014,0.08697458572472,0.999668208239319,0.6849714852131294,0.999668208239319,1,1
Chr01_126238_809425,0.540789225563541,0.0835994235551478,0.998681941735055,0.6849714852131294,0.999668208239319,1,126238
Chr01_809426_814269,0.928000172092621,0.117046868471862,0.817051538901746,0.7001287298130506,0.9598950382776164,1,809426
Chr01_814270_1367747,0.636385264913206,0.0573854811537534,0.800839108126611,0.6849714852131294,0.9508643764036279,1,814270
Chr01_1367748_1367899,0.983649734017741,0.0403501573814321,0.581865937149746,0.6849714852131294,0.905975304606252,1,1367748
Chr01_1367900_2042574,0.915870243981593,0.0468356237274788,0.452079468759038,0.6849714852131294,0.905975304606252,1,1367900
Chr01_2042575_2043251,0.964642658127155,0.0476630237810953,0.563531213056619,0.6849714852131294,0.905975304606252,1,2042575
Chr01_2043252_2231677,0.943997320855789,0.0826225313478637,0.672850841806012,0.6849714852131294,0.9066623269347813,1,2043252
Chr01_2231678_2231705,0.899443667140094,0.0769265215871595,0.629149517087675,0.6849714852131294,0.905975304606252,1,2231678
Chr01_2231706_3033846,0.89346765199978,0.0641677235038954,0.665166712261718,0.6849714852131294,0.9066623269347813,1,2231706
Chr01_3033847_3052413,0.234269143042119,0.0598145085559502,0.953698395955925,0.6849714852131294,0.9936785782479826,1,3033847
Chr01_3052414_4229970,0.738109835129164,0.0738336284086207,0.519469669692586,0.6849714852131294,0.905975304606252,1,3052414
Chr01_4229971_4235626,0.75945354228267,0.0655364718064445,0.507519257288754,0.6849714852131294,0.905975304606252,1,4229971
Chr01_4235627_5264100,0.808623128641188,0.0273509241484897,0.906568742045369,0.6849714852131294,0.9794860358233278,1,4235627
Chr01_5264101_5264149,0.838507177213026,0.0341891061238626,0.880251331416667,0.6849714852131294,0.9728554183850059,1,5264101
Chr01_5264150_5885231,0.42929604702352,0.0460296961518773,0.612685771519548,0.6849714852131294,0.905975304606252,1,5264150
Chr01_5885232_5886075,0.523416413283818,0.0700482479961257,0.440424698928718,0.6849714852131294,0.9032548916667303,1,5885232
Chr01_5886076_6253003,0.531008325034316,0.0406238713654257,0.422553256030699,0.6849714852131294,0.902080482473067,1,5886076
Chr01_6253004_6253851,0.44856543051446,0.119799804879122,0.28002941995804,0.7001287298130506,0.8690568205594345,1,6253004
Chr01_6253852_6811196,0.554012118298472,0.0623599053792959,0.172593137479461,0.6849714852131294,0.8619686298636441,1,6253852
Chr01_6811197_6811650,0.535617213855276,0.135140456685672,0.278046178870668,0.7326892229946073,0.8690137091159532,1,6811197
Chr01_6811651_7107385,0.717433836934845,0.0470844831479164,0.341766022305241,0.6849714852131294,0.8943121264881928,1,6811651
Chr01_7107386_7117068,0.670171932251575,0.0896945727779329,0.746242578655909,0.6849714852131294,0.9266164080547401,1,7107386
Chr01_7117069_8021093,0.957024053909632,0.0379465036053689,0.986414895580447,0.6849714852131294,0.9972676638357376,1,7117069
Chr01_8021094_8021338,0.99087535888744,0.123611309560757,0.522203676667217,0.7025626079326733,0.905975304606252,1,8021094
Chr01_8021339_8546533,0.753383595850448,0.0256380321705715,0.940346561508705,0.6849714852131294,0.9898384857986368,1,8021339
Chr01_8546534_8548055,0.666272961982585,0.0250240422883941,0.862098954460288,0.6849714852131294,0.9728554183850059,1,8546534
Chr01_8548056_9439189,0.663943001070223,0.0173296909352083,0.933323926075213,0.6849714852131294,0.9891658186914258,1,8548056
Chr01_9439190_9439923,0.959338684884363,0.0904943466639293,0.59736165236688,0.6849714852131294,0.905975304606252,1,9439190
Chr01_9439924_10127710,0.91138430025731,0.145388917692585,0.697063059539944,0.7520116432375086,0.9158119349898064,1,9439924
Chr01_10127711_10127775,0.904264419662755,0.125680644307956,0.769481043856684,0.7025626079326733,0.9383915168983952,1,10127711
Chr01_10127776_10700451,0.826375963979946,0.0412851765189345,0.647022838843961,0.6849714852131294,0.9066623269347813,1,10127776
Chr01_10700452_10700489,0.843655907258174,0.0713359710567462,0.839770718387381,0.6849714852131294,0.9696040304889465,1,10700452
Chr01_10700490_11189458,0.835184689663954,0.0552185257083802,0.854866507299425,0.6849714852131294,0.9716965561894818,1,10700490
Chr01_11189459_11289027,0.521569592570531,0.114288498074377,0.915597801067785,0.7001287298130506,0.9819082341549782,1,11189459
Chr01_11289028_11965532,0.561559457155984,0.219112490489418,0.847745765168781,0.777590076122915,0.9713367950842117,1,11289028
Chr01_11965533_11966198,0.568608488578508,0.175981168058445,0.968035022300098,0.7570058922275014,0.9936785782479826,1,11965533
Chr01_11966199_12330339,0.558150690418703,0.103835215587141,0.956618764683007,0.691945903758766,0.9936785782479826,1,11966199
Chr01_12330340_12330527,0.564692560536437,0.117774609772108,0.88156787138028,0.7001287298130506,0.9728554183850059,1,12330340
Chr01_12330528_13051606,0.556795216365199,0.0597216555944229,0.916447685211313,0.6849714852131294,0.9819082341549782,1,12330528
Chr01_13051607_13052006,0.53285788018341,0.0511824243324782,0.658126897772717,0.6849714852131294,0.9066623269347813,1,13051607
Chr01_13052007_13382483,0.530097787244958,0.0956008745530991,0.639439714849566,0.691945903758766,0.9066623269347813,1,13052007
Chr01_13382484_13382509,0.533067278963171,0.097030211232561,0.74354993548812,0.691945903758766,0.9266164080547401,1,13382484
Chr01_13382510_13576339,0.527472530563007,0.0829787583713263,0.804167298565434,0.6849714852131294,0.9523033798801191,1,13382510
Chr01_13576340_13576350,0.527006148688959,0.0901618860254041,0.735630574215117,0.6849714852131294,0.9266164080547401,1,13576340
Chr01_13576351_14061355,0.527023752923309,0.102650323152736,0.794072182390769,0.691945903758766,0.9460652977764404,1,13576351
Chr01_14061356_14061634,0.525279093091687,0.126799993879063,0.510967674403752,0.7044444104392388,0.905975304606252,1,14061356
Chr01_14061635_14604721,0.524275473811548,0.200534961273999,0.375989871850151,0.7630826308485805,0.8943121264881928,1,14061635
Chr01_14604722_14607157,0.536032960955156,0.548901358194422,0.220843253505525,0.8932458374486919,0.8619686298636441,1,14604722
Chr01_14607158_15449572,0.533797816827026,0.461539521153142,0.098087390055475,0.8708292851946076,0.8619686298636441,1,14607158
Chr01_15449573_15456448,0.539702513592793,0.573957449741764,0.0985377354127003,0.8982263045337078,0.8619686298636441,1,15449573
Chr01_15456449_16406535,0.586925433558698,0.320899003624081,0.0867067093501299,0.8307496649643784,0.8619686298636441,1,15456449
