Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.143068771564925,0.575880355830176,0.15330042653116,0.9392628212591865,0.6688498916974542,1,1
Chr01_126238_809425,0.137336977177311,0.566918541068089,0.15185502426224,0.9379167039729414,0.6688498916974542,1,126238
Chr01_809426_814269,0.297549271543531,0.649671667997271,0.0578269825019397,0.9600394183869183,0.6324174548250806,1,809426
Chr01_814270_1367747,0.307390217414034,0.819765483832379,0.0728042396203447,0.9663290736711522,0.6324174548250806,1,814270
Chr01_1367748_1367899,0.333471073457378,0.687447847137768,0.0738087450504376,0.9600394183869183,0.6324174548250806,1,1367748
Chr01_1367900_2042574,0.309202805654115,0.853053399692302,0.0405699432449095,0.9711006275702078,0.6324174548250806,1,1367900
Chr01_2042575_2043251,0.386407397767814,0.847888537570068,0.0526605263254303,0.9711006275702078,0.6324174548250806,1,2042575
Chr01_2043252_2231677,0.277331353646213,0.636751331752162,0.152354406752736,0.9599266307821539,0.6688498916974542,1,2043252
Chr01_2231678_2231705,0.257553644797902,0.549379839361656,0.105380814857397,0.9324683199258382,0.6324174548250806,1,2231678
Chr01_2231706_3033846,0.25334562380654,0.543192227420567,0.102242934699782,0.9324683199258382,0.6324174548250806,1,2231706
Chr01_3033847_3052413,0.131486820737517,0.379747007559954,0.079294841483367,0.8740194900172649,0.6324174548250806,1,3033847
Chr01_3052414_4229970,0.156117626884665,0.416923244573214,0.0174093093813673,0.9046533705609656,0.5803103127122434,1,3052414
Chr01_4229971_4235626,0.146260037301105,0.576253793998257,0.0222351602435462,0.9392628212591865,0.6253638818497369,1,4229971
Chr01_4235627_5264100,0.270901032579281,0.796961881956867,0.0548881010445489,0.9619009608847812,0.6324174548250806,1,4235627
Chr01_5264101_5264149,0.109540766587805,0.885249578225316,0.026447757592687,0.9755681323199561,0.6324174548250806,1,5264101
Chr01_5264150_5885231,0.0923360161163302,0.702475722376747,0.0165805429058928,0.9600394183869183,0.573941869819366,1,5264150
Chr01_5885232_5886075,0.108598912092492,0.486647089529077,0.0600491720753914,0.9273595741419434,0.6324174548250806,1,5885232
Chr01_5886076_6253003,0.114344363716563,0.573124940224301,0.14247528399519,0.9392628212591865,0.6571750205446675,1,5886076
Chr01_6253004_6253851,0.0928690876780144,0.510154421259343,0.319315516182157,0.9324683199258382,0.8072583274268014,1,6253004
Chr01_6253852_6811196,0.108982141935363,0.647809051785526,0.41858983757599,0.9600394183869183,0.8510766871122626,1,6253852
Chr01_6811197_6811650,0.156666011724834,0.442111308328248,0.228607863399455,0.9210652256838501,0.743566568840087,1,6811197
Chr01_6811651_7107385,0.202960775425195,0.599323014318494,0.131880833697204,0.9460714187325312,0.6491176147273404,1,6811651
Chr01_7107386_7117068,0.437991507306345,0.981438584250187,0.043913382307071,0.9975272489065447,0.6324174548250806,1,7107386
Chr01_7117069_8021093,0.604095124855206,0.687878287288185,0.0448725483989169,0.9600394183869183,0.6324174548250806,1,7117069
Chr01_8021094_8021338,0.646664789279767,0.695610179721331,0.240340295638355,0.9600394183869183,0.7487261157607895,1,8021094
Chr01_8021339_8546533,0.515630635298437,0.717639268174914,0.413492156465669,0.9600394183869183,0.8510766871122626,1,8021339
Chr01_8546534_8548055,0.495423666950951,0.338981546834574,0.694763573103867,0.8531825623430146,0.9412046124146425,1,8546534
Chr01_8548056_9439189,0.485073868273413,0.221951744530812,0.81414802183835,0.8035865064456446,0.9653929112707708,1,8548056
Chr01_9439190_9439923,0.533340898914508,0.20593702321397,0.287823684993259,0.8035865064456446,0.7697596457644131,1,9439190
